id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;23.18658296;-3.13428795;2.56574627;0.64708022;0.49342979;0.37885777;5.30975408;-1.13467721
1;0.09998027;0.00000000;23.27369761;-3.08526330;2.61486718;0.62355443;0.53196941;0.39237654;5.28834546;-0.79062890
2;0.19996055;0.00000000;23.35884223;-3.03284653;2.66746798;0.61163607;0.57192651;0.40695733;5.27337682;-0.44760621
3;0.29994082;0.00000000;23.44176376;-2.97702586;2.72329730;0.59915046;0.61329042;0.42063390;5.26488362;-0.10707425
4;0.39992110;0.00000000;23.52228355;-2.91775474;2.75084421;0.59656877;0.65603565;0.43325071;5.26284989;-0.10707425
5;0.49990137;0.00000000;23.60014069;-2.85511063;2.71654947;0.60635311;0.69890579;0.42475254;5.26081536;0.13748144
6;0.59988165;0.00000000;23.67533042;-2.78916261;2.66723840;0.61285747;0.74098051;0.41597160;5.26342751;0.36896262
7;0.69986192;0.00000000;23.74766650;-2.72020698;2.60957609;0.61523609;0.78168897;0.39884732;5.27043140;0.81365678
8;0.79984219;0.00000000;23.81724729;-2.64836805;2.55789038;0.62873413;0.82077508;0.38300425;5.28584396;1.19079332
9;0.89982247;0.00000000;23.88398079;-2.57396711;2.51256879;0.65371905;0.85832616;0.36843490;5.30831970;1.50921375
10;0.99980274;0.00000000;23.94796713;-2.49711278;2.45204720;0.68906988;0.89445852;0.35425974;5.33666949;1.80056904
11;1.09978302;0.00000000;24.00915970;-2.41808028;2.39087448;0.73333287;0.92920638;0.34111944;5.37029646;2.05059562
12;1.19976329;0.00000000;24.06764839;-2.33696902;2.33256568;0.77586648;0.96269732;0.32883408;5.40833822;2.26848697
13;1.29974357;0.00000000;24.12341497;-2.25401407;2.27710403;0.82394909;0.99498248;0.31713562;5.45011286;2.46505947
14;1.39972384;0.00000000;24.17654266;-2.16930245;2.22375113;0.87769404;1.02611708;0.30568207;5.49514739;2.65269203
15;1.49970411;0.00000000;24.22703817;-2.08303731;2.17307776;0.92795794;1.05613936;0.29505954;5.54320111;2.81489645
16;1.59968439;0.00000000;24.27498603;-1.99528521;2.12503878;0.97541919;1.08513072;0.28481433;5.59374175;2.96721294
17;1.69966466;0.00000000;24.32039937;-1.90623581;2.07960122;1.02721397;1.11309540;0.27471504;5.64652746;3.11793007
18;1.79964494;0.00000000;24.36336390;-1.81594330;2.03666333;1.08359657;1.14007081;0.26487244;5.70146782;3.26419606
19;1.89962521;0.00000000;24.40390964;-1.72457300;1.99618176;1.14389284;1.16607156;0.25535621;5.75842390;3.40434065
