id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;30.39317741;-22.40433408;1.71645889;1.48411528;-0.04668020;-0.06238838;0.00000000;0.00000000
1;0.10000000;0.00000000;30.49303617;-22.40899890;1.71179408;1.48877534;-0.05291904;-0.00190175;0.00000000;0.00000000
2;0.20000000;0.00000000;30.59282900;-22.41490933;1.70588368;1.49467877;-0.04706055;0.05885882;0.00000000;0.00000000
3;0.30000000;0.00000000;30.69273545;-22.41840380;1.70238922;1.49817033;-0.04114727;0.05867157;0.00000000;0.00000000
4;0.40000000;0.00000000;30.79259118;-22.42313364;1.69765942;1.50289542;-0.03532624;0.10656717;0.00000000;0.00000000
5;0.50000000;0.00000000;30.89253148;-22.42546478;1.69532829;1.50522502;-0.01983384;0.11720355;0.00000000;0.00000000
6;0.60000000;0.00000000;30.99248583;-22.42709884;1.69369423;1.50685818;-0.01188553;0.04078299;0.00000000;0.00000000
7;0.70000000;0.00000000;31.09245078;-22.42784104;1.69295203;1.50760010;-0.01167724;0.00594850;0.00000000;0.00000000
8;0.80000000;0.00000000;31.19240579;-22.42943346;1.69135962;1.50919165;-0.01069582;0.06242255;0.00000000;0.00000000
9;0.90000000;0.00000000;31.29237198;-22.42997944;1.69081363;1.50973746;0.00080727;0.07611946;0.00000000;0.00000000
10;1.00000000;0.00000000;31.39233713;-22.42927206;1.69152101;1.50903033;0.00452807;0.08287183;0.00000000;0.00000000
11;1.10000000;0.00000000;31.49230466;-22.42907413;1.69171894;1.50883253;0.01738163;0.17488510;0.00000000;0.00000000
12;1.20000000;0.00000000;31.59221812;-22.42579745;1.69499564;1.50555565;0.03950509;0.18134996;0.00000000;0.00000000
13;1.30000000;0.00000000;31.69207896;-22.42117792;1.69961522;1.50093498;0.05365163;0.09821906;0.00000000;0.00000000
14;1.40000000;0.00000000;31.79186015;-22.41507604;1.70571718;1.49483035;0.05914890;0.05524703;0.00000000;0.00000000
15;1.50000000;0.00000000;31.89166425;-22.40935888;1.71143444;1.48911092;0.06470103;0.10679945;0.00000000;0.00000000
16;1.60000000;0.00000000;31.99137127;-22.40214942;1.71268956;1.48189711;0.08050879;0.16565670;0.00000000;0.00000000
17;1.70000000;0.00000000;32.09094406;-22.39328035;1.69131391;1.47302068;0.09783237;0.17482477;0.00000000;0.00000000
18;1.80000000;0.00000000;32.19034081;-22.38262142;1.67742503;1.46842485;0.11547374;0.13956749;0.00000000;0.00000000
19;1.90000000;0.00000000;32.28953827;-22.37024546;1.66991080;1.46889902;0.12574587;0.09688761;0.00000000;0.00000000
20;2.00000000;0.00000000;32.38869616;-22.35754675;1.64773148;1.47583520;0.13485126;0.13143598;0.00000000;0.00000000
21;2.10000000;0.00000000;32.48765109;-22.34336657;1.63287045;1.48798771;0.15203307;0.18064629;0.00000000;0.00000000
22;2.20000000;0.00000000;32.58631072;-22.32726917;1.62597555;1.50479197;0.17098052;0.19262579;0.00000000;0.00000000
23;2.30000000;0.00000000;32.68465607;-22.30935043;1.62705891;1.51077829;0.19055823;0.17053752;0.00000000;0.00000000
24;2.40000000;0.00000000;32.78260789;-22.28940368;1.63632003;1.50592331;0.20508803;0.12854095;0.00000000;0.00000000
25;2.50000000;0.00000000;32.88039426;-22.26863441;1.64638286;1.50685705;0.21626641;0.14548414;0.00000000;0.00000000
26;2.60000000;0.00000000;32.97787492;-22.24650305;1.64120664;1.51301426;0.23418485;0.19569799;0.00000000;0.00000000
27;2.70000000;0.00000000;33.07484764;-22.22224522;1.64429388;1.50524055;0.25540601;0.19168863;0.00000000;0.00000000
28;2.80000000;0.00000000;33.17130291;-22.19599737;1.65164701;1.48913068;0.27252258;0.14660575;0.00000000;0.00000000
29;2.90000000;0.00000000;33.26739464;-22.16843299;1.66448215;1.47825070;0.28472716;0.13513860;0.00000000;0.00000000
30;3.00000000;0.00000000;33.36318148;-22.13983847;1.65401767;1.47301097;0.29955030;0.17616715;0.00000000;0.00000000
31;3.10000000;0.00000000;33.45840916;-22.10943938;1.64263648;1.47265721;0.31996059;0.20305619;0.00000000;0.00000000
32;3.20000000;0.00000000;33.55295035;-22.07695938;1.63948133;1.47689208;0.34016154;0.20620102;0.00000000;0.00000000
33;3.30000000;0.00000000;33.64687500;-22.04273780;1.64425881;1.48601555;0.36120080;0.21268872;0.00000000;0.00000000
34;3.40000000;0.00000000;33.73996844;-22.00630873;1.65634457;1.49943186;0.38269928;0.21812575;0.00000000;0.00000000
35;3.50000000;0.00000000;33.83233804;-21.96808040;1.64390026;1.51481229;0.40482595;0.21962493;0.00000000;0.00000000
36;3.60000000;0.00000000;33.92372706;-21.92756936;1.63995934;1.50636353;0.42662427;0.21480115;0.00000000;0.00000000
37;3.70000000;0.00000000;34.01434045;-21.88535274;1.64298831;1.50265023;0.44778618;0.21463763;0.00000000;0.00000000
