id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;30.35283259;-22.01223341;2.10144918;1.09144089;0.11620547;0.09158230;11.05943798;-1.26181686
1;0.09995344;0.00000000;30.45206247;-22.00018911;2.12100385;1.07939621;0.12537278;0.09184124;11.04802799;-1.25135149
2;0.19990688;0.00000000;30.55116757;-21.98723571;2.13397159;1.06644300;0.13456542;0.09210783;11.03670099;-1.24079448
3;0.29986032;0.00000000;30.65015931;-21.97336906;2.14785485;1.05257741;0.14378566;0.09237473;11.02545806;-1.22908373
4;0.39981376;0.00000000;30.74900863;-21.95859051;2.16265294;1.03780125;0.15303206;0.09265052;11.01430992;-1.21634902
5;0.49976720;0.00000000;30.84772720;-21.94289555;2.17837028;1.02211046;0.16230739;0.09293401;11.00326618;-1.20244481
6;0.59972063;0.00000000;30.94628520;-21.92628603;2.19500577;1.00550766;0.17161051;0.09322627;10.99233777;-1.18781613
7;0.69967407;0.00000000;31.04469479;-21.90875696;2.21256433;0.98798859;0.18094409;0.09352353;10.98153163;-1.17196930
8;0.79962751;0.00000000;31.14292546;-21.89031075;2.23103990;0.96955685;0.19030680;0.09382972;10.97085923;-1.15527762
9;0.89958095;0.00000000;31.24098968;-21.87094195;2.25036257;0.95020815;0.19970145;0.09414162;10.96032866;-1.13731428
10;0.99953439;0.00000000;31.33885633;-21.85065353;2.27060305;0.92994731;0.20912667;0.09446262;10.94995193;-1.11819338
11;1.09948783;0.00000000;31.43653812;-21.82943957;2.29176814;0.90877015;0.21858544;0.09479160;10.93974007;-1.09774586
12;1.19944127;0.00000000;31.53400337;-21.80730359;2.31385439;0.88668303;0.22807647;0.09512981;10.92970566;-1.07653819
13;1.29939471;0.00000000;31.63126497;-21.78423921;2.33686918;0.86368222;0.23760262;0.09547237;10.91985616;-1.05394899
14;1.39934815;0.00000000;31.72829074;-21.76025054;2.36080868;0.83977609;0.24716237;0.09582429;10.91020471;-1.03025665
15;1.49930159;0.00000000;31.82509365;-21.73533074;2.38568079;0.81496191;0.25675876;0.09618306;10.90076197;-1.00511276
16;1.59925503;0.00000000;31.92164111;-21.70948451;2.39548908;0.78925082;0.26639035;0.09655139;10.89154179;-0.97885278
17;1.69920847;0.00000000;32.01794608;-21.68270457;2.39810607;0.76264189;0.27606023;0.09692626;10.88255499;-0.95107452
18;1.79916190;0.00000000;32.11397562;-21.65499618;2.40140809;0.73687254;0.28576691;0.09731083;10.87381611;-0.92189681
19;1.89911534;0.00000000;32.20974256;-21.62635165;2.39878721;0.72312745;0.29551361;0.09770386;10.86533862;-0.89114089
20;1.99906878;0.00000000;32.30521376;-21.59677680;2.40130457;0.72209433;0.30529891;0.09810659;10.85713765;-0.85941212
21;2.09902222;0.00000000;32.40040181;-21.56626351;2.40894844;0.73382276;0.31512586;0.09851370;10.84922281;-0.82596554
22;2.19897566;0.00000000;32.49527333;-21.53481821;2.42167173;0.71912862;0.32499283;0.09893122;10.84161056;-0.79079840
23;2.29892910;0.00000000;32.58984068;-21.50243241;2.43940088;0.69831331;0.33490324;0.09935884;10.83431739;-0.75386470
24;2.39888254;0.00000000;32.68407034;-21.46911307;2.46202594;0.68369479;0.34485569;0.09979665;10.82736028;-0.71492863
25;2.49883598;0.00000000;32.77797411;-21.43485138;2.47710980;0.68253685;0.35485369;0.10024627;10.82075836;-0.67418462
26;2.59878942;0.00000000;32.87151897;-21.39965461;2.49068491;0.67887001;0.36489593;0.10070572;10.81452899;-0.62999516
27;2.69874286;0.00000000;32.96471576;-21.36351374;2.50827190;0.64272986;0.37498642;0.10118835;10.80870469;-0.58241863
28;2.79869630;0.00000000;33.05753118;-21.32643655;2.52044870;0.61220747;0.38512465;0.10169308;10.80331743;-0.51499552
29;2.89864973;0.00000000;33.14997516;-21.28841341;2.51936356;0.59603955;0.39532294;0.10235765;10.79855159;-0.45044170
30;2.99860317;0.00000000;33.24201551;-21.24945062;2.52326305;0.59539562;0.40558659;0.10298779;10.79438141;-0.45044170
31;3.09855661;0.00000000;33.33365799;-21.20953984;2.53212975;0.61031894;0.41588435;0.10305710;10.79020962;-0.44888956
32;3.19851005;0.00000000;33.42487884;-21.16868974;2.54107361;0.62772740;0.42618831;0.10309519;10.78605060;-0.44372646
33;3.29846349;0.00000000;33.51567952;-21.12689989;2.53802094;0.62001189;0.43647439;0.10271939;10.78193784;-0.39055208
34;3.39841693;0.00000000;33.60604157;-21.08418224;2.53992836;0.60516066;0.44672324;0.10236085;10.77831663;-0.34057761
35;3.49837037;0.00000000;33.69596719;-21.04053971;2.54177886;0.60561583;0.45693729;0.10200999;10.77515780;-0.29260957
36;3.59832381;0.00000000;33.78543712;-20.99598556;2.54631537;0.62134686;0.46711609;0.10166326;10.77244313;-0.24618001
37;3.69827725;0.00000000;33.87445583;-20.95052154;2.55065143;0.61620916;0.47725751;0.10125428;10.77015868;-0.19354580
38;3.79823069;0.00000000;33.96300374;-20.90416213;2.53211938;0.61171083;0.48735782;0.10083765;10.76836231;-0.14116738
39;3.89818413;0.00000000;34.05108624;-20.85690947;2.51842088;0.59771703;0.49740791;0.10025213;10.76705189;-0.07033417
40;3.99813756;0.00000000;34.13868451;-20.80878002;2.50963284;0.59927287;0.50739927;0.09967272;10.76639894;-0.00170695
41;4.09809100;0.00000000;34.22580531;-20.75977674;2.50580069;0.61626635;0.51733159;0.09906036;10.76638309;0.06930948
42;4.19804444;0.00000000;34.31243032;-20.70991689;2.50694204;0.63960904;0.52720249;0.09846069;10.76702653;0.13740296
43;4.29799788;0.00000000;34.39856699;-20.65920305;2.51304426;0.62617581;0.53701595;0.09789413;10.76830201;0.20028862
44;4.39795132;0.00000000;34.48419656;-20.60765286;2.52406417;0.62757619;0.54677262;0.09733735;10.77016097;0.26079887
45;4.49790476;0.00000000;34.56932738;-20.55526784;2.53828051;0.64371891;0.55647386;0.09677111;10.77258106;0.32123393
46;4.59785820;0.00000000;34.65394055;-20.50206622;2.51606389;0.66592097;0.56611813;0.09621384;10.77556122;0.37947752
47;4.69781164;0.00000000;34.73804504;-20.44804893;2.49478631;0.68719596;0.57570812;0.09566892;10.77908065;0.43519802
48;4.79776508;0.00000000;34.82162244;-20.39323428;2.47444732;0.70754097;0.58524332;0.09513214;10.78311545;0.48895322
49;4.89771852;0.00000000;34.90468151;-20.33762293;2.45698506;0.72696043;0.59472574;0.09459825;10.78764682;0.54140716
50;4.99767196;0.00000000;34.98720445;-20.28123323;2.44443045;0.74545314;0.60415447;0.09407257;10.79266209;0.59198197
51;5.09762540;0.00000000;35.06920004;-20.22406552;2.43685321;0.76302420;0.61353165;0.09355206;10.79814318;0.64108336
52;5.19757883;0.00000000;35.15065105;-20.16613817;2.41237181;0.77967359;0.62285646;0.09303902;10.80407577;0.68848562
53;5.29753227;0.00000000;35.23156621;-20.10745126;2.37361881;0.79540669;0.63213088;0.09252968;10.81044339;0.73467202
54;5.39748571;0.00000000;35.31192883;-20.04802316;2.33937481;0.81486104;0.64135408;0.09202936;10.81723404;0.77905883
55;5.49743915;0.00000000;35.39174751;-19.98785375;2.30983311;0.84490141;0.65052855;0.09153957;10.82443031;0.82151241
56;5.59739259;0.00000000;35.47100641;-19.92696109;2.28517843;0.88444757;0.65965367;0.09105244;10.83201354;0.86300036
57;5.69734603;0.00000000;35.54971368;-19.86534507;2.25794174;0.91992103;0.66873014;0.09055612;10.83997404;0.90494462
58;5.79729947;0.00000000;35.62785433;-19.80302370;2.21552146;0.93109585;0.67775680;0.09007167;10.84831516;0.94487695
59;5.89725291;0.00000000;35.70543625;-19.73999688;2.17770286;0.94806746;0.68673682;0.08960712;10.85701751;0.98189169
60;5.99720635;0.00000000;35.78244507;-19.67628226;2.14473363;0.97418965;0.69567029;0.08916711;10.86605338;1.01549624
