id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;20.09010023;-1.25765489;1.43819520;1.66314063;3.01220414;-0.14135872;0.00000000;0.00000000
1;0.10000000;0.00000000;19.99096147;-1.24475540;1.43304104;1.67603888;2.99806827;-0.21808585;0.00000000;0.00000000
2;0.20000000;0.00000000;19.89222827;-1.22905881;1.43202679;1.69173439;2.96858697;-0.29480382;0.00000000;0.00000000
3;0.30000000;0.00000000;19.79402550;-1.21034032;1.43492047;1.71045288;2.93910751;-0.28659542;0.00000000;0.00000000
4;0.40000000;0.00000000;19.69639157;-1.18885381;1.44193660;1.73194209;2.91126789;-0.26484337;0.00000000;0.00000000
5;0.50000000;0.00000000;19.59938440;-1.16469971;1.44972801;1.71580355;2.88613883;-0.26965061;0.00000000;0.00000000
6;0.60000000;0.00000000;19.50295342;-1.13833560;1.45908756;1.70194294;2.85733777;-0.29834945;0.00000000;0.00000000
7;0.70000000;0.00000000;19.40750979;-1.10864034;1.47046979;1.69735173;2.82646894;-0.27553313;0.00000000;0.00000000
8;0.80000000;0.00000000;19.31289126;-1.07637795;1.47468191;1.68827428;2.80223114;-0.22769018;0.00000000;0.00000000
9;0.90000000;0.00000000;19.21898843;-1.04208878;1.48349357;1.66204545;2.78093091;-0.20574406;0.00000000;0.00000000
10;1.00000000;0.00000000;19.12582957;-1.00582603;1.49685926;1.64357524;2.76108233;-0.18978662;0.00000000;0.00000000
11;1.10000000;0.00000000;19.03335764;-0.96783562;1.51489774;1.63288578;2.74297359;-0.20934975;0.00000000;0.00000000
12;1.20000000;0.00000000;18.94157553;-0.92822442;1.51868201;1.63003695;2.71921238;-0.23980932;0.00000000;0.00000000
13;1.30000000;0.00000000;18.85101082;-0.88588339;1.51458187;1.63629338;2.69501172;-0.19503493;0.00000000;0.00000000
14;1.40000000;0.00000000;18.76124427;-0.84187368;1.51522563;1.63419691;2.68020539;-0.12678746;0.00000000;0.00000000
15;1.50000000;0.00000000;18.67197278;-0.79686966;1.52134304;1.62730471;2.66965423;-0.13111151;0.00000000;0.00000000
16;1.60000000;0.00000000;18.58315599;-0.75097619;1.53297829;1.59800857;2.65398309;-0.18137753;0.00000000;0.00000000
17;1.70000000;0.00000000;18.49534862;-0.70320206;1.54889039;1.56963196;2.63337872;-0.18725351;0.00000000;0.00000000
18;1.80000000;0.00000000;18.40849955;-0.65368973;1.55577432;1.54789402;2.61653239;-0.15126007;0.00000000;0.00000000
19;1.90000000;0.00000000;18.32234335;-0.60298001;1.55688430;1.53375631;2.60312671;-0.11575305;0.00000000;0.00000000
20;2.00000000;0.00000000;18.23685025;-0.55115566;1.56310508;1.52734628;2.59338178;-0.07923890;0.00000000;0.00000000
21;2.10000000;0.00000000;18.15169645;-0.49877512;1.57501356;1.52811779;2.58727893;-0.05413986;0.00000000;0.00000000
22;2.20000000;0.00000000;18.06684207;-0.44591104;1.57417363;1.53597774;2.58255381;-0.06046659;0.00000000;0.00000000
23;2.30000000;0.00000000;17.98218721;-0.39272821;1.57385753;1.55062851;2.57518561;-0.09427002;0.00000000;0.00000000
24;2.40000000;0.00000000;17.89812325;-0.33862087;1.57878711;1.56993528;2.56369980;-0.11538190;0.00000000;0.00000000
