id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;20.09148376;-0.80686555;0.98792862;2.11392798;-2.86862887;-0.30381575;5.42397559;2.94815823
1;0.09998322;0.00000000;19.99482303;-0.83236255;1.02370976;2.08843118;-2.89862332;-0.29628715;5.47805110;2.99269581
2;0.19996644;0.00000000;19.89742514;-0.85499078;1.06507277;2.06580671;-2.92788470;-0.28901272;5.53240297;3.03572487
3;0.29994966;0.00000000;19.79943806;-0.87479062;1.11140452;2.04601199;-2.95641946;-0.28188500;5.58699613;3.08042318
4;0.39993288;0.00000000;19.70090764;-0.89182533;1.15874159;2.00618131;-2.98426011;-0.27500089;5.64185315;3.12353090
5;0.49991610;0.00000000;19.60196950;-0.90614108;1.20667282;1.95429301;-3.01142231;-0.26842800;5.69693850;3.16267418
6;0.59989932;0.00000000;19.50265968;-0.91779922;1.25851004;1.90862699;-3.03794329;-0.26205846;5.75217672;3.20122011
7;0.69988254;0.00000000;19.40310108;-0.92684932;1.30193601;1.86209335;-3.06383332;-0.25591455;5.80755315;3.23821219
8;0.79986576;0.00000000;19.30332094;-0.93335065;1.34854609;1.79931515;-3.08912339;-0.24994972;5.86303738;3.27503761
9;0.89984898;0.00000000;19.20343153;-0.93735555;1.39863607;1.74209781;-3.11382206;-0.24418442;5.91862357;3.31077347
10;0.99983220;0.00000000;19.10345214;-0.93892099;1.45188501;1.69096661;-3.13795712;-0.23857607;5.97429063;3.34672774
11;1.09981542;0.00000000;19.00348534;-0.93810134;1.50715864;1.64649281;3.12164946;-0.23314902;6.03003995;3.38181240
12;1.19979864;0.00000000;18.90354336;-0.93495101;1.53884497;1.60918396;3.09860180;-0.22785872;6.08585498;3.41747146
13;1.29978186;0.00000000;18.80371994;-0.92952582;1.57414325;1.57793480;3.07608018;-0.22271456;6.14174327;3.45315848
14;1.39976508;0.00000000;18.70402140;-0.92187762;1.61285969;1.53598969;3.05406241;-0.21769186;6.19770330;3.48963088
15;1.49974830;0.00000000;18.60453307;-0.91206331;1.65476565;1.49386481;3.03254514;-0.21278493;6.25374570;3.52693250
16;1.59973152;0.00000000;18.50525609;-0.90013229;1.69966563;1.43730048;3.01150916;-0.20798373;6.30988141;3.56529379
17;1.69971474;0.00000000;18.40626813;-0.88614218;1.74733382;1.37763885;2.99095134;-0.20329632;6.36612461;3.60422696
18;1.79969796;0.00000000;18.30756566;-0.87013985;1.79402505;1.31922716;2.97085367;-0.19870282;6.42248137;3.64439394
19;1.89968118;0.00000000;18.20921928;-0.85218323;1.82797844;1.26776416;2.95121423;-0.19420139;6.47896777;3.68572761
20;1.99966440;0.00000000;18.11122167;-0.83231672;1.86490363;1.22408624;2.93201719;-0.18978391;6.53559831;3.72843623
21;2.09964762;0.00000000;18.01363647;-0.81059827;1.90464115;1.18904396;2.91326080;-0.18545175;6.59239011;3.77233207
22;2.19963084;0.00000000;17.91645327;-0.78706993;1.94515946;1.16337552;2.89493067;-0.18119271;6.64935690;3.81783138
23;2.29961406;0.00000000;17.81972913;-0.76178931;1.97219226;1.14768615;2.87702594;-0.17700252;6.70651812;3.86501437
24;2.39959728;0.00000000;17.72345096;-0.73479629;2.00218941;1.13710387;2.85953398;-0.17288034;6.76389374;3.91381677
25;2.49958050;0.00000000;17.62766968;-0.70614788;2.03503933;1.11388833;2.84245234;-0.16884624;6.82150207;3.96320810
26;2.59956372;0.00000000;17.53237011;-0.67588168;2.07064461;1.08854880;2.82576851;-0.16486683;6.87934583;4.01465926
27;2.69954694;0.00000000;17.43759724;-0.64405372;2.10888120;1.07361236;2.80948353;-0.16092003;6.93744883;4.06915350
28;2.79953016;0.00000000;17.34333432;-0.61069999;2.14964574;1.03236529;2.79358830;-0.15701074;6.99584808;4.12639645
29;2.89951338;0.00000000;17.24962032;-0.57587583;2.19134183;0.99081294;2.77808922;-0.15305145;7.05457519;4.19069260
30;2.99949660;0.00000000;17.15643688;-0.53961652;2.23167545;0.95359947;2.76298166;-0.14913886;7.11372118;4.25719330
31;3.09947982;0.00000000;17.06381714;-0.50197689;2.25686262;0.92719418;2.74826425;-0.14528408;7.17330641;4.32529387
32;3.19946304;0.00000000;16.97174168;-0.46299069;2.27486640;0.91249604;2.73392840;-0.14147290;7.23334214;4.39569760
33;3.29944626;0.00000000;16.88023852;-0.42271107;2.29570800;0.90291306;2.71997179;-0.13772797;7.29384881;4.46717682
34;3.39942948;0.00000000;16.78928753;-0.38117014;2.29856002;0.89162746;2.70638631;-0.13401675;7.35482943;4.54144627
35;3.49941270;0.00000000;16.69891191;-0.33841926;2.30108639;0.88303266;2.69317176;-0.13033771;7.41630991;4.61858356
36;3.59939592;0.00000000;16.60909089;-0.29448931;2.30664749;0.87818654;2.68032215;-0.12668974;7.47831628;4.69865146
37;3.69937914;0.00000000;16.51984307;-0.24942993;2.31525557;0.84697538;2.66783652;-0.12308110;7.54087442;4.78118949
38;3.79936236;0.00000000;16.43114745;-0.20327098;2.32691296;0.81695888;2.65570918;-0.11949982;7.60400319;4.86689109
39;3.89934558;0.00000000;16.34301807;-0.15606008;2.34160539;0.79225487;2.64393926;-0.11595171;7.66772974;4.91329653
40;3.99932880;0.00000000;16.25543406;-0.10782632;2.34976284;0.78083942;2.63252198;-0.11242687;7.73153114;4.87647514
41;4.09931202;0.00000000;16.16840499;-0.05861516;2.35461340;0.77510934;2.62145653;-0.10893043;7.79433802;4.84019698
42;4.19929524;0.00000000;16.08191036;-0.00845520;2.36260474;0.77837540;2.61073889;-0.10545434;7.85618114;4.80444570
43;4.29927846;0.00000000;15.99595540;0.04261040;2.37373749;0.76006434;2.60036816;-0.10200382;7.91708974;4.76920576
44;4.39926168;0.00000000;15.91052030;0.09455326;2.38800197;0.74446912;2.59034098;-0.09857083;7.97709165;4.73446236
45;4.49924490;0.00000000;15.82560598;0.14733267;2.40537301;0.70896569;2.58065639;-0.09515997;8.03621333;4.70020142
46;4.59922812;0.00000000;15.74119355;0.20092022;2.42581722;0.68725029;2.57131170;-0.09176382;8.09448005;4.66640948
