id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-11.70979731;-16.31286137;1.49255910;1.67115024;3.04753069;-0.01939463;0.00000000;0.00000000
1;0.10000000;0.00000000;-11.80931932;-16.30347243;1.48318477;1.65599049;3.04559123;-0.07394740;0.00000000;0.00000000
2;0.20000000;0.00000000;-11.90880414;-16.29369752;1.47415784;1.64715706;3.03274121;-0.13194390;0.00000000;0.00000000
3;0.30000000;0.00000000;-12.00805119;-16.28175434;1.46969888;1.64654533;3.01920245;-0.12950933;0.00000000;0.00000000
4;0.40000000;0.00000000;-12.10723486;-16.26928955;1.47150579;1.65251680;3.00683934;-0.16846416;0.00000000;0.00000000
5;0.50000000;0.00000000;-12.20615582;-16.25489632;1.47814281;1.66640254;2.98550961;-0.18510933;0.00000000;0.00000000
6;0.60000000;0.00000000;-12.30471514;-16.23821346;1.48917484;1.66547481;2.96981748;-0.15218443;0.00000000;0.00000000
7;0.70000000;0.00000000;-12.40313677;-16.22072310;1.50304411;1.65439371;2.95507273;-0.18046677;0.00000000;0.00000000
8;0.80000000;0.00000000;-12.50115992;-16.20114169;1.49310078;1.65143641;2.93372412;-0.17891273;0.00000000;0.00000000
9;0.90000000;0.00000000;-12.59874197;-16.17946700;1.48767368;1.65665781;2.91929018;-0.13714330;0.00000000;0.00000000
10;1.00000000;0.00000000;-12.69616288;-16.15706356;1.48820716;1.66860346;2.90629546;-0.17176317;0.00000000;0.00000000
11;1.10000000;0.00000000;-12.79314569;-16.13286106;1.49359397;1.66515893;2.88493755;-0.19745481;0.00000000;0.00000000
12;1.20000000;0.00000000;-12.88951361;-16.10631999;1.50321823;1.64852987;2.86680450;-0.15126808;0.00000000;0.00000000
13;1.30000000;0.00000000;-12.98556142;-16.07861523;1.51729801;1.63904631;2.85468393;-0.12139962;0.00000000;0.00000000
14;1.40000000;0.00000000;-13.08126010;-16.04974532;1.51938214;1.63684473;2.84252458;-0.11729757;0.00000000;0.00000000
15;1.50000000;0.00000000;-13.17660586;-16.01971327;1.52681028;1.63067890;2.83122442;-0.13727410;0.00000000;0.00000000
16;1.60000000;0.00000000;-13.27162623;-15.98868851;1.52134987;1.62525795;2.81506976;-0.18269447;0.00000000;0.00000000
17;1.70000000;0.00000000;-13.36594895;-15.95559329;1.51432479;1.60839471;2.79468552;-0.20897760;0.00000000;0.00000000
18;1.80000000;0.00000000;-13.45962880;-15.92072042;1.51199174;1.59148157;2.77327424;-0.23240044;0.00000000;0.00000000
19;1.90000000;0.00000000;-13.55245082;-15.88361665;1.50904508;1.58310562;2.74820544;-0.23847725;0.00000000;0.00000000
20;2.00000000;0.00000000;-13.64426868;-15.84409118;1.49654015;1.58363908;2.72557879;-0.17443189;0.00000000;0.00000000
21;2.10000000;0.00000000;-13.73531665;-15.80282654;1.48874791;1.59235821;2.71331906;-0.11201650;0.00000000;0.00000000
22;2.20000000;0.00000000;-13.82613771;-15.76106194;1.48709798;1.60779912;2.70317549;-0.13136092;0.00000000;0.00000000
23;2.30000000;0.00000000;-13.91632748;-15.71795992;1.49068329;1.62345527;2.68704687;-0.17636585;0.00000000;0.00000000
24;2.40000000;0.00000000;-14.00575012;-15.67329004;1.49920054;1.62012085;2.66790232;-0.20205681;0.00000000;0.00000000
25;2.50000000;0.00000000;-14.09421898;-15.62676968;1.51059254;1.61720236;2.64663551;-0.20390712;0.00000000;0.00000000
26;2.60000000;0.00000000;-14.18166184;-15.57833772;1.52179129;1.61898041;2.62712089;-0.18265951;0.00000000;0.00000000
27;2.70000000;0.00000000;-14.26825362;-15.52839758;1.53445472;1.62862951;2.61010361;-0.14102473;0.00000000;0.00000000
28;2.80000000;0.00000000;-14.35400149;-15.47701597;1.52053359;1.64580404;2.59891595;-0.11374365;0.00000000;0.00000000
29;2.90000000;0.00000000;-14.43945693;-15.42514932;1.51067096;1.64441574;2.58735488;-0.14316109;0.00000000;0.00000000
30;3.00000000;0.00000000;-14.52399259;-15.37179977;1.50564246;1.64802230;2.57028373;-0.16897376;0.00000000;0.00000000
