id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-11.64051417;-15.54652483;0.72577154;2.43152994;2.96245562;-0.12958169;8.31529435;-3.22641633
1;0.09997036;0.00000000;-11.73877196;-15.52807038;0.70733849;2.43040649;2.94938239;-0.13194916;8.27641397;-3.14434812
2;0.19994071;0.00000000;-11.83676581;-15.50832383;0.68762317;2.43470937;2.93607269;-0.13434479;8.23834601;-3.05590471
3;0.29991107;0.00000000;-11.93449758;-15.48726026;0.67205300;2.44443413;2.92251660;-0.13684505;8.20117950;-2.96627257
4;0.39988143;0.00000000;-12.03191994;-15.46486446;0.66980849;2.45953683;2.90871092;-0.13937256;8.16494130;-2.87052682
5;0.49985179;0.00000000;-12.12903271;-15.44111042;0.67774554;2.47897601;2.89464598;-0.14199794;8.12971902;-2.77308329
6;0.59982214;0.00000000;-12.22578665;-15.41598331;0.68852498;2.47800289;2.88031870;-0.14465337;8.09554687;-2.67703303
7;0.69979250;0.00000000;-12.32217907;-15.38945647;0.66884884;2.48250415;2.86572524;-0.14729029;8.06242092;-2.57866278
8;0.79976286;0.00000000;-12.41815833;-15.36151671;0.65039134;2.49247430;2.85086817;-0.14996241;8.03038302;-2.47906756
9;0.89973322;0.00000000;-12.51372020;-15.33213748;0.64553002;2.50787477;2.83574137;-0.15265043;7.99946154;-2.37667408
10;0.99970357;0.00000000;-12.60881014;-15.30130741;0.65454361;2.49968025;2.82034581;-0.15537564;7.96970458;-2.27417035
11;1.09967393;0.00000000;-12.70342240;-15.26899980;0.66284068;2.49638486;2.80467631;-0.15809355;7.94112661;-2.16815855
12;1.19964429;0.00000000;-12.79749934;-15.23520558;0.65696315;2.49866965;2.78873496;-0.16085381;7.91378472;-2.06111095
13;1.29961465;0.00000000;-12.89103376;-15.19989808;0.66461967;2.49785556;2.77251562;-0.16361424;7.88770490;-1.94988497
14;1.39958500;0.00000000;-12.98396492;-15.16307067;0.65743920;2.48485645;2.75602018;-0.16642059;7.86295283;-1.83567632
15;1.49955536;0.00000000;-13.07628444;-15.12469654;0.63570177;2.47438156;2.73924083;-0.16924964;7.83957912;-1.71694260
16;1.59952572;0.00000000;-13.16792701;-15.08477219;0.62759224;2.46960661;2.72217818;-0.17212137;7.81765400;-1.60689521
17;1.69949608;0.00000000;-13.25888498;-15.04326995;0.62722878;2.47059294;2.70483517;-0.17482072;7.79707832;-1.49468622
18;1.79946643;0.00000000;-13.34908627;-15.00019276;0.60305939;2.47736005;2.68722224;-0.17752007;7.77789057;-1.42278616
19;1.89943679;0.00000000;-13.43852546;-14.95551448;0.59314625;2.48988682;2.66937354;-0.17953464;7.75958174;-1.33619345
20;1.99940715;0.00000000;-13.52713289;-14.90924629;0.59818433;2.50809940;2.65132411;-0.18176213;7.74234779;-1.14826753
21;2.09937751;0.00000000;-13.61489692;-14.86136687;0.60823676;2.51982631;2.63296116;-0.18559317;7.72750696;-0.94723641
22;2.19934786;0.00000000;-13.70174734;-14.81187320;0.62670218;2.52026154;2.61421449;-0.18954863;7.71524288;-0.69986368
23;2.29931822;0.00000000;-13.78765378;-14.76073622;0.65130263;2.52654868;2.59503487;-0.19415174;7.70616905;-0.45671613
24;2.39928858;0.00000000;-13.87254220;-14.70794732;0.62534549;2.53868546;2.57539464;-0.19854552;7.70024190;-0.31704303
25;2.49925894;0.00000000;-13.95637667;-14.65347994;0.60750628;2.55482105;2.55541723;-0.20111201;7.69612471;-0.22879773
26;2.59922929;0.00000000;-14.03908908;-14.59734500;0.59212343;2.56059617;2.53518910;-0.20275548;7.69315212;-0.22879773
27;2.69919965;0.00000000;-14.12065827;-14.53954536;0.59140409;2.56871639;2.51511809;-0.19877680;7.69017838;0.01594919
28;2.79917001;0.00000000;-14.20105706;-14.48014054;0.60543351;2.57166844;2.49544278;-0.19503904;7.69038572;0.23636184
29;2.89914037;0.00000000;-14.28028475;-14.41917620;0.61825307;2.56851596;2.47607955;-0.19234673;7.69345766;0.38631775
30;2.99911072;0.00000000;-14.35832544;-14.35669984;0.62918937;2.56444242;2.45698334;-0.18975046;7.69847592;0.52503394
31;3.09908108;0.00000000;-14.43516597;-14.29275487;0.63825848;2.56615855;2.43812805;-0.18748403;7.70529085;0.63926996
32;3.19905144;0.00000000;-14.51079704;-14.22737879;0.64547648;2.57362957;2.41949552;-0.18528256;7.71358044;0.74579868
33;3.29902180;0.00000000;-14.58520158;-14.16061547;0.65085844;2.56066883;2.40108069;-0.18314004;7.72324017;0.84539190
34;3.39899215;0.00000000;-14.65837417;-14.09249850;0.65442190;2.54663838;2.38287650;-0.18105622;7.73417526;0.93843134
35;3.49896251;0.00000000;-14.73029896;-14.02307110;0.65618319;2.53625074;2.36487829;-0.17903203;7.74629574;1.02519602
36;3.59893287;0.00000000;-14.80097282;-13.95236440;0.65616040;2.52978535;2.34707888;-0.17706378;7.75951520;1.10621437
37;3.69890323;0.00000000;-14.87038098;-13.88042098;0.65437052;2.52903063;2.32947428;-0.17514971;7.77375414;1.18186654
38;3.79887358;0.00000000;-14.93852187;-13.80727005;0.65083168;2.53397276;2.31205756;-0.17328873;7.78893809;1.25246544
39;3.89884394;0.00000000;-15.00538226;-13.73295307;0.64556133;2.54455812;2.29482551;-0.17147056;7.80499682;1.31886200
40;3.99881430;0.00000000;-15.07096218;-13.65749718;0.63857741;2.56069676;2.27777202;-0.16970282;7.82187124;1.38077976
41;4.09878466;0.00000000;-15.13524969;-13.58094298;0.62989770;2.56633884;2.26089278;-0.16799835;7.83949895;1.43761498
42;4.19875501;0.00000000;-15.19824528;-13.50331641;0.61953963;2.56863019;2.24418087;-0.16630972;7.85781022;1.49247961
43;4.29872537;0.00000000;-15.25993917;-13.42465643;0.60752145;2.56172540;2.22764292;-0.16456067;7.87677529;1.55021536
44;4.39869573;0.00000000;-15.32033236;-13.34498999;0.59386165;2.54623308;2.21127867;-0.16273881;7.89642578;1.61161073
45;4.49866609;0.00000000;-15.37941969;-13.26435451;0.59363999;2.53564604;2.19511465;-0.16064887;7.91680281;1.68891470
46;4.59863644;0.00000000;-15.43720667;-13.18277734;0.60846705;2.53057341;2.17915784;-0.15857458;7.93810113;1.76406946
47;4.69860680;0.00000000;-15.49369114;-13.10029740;0.62474864;2.53102932;2.16340872;-0.15651555;7.96028635;1.83724782
48;4.79857716;0.00000000;-15.54888079;-13.01693978;0.62359186;2.52374397;2.14786225;-0.15451102;7.98332634;1.90608923
49;4.89854752;0.00000000;-15.60277401;-12.93274315;0.63677941;2.51306657;2.13251355;-0.15256621;8.00715957;1.97042123
50;4.99851787;0.00000000;-15.65537850;-12.84773161;0.64681616;2.50785752;2.11735653;-0.15066863;8.03172284;2.03120226
51;5.09848823;0.00000000;-15.70669480;-12.76194033;0.65907840;2.50813348;2.10238765;-0.14880740;8.05696542;2.08926382
52;5.19845859;0.00000000;-15.75673091;-12.67539220;0.68444245;2.51387403;2.08760306;-0.14697321;8.08284731;2.14532028
53;5.29842895;0.00000000;-15.80548851;-12.58812090;0.68416818;2.52500283;2.07300050;-0.14517539;8.10933768;2.19884655
54;5.39839930;0.00000000;-15.85297603;-12.50014815;0.66761409;2.50311136;2.05857509;-0.14342491;8.13639948;2.24920584
55;5.49836966;0.00000000;-15.89919580;-12.41150643;0.66439071;2.47438559;2.04432243;-0.14172157;8.16398826;2.29649727
56;5.59834002;0.00000000;-15.94415612;-12.32221671;0.67470617;2.44995873;2.03023739;-0.14009455;8.19206126;2.33883804
57;5.69831038;0.00000000;-15.98786032;-12.23230843;0.69797338;2.43078117;2.01630881;-0.13856730;8.22055330;2.37472541
58;5.79828073;0.00000000;-16.03031621;-12.14180060;0.73180544;2.41696537;2.00253140;-0.13706979;8.24938185;2.40900640
59;5.89825109;0.00000000;-16.07152681;-12.05072187;0.76145430;2.40753408;1.98890140;-0.13562016;8.27852398;2.44047253
60;5.99822145;0.00000000;-16.11150002;-11.95908996;0.75995497;2.39311833;1.97541454;-0.13418848;8.30794254;2.47122759
61;6.09819181;0.00000000;-16.15023929;-11.86693280;0.76800358;2.37683020;1.96207150;-0.13275863;8.33762605;2.50241273
62;6.19816216;0.00000000;-16.18775293;-11.77426750;0.78746266;2.35378426;1.94886974;-0.13136087;8.36757685;2.53192104
63;6.29813252;0.00000000;-16.22404562;-11.68111966;0.80469425;2.33609056;1.93580612;-0.12999554;8.39777211;2.55975127
64;6.39810288;0.00000000;-16.25912558;-11.58750584;0.79978691;2.32386005;1.92287773;-0.12864795;8.42818931;2.58696603
65;6.49807324;0.00000000;-16.29299797;-11.49345059;0.80605004;2.31716843;1.91008353;-0.12731840;8.45881876;2.61355664
66;6.59804359;0.00000000;-16.32567119;-11.39896978;0.82324091;2.30386329;1.89742081;-0.12601118;8.48965083;2.63922207
67;6.69801395;0.00000000;-16.35715098;-11.30408684;0.85070630;2.28804038;1.88488815;-0.12472209;8.52067246;2.66427765
68;6.79798431;0.00000000;-16.38744586;-11.20881699;0.88094258;2.27774301;1.87248313;-0.12345255;8.55187446;2.68862644
69;6.89795467;0.00000000;-16.41656216;-11.11318214;0.91002980;2.27303560;1.86020434;-0.12220138;8.58324662;2.71236057
70;6.99792502;0.00000000;-16.44450845;-11.01719712;0.93796860;2.26246756;1.84804945;-0.12096860;8.61477997;2.73548316
71;7.09789538;0.00000000;-16.47129152;-10.92088266;0.96475963;2.23561971;1.83601723;-0.11975200;8.64646566;2.75816158
72;7.19786574;0.00000000;-16.49692002;-10.82425304;0.99040678;2.20993612;1.82410555;-0.11855266;8.67829691;2.78031624
73;7.29783610;0.00000000;-16.52140118;-10.72732776;1.01491361;2.18540823;1.81231318;-0.11736900;8.71026610;2.80206683
74;7.39780645;0.00000000;-16.54474369;-10.63012068;1.03828598;2.16202625;1.80063812;-0.11620228;8.74236712;2.82331609
75;7.49777681;0.00000000;-16.56695515;-10.53265013;1.06052938;2.13978153;1.78907910;-0.11505054;8.77459279;2.84421499
76;7.59774717;0.00000000;-16.58804431;-10.43492948;1.08165093;2.11866446;1.77763434;-0.11391207;8.80693778;2.86489196
77;7.69771753;0.00000000;-16.60801910;-10.33697596;1.10165741;2.09866632;1.76630301;-0.11278547;8.83939826;2.88545523
78;7.79768788;0.00000000;-16.62688835;-10.23880254;1.12055679;2.07977759;1.75508336;-0.11167565;8.87197169;2.90551223
79;7.89765824;0.00000000;-16.64466026;-10.14042539;1.13835669;2.06198950;1.74397397;-0.11058132;8.90465113;2.92516363
80;7.99762860;0.00000000;-16.66134367;-10.04185705;1.15506559;2.04529268;1.73297317;-0.10950064;8.93743090;2.94455030
81;8.09759896;0.00000000;-16.67694698;-9.94311265;1.17069169;2.02967831;1.72207991;-0.10843212;8.97030694;2.96378738
82;8.19756931;0.00000000;-16.69147909;-9.84420428;1.18524380;2.01513712;1.71129274;-0.10737558;9.00327653;2.98288369
83;8.29753967;0.00000000;-16.70494857;-9.74514615;1.19873054;2.00166020;1.70061076;-0.10633004;9.03633710;3.00191357
84;8.39751003;0.00000000;-16.71736440;-9.64594994;1.21116094;1.98923835;1.69003254;-0.10529885;9.06948692;3.02059465
85;8.49748039;0.00000000;-16.72873527;-9.54662897;1.22254390;1.97786260;1.67955679;-0.10428078;9.10272118;3.03902216
86;8.59745074;0.00000000;-16.73907016;-9.44719444;1.23288855;1.94507328;1.66918227;-0.10326954;9.13603618;3.05771500
87;8.69742110;0.00000000;-16.74837793;-9.34765885;1.24220399;1.91056485;1.65890875;-0.10226408;9.16943394;3.07675390
88;8.79739146;0.00000000;-16.75666766;-9.24803300;1.25205681;1.88172717;1.64873533;-0.10126093;9.20291732;3.09642697
89;8.89736182;0.00000000;-16.76394843;-9.14832858;1.26165907;1.85881763;1.63866244;-0.10025861;9.23649225;3.11685361
90;8.99733217;0.00000000;-16.77022953;-9.04855600;1.27734242;1.84204977;1.62868917;-0.09926732;9.27016585;3.13715180
91;9.09730253;0.00000000;-16.77552020;-8.94872615;1.29958588;1.83158418;1.61881451;-0.09828609;9.30393569;3.15740054
92;9.19727289;0.00000000;-16.77982973;-8.84884900;1.32806708;1.82727879;1.60903736;-0.09731710;9.33780018;3.17740334
93;9.29724325;0.00000000;-16.78316737;-8.74893474;1.36240115;1.81384003;1.59935648;-0.09635963;9.37175568;3.19721718
94;9.39721360;0.00000000;-16.78554238;-8.64899288;1.38339431;1.78593456;1.58977080;-0.09541215;9.40579919;3.21697006
95;9.49718396;0.00000000;-16.78696400;-8.54903296;1.39632190;1.76419837;1.58027939;-0.09447380;9.43992912;3.23673252
96;9.59715432;0.00000000;-16.78744148;-8.44906404;1.41528622;1.74582373;1.57088129;-0.09354544;9.47414462;3.25642100
97;9.69712468;0.00000000;-16.78698406;-8.34909502;1.44005604;1.73165390;1.56157553;-0.09262633;9.50844401;3.27609503
