id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;19.99346043;-8.07516023;1.57570789;1.62483977;3.11221775;0.05432885;0.00000000;0.00000000
1;0.10000000;0.00000000;19.89352338;-8.07222374;1.57277390;1.62777627;3.11765063;0.03291449;0.00000000;0.00000000
2;0.20000000;0.00000000;19.79356033;-8.07037330;1.57092489;1.62962671;3.11880065;-0.03653187;0.00000000;0.00000000
3;0.30000000;0.00000000;19.69361679;-8.06766668;1.56822053;1.63233334;3.11034426;-0.08343633;0.00000000;0.00000000
4;0.40000000;0.00000000;19.59369934;-8.06412593;1.56468304;1.63587411;3.10211338;-0.08114492;0.00000000;0.00000000
5;0.50000000;0.00000000;19.49381390;-8.05977451;1.56033605;1.64022556;3.09411528;-0.07881323;0.00000000;0.00000000
6;0.60000000;0.00000000;19.39396587;-8.05463598;1.55520327;1.64536414;3.08635074;-0.03341804;0.00000000;0.00000000
7;0.70000000;0.00000000;19.29416006;-8.04873401;1.54930855;1.65126619;3.08743167;0.00671652;0.00000000;0.00000000
8;0.80000000;0.00000000;19.19430117;-8.04381136;1.54439138;1.65618891;3.08769404;-0.00181114;0.00000000;0.00000000
9;0.90000000;0.00000000;19.09449230;-8.03796177;1.53854906;1.66203861;3.08706944;-0.01022619;0.00000000;0.00000000
10;1.00000000;0.00000000;18.99463964;-8.03291437;1.53350749;1.66708610;3.08564880;-0.06110008;0.00000000;0.00000000
11;1.10000000;0.00000000;18.89484782;-8.02678122;1.52738234;1.67321941;3.07484942;-0.10670855;0.00000000;0.00000000
12;1.20000000;0.00000000;18.79512751;-8.01957848;1.52019015;1.67677310;3.06430709;-0.01328796;0.00000000;0.00000000
13;1.30000000;0.00000000;18.69548720;-8.01134277;1.51196786;1.65407277;3.07219183;0.08259305;0.00000000;0.00000000
14;1.40000000;0.00000000;18.59566634;-8.00571344;1.50634584;1.63459160;3.08082570;0.04039018;0.00000000;0.00000000
15;1.50000000;0.00000000;18.49589869;-7.99919943;1.50024973;1.62193522;3.08026987;-0.00953665;0.00000000;0.00000000
16;1.60000000;0.00000000;18.39608351;-7.99345910;1.50157846;1.61460468;3.07891837;-0.05891929;0.00000000;0.00000000
17;1.70000000;0.00000000;18.29633389;-7.98667545;1.50850316;1.61449313;3.06848601;-0.06104837;0.00000000;0.00000000
18;1.80000000;0.00000000;18.19666027;-7.97885391;1.52095128;1.62159741;3.06670870;-0.01920273;0.00000000;0.00000000
19;1.90000000;0.00000000;18.09693532;-7.97171572;1.54047185;1.62872759;3.06464546;-0.02379118;0.00000000;0.00000000
20;2.00000000;0.00000000;17.99729490;-7.96348295;1.56348766;1.63695022;3.06195046;-0.02934064;0.00000000;0.00000000
21;2.10000000;0.00000000;17.89760986;-7.95580736;1.55581286;1.64461701;3.05877734;-0.03464676;0.00000000;0.00000000
22;2.20000000;0.00000000;17.79802380;-7.94694242;1.54694910;1.65347076;3.05502111;-0.03960211;0.00000000;0.00000000
23;2.30000000;0.00000000;17.69839922;-7.93851817;1.53852601;1.66188500;3.05085691;-0.08503451;0.00000000;0.00000000
24;2.40000000;0.00000000;17.59889055;-7.92882417;1.52883368;1.67156635;3.03801421;-0.08676704;0.00000000;0.00000000
25;2.50000000;0.00000000;17.49951556;-7.91784412;1.51785601;1.68253092;3.03350351;-0.04422979;0.00000000;0.00000000
26;2.60000000;0.00000000;17.40009803;-7.90725278;1.50726715;1.67657695;3.02916825;-0.04594418;0.00000000;0.00000000
27;2.70000000;0.00000000;17.30082214;-7.89541154;1.49542934;1.65972341;3.02431467;-0.04968095;0.00000000;0.00000000
28;2.80000000;0.00000000;17.20151208;-7.88385566;1.48387710;1.64848432;3.01923206;-0.05323099;0.00000000;0.00000000
29;2.90000000;0.00000000;17.10236188;-7.87100590;1.47382952;1.64456596;3.01366847;-0.01781150;0.00000000;0.00000000
30;3.00000000;0.00000000;17.00318654;-7.85834572;1.47071746;1.64652872;3.01566976;0.01709622;0.00000000;0.00000000
31;3.10000000;0.00000000;16.90398494;-7.84589283;1.47460263;1.65433408;3.01708771;-0.03027306;0.00000000;0.00000000
32;3.20000000;0.00000000;16.80477406;-7.83351394;1.48529709;1.65913007;3.00961515;-0.08110380;0.00000000;0.00000000
33;3.30000000;0.00000000;16.70577120;-7.81958012;1.50104428;1.64592121;3.00086695;-0.08711100;0.00000000;0.00000000
34;3.40000000;0.00000000;16.60679207;-7.80546740;1.50573196;1.63889687;2.99219295;-0.08827713;0.00000000;0.00000000
35;3.50000000;0.00000000;16.50804611;-7.78981829;1.49006254;1.63607371;2.98321153;-0.05342524;0.00000000;0.00000000
36;3.60000000;0.00000000;16.40933644;-7.77393001;1.47927898;1.63727332;2.98150790;-0.01622083;0.00000000;0.00000000
37;3.70000000;0.00000000;16.31064252;-7.75794424;1.47510913;1.64465980;2.97996736;-0.01511450;0.00000000;0.00000000
38;3.80000000;0.00000000;16.21198231;-7.74175191;1.47749864;1.65825945;2.97848500;-0.01899284;0.00000000;0.00000000
39;3.90000000;0.00000000;16.11333622;-7.72547361;1.48653710;1.66903451;2.97616879;-0.06530229;0.00000000;0.00000000
40;4.00000000;0.00000000;16.01475222;-7.70882444;1.50182064;1.65497331;2.96542454;-0.11979036;0.00000000;0.00000000
41;4.10000000;0.00000000;15.91648322;-7.69043112;1.51146930;1.64864351;2.95221072;-0.13213063;0.00000000;0.00000000
42;4.20000000;0.00000000;15.81837359;-7.67118279;1.50634212;1.64923358;2.93899841;-0.14264329;0.00000000;0.00000000
43;4.30000000;0.00000000;15.72062638;-7.65019971;1.50607036;1.65763291;2.92368206;-0.13019033;0.00000000;0.00000000
44;4.40000000;0.00000000;15.62315286;-7.62795574;1.51113700;1.65934129;2.91296035;-0.09809660;0.00000000;0.00000000
45;4.50000000;0.00000000;15.52587302;-7.60488038;1.51708618;1.64248198;2.90406274;-0.09242009;0.00000000;0.00000000
46;4.60000000;0.00000000;15.42881114;-7.58090555;1.50886390;1.62825837;2.89447633;-0.09900165;0.00000000;0.00000000
47;4.70000000;0.00000000;15.33199195;-7.55596953;1.50625178;1.61971583;2.88426241;-0.09948186;0.00000000;0.00000000
48;4.80000000;0.00000000;15.23544042;-7.53001717;1.50921966;1.61837120;2.87457996;-0.09334625;0.00000000;0.00000000
49;4.90000000;0.00000000;15.13912152;-7.50321085;1.51789930;1.62407731;2.86559316;-0.09805429;0.00000000;0.00000000
50;5.00000000;0.00000000;15.04305240;-7.47552750;1.53216635;1.61948215;2.85496910;-0.11471361;0.00000000;0.00000000
51;5.10000000;0.00000000;14.94732609;-7.44668119;1.53013361;1.60531965;2.84265044;-0.12153837;0.00000000;0.00000000
52;5.20000000;0.00000000;14.85196810;-7.41663960;1.53082467;1.59855081;2.83066143;-0.11132818;0.00000000;0.00000000
53;5.30000000;0.00000000;14.75695970;-7.38550607;1.53688739;1.59916648;2.82038481;-0.10792763;0.00000000;0.00000000
54;5.40000000;0.00000000;14.66223893;-7.35351093;1.54849339;1.60485329;2.80907590;-0.12408725;0.00000000;0.00000000
55;5.50000000;0.00000000;14.56795931;-7.32023681;1.55485655;1.58642409;2.79556736;-0.12332066;0.00000000;0.00000000
56;5.60000000;0.00000000;14.47413606;-7.28569407;1.55769871;1.57463226;2.78441177;-0.10117359;0.00000000;0.00000000
57;5.70000000;0.00000000;14.38062119;-7.25032452;1.55527405;1.57001713;2.77533264;-0.10427483;0.00000000;0.00000000
58;5.80000000;0.00000000;14.28744065;-7.21408392;1.55011424;1.57269272;2.76355680;-0.13094494;0.00000000;0.00000000
59;5.90000000;0.00000000;14.19478621;-7.17652257;1.53428163;1.58310596;2.74914365;-0.13481764;0.00000000;0.00000000
60;6.00000000;0.00000000;14.10269101;-7.13761223;1.52339650;1.60114141;2.73659327;-0.11145615;0.00000000;0.00000000
61;6.10000000;0.00000000;14.01100794;-7.09773705;1.51797850;1.62416271;2.72685242;-0.10089146;0.00000000;0.00000000
62;6.20000000;0.00000000;13.91968715;-7.05703956;1.51823748;1.61628109;2.71641498;-0.11479391;0.00000000;0.00000000
63;6.30000000;0.00000000;13.82885866;-7.01526036;1.52388159;1.61575195;2.70389364;-0.12714308;0.00000000;0.00000000
64;6.40000000;0.00000000;13.73858537;-6.97228889;1.53472544;1.60796446;2.69098637;-0.16679830;0.00000000;0.00000000
65;6.50000000;0.00000000;13.64886899;-6.92818081;1.55070541;1.58165761;2.67053398;-0.21933267;0.00000000;0.00000000
66;6.60000000;0.00000000;13.56042785;-6.88155354;1.57014919;1.56410696;2.64711983;-0.18876658;0.00000000;0.00000000
67;6.70000000;0.00000000;13.47286812;-6.83329042;1.56771644;1.55466120;2.63278066;-0.12161852;0.00000000;0.00000000
68;6.80000000;0.00000000;13.38580043;-6.78414636;1.56123576;1.55262250;2.62279613;-0.11123802;0.00000000;0.00000000
69;6.90000000;0.00000000;13.29922292;-6.73414510;1.56015706;1.55433050;2.61053306;-0.13016087;0.00000000;0.00000000
70;7.00000000;0.00000000;13.21339009;-6.68288265;1.55580523;1.56160734;2.59676395;-0.12481703;0.00000000;0.00000000
71;7.10000000;0.00000000;13.12822242;-6.63051667;1.54692449;1.57647801;2.58556965;-0.11125528;0.00000000;0.00000000
72;7.20000000;0.00000000;13.04355596;-6.57734380;1.54352812;1.59840029;2.57451290;-0.16006887;0.00000000;0.00000000
73;7.30000000;0.00000000;12.95957143;-6.52311023;1.54534161;1.62206031;2.55355588;-0.20782968;0.00000000;0.00000000
74;7.40000000;0.00000000;12.87720616;-6.46643573;1.55068579;1.63897415;2.53294696;-0.15856607;0.00000000;0.00000000
75;7.50000000;0.00000000;12.79552243;-6.40878368;1.56124312;1.62713696;2.52184266;-0.10702000;0.00000000;0.00000000
76;7.60000000;0.00000000;12.71443706;-6.35029483;1.56412201;1.62241838;2.51154296;-0.11264344;0.00000000;0.00000000
77;7.70000000;0.00000000;12.63395952;-6.29097349;1.55491594;1.62488278;2.49931397;-0.13513496;0.00000000;0.00000000
78;7.80000000;0.00000000;12.55433239;-6.23052185;1.55069405;1.63309979;2.48451597;-0.13686073;0.00000000;0.00000000
79;7.90000000;0.00000000;12.47564500;-6.16884471;1.55136780;1.64497029;2.47194183;-0.11513151;0.00000000;0.00000000
80;8.00000000;0.00000000;12.39755899;-6.10640654;1.55750319;1.64909648;2.46148967;-0.10673695;0.00000000;0.00000000
81;8.10000000;0.00000000;12.32017701;-6.04309726;1.56746148;1.62510482;2.45059444;-0.12699753;0.00000000;0.00000000
82;8.20000000;0.00000000;12.24347025;-5.97897274;1.57636433;1.60803342;2.43609016;-0.16608970;0.00000000;0.00000000
83;8.30000000;0.00000000;12.16796197;-5.91344985;1.58342874;1.59888769;2.41737650;-0.18859630;0.00000000;0.00000000
84;8.40000000;0.00000000;12.09371281;-5.84650404;1.58859489;1.59786409;2.39837090;-0.18394194;0.00000000;0.00000000
85;8.50000000;0.00000000;12.02074866;-5.77815864;1.59186160;1.60497858;2.38058811;-0.13031191;0.00000000;0.00000000
86;8.60000000;0.00000000;11.94892202;-5.70861031;1.59347282;1.61932287;2.37230852;-0.12105849;0.00000000;0.00000000
87;8.70000000;0.00000000;11.87709537;-5.63906199;1.59508403;1.63446689;2.35637641;-0.18806284;0.00000000;0.00000000
88;8.80000000;0.00000000;11.80752354;-5.56726327;1.59351015;1.65860062;2.33469595;-0.16211321;0.00000000;0.00000000
89;8.90000000;0.00000000;11.73878011;-5.49466795;1.59078781;1.66277775;2.32395377;-0.11337186;0.00000000;0.00000000
90;9.00000000;0.00000000;11.67076554;-5.42138988;1.58706807;1.66649624;2.31202158;-0.13680631;0.00000000;0.00000000
91;9.10000000;0.00000000;11.60377716;-5.34717836;1.58196411;1.65590386;2.29659251;-0.14216929;0.00000000;0.00000000
92;9.20000000;0.00000000;11.53805511;-5.27183598;1.57516717;1.63978171;2.28358772;-0.11476076;0.00000000;0.00000000
93;9.30000000;0.00000000;11.47301536;-5.19590267;1.56747137;1.63054540;2.27364036;-0.12092949;0.00000000;0.00000000
94;9.40000000;0.00000000;11.40880458;-5.11926710;1.55869488;1.62849683;2.25940182;-0.14338753;0.00000000;0.00000000
95;9.50000000;0.00000000;11.34595534;-5.04151520;1.54817020;1.63433480;2.24496285;-0.13598188;0.00000000;0.00000000
96;9.60000000;0.00000000;11.28398505;-4.96305883;1.53775643;1.62467704;2.23220545;-0.13710214;0.00000000;0.00000000
97;9.70000000;0.00000000;11.22314148;-4.88373085;1.53237822;1.61609259;2.21754242;-0.13654005;0.00000000;0.00000000
98;9.80000000;0.00000000;11.16349826;-4.80349115;1.53200642;1.61517536;2.20489744;-0.11689143;0.00000000;0.00000000
99;9.90000000;0.00000000;11.10467708;-4.72264573;1.53712988;1.62145510;2.19416414;-0.13766997;0.00000000;0.00000000
100;10.00000000;0.00000000;11.04676904;-4.64114300;1.54759060;1.63495097;2.17736344;-0.18250587;0.00000000;0.00000000
101;10.10000000;0.00000000;10.99069810;-4.55836858;1.54013084;1.64014929;2.15766296;-0.16986824;0.00000000;0.00000000
102;10.20000000;0.00000000;10.93604744;-4.47465113;1.53515436;1.62808811;2.14338980;-0.13287876;0.00000000;0.00000000
103;10.30000000;0.00000000;10.88236145;-4.39030931;1.53553201;1.60899604;2.13108721;-0.13036106;0.00000000;0.00000000
104;10.40000000;0.00000000;10.82978764;-4.30527362;1.54109853;1.59563289;2.11731759;-0.12941390;0.00000000;0.00000000
105;10.50000000;0.00000000;10.77844426;-4.21948532;1.55166733;1.58990312;2.10520443;-0.11079357;0.00000000;0.00000000
106;10.60000000;0.00000000;10.72794365;-4.13319736;1.56758945;1.59142890;2.09515887;-0.15342836;0.00000000;0.00000000
107;10.70000000;0.00000000;10.67833345;-4.04639376;1.56433188;1.60023829;2.07451876;-0.20514374;0.00000000;0.00000000
108;10.80000000;0.00000000;10.63143786;-3.95809704;1.55927951;1.61823826;2.05413012;-0.16046032;0.00000000;0.00000000
109;10.90000000;0.00000000;10.58540786;-3.86934394;1.55965105;1.62951178;2.04242670;-0.12051274;0.00000000;0.00000000
110;11.00000000;0.00000000;10.54059204;-3.77997450;1.56506089;1.62748381;2.03002758;-0.13241825;0.00000000;0.00000000
111;11.10000000;0.00000000;10.49677707;-3.69010778;1.57569813;1.61800068;2.01594305;-0.16595846;0.00000000;0.00000000
112;11.20000000;0.00000000;10.45449967;-3.59951885;1.56741444;1.59114926;1.99683588;-0.16719044;0.00000000;0.00000000
113;11.30000000;0.00000000;10.41414963;-3.50804333;1.55748560;1.57230372;1.98250496;-0.10883216;0.00000000;0.00000000
114;11.40000000;0.00000000;10.37448137;-3.41626976;1.55319498;1.56039278;1.97506945;-0.09049120;0.00000000;0.00000000
115;11.50000000;0.00000000;10.33549593;-3.32420400;1.55459092;1.55557508;1.96440672;-0.10611615;0.00000000;0.00000000
116;11.60000000;0.00000000;10.29779351;-3.23160506;1.56101464;1.55856231;1.95384622;-0.10086539;0.00000000;0.00000000
117;11.70000000;0.00000000;10.26076110;-3.13873636;1.57306298;1.56864837;1.94423364;-0.09747607;0.00000000;0.00000000
118;11.80000000;0.00000000;10.22484626;-3.04543100;1.57768894;1.57692340;1.93435101;-0.09487597;0.00000000;0.00000000
119;11.90000000;0.00000000;10.18965664;-2.95184885;1.58276001;1.56638001;1.92525845;-0.10103755;0.00000000;0.00000000
120;12.00000000;0.00000000;10.15544462;-2.85790637;1.59306591;1.56321892;1.91414350;-0.11408921;0.00000000;0.00000000
121;12.10000000;0.00000000;10.12234433;-2.76356654;1.60694513;1.56762329;1.90244060;-0.11037730;0.00000000;0.00000000
122;12.20000000;0.00000000;10.09034029;-2.66884914;1.61891959;1.57950829;1.89206804;-0.09406859;0.00000000;0.00000000
123;12.30000000;0.00000000;10.05920360;-2.57384158;1.61562671;1.59415908;1.88362689;-0.09446803;0.00000000;0.00000000
124;12.40000000;0.00000000;10.02880294;-2.47859689;1.61735015;1.58327347;1.87317443;-0.12962908;0.00000000;0.00000000
