id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;20.00480371;-8.48384821;1.98440760;1.21620732;3.01212722;-0.07264023;12.15725516;0.69249204
1;0.09994463;0.00000000;19.90574123;-8.47058504;1.97112617;1.22947894;3.00486712;-0.07263998;12.16294680;0.68193904
2;0.19988925;0.00000000;19.80678163;-8.45660358;1.95712447;1.24347041;2.99760714;-0.07264353;12.16854910;0.67098413
3;0.29983388;0.00000000;19.70792206;-8.44190342;1.94240225;1.25818232;2.99034658;-0.07264588;12.17405888;0.66037396
4;0.39977850;0.00000000;19.60917601;-8.42648653;1.92696127;1.27361304;2.98308586;-0.07265272;12.17947910;0.64926045
5;0.49972313;0.00000000;19.51054016;-8.41035230;1.91080117;1.28976334;2.97582381;-0.07266627;12.18480576;0.63731783
6;0.59966775;0.00000000;19.41202861;-8.39350293;1.89392398;1.30663149;2.96856051;-0.07268409;12.19003218;0.62491948
7;0.69961238;0.00000000;19.31363739;-8.37593755;1.87632915;1.32421857;2.96129501;-0.07270372;12.19515474;0.61243774
8;0.79955700;0.00000000;19.21538122;-8.35765859;1.85801902;1.34252267;2.95402768;-0.07272763;12.20017290;0.59950578
9;0.89950163;0.00000000;19.11725556;-8.33866496;1.83899291;1.36154512;2.94675740;-0.07275538;12.20508311;0.58619335
10;0.99944626;0.00000000;19.01927568;-8.31895933;1.81925352;1.38128388;2.93948452;-0.07278740;12.20988236;0.57244210
11;1.09939088;0.00000000;18.92143656;-8.29854036;1.79880003;1.40174058;2.93220788;-0.07282264;12.21456722;0.55841347
12;1.19933551;0.00000000;18.82375394;-8.27741100;1.77763553;1.42291299;2.92492791;-0.07286211;12.21913554;0.54395971
13;1.29928013;0.00000000;18.72622238;-8.25556964;1.75575910;1.43138883;2.91764342;-0.07290507;12.22358396;0.52919847
14;1.39922476;0.00000000;18.62885805;-8.23301948;1.73317429;1.42261214;2.91035483;-0.07295225;12.22791012;0.51402301
15;1.49916938;0.00000000;18.53165514;-8.20975868;1.70988009;1.42155704;2.90306093;-0.07300297;12.23211076;0.49854182
16;1.59911401;0.00000000;18.43463021;-8.18579070;1.68987335;1.42824133;2.89576218;-0.07305789;12.23618351;0.48265845
17;1.69905864;0.00000000;18.33777712;-8.16111343;1.67487313;1.44255839;2.88845732;-0.07311644;12.24012521;0.46646443
18;1.79900326;0.00000000;18.24111277;-8.13573060;1.66501679;1.46428248;2.88114685;-0.07317919;12.24393345;0.44987980
19;1.89894789;0.00000000;18.14463077;-8.10963987;1.66039464;1.49039165;2.87382946;-0.07324569;12.24760517;0.43297628
20;1.99889251;0.00000000;18.04834830;-8.08284519;1.66105051;1.51721393;2.86650568;-0.07331637;12.25113790;0.41569370
21;2.09883714;0.00000000;17.95225876;-8.05534401;1.65585748;1.54475272;2.85917418;-0.07339093;12.25452865;0.39808438
22;2.19878176;0.00000000;17.85637956;-8.02714052;1.62756388;1.57300493;2.85183548;-0.07346965;12.25777489;0.38010758
23;2.29872639;0.00000000;17.76070398;-7.99823193;1.59856854;1.60197419;2.84448825;-0.07355240;12.26087373;0.36179269
24;2.39867101;0.00000000;17.66524958;-7.96862269;1.56887734;1.63165729;2.83713301;-0.07363931;12.26382253;-0.14975263
25;2.49861564;0.00000000;17.57000959;-7.93830979;1.53848948;1.66205811;2.82976840;-0.07373038;12.26260206;-1.49427628
26;2.59856027;0.00000000;17.47500167;-7.90729788;1.50741178;1.69317333;2.82239496;-0.07382561;12.25041711;-1.50085917
27;2.69850489;0.00000000;17.38021904;-7.87558376;1.47564390;1.70069868;2.81501130;-0.07392520;12.23816628;-1.50693951
28;2.79844952;0.00000000;17.28567942;-7.84317232;1.44319380;1.70658628;2.80761796;-0.07402895;12.22585346;-1.51254258
29;2.89839414;0.00000000;17.19137611;-7.81006014;1.41006188;1.71900859;2.80021355;-0.07413715;12.21348238;-1.51762233
30;2.99833877;0.00000000;17.09732681;-7.77625231;1.37961193;1.73782430;2.79279860;-0.07424952;12.20105714;-1.52221971
31;3.09828339;0.00000000;17.00352494;-7.74174526;1.35513439;1.76283112;2.78537170;-0.07436669;12.18858154;-1.52623548
32;3.19822802;0.00000000;16.90998814;-7.70654425;1.33696078;1.79376678;2.77793336;-0.07448804;12.17606020;-1.52976112
33;3.29817265;0.00000000;16.81671003;-7.67064556;1.32534789;1.81854639;2.77048218;-0.07461409;12.16349700;-1.53271412
34;3.39811727;0.00000000;16.72370814;-7.63405461;1.32046971;1.83053218;2.76301867;-0.07474433;12.15089651;-1.53516904
35;3.49806190;0.00000000;16.63097633;-7.59676757;1.29677393;1.84858558;2.75554139;-0.07488001;12.13826274;-1.53693627
36;3.59800652;0.00000000;16.53853196;-7.55878997;1.25879494;1.86888003;2.74805082;-0.07501986;12.12560123;-1.53819956
37;3.69795115;0.00000000;16.44636922;-7.52011790;1.22333432;1.89368697;2.74054555;-0.07516475;12.11291607;-1.53882675
38;3.79789577;0.00000000;16.35450525;-7.48075700;1.19447599;1.92408216;2.73302605;-0.07531392;12.10021243;-1.53825657
39;3.89784040;0.00000000;16.26293460;-7.44070330;1.17270402;1.95980892;2.72549090;-0.07546881;12.08750015;-1.53706333
40;3.99778502;0.00000000;16.17167414;-7.39996250;1.15842046;1.99616828;2.71794051;-0.07562788;12.07478436;-1.53502739
41;4.09772965;0.00000000;16.08071888;-7.35853062;1.15190141;2.01017214;2.71037346;-0.07579322;12.06207204;-1.53243173
42;4.19767428;0.00000000;15.99008530;-7.31641336;1.13186503;2.02974643;2.70279012;-0.07596285;12.04936784;-1.52896006
43;4.29761890;0.00000000;15.89976898;-7.27360680;1.10071307;2.05473466;2.69518906;-0.07613889;12.03667905;-1.52478475
44;4.39756353;0.00000000;15.80978603;-7.23011663;1.07695271;2.08493970;2.68757062;-0.07632014;12.02401158;-1.51799404
45;4.49750815;0.00000000;15.72013256;-7.18593893;1.06134385;2.10358304;2.67993270;-0.07651959;12.01138726;-1.51052275
46;4.59745278;0.00000000;15.63082432;-7.14107927;1.04471687;2.11153477;2.67227504;-0.07672385;11.99881188;-1.50097326
47;4.69739740;0.00000000;15.54185810;-7.09553374;1.01098384;2.12291498;2.66459582;-0.07694247;11.98630294;-1.49080282
48;4.79734203;0.00000000;15.45324921;-7.04930773;0.98551529;2.13966407;2.65689493;-0.07716529;11.97386582;-1.48006217
49;4.89728666;0.00000000;15.36499515;-7.00239744;0.96895983;2.16166006;2.64917120;-0.07739192;11.96150551;-1.46867391
50;4.99723128;0.00000000;15.27711074;-6.95480818;0.96177822;2.18874359;2.64142497;-0.07762286;11.94922767;-1.45661470
51;5.09717591;0.00000000;15.18959416;-6.90653632;0.94582668;2.19724133;2.63365508;-0.07785820;11.93703818;-1.44387463
52;5.19712053;0.00000000;15.10245973;-6.85758711;0.92119884;2.20975855;2.62586181;-0.07809796;11.92494299;-1.43025804
53;5.29706516;0.00000000;15.01570630;-6.80795712;0.90409604;2.22746152;2.61804394;-0.07834345;11.91294977;-1.41593090
54;5.39700978;0.00000000;14.92934771;-6.75765147;0.89707642;2.25022770;2.61020165;-0.07859343;11.90106478;-1.40077311
55;5.49695441;0.00000000;14.84338350;-6.70666700;0.88230885;2.25744958;2.60233379;-0.07884869;11.88929532;-1.38488286
56;5.59689903;0.00000000;14.75782703;-6.65500866;0.87467407;2.26611669;2.59444049;-0.07910845;11.87764792;-1.36818451
57;5.69684366;0.00000000;14.67267854;-6.60267356;0.84673376;2.27991873;2.58652070;-0.07937319;11.86612973;-1.35071101
58;5.79678829;0.00000000;14.58795088;-6.54966650;0.82917642;2.29876395;2.57857450;-0.07964258;11.85474766;-1.33221385
59;5.89673291;0.00000000;14.50364500;-6.49598490;0.80715111;2.32253230;2.57060078;-0.07991831;11.84351075;-1.31293894
60;5.99667754;0.00000000;14.41977328;-6.44163338;0.76688666;2.35107408;2.56259953;-0.08019855;11.83242598;-1.29302860
61;6.09662216;0.00000000;14.33633737;-6.38660968;0.73726754;2.38422045;2.55456987;-0.08048220;11.82149914;-1.27222945
62;6.19656679;0.00000000;14.25334912;-6.33091822;0.71961046;2.41503628;2.54651185;-0.08077098;11.81073821;-1.24988454
63;6.29651141;0.00000000;14.17081095;-6.27455712;0.71479968;2.41800814;2.53842426;-0.08106944;11.80015672;-1.22676616
64;6.39645604;0.00000000;14.08873420;-6.21753055;0.72308929;2.41217449;2.53030679;-0.08137196;11.78976171;-1.20353589
65;6.49640067;0.00000000;14.00712204;-6.15983703;0.72958575;2.41128692;2.52215897;-0.08167375;11.77955463;-1.17931073
66;6.59634529;0.00000000;13.92598532;-6.10148052;0.71164236;2.41535399;2.51398093;-0.08198105;11.76954441;-1.15344826
67;6.69628992;0.00000000;13.84532788;-6.04246001;0.69408945;2.42435371;2.50577148;-0.08229829;11.75974548;-1.12656196
68;6.79623454;0.00000000;13.76516002;-5.98277912;0.67615235;2.43750750;2.49753023;-0.08262095;11.75016707;-1.09798266
69;6.89617917;0.00000000;13.68548646;-5.92243731;0.67191687;2.45244443;2.48925607;-0.08295367;11.74082413;-1.06843222
70;6.99612379;0.00000000;13.60631705;-5.86143791;0.64549857;2.47214558;2.48094851;-0.08329110;11.73172550;-1.03835421
71;7.09606842;0.00000000;13.52765722;-5.79978084;0.62758742;2.49650056;2.47260708;-0.08362992;11.72287624;-1.00724983
72;7.19601304;0.00000000;13.44951626;-5.73746909;0.62449883;2.52537578;2.46423165;-0.08397362;11.71428568;-0.97459508
73;7.29595767;0.00000000;13.37190034;-5.67450317;0.63487430;2.55861997;2.45582136;-0.08432581;11.70596762;-0.94040573
74;7.39590230;0.00000000;13.29481843;-5.61088583;0.64440799;2.56222815;2.44737561;-0.08468618;11.69793575;-0.90371542
75;7.49584692;0.00000000;13.21827744;-5.54661810;0.61843957;2.56898934;2.43889296;-0.08506149;11.69021205;-0.86338290
76;7.59579155;0.00000000;13.14228574;-5.48170212;0.59948753;2.58045041;2.43037248;-0.08545966;11.68282829;-0.80927257
77;7.69573617;0.00000000;13.06685154;-5.41613956;0.59604002;2.59527088;2.42180665;-0.08595339;11.67590305;-0.76106931
78;7.79568080;0.00000000;12.99198272;-5.34993087;0.60216722;2.58540429;2.41319168;-0.08639908;11.66938655;-0.74316322
79;7.89562542;0.00000000;12.91768903;-5.28307904;0.60743219;2.57558311;2.40454559;-0.08662085;11.66301985;-0.72622680
80;7.99557005;0.00000000;12.84397587;-5.21558563;0.61183228;2.57047915;2.39587706;-0.08683390;11.65679489;-0.71667202
81;8.09551467;0.00000000;12.77085233;-5.14745615;0.61536518;2.57012311;2.38719071;-0.08699186;11.65064857;-0.70651667
82;8.19545930;0.00000000;12.69832259;-5.07869225;0.61802920;2.57451863;2.37848818;-0.08715333;11.64458617;-0.69611555
83;8.29540393;0.00000000;12.62639585;-5.00930045;0.61982265;2.58364257;2.36976971;-0.08731567;11.63860992;-0.68377063
84;8.39534855;0.00000000;12.55507612;-4.93928234;0.62074392;2.59744634;2.36103442;-0.08749118;11.63273668;-0.66748850
85;8.49529318;0.00000000;12.48437281;-4.86864468;0.62079139;2.61345897;2.35228014;-0.08769416;11.62700042;-0.64760177
86;8.59523780;0.00000000;12.41428989;-4.79738860;0.61996312;2.63285161;2.34350496;-0.08792175;11.62143236;-0.61647000
87;8.69518243;0.00000000;12.34483745;-4.72552102;0.61825713;2.61410190;2.33470246;-0.08822923;11.61612949;-0.58347620
