id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;31.88734393;-3.30732430;1.50773877;1.69268662;2.99383971;-0.10410917;0.00000000;0.00000000
1;0.10000000;0.00000000;31.78845129;-3.29260536;1.49305034;1.70740188;2.98342880;-0.15363278;0.00000000;0.00000000
2;0.20000000;0.00000000;31.68988660;-3.27583064;1.47631659;1.72417298;2.96311316;-0.19781495;0.00000000;0.00000000
3;0.30000000;0.00000000;31.59167360;-3.25710684;1.45764633;1.73467780;2.94386581;-0.22744631;0.00000000;0.00000000
4;0.40000000;0.00000000;31.49382767;-3.23655130;1.43772965;1.72559737;2.91762390;-0.29626098;0.00000000;0.00000000
5;0.50000000;0.00000000;31.39673326;-3.21270131;1.42121076;1.72566164;2.88461361;-0.32151615;0.00000000;0.00000000
6;0.60000000;0.00000000;31.30045825;-3.18573586;1.40838517;1.73471279;2.85332067;-0.33924571;0.00000000;0.00000000
7;0.70000000;0.00000000;31.20504704;-3.15586024;1.39955324;1.75242037;2.81676447;-0.32123467;0.00000000;0.00000000
8;0.80000000;0.00000000;31.11100517;-3.12193632;1.39356100;1.77969210;2.78907373;-0.22601366;0.00000000;0.00000000
9;0.90000000;0.00000000;31.01739186;-3.08682458;1.38988425;1.77695201;2.77156174;-0.20112993;0.00000000;0.00000000
10;1.00000000;0.00000000;30.92459247;-3.04962707;1.38808554;1.77698406;2.74884775;-0.24927879;0.00000000;0.00000000
11;1.10000000;0.00000000;30.83267465;-3.01030229;1.38896500;1.78492412;2.72170598;-0.29457091;0.00000000;0.00000000
12;1.20000000;0.00000000;30.74203891;-2.96812847;1.38283232;1.80146861;2.68993357;-0.29475887;0.00000000;0.00000000
13;1.30000000;0.00000000;30.65281165;-2.92305022;1.38068603;1.79793588;2.66275420;-0.22664271;0.00000000;0.00000000
14;1.40000000;0.00000000;30.56459125;-2.87600912;1.38356801;1.78789126;2.64460502;-0.15867102;0.00000000;0.00000000
15;1.50000000;0.00000000;30.47704864;-2.82771681;1.39222398;1.77617559;2.63102000;-0.13389684;0.00000000;0.00000000
16;1.60000000;0.00000000;30.39013730;-2.77829558;1.38773108;1.77133136;2.61782566;-0.15410703;0.00000000;0.00000000
17;1.70000000;0.00000000;30.30390025;-2.72771069;1.38800654;1.77346714;2.60019859;-0.20006376;0.00000000;0.00000000
18;1.80000000;0.00000000;30.21878328;-2.67525592;1.39329486;1.78338627;2.57781290;-0.18526085;0.00000000;0.00000000
19;1.90000000;0.00000000;30.13489380;-2.62086017;1.40342127;1.79162180;2.56314642;-0.12266738;0.00000000;0.00000000
20;2.00000000;0.00000000;30.05135220;-2.56593180;1.41990666;1.78423632;2.55327943;-0.10391288;0.00000000;0.00000000
21;2.10000000;0.00000000;29.96855532;-2.50989320;1.43883459;1.78377384;2.54236385;-0.09426050;0.00000000;0.00000000
22;2.20000000;0.00000000;29.88623257;-2.45315422;1.44249412;1.78975067;2.53442733;-0.09162107;0.00000000;0.00000000
23;2.30000000;0.00000000;29.80433494;-2.39580802;1.43668929;1.77842627;2.52403963;-0.11973009;0.00000000;0.00000000
24;2.40000000;0.00000000;29.72320924;-2.33737158;1.43649510;1.76237968;2.51048131;-0.10392298;0.00000000;0.00000000
25;2.50000000;0.00000000;29.64289419;-2.27782417;1.44187483;1.74769306;2.50325504;-0.05660467;0.00000000;0.00000000
26;2.60000000;0.00000000;29.56262067;-2.21822079;1.45133070;1.73602034;2.49916038;-0.07153566;0.00000000;0.00000000
27;2.70000000;0.00000000;29.48279702;-2.15801845;1.46285749;1.72500028;2.48894791;-0.11516253;0.00000000;0.00000000
28;2.80000000;0.00000000;29.40376175;-2.09679125;1.47544094;1.70712944;2.47612787;-0.10902547;0.00000000;0.00000000
29;2.90000000;0.00000000;29.32550698;-2.03456170;1.48676579;1.69581789;2.46714281;-0.07127405;0.00000000;0.00000000
30;3.00000000;0.00000000;29.24758057;-1.97192085;1.49756854;1.68502819;2.46187306;-0.04763258;0.00000000;0.00000000
31;3.10000000;0.00000000;29.16998575;-1.90886980;1.50784756;1.67476184;2.45761630;-0.03599978;0.00000000;0.00000000
32;3.20000000;0.00000000;29.09259560;-1.84556792;1.51780503;1.66481698;2.45467310;-0.02654024;0.00000000;0.00000000
33;3.30000000;0.00000000;29.01537332;-1.78206126;1.52749941;1.65513519;2.45230825;-0.02100100;0.00000000;0.00000000
34;3.40000000;0.00000000;28.93828331;-1.71839395;1.54095559;1.64566022;2.45047290;0.01303923;0.00000000;0.00000000
35;3.50000000;0.00000000;28.86129458;-1.65460418;1.55179968;1.63634330;2.45491609;0.03517106;0.00000000;0.00000000
36;3.60000000;0.00000000;28.78364214;-1.59162468;1.55697062;1.62598782;2.45750711;-0.00307743;0.00000000;0.00000000
37;3.70000000;0.00000000;28.70632456;-1.52823528;1.56682736;1.61615764;2.45430061;-0.01043379;0.00000000;0.00000000
38;3.80000000;0.00000000;28.62907746;-1.46475896;1.57657265;1.60643874;2.45542036;0.02546943;0.00000000;0.00000000
39;3.90000000;0.00000000;28.55161759;-1.40154244;1.58665276;1.58137450;2.45939449;0.04640740;0.00000000;0.00000000
40;4.00000000;0.00000000;28.47386823;-1.33868197;1.59719027;1.54770355;2.46470184;0.05617351;0.00000000;0.00000000
41;4.10000000;0.00000000;28.39574170;-1.27629120;1.60832794;1.51929194;2.47062920;0.04893235;0.00000000;0.00000000
42;4.20000000;0.00000000;28.31725319;-1.21435725;1.62098859;1.49645951;2.47448831;0.02641328;0.00000000;0.00000000
43;4.30000000;0.00000000;28.23864733;-1.15257124;1.63984350;1.47985554;2.47591185;0.03373206;0.00000000;0.00000000
44;4.40000000;0.00000000;28.15998304;-1.09086120;1.64538598;1.46787919;2.48123472;0.08187601;0.00000000;0.00000000
