id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;31.96414305;-2.43079072;0.63090789;2.56937619;3.11237456;-0.14612845;7.49227698;3.58018877
1;0.09998193;0.00000000;31.86423692;-2.42714474;0.62726426;2.57302090;3.09789973;-0.14344790;7.53990204;3.62519613
2;0.19996386;0.00000000;31.76437666;-2.42206545;0.62218854;2.57809833;3.08368951;-0.14078456;7.58782123;3.67174915
3;0.29994579;0.00000000;31.66461510;-2.41558281;0.61571186;2.56298336;3.06976586;-0.13776875;7.63604925;3.74139385
4;0.39992772;0.00000000;31.56493417;-2.40772523;0.60786246;2.54801518;3.05613984;-0.13476755;7.68488072;3.81267375
5;0.49990965;0.00000000;31.46538669;-2.39852811;0.60476590;2.53824542;3.04285143;-0.13107732;7.73432535;3.92772908
6;0.59989159;0.00000000;31.36594901;-2.38802516;0.61676339;2.53369655;3.02992857;-0.12740419;7.78493369;4.04435519
7;0.69987352;0.00000000;31.26667230;-2.37625876;0.63694527;2.52861867;3.01737651;-0.12371138;7.83670322;4.16498361
8;0.79985545;0.00000000;31.16752951;-2.36326281;0.66265980;2.50503264;3.00518987;-0.12004819;7.88966182;4.28675317
9;0.89983738;0.00000000;31.06856841;-2.34908045;0.68693947;2.48643403;2.99336914;-0.11643354;7.94380006;4.40863340
10;0.99981931;0.00000000;30.96976109;-2.33374424;0.71163101;2.46479170;2.98190681;-0.11283851;7.99909537;4.53261129
11;1.09980124;0.00000000;30.87115081;-2.31729719;0.74793622;2.42007134;2.97080343;-0.10929202;8.05554996;4.65697331
12;1.19978317;0.00000000;30.77270853;-2.29977046;0.78795088;2.37971273;2.96005179;-0.10576446;8.11314437;4.65557951
13;1.29976510;0.00000000;30.67447417;-2.28120694;0.81531033;2.34392756;2.94965324;-0.10226414;8.17031573;4.62238907
14;1.39974703;0.00000000;30.57641806;-2.26163667;0.84882009;2.31288612;2.93960218;-0.09877993;8.22668645;4.58963869
15;1.49972896;0.00000000;30.47857618;-2.24110231;0.89145582;2.28676175;2.92989984;-0.09531971;8.28227818;4.55731683
16;1.59971089;0.00000000;30.38091866;-2.21963296;0.94201716;2.25895950;2.92054126;-0.09187324;8.33711164;4.52541243
17;1.69969283;0.00000000;30.28347769;-2.19727095;0.99511204;2.21913286;2.91152787;-0.08844280;8.39120667;4.49391490
18;1.79967476;0.00000000;30.18622347;-2.17404465;1.04767537;2.18398892;2.90285554;-0.08502420;8.44458229;4.46281408
19;1.89965669;0.00000000;30.08918441;-2.14999596;1.07893024;2.15373773;2.89452567;-0.08161658;8.49725671;4.43210024
20;1.99963862;0.00000000;29.99233111;-2.12515270;1.10723107;2.10306105;2.88653486;-0.07821893;8.54924742;4.40176402
21;2.09962055;0.00000000;29.89568814;-2.09955622;1.14287971;2.05309438;2.87888446;-0.07482802;8.60057121;4.37179645
22;2.19960248;0.00000000;29.79922681;-2.07323400;1.18525032;2.00323133;2.87157169;-0.07144550;8.65124422;4.34218889
23;2.29958441;0.00000000;29.70296788;-2.04622675;1.22958523;1.95783011;2.86459782;-0.06806650;8.70128194;4.31293304
24;2.39956634;0.00000000;29.60688361;-2.01856177;1.27669080;1.91001496;2.85796062;-0.06469448;8.75069929;4.28402090
25;2.49954827;0.00000000;29.51099100;-1.99027903;1.32430544;1.85823674;2.85166124;-0.06132361;8.79951064;4.25544477
26;2.59953020;0.00000000;29.41526346;-1.96140582;1.37150787;1.81104458;2.84569793;-0.05795848;8.84772980;4.22719725
