id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;32.44698179;-14.72668554;1.54126581;1.65254296;2.88921829;-0.19469361;0.00000000;0.00000000
1;0.10000000;0.00000000;32.35020889;-14.70173046;1.53304448;1.64971616;2.86974893;-0.29484464;0.00000000;0.00000000
2;0.20000000;0.00000000;32.25448678;-14.67302869;1.52742392;1.65681573;2.83024937;-0.38737983;0.00000000;0.00000000
3;0.30000000;0.00000000;32.15999573;-14.64051810;1.52432890;1.65297151;2.79227297;-0.37843097;0.00000000;0.00000000
4;0.40000000;0.00000000;32.06673195;-14.60463754;1.51993670;1.64612076;2.75456317;-0.39100858;0.00000000;0.00000000
5;0.50000000;0.00000000;31.97496572;-14.56510232;1.51634353;1.64926745;2.71407125;-0.39836855;0.00000000;0.00000000
6;0.60000000;0.00000000;31.88491888;-14.52179905;1.51224126;1.66253876;2.67488946;-0.37372572;0.00000000;0.00000000
7;0.70000000;0.00000000;31.79652599;-14.47519987;1.50180459;1.68500118;2.63932611;-0.36113365;0.00000000;0.00000000
8;0.80000000;0.00000000;31.70977980;-14.42560407;1.49455689;1.68415736;2.60266273;-0.37766796;0.00000000;0.00000000
9;0.90000000;0.00000000;31.62504727;-14.37265971;1.49006485;1.66662447;2.56379251;-0.37540565;0.00000000;0.00000000
10;1.00000000;0.00000000;31.54241484;-14.31647729;1.48840735;1.65703925;2.52758160;-0.34766248;0.00000000;0.00000000
11;1.10000000;0.00000000;31.46172717;-14.25753438;1.47401456;1.65682452;2.49426002;-0.32847057;0.00000000;0.00000000
12;1.20000000;0.00000000;31.38301799;-14.19597263;1.46031123;1.66589048;2.46188749;-0.31897559;0.00000000;0.00000000
13;1.30000000;0.00000000;31.30631121;-14.13193127;1.45018162;1.68398495;2.43046490;-0.30950740;0.00000000;0.00000000
14;1.40000000;0.00000000;31.23162185;-14.06554614;1.44380625;1.71071323;2.39998601;-0.30923555;0.00000000;0.00000000
15;1.50000000;0.00000000;31.15895703;-13.99694894;1.44133508;1.74141675;2.36861779;-0.33224132;0.00000000;0.00000000
16;1.60000000;0.00000000;31.08858152;-13.92601644;1.44251875;1.74181231;2.33353774;-0.34451041;0.00000000;0.00000000
17;1.70000000;0.00000000;31.02090256;-13.85249259;1.44687928;1.74594768;2.29971571;-0.33575554;0.00000000;0.00000000
18;1.80000000;0.00000000;30.95547901;-13.77696103;1.45221573;1.75310091;2.26638663;-0.32670481;0.00000000;0.00000000
19;1.90000000;0.00000000;30.89284556;-13.69909015;1.45707768;1.76388795;2.23437475;-0.31686300;0.00000000;0.00000000
20;2.00000000;0.00000000;30.83238444;-13.61952185;1.46600779;1.77344508;2.20301403;-0.27759331;0.00000000;0.00000000
21;2.10000000;0.00000000;30.77475245;-13.53787460;1.45884879;1.75372158;2.17885608;-0.24201253;0.00000000;0.00000000
22;2.20000000;0.00000000;30.71820180;-13.45547452;1.44382731;1.74083483;2.15461153;-0.27314706;0.00000000;0.00000000
23;2.30000000;0.00000000;30.66459680;-13.37113254;1.43210151;1.73714984;2.12422667;-0.27630502;0.00000000;0.00000000
24;2.40000000;0.00000000;30.61315700;-13.28545372;1.42474958;1.73222698;2.09935052;-0.24420126;0.00000000;0.00000000
25;2.50000000;0.00000000;30.56381385;-13.19855205;1.42196145;1.72479727;2.07538642;-0.25055287;0.00000000;0.00000000
26;2.60000000;0.00000000;30.51653891;-13.11050889;1.42383020;1.71896579;2.04923995;-0.27721554;0.00000000;0.00000000
27;2.70000000;0.00000000;30.47180820;-13.02115217;1.42983722;1.71673404;2.01994331;-0.27317548;0.00000000;0.00000000
28;2.80000000;0.00000000;30.42977245;-12.93049678;1.43979857;1.71146509;1.99460485;-0.23361056;0.00000000;0.00000000
29;2.90000000;0.00000000;30.38962209;-12.83898126;1.45453067;1.70406954;1.97322120;-0.23349457;0.00000000;0.00000000
30;3.00000000;0.00000000;30.35150111;-12.74661209;1.47375564;1.69194103;1.94790594;-0.26280822;0.00000000;0.00000000
31;3.10000000;0.00000000;30.31603647;-12.65318952;1.47286591;1.67943941;1.92065955;-0.25918911;0.00000000;0.00000000
32;3.20000000;0.00000000;30.28300091;-12.55887524;1.47502510;1.67541072;1.89606812;-0.24679240;0.00000000;0.00000000
33;3.30000000;0.00000000;30.25217099;-12.46381844;1.48161323;1.66110151;1.87130107;-0.25296032;0.00000000;0.00000000
34;3.40000000;0.00000000;30.22384553;-12.36798332;1.49227560;1.64578832;1.84547605;-0.25407359;0.00000000;0.00000000
35;3.50000000;0.00000000;30.19796308;-12.27145735;1.48212459;1.63898087;1.82048636;-0.24945395;0.00000000;0.00000000
36;3.60000000;0.00000000;30.17445967;-12.17432221;1.47621761;1.64070696;1.79558526;-0.24561717;0.00000000;0.00000000
37;3.70000000;0.00000000;30.15341393;-12.07662458;1.47454417;1.65100393;1.77136292;-0.19969129;0.00000000;0.00000000
38;3.80000000;0.00000000;30.13464218;-11.97846640;1.47732037;1.64668843;1.75564701;-0.15049630;0.00000000;0.00000000
39;3.90000000;0.00000000;30.11667719;-11.88015598;1.48600943;1.64375486;1.74126366;-0.17886803;0.00000000;0.00000000
40;4.00000000;0.00000000;30.10073711;-11.78150185;1.49929264;1.64483785;1.71987340;-0.21627146;0.00000000;0.00000000
41;4.10000000;0.00000000;30.08699375;-11.68251846;1.51303007;1.65254685;1.69800937;-0.21505470;0.00000000;0.00000000
42;4.20000000;0.00000000;30.07538157;-11.58326268;1.52463841;1.66833907;1.67686246;-0.18678249;0.00000000;0.00000000
43;4.30000000;0.00000000;30.06583565;-11.48378679;1.53418191;1.66620185;1.66065287;-0.14221706;0.00000000;0.00000000
44;4.40000000;0.00000000;30.05744629;-11.38420106;1.54256952;1.65780578;1.64841905;-0.14508632;0.00000000;0.00000000
45;4.50000000;0.00000000;30.05033705;-11.28452218;1.54967752;1.65069151;1.63163561;-0.18398256;0.00000000;0.00000000
46;4.60000000;0.00000000;30.04529476;-11.18471592;1.55471916;1.64564639;1.61162254;-0.18263681;0.00000000;0.00000000
47;4.70000000;0.00000000;30.04217984;-11.08483015;1.55783378;1.64252989;1.59510825;-0.13320333;0.00000000;0.00000000
48;4.80000000;0.00000000;30.04043605;-10.98490667;1.55957745;1.64078500;1.58498187;-0.11470050;0.00000000;0.00000000
49;4.90000000;0.00000000;30.03934464;-10.88497765;1.56066877;1.63969247;1.57216814;-0.15623898;0.00000000;0.00000000
50;5.00000000;0.00000000;30.04016188;-10.78504531;1.55985146;1.64050825;1.55373407;-0.17877713;0.00000000;0.00000000
51;5.10000000;0.00000000;30.04275460;-10.68514271;1.55725857;1.64309854;1.53641272;-0.16585863;0.00000000;0.00000000
52;5.20000000;0.00000000;30.04703264;-10.58529743;1.55298015;1.64737263;1.52056235;-0.14216726;0.00000000;0.00000000
53;5.30000000;0.00000000;30.05279059;-10.48552606;1.54722155;1.63922886;1.50797927;-0.08249517;0.00000000;0.00000000
54;5.40000000;0.00000000;30.05957984;-10.38581839;1.54043143;1.61659999;1.50406331;-0.04622467;0.00000000;0.00000000
55;5.50000000;0.00000000;30.06611902;-10.28609494;1.53389147;1.59965671;1.49873433;-0.08520357;0.00000000;0.00000000
56;5.60000000;0.00000000;30.07397050;-10.18646577;1.52964732;1.59014299;1.48702260;-0.10485232;0.00000000;0.00000000
57;5.70000000;0.00000000;30.08284361;-10.08692214;1.52682778;1.58790359;1.47776387;-0.08248751;0.00000000;0.00000000
58;5.80000000;0.00000000;30.09253856;-9.98745500;1.52740928;1.59277035;1.47052510;-0.06207572;0.00000000;0.00000000
59;5.90000000;0.00000000;30.10285187;-9.88804995;1.53389483;1.60309227;1.46534872;-0.04122743;0.00000000;0.00000000
60;6.00000000;0.00000000;30.11357607;-9.78868830;1.54641563;1.61382590;1.46227961;-0.01991150;0.00000000;0.00000000
61;6.10000000;0.00000000;30.12449935;-9.68934832;1.56503450;1.60189603;1.46136642;-0.00266185;0.00000000;0.00000000
62;6.20000000;0.00000000;30.13540501;-9.59000643;1.56519642;1.58503994;1.46174724;-0.02942004;0.00000000;0.00000000
63;6.30000000;0.00000000;30.14625253;-9.49065910;1.55433640;1.57430135;1.45548241;-0.05274483;0.00000000;0.00000000
64;6.40000000;0.00000000;30.15840200;-9.39146170;1.54217088;1.57117453;1.45119828;-0.00185665;0.00000000;0.00000000
65;6.50000000;0.00000000;30.17010045;-9.29221010;1.53045779;1.57394475;1.45511108;-0.00524719;0.00000000;0.00000000
66;6.60000000;0.00000000;30.18147321;-9.19292128;1.52502250;1.58270647;1.45014884;-0.04769924;0.00000000;0.00000000
67;6.70000000;0.00000000;30.19415609;-9.09379066;1.52480758;1.59417525;1.44557124;-0.04000960;0.00000000;0.00000000
68;6.80000000;0.00000000;30.20643741;-8.99460979;1.53153242;1.60419126;1.44214692;-0.02680852;0.00000000;0.00000000
69;6.90000000;0.00000000;30.21979889;-8.89556840;1.54363184;1.58570001;1.44020953;-0.01471369;0.00000000;0.00000000
70;7.00000000;0.00000000;30.23246445;-8.79643564;1.56272922;1.57265283;1.43920418;-0.04943632;0.00000000;0.00000000
71;7.10000000;0.00000000;30.24602505;-8.69742130;1.56411075;1.56679024;1.43032227;-0.08730262;0.00000000;0.00000000
72;7.20000000;0.00000000;30.26044951;-8.59852906;1.56421224;1.56816295;1.42174366;-0.08450432;0.00000000;0.00000000
73;7.30000000;0.00000000;30.27570686;-8.49976185;1.56750916;1.57672195;1.41342140;-0.03434798;0.00000000;0.00000000
74;7.40000000;0.00000000;30.29177526;-8.40112334;1.57267307;1.57865662;1.41487406;0.02218863;0.00000000;0.00000000
75;7.50000000;0.00000000;30.30674558;-8.30231228;1.58523629;1.56356603;1.41785913;-0.01048161;0.00000000;0.00000000
76;7.60000000;0.00000000;30.32222482;-8.20357963;1.59212637;1.55527981;1.41277774;-0.04962610;0.00000000;0.00000000
77;7.70000000;0.00000000;30.33819855;-8.10492579;1.59264895;1.55389289;1.40793391;-0.04677781;0.00000000;0.00000000
78;7.80000000;0.00000000;30.35463353;-8.00634775;1.59896293;1.55177029;1.40342218;-0.04346793;0.00000000;0.00000000
79;7.90000000;0.00000000;30.37149679;-7.90784207;1.61103275;1.53997928;1.39924032;0.00309597;0.00000000;0.00000000
80;8.00000000;0.00000000;30.38875566;-7.80940494;1.61199533;1.53502085;1.40404137;0.05922177;0.00000000;0.00000000
81;8.10000000;0.00000000;30.40467214;-7.71074283;1.60216420;1.53136233;1.41108468;0.03444593;0.00000000;0.00000000
82;8.20000000;0.00000000;30.42054271;-7.61207230;1.59857924;1.53187541;1.41093056;-0.03786931;0.00000000;0.00000000
83;8.30000000;0.00000000;30.43648977;-7.51341410;1.60115860;1.53896935;1.40351082;-0.07775734;0.00000000;0.00000000
84;8.40000000;0.00000000;30.45382250;-7.41499145;1.60855266;1.55348356;1.39537909;-0.03864298;0.00000000;0.00000000
85;8.50000000;0.00000000;30.47137189;-7.31660563;1.62186529;1.53837629;1.39578222;0.01686761;0.00000000;0.00000000
86;8.60000000;0.00000000;30.48862552;-7.21816761;1.61147353;1.52936271;1.39875261;0.02987632;0.00000000;0.00000000
87;8.70000000;0.00000000;30.50559010;-7.11967933;1.59645031;1.52655777;1.40175749;0.03120723;0.00000000;0.00000000
88;8.80000000;0.00000000;30.52225183;-7.02113939;1.58789477;1.52998185;1.40499406;0.07111873;0.00000000;0.00000000
89;8.90000000;0.00000000;30.53857853;-6.92254341;1.58594412;1.53956114;1.41598123;0.09028067;0.00000000;0.00000000
90;9.00000000;0.00000000;30.55307035;-6.82366572;1.59213341;1.54839500;1.42305019;-0.00657932;0.00000000;0.00000000
91;9.10000000;0.00000000;30.56800134;-6.72485014;1.60409712;1.53259864;1.41466537;-0.06757722;0.00000000;0.00000000
92;9.20000000;0.00000000;30.58414973;-6.62622616;1.62093459;1.52443928;1.40953475;-0.00251191;0.00000000;0.00000000
93;9.30000000;0.00000000;30.60009405;-6.52756800;1.63050735;1.52260191;1.41416298;0.05980711;0.00000000;0.00000000
94;9.40000000;0.00000000;30.61532898;-6.42879788;1.63765119;1.52659964;1.42149617;0.07480658;0.00000000;0.00000000
95;9.50000000;0.00000000;30.62982467;-6.32991662;1.65156249;1.53459611;1.42912430;0.07776526;0.00000000;0.00000000
96;9.60000000;0.00000000;30.64355100;-6.23092569;1.65729005;1.52141624;1.43704922;0.05167829;0.00000000;0.00000000
97;9.70000000;0.00000000;30.65647766;-6.13182722;1.65052495;1.50558432;1.43945996;0.01542490;0.00000000;0.00000000
98;9.80000000;0.00000000;30.66972654;-6.03277140;1.64913537;1.49659855;1.44013420;0.04254777;0.00000000;0.00000000
99;9.90000000;0.00000000;30.68251948;-5.93365619;1.64878767;1.49379773;1.44796951;0.06710072;0.00000000;0.00000000
100;10.00000000;0.00000000;30.69421446;-5.83440553;1.65558907;1.49657138;1.45355434;0.04571071;0.00000000;0.00000000
101;10.10000000;0.00000000;30.70589965;-5.73515266;1.66836984;1.50597665;1.45711165;0.07023314;0.00000000;0.00000000
102;10.20000000;0.00000000;30.71688812;-5.63582210;1.68314433;1.48480511;1.46760097;0.09540931;0.00000000;0.00000000
103;10.30000000;0.00000000;30.72648852;-5.53634786;1.67354712;1.46748739;1.47619352;0.01677515;0.00000000;0.00000000
104;10.40000000;0.00000000;30.73576864;-5.43684103;1.66659294;1.45651333;1.47095600;-0.05307651;0.00000000;0.00000000
105;10.50000000;0.00000000;30.74641027;-5.33747519;1.66424814;1.45371804;1.46557821;-0.00470180;0.00000000;0.00000000
106;10.60000000;0.00000000;30.75675973;-5.23807706;1.66819185;1.45749117;1.47001564;0.06540499;0.00000000;0.00000000
107;10.70000000;0.00000000;30.76651956;-5.13861604;1.67867657;1.46726303;1.47865921;0.09238606;0.00000000;0.00000000
108;10.80000000;0.00000000;30.77514913;-5.03905485;1.69611046;1.47590204;1.48849285;0.10337048;0.00000000;0.00000000
109;10.90000000;0.00000000;30.78295111;-4.93942115;1.71727487;1.48371157;1.49933331;0.11398363;0.00000000;0.00000000
110;11.00000000;0.00000000;30.78942013;-4.83969734;1.71080304;1.49018595;1.51128958;0.09500645;0.00000000;0.00000000
111;11.10000000;0.00000000;30.79483766;-4.73990571;1.70538366;1.49560721;1.51833460;0.05245942;0.00000000;0.00000000
112;11.20000000;0.00000000;30.79990120;-4.64009549;1.70031853;1.50067406;1.52178146;0.06266207;0.00000000;0.00000000
113;11.30000000;0.00000000;30.80463068;-4.54026885;1.69558768;1.50540650;1.53086701;0.11276598;0.00000000;0.00000000
114;11.40000000;0.00000000;30.80787958;-4.44038912;1.69233807;1.50865742;1.54433466;0.11297892;0.00000000;0.00000000
115;11.50000000;0.00000000;30.80991888;-4.34047150;1.69029851;1.51069815;1.55346280;0.10701305;0.00000000;0.00000000
116;11.60000000;0.00000000;30.81134396;-4.24054351;1.68887326;1.51212463;1.56573727;0.14651016;0.00000000;0.00000000
117;11.70000000;0.00000000;30.81092998;-4.14061393;1.68928686;1.51171296;1.58276483;0.14804706;0.00000000;0.00000000
118;11.80000000;0.00000000;30.80895196;-4.04069563;1.69126412;1.50973844;1.59534668;0.14059986;0.00000000;0.00000000
119;11.90000000;0.00000000;30.80602352;-3.94080109;1.69419131;1.50681477;1.61088480;0.14966339;0.00000000;0.00000000
120;12.00000000;0.00000000;30.80094226;-3.84100206;1.69926954;1.50174257;1.62527936;0.09765694;0.00000000;0.00000000
121;12.10000000;0.00000000;30.79513966;-3.74123272;1.70506859;1.49595048;1.63041619;0.08797521;0.00000000;0.00000000
122;12.20000000;0.00000000;30.78903280;-3.64148219;1.71117162;1.48985504;1.64287440;0.16487372;0.00000000;0.00000000
123;12.30000000;0.00000000;30.78074708;-3.54189830;1.71945077;1.48158771;1.66339093;0.18178953;0.00000000;0.00000000
124;12.40000000;0.00000000;30.77055366;-3.44248246;1.72963508;1.47138585;1.67923231;0.11799506;0.00000000;0.00000000
125;12.50000000;0.00000000;30.75911646;-3.34320250;1.74106135;1.45993112;1.68698995;0.08413755;0.00000000;0.00000000
126;12.60000000;0.00000000;30.74738170;-3.24395538;1.75278510;1.44817797;1.69605982;0.13484175;0.00000000;0.00000000
127;12.70000000;0.00000000;30.73414676;-3.14490873;1.75719306;1.43491895;1.71395829;0.17044745;0.00000000;0.00000000
128;12.80000000;0.00000000;30.71886798;-3.04614688;1.74429855;1.42533893;1.73014931;0.11897934;0.00000000;0.00000000
129;12.90000000;0.00000000;30.70243143;-2.94757060;1.73823879;1.41571609;1.73775416;0.07859938;0.00000000;0.00000000
130;13.00000000;0.00000000;30.68565202;-2.84905070;1.73826153;1.41276541;1.74586918;0.12773954;0.00000000;0.00000000
131;13.10000000;0.00000000;30.66761960;-2.75076432;1.74528853;1.41560305;1.76330207;0.17518330;0.00000000;0.00000000
132;13.20000000;0.00000000;30.64741669;-2.65289110;1.72852286;1.42326574;1.78090584;0.17057912;0.00000000;0.00000000
133;13.30000000;0.00000000;30.62593359;-2.55529117;1.70768179;1.43656105;1.79741789;0.19323944;0.00000000;0.00000000
134;13.40000000;0.00000000;30.60251219;-2.45814739;1.69447390;1.42927477;1.81955373;0.19232929;0.00000000;0.00000000
135;13.50000000;0.00000000;30.57673076;-2.36159351;1.68952248;1.42606376;1.83588375;0.10406762;0.00000000;0.00000000
136;13.60000000;0.00000000;30.55014660;-2.26525552;1.69130542;1.42901839;1.84036725;0.05634693;0.00000000;0.00000000
137;13.70000000;0.00000000;30.52350029;-2.16893627;1.69105179;1.43886032;1.84715314;0.09998287;0.00000000;0.00000000
138;13.80000000;0.00000000;30.49561154;-2.07296932;1.68951253;1.45424651;1.86036383;0.13891060;0.00000000;0.00000000
139;13.90000000;0.00000000;30.46642987;-1.97738741;1.69248395;1.47338390;1.87493526;0.18249507;0.00000000;0.00000000
140;14.00000000;0.00000000;30.43575747;-1.88227662;1.70014593;1.47410342;1.89686284;0.21232429;0.00000000;0.00000000
