id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;32.64842857;-13.80744144;0.60752472;2.59088618;2.99321591;-0.44976935;5.14903962;-0.14219012
1;0.09996819;0.00000000;32.54999363;-13.79045624;0.60033979;2.58227731;2.94819897;-0.45159764;5.14627827;-0.10230434
2;0.19993637;0.00000000;32.45229326;-13.76901651;0.60522113;2.56619331;2.90290729;-0.45345089;5.14429059;-0.10230434
3;0.29990456;0.00000000;32.35578781;-13.74323217;0.61155409;2.55276940;2.85836317;-0.43852592;5.14230214;0.30171495
4;0.39987274;0.00000000;32.26037417;-13.71320111;0.62499725;2.54756973;2.81519104;-0.42479125;5.14816425;0.63904632
5;0.49984093;0.00000000;32.16643075;-13.67918561;0.62452731;2.54535444;2.77341349;-0.41161555;5.16055847;0.93516412
6;0.59980911;0.00000000;32.07387535;-13.64129619;0.63197469;2.51629089;2.73285675;-0.39952921;5.17864239;1.18161566
7;0.69977730;0.00000000;31.98298378;-13.59977639;0.65093880;2.49482349;2.69352704;-0.38770851;5.20140221;1.40611867
8;0.79974549;0.00000000;31.89370515;-13.55473280;0.65227646;2.48103186;2.65531622;-0.37659606;5.22835722;1.59980047
9;0.89971367;0.00000000;31.80624188;-13.50639154;0.65129525;2.47497388;2.61821166;-0.36604946;5.25885706;1.76977902
10;0.99968186;0.00000000;31.72055534;-13.45485182;0.66191821;2.47660152;2.58210774;-0.35612765;5.29239273;1.91679114
11;1.09965004;0.00000000;31.63680109;-13.40032289;0.68367626;2.48579761;2.54699973;-0.34649720;5.32847605;2.05226257
12;1.19961823;0.00000000;31.55494838;-13.34289948;0.71309489;2.48371761;2.51281207;-0.33738146;5.36684069;2.17106134
13;1.29958641;0.00000000;31.47511051;-13.28277237;0.74177596;2.46976538;2.47953751;-0.32850505;5.40712984;2.28245487
14;1.39955460;0.00000000;31.39726287;-13.22003397;0.77933936;2.45248023;2.44711659;-0.32004802;5.44916497;2.38189665
15;1.49952278;0.00000000;31.32148496;-13.15485703;0.80159878;2.41451240;2.41554491;-0.31172563;5.49268847;2.47872333
16;1.59949097;0.00000000;31.24775558;-13.08733280;0.80598694;2.38309237;2.38477795;-0.30379998;5.53761804;2.56536205
17;1.69945916;0.00000000;31.17612717;-13.01761646;0.81138520;2.35471470;2.35479094;-0.29623552;5.58373734;2.64340313
18;1.79942734;0.00000000;31.10658088;-12.94579540;0.82600622;2.32332577;2.32553917;-0.28898500;5.63086451;2.71468562
19;1.89939553;0.00000000;31.03915026;-12.87200823;0.84942589;2.29315912;2.29700180;-0.28202806;5.67885548;2.78009350
20;1.99936371;0.00000000;30.97381605;-12.79633706;0.88099626;2.26677207;2.26914265;-0.27531866;5.72758600;2.84128531
21;2.09933190;0.00000000;30.91059767;-12.71890693;0.91990689;2.23460017;2.24195015;-0.26877164;5.77696440;2.90118286
22;2.19930008;0.00000000;30.84947541;-12.63979709;0.96530863;2.20124026;2.21539692;-0.26245510;5.82695200;2.95750688
23;2.29926827;0.00000000;30.79045510;-12.55911841;0.99763881;2.16214589;2.18947286;-0.25623759;5.87747248;3.01480969
24;2.39923646;0.00000000;30.73351678;-12.47694877;1.02053511;2.12945990;2.16415908;-0.25020906;5.92852873;3.06991453
