id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;17.26509918;-5.27624135;1.77659060;1.42152422;2.89039914;-0.14631299;0.00000000;0.00000000
1;0.10000000;0.00000000;17.16831321;-5.25140475;1.75637267;1.41451863;2.87576784;-0.18962606;0.00000000;0.00000000
2;0.20000000;0.00000000;17.07229884;-5.22374793;1.73876433;1.40570017;2.85247393;-0.20001959;0.00000000;0.00000000
3;0.30000000;0.00000000;16.97677692;-5.19443166;1.72504487;1.39579403;2.83576392;-0.18489827;0.00000000;0.00000000
4;0.40000000;0.00000000;16.88174013;-5.16358200;1.71543449;1.39461085;2.81549427;-0.21469808;0.00000000;0.00000000
5;0.50000000;0.00000000;16.78749470;-5.13042184;1.70917135;1.40300033;2.79282431;-0.20669150;0.00000000;0.00000000
6;0.60000000;0.00000000;16.69395349;-5.09529652;1.70664966;1.42044275;2.77415597;-0.17989947;0.00000000;0.00000000
7;0.70000000;0.00000000;16.60100528;-5.05863887;1.70833199;1.44229600;2.75684441;-0.16068146;0.00000000;0.00000000
8;0.80000000;0.00000000;16.50873423;-5.02029587;1.70577316;1.45092080;2.74201968;-0.16841910;0.00000000;0.00000000
9;0.90000000;0.00000000;16.41690876;-4.98089676;1.69996843;1.46744430;2.72316059;-0.18463688;0.00000000;0.00000000
10;1.00000000;0.00000000;16.32614809;-4.93910105;1.68997318;1.45709964;2.70509230;-0.12596168;0.00000000;0.00000000
11;1.10000000;0.00000000;16.23580589;-4.89641005;1.67048198;1.45294573;2.69796826;-0.06394525;0.00000000;0.00000000
12;1.20000000;0.00000000;16.14565006;-4.85332554;1.65636503;1.45608964;2.69230325;-0.06788276;0.00000000;0.00000000
13;1.30000000;0.00000000;16.05579788;-4.80961398;1.64750005;1.46351925;2.68439171;-0.08793416;0.00000000;0.00000000
14;1.40000000;0.00000000;15.96633607;-4.76510889;1.64378462;1.45816131;2.67471642;-0.10590810;0.00000000;0.00000000
15;1.50000000;0.00000000;15.87734759;-4.71966748;1.64508918;1.45273588;2.66321009;-0.10530810;0.00000000;0.00000000
16;1.60000000;0.00000000;15.78893266;-4.67311515;1.65120161;1.45542052;2.65365480;-0.06223761;0.00000000;0.00000000
17;1.70000000;0.00000000;15.70082655;-4.62598031;1.65295984;1.46558528;2.65076256;-0.00782046;0.00000000;0.00000000
18;1.80000000;0.00000000;15.61268210;-4.57891719;1.64252874;1.48235087;2.65209071;-0.00599177;0.00000000;0.00000000
19;1.90000000;0.00000000;15.52445112;-4.53201655;1.63832140;1.50539759;2.64956421;-0.04907952;0.00000000;0.00000000
20;2.00000000;0.00000000;15.43654649;-4.48450911;1.62943407;1.52050062;2.64227481;-0.05740858;0.00000000;0.00000000
