id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;17.30172364;-4.74418123;1.24418209;1.93728411;-2.95582478;-0.25862857;5.91251746;2.82375659
1;0.09995458;0.00000000;17.20328649;-4.76137536;1.26510226;1.88188911;-2.98142665;-0.25378330;5.96006355;2.84769522
2;0.19990915;0.00000000;17.10439885;-4.77607397;1.29102694;1.83247170;-3.00656151;-0.24905173;6.00763164;2.87179087
3;0.29986373;0.00000000;17.00522284;-4.78830078;1.32166643;1.78956495;-3.03121696;-0.24442927;6.05522379;2.89607768
4;0.39981831;0.00000000;16.90572966;-4.79810577;1.35675395;1.75358859;-3.05542952;-0.23996302;6.10284258;2.91867049
5;0.49977288;0.00000000;16.80607675;-4.80551810;1.39594245;1.72499070;-3.07919520;-0.23570112;6.15045986;2.93762372
6;0.59972746;0.00000000;16.70623097;-4.81058308;1.43894805;1.70409033;-3.10255202;-0.23156823;6.19801697;2.95570291
7;0.69968204;0.00000000;16.60633901;-4.81333454;1.47893835;1.67697050;-3.12549192;-0.22756222;6.24550130;2.97285104
8;0.79963661;0.00000000;16.50636701;-4.81381347;1.51185378;1.65013353;3.13513775;-0.22368620;6.29289970;2.98880606
9;0.89959119;0.00000000;16.40645044;-4.81205785;1.54846643;1.60724777;3.11297191;-0.21994246;6.34019529;3.00333719
10;0.99954577;0.00000000;16.30655705;-4.80810460;1.56693291;1.56340826;3.09116571;-0.21631367;6.38736807;3.01701303
11;1.09950034;0.00000000;16.20680970;-4.80199480;1.58835568;1.52691146;3.06972573;-0.21277807;6.43440747;3.03059578
12;1.19945492;0.00000000;16.10717938;-4.79376208;1.61366369;1.49824984;3.04862599;-0.20935274;6.48131493;3.04323287
13;1.29940950;0.00000000;16.00777627;-4.78344983;1.64268182;1.46535225;3.02787095;-0.20602108;6.52807884;3.05549865
14;1.39936407;0.00000000;15.90857517;-4.77108894;1.67525431;1.42311595;3.00743729;-0.20278521;6.57469661;3.06717062
15;1.49931865;0.00000000;15.80967394;-4.75672412;1.71117557;1.38873970;2.98732973;-0.19962175;6.62116236;3.07914675
16;1.59927323;0.00000000;15.71105195;-4.74038434;1.75027349;1.36278186;2.96752784;-0.19655330;6.66748383;3.09029920
17;1.69922781;0.00000000;15.61279497;-4.72211484;1.77441248;1.34572413;2.94803447;-0.19355263;6.71365174;3.10173384
18;1.79918238;0.00000000;15.51488663;-4.70194312;1.79502342;1.33787498;2.92883214;-0.19063149;6.75967342;3.11279800
19;1.89913696;0.00000000;15.41740166;-4.67991430;1.81644954;1.33777614;2.90992322;-0.18777152;6.80554638;3.12422764
20;1.99909154;0.00000000;15.32032743;-4.65605487;1.83397380;1.31388324;2.89129216;-0.18498629;6.85127895;3.13527696
21;2.09904611;0.00000000;15.22372903;-4.63040943;1.85492511;1.29232066;2.87294073;-0.18225368;6.89686840;3.14689168
22;2.19900069;0.00000000;15.12759716;-4.60300378;1.87921544;1.26801118;2.85485546;-0.17958774;6.94232571;3.15829271
23;2.29895527;0.00000000;15.03198783;-4.57388157;1.90672692;1.25078886;2.83703765;-0.17696810;6.98765038;3.17037478
24;2.39890984;0.00000000;14.93689468;-4.54306822;1.93734648;1.24316471;2.81947557;-0.17440886;7.03285467;3.18234728
25;2.49886442;0.00000000;14.84236570;-4.51060614;1.96276409;1.22673473;2.80217001;-0.17189124;7.07793933;3.19505828
26;2.59881900;0.00000000;14.74839690;-4.47652057;1.98097035;1.19350496;2.78511077;-0.16942801;7.12291700;3.20777297
27;2.69877357;0.00000000;14.65502915;-4.44085250;2.00235952;1.16956826;2.76829822;-0.16700217;7.16778974;3.22127868
28;2.79872815;0.00000000;14.56226036;-4.40362708;2.02685257;1.15547989;2.75172350;-0.16462542;7.21257047;3.23488734
29;2.89868273;0.00000000;14.47012512;-4.36488376;2.04778463;1.15158446;2.73538664;-0.16228258;7.25726232;3.24931936
30;2.99863730;0.00000000;14.37862276;-4.32464766;2.05137878;1.14352437;2.71927989;-0.15998405;7.30187819;3.26394593
31;3.09859188;0.00000000;14.28778239;-4.28295665;2.05823204;1.13600733;2.70340302;-0.15771621;7.34642211;3.27943052
32;3.19854646;0.00000000;14.19760429;-4.23983581;2.06833369;1.13643303;2.68774928;-0.15548829;7.39090698;3.29520058
33;3.29850103;0.00000000;14.10811281;-4.19532143;2.08165468;1.13330868;2.67231824;-0.15328841;7.43533770;3.31184614
34;3.39845561;0.00000000;14.01930884;-4.14943852;2.09360831;1.14050411;2.65710395;-0.15112544;7.47972694;3.32880962
35;3.49841019;0.00000000;13.93121256;-4.10222180;2.09551179;1.14735383;2.64210570;-0.14898889;7.52407965;3.34662269
36;3.59836476;0.00000000;13.84382520;-4.05369618;2.10068828;1.13079919;2.62731833;-0.14688270;7.56840770;3.36500419
37;3.69831934;0.00000000;13.75716323;-4.00389485;2.08854196;1.11950206;2.61274155;-0.14479633;7.61271898;3.38450884
38;3.79827392;0.00000000;13.67122789;-3.95284257;2.07822989;1.11851554;2.59837060;-0.14275434;7.65702844;3.40364712
39;3.89822849;0.00000000;13.58603258;-3.90057102;2.07126733;1.12784682;2.58420210;-0.14075383;7.70133136;3.42253490
40;3.99818307;0.00000000;13.50157853;-3.84710443;2.06770909;1.13263797;2.57023256;-0.13872820;7.74562462;3.44511359
41;4.09813765;0.00000000;13.41787623;-3.79247340;2.06759393;1.13775219;2.55646998;-0.13665647;7.78995575;3.47262744
42;4.19809222;0.00000000;13.33492599;-3.73670284;2.07094306;1.14182009;2.54291328;-0.13457792;7.83438706;3.50265197
