id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;8.69337117;-3.31356135;1.53661272;1.58645156;2.93425549;-0.22335399;0.00000000;0.00000000
1;0.10000000;0.00000000;8.59557513;-3.29298895;1.53647460;1.60701660;2.91192009;-0.32672528;0.00000000;0.00000000
2;0.20000000;0.00000000;8.49880128;-3.26807130;1.53837128;1.63015238;2.86891043;-0.40704744;0.00000000;0.00000000
3;0.30000000;0.00000000;8.40314256;-3.23917558;1.54111731;1.62766461;2.83051060;-0.37403982;0.00000000;0.00000000
4;0.40000000;0.00000000;8.30856844;-3.20690744;1.53483874;1.61883631;2.79410247;-0.38107395;0.00000000;0.00000000
5;0.50000000;0.00000000;8.21527164;-3.17113120;1.52061803;1.61886600;2.75429581;-0.39263619;0.00000000;0.00000000
6;0.60000000;0.00000000;8.12357780;-3.13145003;1.50866569;1.62924413;2.71557523;-0.36415277;0.00000000;0.00000000
7;0.70000000;0.00000000;8.03332593;-3.08856250;1.49975952;1.64822313;2.68146525;-0.34050035;0.00000000;0.00000000
8;0.80000000;0.00000000;7.94454562;-3.04272035;1.49418205;1.63981217;2.64747516;-0.34214494;0.00000000;0.00000000
9;0.90000000;0.00000000;7.85741979;-2.99380384;1.49178534;1.62769513;2.61303627;-0.33992901;0.00000000;0.00000000
10;1.00000000;0.00000000;7.77200127;-2.94195800;1.49268862;1.62504569;2.57948936;-0.33113012;0.00000000;0.00000000
11;1.10000000;0.00000000;7.68834556;-2.88730678;1.49696252;1.63183674;2.54681024;-0.30559366;0.00000000;0.00000000
12;1.20000000;0.00000000;7.60648580;-2.82998607;1.50467012;1.64785168;2.51837063;-0.29097181;0.00000000;0.00000000
13;1.30000000;0.00000000;7.52606319;-2.77066075;1.49191202;1.65561674;2.48861588;-0.31565446;0.00000000;0.00000000
14;1.40000000;0.00000000;7.44775710;-2.70857255;1.48183378;1.65468955;2.45523973;-0.30731778;0.00000000;0.00000000
15;1.50000000;0.00000000;7.37147809;-2.64402107;1.47526731;1.64638956;2.42715232;-0.25439704;0.00000000;0.00000000
16;1.60000000;0.00000000;7.29678468;-2.57763733;1.47303242;1.64630607;2.40436033;-0.23015572;0.00000000;0.00000000
17;1.70000000;0.00000000;7.22352478;-2.50967545;1.47544096;1.65439859;2.38112118;-0.25394661;0.00000000;0.00000000
18;1.80000000;0.00000000;7.15200214;-2.43989858;1.47667386;1.67091656;2.35357100;-0.28287446;0.00000000;0.00000000
19;1.90000000;0.00000000;7.08259920;-2.36800848;1.47880073;1.69606682;2.32454629;-0.26107815;0.00000000;0.00000000
