id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;8.82811128;-2.40300927;0.61695213;2.49715179;3.07434628;-0.35313704;5.55771341;0.97283164
1;0.09999169;0.00000000;8.72848444;-2.39454554;0.63750021;2.50561880;3.03948888;-0.34405577;5.57518865;1.18564721
2;0.19998339;0.00000000;8.62920599;-2.38265992;0.65788966;2.50306314;3.00554270;-0.33493507;5.59641298;1.38881044
3;0.29997508;0.00000000;8.53039010;-2.36745721;0.67108220;2.48168991;2.97247863;-0.32654634;5.62117223;1.55977581
4;0.39996677;0.00000000;8.43210576;-2.34903291;0.67040886;2.46742161;2.94022020;-0.31871171;5.64885001;1.70670987
5;0.49995847;0.00000000;8.33447215;-2.32748913;0.68137553;2.44708485;2.90873245;-0.31115861;5.67898055;1.84020335
6;0.59995016;0.00000000;8.23754618;-2.30291590;0.70350152;2.41361038;2.87798667;-0.30383834;5.71128972;1.96304971
7;0.69994185;0.00000000;8.14142173;-2.27541215;0.73582348;2.38679649;2.84795085;-0.29701381;5.74555546;2.06753947
8;0.79993355;0.00000000;8.04614456;-2.24506210;0.77711034;2.36682119;2.81857824;-0.29050382;5.78142552;2.16072929
9;0.89992524;0.00000000;7.95179989;-2.21196126;0.79823334;2.35381650;2.78984798;-0.28421161;5.81867606;2.24656456
10;0.99991693;0.00000000;7.85842421;-2.17618910;0.81126882;2.32111103;2.76173359;-0.27814326;5.85715517;2.32532088
11;1.09990863;0.00000000;7.76608885;-2.13783779;0.83348020;2.28610535;2.73421403;-0.27235715;5.89671876;2.39537007
12;1.19990032;0.00000000;7.67482238;-2.09698187;0.86420241;2.25760559;2.70725936;-0.26679185;5.93719853;2.45922831
13;1.29989201;0.00000000;7.58468738;-2.05371032;0.89733908;2.23583354;2.68085394;-0.26141459;5.97847231;2.51831217
14;1.39988371;0.00000000;7.49570536;-2.00809310;0.93259239;2.22094493;2.65497490;-0.25621512;6.02044449;2.57317027
15;1.49987540;0.00000000;7.40792945;-1.96021585;0.95767759;2.21303999;2.62961002;-0.25117552;6.06303085;2.62459223
16;1.59986709;0.00000000;7.32137533;-1.91014447;0.98297707;2.20016834;2.60473837;-0.24630136;6.10616229;2.67246186
17;1.69985879;0.00000000;7.23608820;-1.85796143;1.01523255;2.15692842;2.58034968;-0.24155761;6.14976958;2.71816722
18;1.79985048;0.00000000;7.15207906;-1.80372902;1.05383517;2.10640630;2.55642588;-0.23696704;6.19380773;2.76086741
19;1.89984218;0.00000000;7.06938532;-1.74752601;1.09739902;2.06163496;2.53295551;-0.23251935;6.23821944;2.80098050
20;1.99983387;0.00000000;6.98801387;-1.68941085;1.13421247;2.02297310;2.50992157;-0.22820474;6.28295563;2.83889063
21;2.09982556;0.00000000;6.90799591;-1.62945880;1.15818781;1.99076342;2.48731407;-0.22401966;6.32797459;2.87472130
22;2.19981726;0.00000000;6.82933477;-1.56772463;1.18800871;1.96529445;2.46511734;-0.21995639;6.37323771;2.90875352
23;2.29980895;0.00000000;6.75205604;-1.50428006;1.22326657;1.92963923;2.44332291;-0.21600117;6.41871181;2.94151012
24;2.39980064;0.00000000;6.67616019;-1.43917663;1.26353046;1.89019623;2.42191712;-0.21215550;6.46437270;2.97287588
25;2.49979234;0.00000000;6.60166745;-1.37248236;1.30773222;1.85732482;2.40089205;-0.20841005;6.51019510;3.00318777
26;2.59978403;0.00000000;6.52857588;-1.30424574;1.35051107;1.82791621;2.38023536;-0.20476307;6.55615953;3.03245627
27;2.69977572;0.00000000;6.45690112;-1.23453126;1.39737041;1.78716309;2.35993986;-0.20120693;6.60224725;3.06094616
28;2.79976742;0.00000000;6.38663919;-1.16338462;1.43292167;1.75071006;2.33999439;-0.19773951;6.64844396;3.08867955
29;2.89975911;0.00000000;6.31780153;-1.09086677;1.46593590;1.70762973;2.32039266;-0.19435105;6.69473612;3.11602001
