id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;25.46195777;3.19051808;1.52222694;1.67349967;3.06254788;-0.16040188;0.00000000;0.00000000
1;0.10000000;0.00000000;25.36230087;3.19841188;1.53052804;1.64516334;3.04650770;-0.23886103;0.00000000;0.00000000
2;0.20000000;0.00000000;25.26294925;3.20949803;1.54210140;1.61703998;3.01477568;-0.31610398;0.00000000;0.00000000
3;0.30000000;0.00000000;25.16399470;3.22369616;1.55693083;1.59778501;2.98328690;-0.35017048;0.00000000;0.00000000
4;0.40000000;0.00000000;25.06554119;3.24101256;1.57168804;1.58776152;2.94474158;-0.36159041;0.00000000;0.00000000
5;0.50000000;0.00000000;24.96797248;3.26278961;1.57267144;1.58854267;2.91096882;-0.32876228;0.00000000;0.00000000
6;0.60000000;0.00000000;24.87090672;3.28671302;1.57296112;1.59778976;2.87898912;-0.32028752;0.00000000;0.00000000
7;0.70000000;0.00000000;24.77492878;3.31468193;1.57541370;1.61729134;2.84691131;-0.27031316;0.00000000;0.00000000
8;0.80000000;0.00000000;24.67959802;3.34477869;1.58197251;1.60852356;2.82492649;-0.23457478;0.00000000;0.00000000
9;0.90000000;0.00000000;24.58494480;3.37693845;1.59003565;1.58705131;2.79999636;-0.24483006;0.00000000;0.00000000
10;1.00000000;0.00000000;24.49123864;3.41174684;1.58674203;1.57445269;2.77596048;-0.23343831;0.00000000;0.00000000
11;1.10000000;0.00000000;24.39824108;3.44841736;1.58775009;1.57012948;2.75330870;-0.23163380;0.00000000;0.00000000
12;1.20000000;0.00000000;24.30621274;3.48743175;1.59250852;1.57280163;2.72963372;-0.21058014;0.00000000;0.00000000
13;1.30000000;0.00000000;24.21505460;3.52846292;1.59659829;1.56332056;2.71119267;-0.16295713;0.00000000;0.00000000
14;1.40000000;0.00000000;24.12451788;3.57084880;1.60437027;1.55478496;2.69704229;-0.12392031;0.00000000;0.00000000
15;1.50000000;0.00000000;24.03455461;3.61444434;1.61697155;1.55399055;2.68640861;-0.09229879;0.00000000;0.00000000
16;1.60000000;0.00000000;23.94493701;3.65874733;1.62353373;1.55896079;2.67858254;-0.11842468;0.00000000;0.00000000
17;1.70000000;0.00000000;23.85566651;3.70374588;1.60684372;1.56070464;2.66272367;-0.16996535;0.00000000;0.00000000
18;1.80000000;0.00000000;23.76750272;3.75086663;1.59386785;1.56666222;2.64458947;-0.14728404;0.00000000;0.00000000
19;1.90000000;0.00000000;23.67992403;3.79907171;1.58586345;1.54186001;2.63326686;-0.11193407;0.00000000;0.00000000
20;2.00000000;0.00000000;23.59284769;3.84817790;1.58310804;1.51886271;2.62220265;-0.11563313;0.00000000;0.00000000
21;2.10000000;0.00000000;23.50635832;3.89830827;1.58548064;1.50335021;2.61014024;-0.11074640;0.00000000;0.00000000
22;2.20000000;0.00000000;23.42049074;3.94950133;1.59290773;1.49560790;2.60005337;-0.12414461;0.00000000;0.00000000
23;2.30000000;0.00000000;23.33502755;4.00136783;1.60575835;1.49531264;2.58531132;-0.14408774;0.00000000;0.00000000
24;2.40000000;0.00000000;23.25070619;4.05507017;1.60265176;1.50383676;2.57123582;-0.08750820;0.00000000;0.00000000
25;2.50000000;0.00000000;23.16673714;4.10932143;1.60162939;1.51954773;2.56780968;-0.02812747;0.00000000;0.00000000
26;2.60000000;0.00000000;23.08278552;4.16360045;1.60680550;1.53811068;2.56561033;-0.02800041;0.00000000;0.00000000
27;2.70000000;0.00000000;22.99905646;4.21822018;1.61337364;1.55108830;2.56220959;-0.02137783;0.00000000;0.00000000
28;2.80000000;0.00000000;22.91547629;4.27306871;1.60945384;1.55686674;2.56133476;-0.04100052;0.00000000;0.00000000
29;2.90000000;0.00000000;22.83184408;4.32783410;1.60923114;1.56890920;2.55400949;-0.05300631;0.00000000;0.00000000
30;3.00000000;0.00000000;22.74907604;4.38390142;1.60989946;1.58038753;2.55073350;0.01659567;0.00000000;0.00000000
31;3.10000000;0.00000000;22.66580240;4.43921497;1.60394899;1.55974067;2.55732862;0.03854026;0.00000000;0.00000000
32;3.20000000;0.00000000;22.58230219;4.49418562;1.59240853;1.54003350;2.55844155;-0.02155428;0.00000000;0.00000000
33;3.30000000;0.00000000;22.49890579;4.54931357;1.58174582;1.52681894;2.55301777;-0.06430435;0.00000000;0.00000000
34;3.40000000;0.00000000;22.41600937;4.60518501;1.57646367;1.52097363;2.54558068;-0.03142158;0.00000000;0.00000000
35;3.50000000;0.00000000;22.33344296;4.66154669;1.57692104;1.52227784;2.54673345;0.02457924;0.00000000;0.00000000
