id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;25.40129527;3.90084069;0.83953733;2.31506265;-2.88915376;-0.23852708;6.53761984;1.64001222
1;0.09999901;0.00000000;25.30417912;3.87701366;0.89299287;2.26387656;-2.91276399;-0.23368082;6.56265741;1.76922844
2;0.19999802;0.00000000;25.20653227;3.85546221;0.94668914;2.21810876;-2.93588934;-0.22883537;6.58956103;1.89557530
3;0.29999703;0.00000000;25.10842470;3.83615222;0.98271321;2.17808484;-2.95853716;-0.22417405;6.61826456;2.01152806
4;0.39999605;0.00000000;25.00989543;3.81904393;1.02297020;2.14409585;-2.98072724;-0.21962675;6.64858838;2.12079464
5;0.49999506;0.00000000;24.91102967;3.80410604;1.06918016;2.11641612;-3.00246839;-0.21524950;6.68041033;2.22134693
6;0.59999407;0.00000000;24.81184789;3.79129730;1.12063738;2.05944103;-3.02377868;-0.21094314;6.71357931;2.31809850
7;0.69999308;0.00000000;24.71243762;3.78058567;1.16679458;2.00317949;-3.04466217;-0.20679051;6.74801914;2.40760268
8;0.79999209;0.00000000;24.61280496;3.77193000;1.20680246;1.95220353;-3.06513876;-0.20272142;6.78360362;2.49341680
9;0.89999110;0.00000000;24.51304058;3.76529739;1.25175154;1.90694701;-3.08521084;-0.19878555;6.82026074;2.57347704
10;0.99999012;0.00000000;24.41313950;3.76064801;1.30060893;1.86561112;-3.10489752;-0.19492241;6.85788939;2.65086027
11;1.09998913;0.00000000;24.31319202;3.75794745;1.34796556;1.81045318;-3.12419866;-0.19116663;6.89643485;2.72409751
12;1.19998814;0.00000000;24.21318495;3.75715774;1.39928266;1.76091440;3.14005280;-0.18748213;6.93582207;2.79508610
13;1.29998715;0.00000000;24.11320701;3.75824280;1.45412799;1.71749341;3.12148736;-0.18389110;6.97600455;2.86287635
14;1.39998616;0.00000000;24.01323914;3.76116688;1.50715153;1.68062264;3.10327302;-0.18036534;7.01692305;2.92897143
15;1.49998517;0.00000000;23.91336683;3.76589225;1.52974987;1.64113808;3.08541208;-0.17691526;7.05854075;2.99294409
16;1.59998418;0.00000000;23.81356707;3.77238544;1.55677232;1.60775170;3.06788848;-0.17352627;7.10081548;3.05560978
17;1.69998320;0.00000000;23.71392117;3.78060723;1.58800278;1.55298708;3.05070500;-0.17020125;7.14371727;3.11688752
18;1.79998221;0.00000000;23.61440364;3.79052635;1.62323591;1.49037243;3.03384681;-0.16693281;7.18721558;3.17721376
19;1.89998122;0.00000000;23.51509086;3.80210237;1.66221954;1.43341551;3.01731688;-0.16371944;7.23128648;3.23671412
20;1.99998023;0.00000000;23.41595595;3.81530605;1.70473366;1.38277364;3.00110160;-0.16055694;7.27590823;3.29564928
21;2.09997924;0.00000000;23.31706993;3.83009606;1.75051762;1.33917529;2.98520437;-0.15743705;7.32106304;3.35449412
22;2.19997825;0.00000000;23.21840539;3.84644494;1.79935857;1.30328768;2.96961290;-0.15436726;7.36673986;3.41287093
23;2.29997727;0.00000000;23.12002767;3.86431077;1.83340607;1.27575868;2.95432948;-0.15134578;7.41292274;3.47090070
24;2.39997628;0.00000000;23.02190952;3.88366779;1.86969494;1.25710143;2.93934260;-0.14836399;7.45959764;3.52908039
25;2.49997529;0.00000000;22.92411047;3.90447385;1.90918199;1.23654550;2.92465633;-0.14540188;7.50675735;3.58855460
26;2.59997430;0.00000000;22.82660381;3.92670437;1.95170745;1.21247714;2.91026142;-0.14245229;7.55440996;3.64975481
27;2.69997331;0.00000000;22.72944317;3.95031677;1.98189768;1.18459027;2.89616886;-0.13943506;7.60256888;3.71734415
28;2.79997232;0.00000000;22.63260249;3.97528644;2.01274920;1.16602248;2.88237342;-0.13645048;7.65130806;3.78553033
29;2.89997134;0.00000000;22.53612936;4.00157028;2.04674870;1.14295981;2.86887867;-0.13347644;7.70062424;3.85565623
30;2.99997035;0.00000000;22.43999854;4.02914435;2.07154032;1.11645631;2.85567710;-0.13054683;7.75053142;3.92573227
31;3.09996936;0.00000000;22.34425219;4.05796613;2.08881082;1.06554052;2.84276715;-0.12768059;7.80101762;3.99462724
32;3.19996837;0.00000000;22.24886593;4.08801299;2.10642561;1.01603726;2.83014025;-0.12483802;7.85205664;4.06479037
33;3.29996738;0.00000000;22.15387708;4.11924336;2.12738188;0.97548102;2.81779965;-0.12199902;7.90365381;4.13750676
34;3.39996639;0.00000000;22.05926204;4.15163513;2.15161245;0.94499043;2.80573968;-0.11918858;7.95583036;4.21124207
35;3.49996540;0.00000000;21.96505326;4.18514750;2.17902445;0.92554711;2.79396122;-0.11640268;8.00858769;4.28628076
36;3.59996442;0.00000000;21.87122811;4.21975893;2.20852857;0.91782268;2.78245850;-0.11364035;8.06193057;4.36271805
37;3.69996343;0.00000000;21.77781443;4.25542973;2.22559356;0.89959921;2.77123273;-0.11089424;8.11586468;4.44106828
38;3.79996244;0.00000000;21.68479059;4.29213876;2.24590644;0.88536026;2.76027908;-0.10816848;8.17040172;4.52109758
39;3.89996145;0.00000000;21.59217999;4.32984747;2.26939915;0.86975242;2.74959876;-0.10545439;8.22555013;4.59029911
40;3.99996046;0.00000000;21.49996207;4.36853495;2.29600256;0.84816062;2.73918769;-0.10275971;8.28116693;4.55796316
41;4.09995947;0.00000000;21.40815597;4.40816394;2.32562709;0.83150057;2.72904642;-0.10007978;8.33602479;4.52604503
42;4.19995849;0.00000000;21.31674228;4.44871364;2.35818670;0.82410833;2.71917130;-0.09741528;8.39014358;4.49453411
