id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;27.82109734;3.29393506;1.69407137;1.50652262;0.01239461;0.17497877;0.00000000;0.00000000
1;0.10000000;0.00000000;27.92104372;3.29517392;1.69531001;1.50528420;0.02989248;0.22365798;0.00000000;0.00000000
2;0.20000000;0.00000000;28.02088323;3.29990894;1.70004319;1.50055334;0.05712620;0.23109779;0.00000000;0.00000000
3;0.30000000;0.00000000;28.12061309;3.30658698;1.70671790;1.49388285;0.07611204;0.22508902;0.00000000;0.00000000
4;0.40000000;0.00000000;28.22020209;3.31510887;1.71523465;1.48537278;0.10214401;0.26674826;0.00000000;0.00000000
5;0.50000000;0.00000000;28.31944454;3.32696735;1.72708384;1.47353648;0.12946169;0.23661042;0.00000000;0.00000000
6;0.60000000;0.00000000;28.41841883;3.34091467;1.74101920;1.45962002;0.14946609;0.22639842;0.00000000;0.00000000
7;0.70000000;0.00000000;28.51711119;3.35673380;1.74266791;1.44384167;0.17474138;0.25932089;0.00000000;0.00000000
8;0.80000000;0.00000000;28.61524886;3.37566342;1.73306648;1.42497265;0.20133027;0.27132844;0.00000000;0.00000000
9;0.90000000;0.00000000;28.71296036;3.39670570;1.73135331;1.40437754;0.22900707;0.30797983;0.00000000;0.00000000
10;1.00000000;0.00000000;28.80989709;3.42103519;1.73876882;1.38732591;0.26292623;0.31244371;0.00000000;0.00000000
11;1.10000000;0.00000000;28.90595127;3.44865062;1.75521367;1.37394211;0.29149581;0.27300993;0.00000000;0.00000000
12;1.20000000;0.00000000;29.00134726;3.47847839;1.77936758;1.36544272;0.31752822;0.29156787;0.00000000;0.00000000
13;1.30000000;0.00000000;29.09583349;3.51105511;1.78834740;1.36133723;0.34980938;0.30409456;0.00000000;0.00000000
14;1.40000000;0.00000000;29.18909554;3.54697131;1.79835397;1.36100688;0.37834713;0.26747461;0.00000000;0.00000000
15;1.50000000;0.00000000;29.28157662;3.58488753;1.79901206;1.36586111;0.40330431;0.25143225;0.00000000;0.00000000
16;1.60000000;0.00000000;29.37292927;3.62541199;1.78711857;1.36996629;0.42863358;0.23442227;0.00000000;0.00000000
17;1.70000000;0.00000000;29.46337209;3.66796228;1.77975890;1.37756988;0.45018876;0.23618507;0.00000000;0.00000000
18;1.80000000;0.00000000;29.55289886;3.71238911;1.78008405;1.39026740;0.47587059;0.26787807;0.00000000;0.00000000
19;1.90000000;0.00000000;29.64102497;3.75951986;1.78101877;1.40697801;0.50376437;0.24258174;0.00000000;0.00000000
20;2.00000000;0.00000000;29.72794293;3.80887348;1.75451405;1.40927410;0.52438694;0.20112647;0.00000000;0.00000000
21;2.10000000;0.00000000;29.81405863;3.85960281;1.73060998;1.41536645;0.54398967;0.20470454;0.00000000;0.00000000
22;2.20000000;0.00000000;29.89897418;3.91232444;1.71451616;1.42011052;0.56532785;0.21130653;0.00000000;0.00000000
23;2.30000000;0.00000000;29.98285099;3.96668410;1.70607774;1.42991326;0.58625097;0.22265917;0.00000000;0.00000000
24;2.40000000;0.00000000;30.06548925;4.02291368;1.70571489;1.44437021;0.60985968;0.23561901;0.00000000;0.00000000
25;2.50000000;0.00000000;30.14670924;4.08117350;1.71366554;1.46061657;0.63337478;0.21963054;0.00000000;0.00000000
26;2.60000000;0.00000000;30.22661037;4.14122433;1.72956186;1.47466166;0.65378579;0.19732822;0.00000000;0.00000000
27;2.70000000;0.00000000;30.30538200;4.20274782;1.73161352;1.48686481;0.67284042;0.20623822;0.00000000;0.00000000
28;2.80000000;0.00000000;30.38293497;4.26579750;1.70395413;1.49712512;0.69503343;0.23320327;0.00000000;0.00000000
29;2.90000000;0.00000000;30.45889194;4.33074957;1.68423220;1.50490963;0.71948107;0.22796815;0.00000000;0.00000000
30;3.00000000;0.00000000;30.53327109;4.39751452;1.67265825;1.51029493;0.74062706;0.19349738;0.00000000;0.00000000
31;3.10000000;0.00000000;30.60642066;4.46562623;1.65307024;1.51607869;0.75818055;0.15066084;0.00000000;0.00000000
32;3.20000000;0.00000000;30.67841420;4.53496423;1.62839931;1.52672445;0.77075923;0.13013287;0.00000000;0.00000000
33;3.30000000;0.00000000;30.74983023;4.60489736;1.61038727;1.54296900;0.78420712;0.17613435;0.00000000;0.00000000
34;3.40000000;0.00000000;30.81993238;4.67614571;1.60028743;1.56363741;0.80598610;0.21710215;0.00000000;0.00000000
35;3.50000000;0.00000000;30.88822967;4.74911615;1.59888857;1.58334456;0.82762755;0.19203365;0.00000000;0.00000000
36;3.60000000;0.00000000;30.95518152;4.82332889;1.58341794;1.58217868;0.84439283;0.15923039;0.00000000;0.00000000
37;3.70000000;0.00000000;31.02099696;4.89855122;1.56799936;1.58580236;0.85947363;0.14955852;0.00000000;0.00000000
