id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;27.76299383;3.87758151;2.27787553;0.92243073;0.21341497;0.16716013;7.82909084;-1.89338447
1;0.09996263;0.00000000;27.86051528;3.89957502;2.29990625;0.90042806;0.23025653;0.16977617;7.80487848;-1.79076813
2;0.19992525;0.00000000;27.95763154;3.92321604;2.32359334;0.87678429;0.24735950;0.17245155;7.78190904;-1.68464896
3;0.29988788;0.00000000;28.05434403;3.94853239;2.34896567;0.85147615;0.26473460;0.17515656;7.76023868;-1.57312280
4;0.39985051;0.00000000;28.15057984;3.97553295;2.37603486;0.82450124;0.28237960;0.17791749;7.73994815;-1.45635360
5;0.49981314;0.00000000;28.24633873;4.00424629;2.40470394;0.79583959;0.30030626;0.18072625;7.72111621;-1.33295585
6;0.59977576;0.00000000;28.34154478;4.03467896;2.43504401;0.76549741;0.31851351;0.18359958;7.70383956;-1.20313089
7;0.69973839;0.00000000;28.43619465;4.06686001;2.44707308;0.73346190;0.33701416;0.18652737;7.68821226;-1.06560000
8;0.79970102;0.00000000;28.53020967;4.10079361;2.45803719;0.69975331;0.35580732;0.18952327;7.67434475;-0.91911610
9;0.89966365;0.00000000;28.62358352;4.13650933;2.47486259;0.66437333;0.37490754;0.19259930;7.66236340;-0.76315186
10;0.99962627;0.00000000;28.71623365;4.17400847;2.49744796;0.62871159;0.39431561;0.19575439;7.65240090;-0.60262372
11;1.09958890;0.00000000;28.80815218;4.21332175;2.52566988;0.60563410;0.41404224;0.19889694;7.64452483;-0.43422018
12;1.19955153;0.00000000;28.89924967;4.25444516;2.55693161;0.59659088;0.43408329;0.20207309;7.63884470;-0.32463549
13;1.29951416;0.00000000;28.98951698;4.29740742;2.56065870;0.59763040;0.45438959;0.20417388;7.63459530;-0.22515396
14;1.39947678;0.00000000;29.07887238;4.34219477;2.55563121;0.60242368;0.47490259;0.20603677;7.63164671;-0.22515396
15;1.49943941;0.00000000;29.16729951;4.38881378;2.55656096;0.62144604;0.49541319;0.20432393;7.62869697;-0.11602312
16;1.59940204;0.00000000;29.25475140;4.43722650;2.53449592;0.62857318;0.51575304;0.20256687;7.62717651;-0.00897895
17;1.69936467;0.00000000;29.34120976;4.48740121;2.51383744;0.63010824;0.53587017;0.19993612;7.62705883;0.14442751
18;1.79932729;0.00000000;29.42664523;4.53929210;2.49899177;0.63518463;0.55572899;0.19741782;7.62895151;0.28510979
19;1.89928992;0.00000000;29.51104225;4.59286029;2.49004282;0.64925347;0.57534306;0.19501218;7.63268641;0.41378452
20;1.99925255;0.00000000;29.59437688;4.64806203;2.48703411;0.66915305;0.59471825;0.19268300;7.63810368;0.53321750
21;2.09921518;0.00000000;29.67663286;4.70485905;2.48996517;0.68716462;0.61388005;0.19071019;7.64507890;0.62757010
22;2.19917780;0.00000000;29.75779336;4.76321540;2.49879436;0.70329935;0.63284794;0.18880372;7.65328025;0.71482449
23;2.29914043;0.00000000;29.83783629;4.82309188;2.47661923;0.71756803;0.65163258;0.18704644;7.66261117;0.79046961
24;2.39910306;0.00000000;29.91674718;4.88445563;2.45638573;0.72998298;0.67024614;0.18537698;7.67291632;0.85858569
25;2.49906569;0.00000000;29.99450565;4.94726965;2.42650701;0.74055577;0.68869662;0.18378170;7.68409382;0.92029555
26;2.59902831;0.00000000;30.07109873;5.01150293;2.39864521;0.75476528;0.70699003;0.18223068;7.69605666;0.97763592
27;2.69899094;0.00000000;30.14650685;5.07711886;2.37644814;0.77987659;0.72513163;0.18075444;7.70874453;1.02898807
28;2.79895357;0.00000000;30.22072024;5.14408941;2.36006700;0.81489005;0.74312944;0.17933706;7.72207634;1.07552684
29;2.89891620;0.00000000;30.29371821;5.21237681;2.34961606;0.83557469;0.76098704;0.17796489;7.73598655;1.11825190
30;2.99887882;0.00000000;30.36549261;5.28195467;2.32627921;0.83712748;0.77871104;0.17665100;7.75042287;1.15652462
31;3.09884145;0.00000000;30.43602444;5.35278631;2.30756262;0.84523861;0.79630584;0.17539218;7.76532505;1.19069297
32;3.19880408;0.00000000;30.50530638;5.42484652;2.29479507;0.86320476;0.81377805;0.17418441;7.78063769;1.22113678
33;3.29876671;0.00000000;30.57332046;5.49809922;2.28806907;0.89043437;0.83113135;0.17302715;7.79631059;1.24800960
34;3.39872933;0.00000000;30.64006014;5.57252037;2.28742787;0.89763243;0.84837232;0.17192036;7.81229592;1.27142279
35;3.49869196;0.00000000;30.70550848;5.64807453;2.29286580;0.90151443;0.86550378;0.17085160;7.82854757;1.29224010
36;3.59865459;0.00000000;30.76965933;5.72473827;2.28666366;0.91467526;0.88253164;0.16983704;7.84503081;1.30954225
37;3.69861722;0.00000000;30.83249716;5.80247727;2.26310600;0.93672901;0.89946048;0.16888024;7.86169950;1.32320128
38;3.79857984;0.00000000;30.89401585;5.88126874;2.23955231;0.93140220;0.91629660;0.16796299;7.87850623;1.33443724
39;3.89854247;0.00000000;30.95420106;5.96107937;2.22190993;0.93107063;0.93304087;0.16706083;7.89541944;1.34483394
40;3.99850510;0.00000000;31.01304693;6.04188647;2.21031532;0.93976274;0.94969769;0.16618394;7.91242784;1.35377640
41;4.09846773;0.00000000;31.07054076;6.12365759;2.20485905;0.95239246;0.96626372;0.16527239;7.92951250;1.36506732
42;4.19843035;0.00000000;31.12667727;6.20636951;2.20557883;0.93898442;0.98274145;0.16440860;7.94670245;1.37345599
43;4.29839298;0.00000000;31.18144557;6.28999084;2.21245981;0.93447549;0.99913465;0.16358885;7.96396060;1.37924246
44;4.39835561;0.00000000;31.23484033;6.37449846;2.22543522;0.93900302;1.01544850;0.16281310;7.98125390;1.38248309
45;4.49831824;0.00000000;31.28685161;6.45986216;2.24438781;0.94616343;1.03168648;0.16207809;7.99855031;1.38343746
46;4.59828086;0.00000000;31.33747401;6.54605893;2.26915652;0.92874895;1.04785353;0.16138677;8.01582131;1.38195993
47;4.69824349;0.00000000;31.38669843;6.63305966;2.26659491;0.92029289;1.06395307;0.16073383;8.03303678;1.37843644
48;4.79820612;0.00000000;31.43451938;6.72084140;2.26582104;0.92105044;1.07998973;0.16012313;8.05017168;1.37265192
49;4.89816875;0.00000000;31.48092854;6.80937610;2.27064486;0.90938761;1.09596709;0.15955250;8.06719852;1.36478524
50;4.99813137;0.00000000;31.52592033;6.89864085;2.25836277;0.89808248;1.11188973;0.15902319;8.08409222;1.35478741
51;5.09809400;0.00000000;31.56948698;6.98860849;2.24293064;0.88587966;1.12776113;0.15853164;8.10082731;1.34292521
52;5.19805663;0.00000000;31.61162288;7.07925615;2.23345206;0.88320003;1.14358560;0.15808043;8.11738183;1.32905503
53;5.29801926;0.00000000;31.65232076;7.17055751;2.23000101;0.89022294;1.15936669;0.15766728;8.13373220;1.31335694
54;5.39798188;0.00000000;31.69157493;7.26248967;2.23260212;0.90672539;1.17510863;0.15729360;8.14985722;1.29576296
55;5.49794451;0.00000000;31.72937854;7.35502704;2.24122993;0.90327184;1.19081491;0.15695681;8.16573502;1.27647000
56;5.59790714;0.00000000;31.76572583;7.44814669;2.25580996;0.86659045;1.20648961;0.15665902;8.18134629;1.25536081
57;5.69786977;0.00000000;31.80061027;7.54182364;2.26360130;0.83873511;1.22213627;0.15639827;8.19667038;1.23259148
58;5.79783239;0.00000000;31.83402607;7.63603491;2.26967137;0.82061452;1.23775890;0.15617599;8.21168872;1.20808665
59;5.89779502;0.00000000;31.86596691;7.73075605;2.28165839;0.81288685;1.25336105;0.15599050;8.22638187;1.18198491
60;5.99775765;0.00000000;31.89642698;7.82596398;2.29946519;0.81585116;1.26894665;0.15584330;8.24073220;1.15420563
61;6.09772028;0.00000000;31.92540012;7.92163468;2.32295217;0.82939355;1.28451933;0.15573320;8.25472120;1.12485430
62;6.19768290;0.00000000;31.95288046;8.01774495;2.34304647;0.82079617;1.30008296;0.15566131;8.26833169;1.09387745
63;6.29764553;0.00000000;31.97886197;8.11427110;2.35141590;0.81710008;1.31564123;0.15562676;8.28154591;1.06135982
64;6.39760816;0.00000000;32.00333874;8.21118978;2.34487281;0.81338397;1.33119798;0.15563049;8.29434719;1.02726018
65;6.49757079;0.00000000;32.02630479;8.30847754;2.34413594;0.79018904;1.34675700;0.15567239;8.30671839;0.99161212
66;6.59753341;0.00000000;32.04775413;8.40611080;2.34921136;0.77766983;1.36232214;0.15575320;8.31864285;0.95439212
67;6.69749604;0.00000000;32.06768082;8.50406627;2.35854988;0.77634521;1.37789729;0.15587235;8.33010359;0.91566754
68;6.79745867;0.00000000;32.08607883;8.60232030;2.37121882;0.78627091;1.39348624;0.15602887;8.34108452;0.87553531
69;6.89742130;0.00000000;32.10294218;8.70084949;2.38953744;0.77239709;1.40909280;0.15622532;8.35157066;0.83384493
70;6.99738392;0.00000000;32.11826476;8.79962974;2.40654826;0.75667912;1.42472105;0.15646308;8.36154527;0.79053341
71;7.09734655;0.00000000;32.13204056;8.89863776;2.40916986;0.75243598;1.44037501;0.15673882;8.37099079;0.74587165
72;7.19730918;0.00000000;32.14426339;8.99784910;2.41748715;0.74857227;1.45605840;0.15705532;8.37989292;0.69969721
73;7.29727181;0.00000000;32.15492720;9.09724047;2.43144283;0.73755059;1.47177583;0.15741671;8.38823537;0.65175821
74;7.39723443;0.00000000;32.16402569;9.19678711;2.45094064;0.70594597;1.48753133;0.15781809;8.39599878;0.60244831
75;7.49719706;0.00000000;32.17155267;9.29646515;2.46838838;0.68598338;1.50332908;0.15826118;8.40316846;0.55168621
76;7.59715969;0.00000000;32.17750178;9.39624947;2.48015574;0.67869167;1.51917322;0.15874948;8.40972866;0.49927030
77;7.69712232;0.00000000;32.18186671;9.49611590;2.49743340;0.68305386;1.53506865;0.15928411;8.41566117;0.44517386
78;7.79708494;0.00000000;32.18464099;9.59603886;2.51547891;0.68582486;1.55101946;0.15985828;8.42094735;0.38993793
79;7.89704757;0.00000000;32.18581819;9.69599370;2.51430175;0.68699970;1.56702978;0.16047429;8.42557492;0.33344294
80;7.99701020;0.00000000;32.18539187;9.79595442;2.51472811;0.68657343;1.58310333;0.16111257;8.42953003;0.27713385
81;8.09697282;0.00000000;32.18335575;9.89589548;2.51676399;0.68454129;1.59924112;0.16177063;8.43281581;0.22119620
82;8.19693545;0.00000000;32.17970378;9.99579029;2.52041520;0.68089891;1.61544670;0.16246442;8.43543746;0.16450387
83;8.29689808;0.00000000;32.17443001;10.09561279;2.52568745;0.67564203;1.63172305;0.16319090;8.43738666;0.10731557
84;8.39686071;0.00000000;32.16752859;10.19533560;2.53258633;0.66876686;1.64807394;0.16395307;8.43865800;0.04945690
85;8.49682333;0.00000000;32.15899374;10.29493219;2.54111742;0.66026985;1.66450264;0.16475063;8.43924383;-0.00900583
86;8.59678596;0.00000000;32.14881983;10.39437490;2.55128619;0.65014808;1.68101312;0.16558663;8.43913716;-0.06824125
87;8.69674859;0.00000000;32.13700131;10.49363558;2.56309804;0.63839935;1.69760938;0.16647089;8.43832879;-0.12889297
88;8.79671122;0.00000000;32.12353273;10.59268589;2.57655837;0.62502231;1.71429247;0.16723104;8.43680176;-0.17861114
89;8.89667384;0.00000000;32.10841039;10.69149694;2.59167092;0.61001846;1.73103987;0.16784971;8.43468523;-0.21651628
90;8.99663647;0.00000000;32.09163288;10.79003820;2.57961149;0.59411559;1.74783876;0.16801658;8.43211883;-0.22094766
91;9.09659910;0.00000000;32.07320277;10.88828515;2.56444564;0.59314479;1.76461766;0.16768984;8.42949909;-0.19013759
92;9.19656173;0.00000000;32.05312922;10.98620761;2.55477543;0.60036319;1.78134035;0.16644635;8.42724401;-0.09530604
93;9.29652435;0.00000000;32.03142903;11.08378523;2.53035810;0.61378828;1.79787302;0.16433690;8.42611343;0.05770910
94;9.39648698;0.00000000;32.00812917;11.18099251;2.51008176;0.63617004;1.81418810;0.16193800;8.42679803;0.22611644
95;9.49644961;0.00000000;31.98325867;11.27781099;2.49525321;0.64855694;1.83024237;0.15927335;8.42947990;0.40796066
96;9.59641224;0.00000000;31.95684990;11.37422126;2.48594766;0.67416514;1.84603041;0.15657776;8.43431639;0.58641308
97;9.69637486;0.00000000;31.92893528;11.47020680;2.48220265;0.70454608;1.86154645;0.15386580;8.44126364;0.76084303
98;9.79633749;0.00000000;31.89954796;11.56575023;2.47222016;0.71651832;1.87679935;0.15140938;8.45026885;0.91225630
99;9.89630012;0.00000000;31.86871763;11.66083885;2.44609822;0.72231932;1.89182139;0.14914583;8.46105352;1.04598268
100;9.99626275;0.00000000;31.83647377;11.75545483;2.41586535;0.73210691;1.90662652;0.14722419;8.47340221;1.15195584
