id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-8.55184228;-11.99122281;1.48186761;1.69205450;2.72872108;-0.33421540;0.00000000;0.00000000
1;0.10000000;0.00000000;-8.64336750;-11.95113023;1.47305616;1.69163087;2.69529954;-0.49351880;0.00000000;0.00000000
2;0.20000000;0.00000000;-8.73201378;-11.90501230;1.46413397;1.70373281;2.63001732;-0.62482961;0.00000000;0.00000000
3;0.30000000;0.00000000;-8.81752922;-11.85335083;1.45563773;1.72774029;2.57033362;-0.58528822;0.00000000;0.00000000
4;0.40000000;0.00000000;-8.90006565;-11.79699759;1.44841551;1.73163876;2.51295968;-0.57753877;0.00000000;0.00000000
5;0.50000000;0.00000000;-8.97911012;-11.73587779;1.44216224;1.74117211;2.45482586;-0.59325395;0.00000000;0.00000000
6;0.60000000;0.00000000;-9.05455300;-11.67033110;1.43711183;1.75766811;2.39430889;-0.59797686;0.00000000;0.00000000
7;0.70000000;0.00000000;-9.12565584;-11.60009794;1.43261549;1.76908078;2.33523049;-0.55010406;0.00000000;0.00000000
8;0.80000000;0.00000000;-9.19285299;-11.52610742;1.42781441;1.76349763;2.28428808;-0.49680918;0.00000000;0.00000000
9;0.90000000;0.00000000;-9.25644637;-11.44900304;1.42010077;1.76571784;2.23586866;-0.49857772;0.00000000;0.00000000
10;1.00000000;0.00000000;-9.31616277;-11.36887762;1.41448512;1.77844722;2.18457253;-0.48000044;0.00000000;0.00000000
11;1.10000000;0.00000000;-9.37152909;-11.28566195;1.41058343;1.78585423;2.13986857;-0.44975438;0.00000000;0.00000000
12;1.20000000;0.00000000;-9.42384771;-11.20053057;1.41015843;1.77751076;2.09462166;-0.46427025;0.00000000;0.00000000
13;1.30000000;0.00000000;-9.47146253;-11.11266267;1.41137275;1.77257485;2.04701452;-0.43517569;0.00000000;0.00000000
14;1.40000000;0.00000000;-9.51545826;-11.02292653;1.41558578;1.75225126;2.00758652;-0.38348726;0.00000000;0.00000000
15;1.50000000;0.00000000;-9.55600453;-10.93157830;1.42302797;1.74123546;1.97031707;-0.36829890;0.00000000;0.00000000
16;1.60000000;0.00000000;-9.59319589;-10.83881379;1.43380266;1.73955465;1.93392674;-0.36395076;0.00000000;0.00000000
17;1.70000000;0.00000000;-9.62699213;-10.74475949;1.44783087;1.74672138;1.89752691;-0.36513769;0.00000000;0.00000000
