id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-8.24960977;-11.16400096;0.60116487;2.57007101;2.79167197;-0.54243274;4.69460283;-0.12004692
1;0.09999463;0.00000000;-8.34259429;-11.12717868;0.59596928;2.56835537;2.73738128;-0.54348872;4.69204514;-0.08504167
2;0.19998926;0.00000000;-8.43339267;-11.08538034;0.59781131;2.57595112;2.68291111;-0.54549719;4.69023242;-0.08504167
3;0.29998389;0.00000000;-8.52184486;-11.03871093;0.61084325;2.57431008;2.62972957;-0.51807301;4.68841901;0.52711987
4;0.39997853;0.00000000;-8.60771871;-10.98754821;0.63454251;2.55775083;2.57925344;-0.49254148;4.69964798;1.03600499
5;0.49997316;0.00000000;-8.69099922;-10.93218727;0.65411490;2.53176547;2.53087034;-0.47508350;4.72163965;1.32236067
6;0.59996779;0.00000000;-8.77152845;-10.87295410;0.68245130;2.50740071;2.48421872;-0.45828222;4.74956197;1.57470765
7;0.69996242;0.00000000;-8.84928136;-10.81007647;0.71952342;2.45137553;2.43920929;-0.44199302;4.78260008;1.80175300
8;0.79995705;0.00000000;-8.92416650;-10.74383605;0.76411610;2.39984922;2.39579337;-0.42678438;4.82012394;1.99444735
9;0.89995168;0.00000000;-8.99616679;-10.67444971;0.81505494;2.35525512;2.35379156;-0.41333267;4.86132316;2.14057194
10;0.99994632;0.00000000;-9.06523035;-10.60215558;0.87124028;2.31796203;2.31311157;-0.40051281;4.90515588;2.27042580
11;1.09994095;0.00000000;-9.13134914;-10.52714763;0.93174488;2.26897979;2.27367128;-0.38840505;4.95122359;2.38363037
12;1.19993558;0.00000000;-9.19450309;-10.44963131;0.99573850;2.20583941;2.23541510;-0.37696498;4.99913147;2.48253692
13;1.29993021;0.00000000;-9.25469153;-10.36978824;1.05512570;2.14539029;2.19825596;-0.36633210;5.04854397;2.56447060
14;1.39992484;0.00000000;-9.31191579;-10.28779344;1.11198402;2.08808425;2.16213880;-0.35608008;5.09908451;2.64116770
15;1.49991947;0.00000000;-9.36618419;-10.20381435;1.16619012;2.03387259;2.12703848;-0.34604138;5.15061822;2.71735764
16;1.59991410;0.00000000;-9.41751599;-10.11800545;1.21764642;1.98270149;2.09291860;-0.33651344;5.20310584;2.78514673
17;1.69990874;0.00000000;-9.46593022;-10.03052035;1.26629240;1.93452254;2.05972379;-0.32748511;5.25635899;2.84500224
18;1.79990337;0.00000000;-9.51145526;-9.94149427;1.31210251;1.88913361;2.02741409;-0.31878761;5.31020524;2.90172799
19;1.89989800;0.00000000;-9.55411858;-9.85106456;1.35501323;1.84626484;1.99596199;-0.31034806;5.36456840;2.95736602
20;1.99989263;0.00000000;-9.59395653;-9.75935161;1.39455918;1.80628223;1.96533723;-0.30223837;5.41941285;3.00970870
21;2.09988726;0.00000000;-9.63100396;-9.66647860;1.43140584;1.76913621;1.93550849;-0.29442013;5.47466392;3.05978959
22;2.19988189;0.00000000;-9.66530212;-9.57255304;1.46556757;1.73477375;1.90644818;-0.28683011;5.53026854;3.10939313
23;2.29987653;0.00000000;-9.69689211;-9.47768355;1.49706593;1.70314419;1.87813987;-0.27940807;5.58620760;3.16023519
24;2.39987116;0.00000000;-9.72581958;-9.38196785;1.52593270;1.67419446;1.85056359;-0.27213914;5.64249310;3.21262849
25;2.49986579;0.00000000;-9.75213200;-9.28550009;1.55220544;1.64787136;1.82371111;-0.26497080;5.69914201;3.26812698
26;2.59986042;0.00000000;-9.77587912;-9.18837000;1.57592698;1.61463405;1.79756603;-0.25798257;5.75619752;3.32396467
27;2.69985505;0.00000000;-9.79711330;-9.09065759;1.59714491;1.56849389;1.77211261;-0.25113617;5.81365351;3.38129774
28;2.79984968;0.00000000;-9.81588658;-8.99244553;1.61590798;1.52760599;1.74733511;-0.24448230;5.87152369;3.43825022
29;2.89984431;0.00000000;-9.83225406;-8.89379995;1.63226913;1.49117150;1.72321406;-0.23797913;5.92978950;3.49614972
30;2.99983895;0.00000000;-9.84626889;-8.79479762;1.64967678;1.46298322;1.69973693;-0.23162345;5.98845522;3.55497859
31;3.09983358;0.00000000;-9.85798779;-8.69549115;1.67064852;1.44347488;1.67688811;-0.22538408;6.04752458;3.61574532
32;3.19982821;0.00000000;-9.86746505;-8.59595278;1.69509830;1.43295191;1.65465817;-0.21927641;6.10701758;3.67776188
33;3.29982284;0.00000000;-9.87475821;-8.49622214;1.72292789;1.42509750;1.63303186;-0.21327256;6.16694224;3.74197144
34;3.39981747;0.00000000;-9.87992243;-8.39636803;1.75401502;1.38656191;1.61200215;-0.20738276;6.22732131;3.80787874
