id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;34.05585098;8.91667373;1.61727261;1.48332883;0.00145198;0.12133483;0.00000000;0.00000000
1;0.10000000;0.00000000;34.15580697;8.91681886;1.61741861;1.48318370;0.01358546;0.18569393;0.00000000;0.00000000
2;0.20000000;0.00000000;34.25572821;8.91938932;1.61998999;1.48061331;0.03859076;0.22104784;0.00000000;0.00000000
3;0.30000000;0.00000000;34.35554830;8.92453086;1.62513425;1.47547202;0.05779503;0.18545076;0.00000000;0.00000000
4;0.40000000;0.00000000;34.45529967;8.93093642;1.63154393;1.47226394;0.07568091;0.21825178;0.00000000;0.00000000
5;0.50000000;0.00000000;34.55486946;8.93964453;1.64026029;1.47352822;0.10144538;0.27519372;0.00000000;0.00000000
6;0.60000000;0.00000000;34.65414992;8.95117834;1.65180925;1.47872328;0.13071966;0.27122268;0.00000000;0.00000000
7;0.70000000;0.00000000;34.75303623;8.96569739;1.66635341;1.48763410;0.15568992;0.23804313;0.00000000;0.00000000
8;0.80000000;0.00000000;34.85162425;8.98217395;1.68286308;1.50120533;0.17832828;0.26045228;0.00000000;0.00000000
9;0.90000000;0.00000000;34.94975062;9.00115378;1.70188694;1.49921297;0.20778038;0.29003162;0.00000000;0.00000000
10;1.00000000;0.00000000;35.04718630;9.02340294;1.72405451;1.48235987;0.23633461;0.27305624;0.00000000;0.00000000
11;1.10000000;0.00000000;35.14407841;9.04795476;1.72631585;1.46973076;0.26239162;0.29389511;0.00000000;0.00000000
12;1.20000000;0.00000000;35.24022206;9.07524927;1.71394294;1.45452539;0.29511363;0.34281200;0.00000000;0.00000000
13;1.30000000;0.00000000;35.33528936;9.10608105;1.69689865;1.44239468;0.33095402;0.31812759;0.00000000;0.00000000
14;1.40000000;0.00000000;35.42923436;9.14019222;1.68907574;1.43366413;0.35873915;0.27160024;0.00000000;0.00000000
15;1.50000000;0.00000000;35.52245498;9.17626143;1.68923508;1.42978590;0.38527407;0.31777419;0.00000000;0.00000000
16;1.60000000;0.00000000;35.61445332;9.21530613;1.69849519;1.42967340;0.42229399;0.38323219;0.00000000;0.00000000
17;1.70000000;0.00000000;35.70473706;9.25816566;1.71764236;1.43236259;0.46192051;0.39963161;0.00000000;0.00000000
18;1.80000000;0.00000000;35.79336082;9.30437397;1.72752710;1.43559921;0.50222031;0.39172580;0.00000000;0.00000000
19;1.90000000;0.00000000;35.87990101;9.35436376;1.74466956;1.43122781;0.54026567;0.38437914;0.00000000;0.00000000
20;2.00000000;0.00000000;35.96476010;9.40717769;1.77000688;1.43054326;0.57909613;0.40277405;0.00000000;0.00000000
