id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;34.04378765;9.08297834;1.78351858;1.31710318;0.37545357;0.19658851;6.83091410;-2.95704477
1;0.09998163;0.00000000;34.13645001;9.12056403;1.82093117;1.27962404;0.39528906;0.20015275;6.78749491;-2.90431549
2;0.19996326;0.00000000;34.22831426;9.15998469;1.86020202;1.24037877;0.41548010;0.20381787;6.74457788;-2.84945491
3;0.29994489;0.00000000;34.31938454;9.20128202;1.90138206;1.19934929;0.43604842;0.20757549;6.70220445;-2.79177724
4;0.39992652;0.00000000;34.40954865;9.24444631;1.94447025;1.15669067;0.45699106;0.21143920;6.66042728;-2.72882416
5;0.49990814;0.00000000;34.49881016;9.28952224;1.98952220;1.11933443;0.47833484;0.21546102;6.61933736;-2.66234261
6;0.59988977;0.00000000;34.58704922;9.33649416;2.03653391;1.08783246;0.50007927;0.21959954;6.57900117;-2.59552555
7;0.69987140;0.00000000;34.67426683;9.38540938;2.08556551;1.06265738;0.52224712;0.22378025;6.53943779;-2.52425580
8;0.79985303;0.00000000;34.76033673;9.43624508;2.13660926;1.04425645;0.54483140;0.22809345;6.50072982;-2.44195791
9;0.89983466;0.00000000;34.84525627;9.48905007;2.18952166;1.01135494;0.56786919;0.23268486;6.46306323;-2.35445984
10;0.99981629;0.00000000;34.92889291;9.54379566;2.24398408;0.95628361;0.59136454;0.23741187;6.42653724;-2.26731534
11;1.09979792;0.00000000;35.01123840;9.60053269;2.28470237;0.90443194;0.61534087;0.24213754;6.39116586;-2.17366012
12;1.19977955;0.00000000;35.09215411;9.65922324;2.30072669;0.85627648;0.63978892;0.24701774;6.35707078;-2.08929718
13;1.29976118;0.00000000;35.17162715;9.71991745;2.32335811;0.80778246;0.66472213;0.25166707;6.32412573;-1.99511873
14;1.39974280;0.00000000;35.24951755;9.78256761;2.35241974;0.76694441;0.69011829;0.25654232;6.29250473;-1.84106209
15;1.49972443;0.00000000;35.32580316;9.84722080;2.38772756;0.73498448;0.71608576;0.26284092;6.26318378;-1.67486307
16;1.59970606;0.00000000;35.40033585;9.91383159;2.42901595;0.71308451;0.74268344;0.26934429;6.23638998;-1.49075707
17;1.69968769;0.00000000;35.47307399;9.98245016;2.47604431;0.68569766;0.76995687;0.27616507;6.21244423;-1.29123314
18;1.79966932;0.00000000;35.54386484;10.05302592;2.51574126;0.65969608;0.79791366;0.28320361;6.19162855;-1.06999722
19;1.89965095;0.00000000;35.61265500;10.12560531;2.56087097;0.63836624;0.82660017;0.29057470;6.17432620;-0.82833176
20;1.99963258;0.00000000;35.67928128;10.20012309;2.59811634;0.62194470;0.85602983;0.29819273;6.16089832;-0.59329353
21;2.09961421;0.00000000;35.74368671;10.27662849;2.59985528;0.61340260;0.88620477;0.30532725;6.15126257;-0.34765459
