id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;10.40653741;-8.71114448;1.68886980;1.41196057;-0.07089099;0.11170705;0.00000000;0.00000000
1;0.10000000;0.00000000;10.50624953;-8.71822504;1.68178829;1.41902778;-0.05972029;0.20193268;0.00000000;0.00000000
2;0.20000000;0.00000000;10.60609470;-8.72307629;1.67693661;1.42387154;-0.03050446;0.28854846;0.00000000;0.00000000
3;0.30000000;0.00000000;10.70604835;-8.72432168;1.67569119;1.42511513;-0.00201060;0.27641337;0.00000000;0.00000000
4;0.40000000;0.00000000;10.80600685;-8.72347823;1.67653462;1.42427119;0.02477822;0.26700822;0.00000000;0.00000000
5;0.50000000;0.00000000;10.90588035;-8.71936919;1.68064329;1.42016064;0.05139105;0.25959400;0.00000000;0.00000000
6;0.60000000;0.00000000;11.00565134;-8.71320925;1.68680246;1.42085224;0.07669702;0.25303027;0.00000000;0.00000000
7;0.70000000;0.00000000;11.10518603;-8.70405300;1.69595712;1.42556330;0.10199710;0.22253438;0.00000000;0.00000000
8;0.80000000;0.00000000;11.20451702;-8.69285489;1.70715310;1.43519656;0.12120389;0.20761356;0.00000000;0.00000000
9;0.90000000;0.00000000;11.30363137;-8.67988217;1.71220977;1.44990968;0.14351981;0.22861743;0.00000000;0.00000000
10;1.00000000;0.00000000;11.40235540;-8.66426460;1.69347707;1.46868057;0.16692738;0.22260603;0.00000000;0.00000000
11;1.10000000;0.00000000;11.50075498;-8.64666777;1.67076252;1.47084191;0.18804102;0.21496379;0.00000000;0.00000000
12;1.20000000;0.00000000;11.59873187;-8.62689629;1.65598576;1.46719806;0.20992014;0.20978419;0.00000000;0.00000000
13;1.30000000;0.00000000;11.69626700;-8.60501218;1.64930787;1.46820083;0.22999785;0.19678960;0.00000000;0.00000000
14;1.40000000;0.00000000;11.79337483;-8.58132237;1.65052905;1.47414197;0.24927806;0.17983860;0.00000000;0.00000000
15;1.50000000;0.00000000;11.88999485;-8.55569429;1.65977375;1.48481912;0.26596557;0.15410874;0.00000000;0.00000000
16;1.60000000;0.00000000;11.98626379;-8.52877565;1.67625747;1.50077632;0.28009981;0.16941114;0.00000000;0.00000000
17;1.70000000;0.00000000;12.08211948;-8.50042726;1.67702747;1.52169785;0.29984780;0.18336578;0.00000000;0.00000000
18;1.80000000;0.00000000;12.17725206;-8.46972791;1.66482260;1.53499810;0.31677296;0.16638745;0.00000000;0.00000000
19;1.90000000;0.00000000;12.27209685;-8.43815044;1.65948716;1.52933337;0.33312529;0.16107470;0.00000000;0.00000000
20;2.00000000;0.00000000;12.36617240;-8.40435758;1.66250680;1.52784772;0.34898790;0.14540612;0.00000000;0.00000000
21;2.10000000;0.00000000;12.45996744;-8.36978772;1.66195959;1.53206970;0.36220651;0.14548488;0.00000000;0.00000000
22;2.20000000;0.00000000;12.55311363;-8.33352105;1.66189845;1.53919830;0.37808488;0.13145177;0.00000000;0.00000000
23;2.30000000;0.00000000;12.64576283;-8.29599095;1.64781899;1.54122719;0.38849687;0.09876504;0.00000000;0.00000000
24;2.40000000;0.00000000;12.73813877;-8.25779046;1.63499298;1.54899560;0.39783789;0.11259113;0.00000000;0.00000000
25;2.50000000;0.00000000;12.83006658;-8.21853786;1.62935749;1.56200266;0.41101509;0.11631344;0.00000000;0.00000000
26;2.60000000;0.00000000;12.92140406;-8.17791637;1.63088687;1.57141257;0.42110057;0.09450053;0.00000000;0.00000000
