id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;10.51762399;-8.12983292;2.27023902;0.83083984;-0.27832481;0.19021406;7.27478510;1.72880741
1;0.09995705;0.00000000;10.61397921;-8.15638313;2.24366349;0.85753977;-0.25947483;0.18698963;7.29850062;1.83349008
2;0.19991410;0.00000000;10.71083192;-8.18113243;2.21889662;0.88242036;-0.24094151;0.18380997;7.32356824;1.93407358
3;0.29987115;0.00000000;10.80810386;-8.20409363;2.19592345;0.90545406;-0.22272715;0.18068247;7.34991839;2.03046071
4;0.39982820;0.00000000;10.90579498;-8.22529877;2.17471062;0.92650796;-0.20481839;0.17762248;7.37748047;2.12209624
5;0.49978525;0.00000000;11.00382703;-8.24476203;2.15524258;0.95587775;-0.18721270;0.17468690;7.40617682;2.20612295
6;0.59974230;0.00000000;11.10220412;-8.26251425;2.13748767;0.99289329;-0.16989432;0.17180440;7.43589202;2.28675558
7;0.69969935;0.00000000;11.20085134;-8.27857112;2.12142943;1.03673636;-0.15286358;0.16900028;7.46656848;2.36277546
8;0.79965640;0.00000000;11.29977621;-8.29296230;2.07439633;1.08660936;-0.13610711;0.16624845;7.49813290;2.43583548
9;0.89961345;0.00000000;11.39890625;-8.30570497;2.02550495;1.12056781;-0.11962543;0.16356781;7.53053483;2.50501290
10;0.99957050;0.00000000;11.49825169;-8.31682750;1.98192631;1.14410130;-0.10340609;0.16093421;7.56371220;2.57183190
11;1.09952755;0.00000000;11.59774309;-8.32634855;1.94402348;1.17367395;-0.08745032;0.15835719;7.59762382;2.63585633
12;1.19948460;0.00000000;11.69739278;-8.33429521;1.91210375;1.20935588;-0.07174684;0.15582404;7.63222330;2.69793207
13;1.29944165;0.00000000;11.79713443;-8.34068753;1.88646746;1.25062490;-0.05629717;0.15333859;7.66747593;2.75792242
14;1.39939870;0.00000000;11.89698190;-8.34555132;1.86734497;1.29697526;-0.04109098;0.15089350;7.70334569;2.81634383
15;1.49935575;0.00000000;11.99687220;-8.34890795;1.85069781;1.34787624;-0.02613004;0.14848796;7.73980372;2.87331286
16;1.59931280;0.00000000;12.09682023;-8.35078197;1.80603552;1.39658161;-0.01140492;0.14611971;7.77682309;2.92902757
17;1.69926985;0.00000000;12.19676652;-8.35119592;1.76727113;1.42488683;0.00308249;0.14378463;7.81437977;2.98379382
18;1.79922689;0.00000000;12.29672656;-8.35017322;1.73477167;1.45326791;0.01734079;0.14148392;7.85245399;3.03758371
19;1.89918394;0.00000000;12.39664453;-8.34773740;1.70723277;1.48651661;0.03136805;0.13921104;7.89102588;3.09084788
20;1.99914099;0.00000000;12.49653616;-8.34391080;1.67250149;1.52433991;0.04517209;0.13696984;7.93008156;3.14338041
21;2.09909804;0.00000000;12.59634937;-8.33871783;1.63854943;1.56025431;0.05875102;0.13475203;7.96960474;3.19574164
22;2.19905509;0.00000000;12.69609980;-8.33217986;1.59081462;1.59562450;0.07211189;0.13256341;8.00958635;3.24759048
23;2.29901214;0.00000000;12.79573922;-8.32432196;1.54929401;1.63514136;0.08525294;0.13039464;8.05001320;3.29955696
24;2.39896919;0.00000000;12.89528289;-8.31516466;1.51447246;1.67853635;0.09818052;0.12825268;8.09088008;3.35121288
25;2.49892624;0.00000000;12.99468648;-8.30473354;1.48456448;1.71545790;0.11089297;0.12612725;8.13217654;3.40325914
26;2.59888329;0.00000000;13.09396465;-8.29304840;1.45236062;1.74121777;0.12339597;0.12402647;8.17390083;3.45517564
27;2.69884034;0.00000000;13.19307699;-8.28013513;1.42276369;1.77107533;0.13568805;0.12194020;8.21604485;3.50766571
28;2.79879739;0.00000000;13.29203735;-8.26601295;1.38700269;1.80484983;0.14777429;0.11987649;8.25860914;3.56020148
29;2.89875444;0.00000000;13.39080927;-8.25070789;1.35430852;1.84233167;0.15965341;0.11782510;8.30158776;3.61350379
30;2.99871149;0.00000000;13.48940564;-8.23423869;1.32090283;1.87596028;0.17132989;0.11579419;8.34498351;3.66702561
31;3.09866854;0.00000000;13.58779391;-8.21663136;1.29550327;1.89825656;0.18280247;0.11377094;8.38879251;3.72168378
32;3.19862559;0.00000000;13.68598586;-8.19790434;1.27856484;1.92337009;0.19407495;0.11176695;8.43302181;3.77667547
33;3.29858264;0.00000000;13.78395287;-8.17808343;1.23434399;1.94918607;0.20514690;0.10978015;8.47766876;3.83216465
34;3.39853969;0.00000000;13.88170546;-8.15718679;1.19138942;1.97259601;0.21602212;0.10780962;8.52273262;3.88823321
35;3.49849674;0.00000000;13.97921887;-8.13523986;1.15653184;1.99970163;0.22669884;0.10582735;8.56821358;3.94695346
36;3.59845379;0.00000000;14.07650241;-8.11226083;1.13049931;2.03037486;0.23717902;0.10385836;8.61413580;4.00650564
37;3.69841084;0.00000000;14.17353508;-8.08827495;1.11389828;2.06446721;0.24745880;0.10183459;8.66050187;4.07201459
38;3.79836789;0.00000000;14.27032509;-8.06330095;1.08495961;2.10155773;0.25753766;0.09982508;8.70737307;4.13832690
39;3.89832494;0.00000000;14.36685517;-8.03736397;1.06302502;2.12527230;0.26741600;0.09783392;8.75475046;4.20515588
40;3.99828199;0.00000000;14.46313235;-8.01048276;1.04491439;2.15243830;0.27709645;0.09585508;8.80263174;4.25361693
41;4.09823904;0.00000000;14.55914280;-7.98268169;1.02584349;2.16809089;0.28657914;0.09388606;8.85080129;4.22539731
42;4.19819609;0.00000000;14.65489232;-7.95397958;0.98676736;2.18125597;0.29586597;0.09192791;8.89839312;4.19749854
43;4.29815314;0.00000000;14.75037045;-7.92439999;0.95175105;2.19798901;0.30495658;0.08996676;8.94542001;4.16991372
44;4.39811019;0.00000000;14.84558181;-7.89396200;0.92712643;2.21822810;0.31385191;0.08801518;8.99189434;4.14263624
45;4.49806724;0.00000000;14.94051915;-7.86268839;0.91371823;2.24189435;0.32255218;0.08606818;9.03782801;4.11565967
46;4.59802429;0.00000000;15.03518598;-7.83059849;0.91165124;2.26889843;0.33105844;0.08412962;9.08323255;4.08897783
47;4.69798134;0.00000000;15.12957807;-7.79771418;0.90010109;2.29639452;0.33937083;0.08219171;9.12811907;4.06258473
48;4.79793839;0.00000000;15.22369788;-7.76405512;0.86032093;2.30609800;0.34748997;0.08026106;9.17249834;4.03647458
49;4.89789544;0.00000000;15.31754405;-7.72964227;0.83150488;2.31927930;0.35541600;0.07832875;9.21638074;4.01064178
50;4.99785249;0.00000000;15.41111804;-7.69449566;0.81479941;2.33589773;0.36314920;0.07640275;9.25977634;3.98508092
51;5.09780954;0.00000000;15.50442122;-7.65863533;0.81093517;2.35226789;0.37068992;0.07447656;9.30269486;3.95978674
52;5.19776658;0.00000000;15.59745411;-7.62208170;0.80270223;2.36395787;0.37803830;0.07255574;9.34514574;3.93475416
53;5.29772363;0.00000000;15.69022063;-7.58485386;0.79060026;2.37907896;0.38519468;0.07063281;9.38713810;3.90997825
54;5.39768068;0.00000000;15.78272046;-7.54697263;0.77814274;2.39758377;0.39215894;0.06871437;9.42868079;3.88545423
55;5.49763773;0.00000000;15.87495983;-7.50845616;0.76905816;2.41941308;0.39893150;0.06679381;9.46978239;3.86117748
56;5.59759478;0.00000000;15.96693775;-7.46932567;0.75416309;2.42715090;0.40551210;0.06487693;9.51045122;3.83714348
57;5.69755183;0.00000000;16.05866256;-7.42959843;0.72292092;2.43173747;0.41190115;0.06295729;9.55069534;3.81334789
58;5.79750888;0.00000000;16.15013269;-7.38929601;0.70521805;2.43335158;0.41809825;0.06104060;9.59052259;3.78978646
59;5.89746593;0.00000000;16.24135836;-7.34843485;0.70205986;2.43845641;0.42410385;0.05912088;9.62994056;3.76645507
60;5.99742298;0.00000000;16.33233758;-7.30703683;0.70753726;2.44704862;0.42991744;0.05720345;9.66895665;3.74334973
61;6.09738003;0.00000000;16.42308224;-7.26511762;0.70770576;2.45911100;0.43553944;0.05528267;9.70757803;3.72046655
62;6.19733708;0.00000000;16.51359003;-7.22269940;0.70587252;2.47461030;0.44096929;0.05336362;9.74581166;3.69780174
63;6.29729413;0.00000000;16.60387433;-7.17979709;0.69601727;2.49155855;0.44620739;0.05144098;9.78366432;3.67535164
64;6.39725118;0.00000000;16.69393261;-7.13643316;0.68643540;2.49893678;0.45125312;0.04951956;9.82114261;3.65311267
65;6.49720823;0.00000000;16.78377955;-7.09262184;0.66544055;2.50309182;0.45610687;0.04759452;9.85825293;3.63108133
66;6.59716528;0.00000000;16.87341249;-7.04838583;0.65957518;2.49895720;0.46076798;0.04567029;9.89500153;3.60925425
67;6.69712233;0.00000000;16.96284725;-7.00373876;0.65617322;2.49836102;0.46523680;0.04374205;9.93139447;3.58762813
68;6.79707938;0.00000000;17.05208114;-6.95870351;0.64448705;2.50132511;0.46951265;0.04181417;9.96743766;3.56619975
69;6.89703643;0.00000000;17.14113093;-6.91329319;0.64300097;2.50785633;0.47359584;0.03988217;10.00313686;3.54496597
70;6.99699348;0.00000000;17.22999400;-6.86753080;0.65729037;2.51794522;0.47748568;0.03795026;10.03849769;3.52392375
71;7.09695053;0.00000000;17.31868792;-6.82142900;0.65988442;2.53156931;0.48118270;0.03601988;10.07352559;3.50307010
72;7.19690758;0.00000000;17.40721011;-6.77501088;0.64923820;2.53108596;0.48468657;0.03408961;10.10822590;3.48240213
73;7.29686463;0.00000000;17.49557882;-6.72828871;0.62426089;2.52979643;0.48799577;0.03211914;10.14260382;3.46191701
74;7.39682168;0.00000000;17.58379191;-6.68128582;0.61503803;2.53213403;0.49110763;0.03014652;10.17666440;3.44161197
75;7.49677873;0.00000000;17.67186806;-6.63401479;0.62224983;2.53810882;0.49401668;0.02805252;10.21041258;3.42148431
76;7.59673578;0.00000000;17.75980645;-6.58649962;0.63259247;2.53869001;0.49671570;0.02595240;10.24385318;3.40153142
77;7.69669283;0.00000000;17.84762616;-6.53875390;0.62794165;2.54098626;0.49920288;0.02380926;10.27699090;3.38175071
78;7.79664988;0.00000000;17.93532719;-6.49080194;0.62842791;2.54696861;0.50147550;0.02166369;10.30983034;3.36213968
79;7.89660693;0.00000000;18.02292908;-6.44265749;0.62642012;2.55663313;0.50353352;0.01951307;10.34237598;3.34269587
80;7.99656398;0.00000000;18.11043193;-6.39434502;0.63403365;2.55963513;0.50537642;0.01736170;10.37463218;3.32341691
81;8.09652103;0.00000000;18.19785512;-6.34587820;0.60975436;2.55298674;0.50700919;0.01531182;10.40660323;3.30430043
82;8.19647808;0.00000000;18.28520014;-6.29727980;0.59569103;2.54473588;0.50843744;0.01326596;10.43829330;3.28534416
83;8.29643513;0.00000000;18.37248292;-6.24856266;0.59836192;2.54026000;0.50970776;0.01220150;10.46970647;3.26654586
84;8.39639218;0.00000000;18.45970410;-6.19974029;0.61296069;2.53959151;0.51087682;0.01118992;10.50084674;3.24790335
85;8.49634923;0.00000000;18.54687239;-6.15081865;0.61838765;2.54274281;0.51196560;0.01061823;10.53171799;3.22941448
86;8.59630627;0.00000000;18.63398674;-6.10180562;0.63130319;2.54970594;0.51299962;0.01007140;10.56232405;3.21107716
87;8.69626332;0.00000000;18.72105388;-6.05270370;0.62445200;2.56045555;0.51397880;0.00951998;10.59266864;3.19288935
88;8.79622037;0.00000000;18.80807188;-6.00352029;0.62823070;2.56443940;0.51490280;0.00896820;10.62275541;3.17484904
89;8.89617742;0.00000000;18.89504810;-5.95425757;0.60823748;2.56532649;0.51577174;0.00841799;10.65258793;3.15695428
90;8.99613447;0.00000000;18.98198051;-5.90492299;0.60441428;2.55476546;0.51658567;0.00786782;10.68216969;3.13920313
91;9.09609152;0.00000000;19.06887646;-5.85551873;0.60768839;2.54800601;0.51734462;0.00731747;10.71150411;3.12159373
92;9.19604857;0.00000000;19.15573386;-5.80605228;0.60257392;2.54508428;0.51804854;0.00676704;10.74059453;3.10412422
93;9.29600562;0.00000000;19.24256021;-5.75652570;0.60229832;2.53938342;0.51869746;0.00621680;10.76944423;3.08679282
