id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;13.94913101;-6.13947203;1.76121718;1.35573434;-0.15506358;0.21658058;0.00000000;0.00000000
1;0.10000000;0.00000000;14.04788564;-6.15490920;1.74575216;1.35941601;-0.13340552;0.31554044;0.00000000;0.00000000
2;0.20000000;0.00000000;14.14721429;-6.16605532;1.73459257;1.36610191;-0.09195549;0.40437952;0.00000000;0.00000000
3;0.30000000;0.00000000;14.24690496;-6.17326188;1.72738101;1.37331042;-0.05252962;0.38653106;0.00000000;0.00000000
4;0.40000000;0.00000000;14.34680064;-6.17654917;1.72409284;1.37659808;-0.01464928;0.36917281;0.00000000;0.00000000
5;0.50000000;0.00000000;14.44674846;-6.17618965;1.72445155;1.37623863;0.02130494;0.31532715;0.00000000;0.00000000
6;0.60000000;0.00000000;14.54661985;-6.17229139;1.72834562;1.37234121;0.04841615;0.26096770;0.00000000;0.00000000
7;0.70000000;0.00000000;14.64640538;-6.16651547;1.73411437;1.36935261;0.07349848;0.28181107;0.00000000;0.00000000
8;0.80000000;0.00000000;14.74595337;-6.15761424;1.74300105;1.37052138;0.10477836;0.31007190;0.00000000;0.00000000
9;0.90000000;0.00000000;14.84517602;-6.14561206;1.75497940;1.37585155;0.13551286;0.29727957;0.00000000;0.00000000
10;1.00000000;0.00000000;14.94398849;-6.13061245;1.74672964;1.38538157;0.16423428;0.27746627;0.00000000;0.00000000
11;1.10000000;0.00000000;15.04235891;-6.11293353;1.73751323;1.39932257;0.19100612;0.26536076;0.00000000;0.00000000
12;1.20000000;0.00000000;15.14022735;-6.09266704;1.73665378;1.41761168;0.21730643;0.25416882;0.00000000;0.00000000
13;1.30000000;0.00000000;15.23753098;-6.06984093;1.74414956;1.41952441;0.24183988;0.22713889;0.00000000;0.00000000
14;1.40000000;0.00000000;15.33429127;-6.04479775;1.75459258;1.42086998;0.26273421;0.21330254;0.00000000;0.00000000
15;1.50000000;0.00000000;15.43056085;-6.01792528;1.75084460;1.42733851;0.28450039;0.24323335;0.00000000;0.00000000
16;1.60000000;0.00000000;15.52612919;-5.98869797;1.75524911;1.43829980;0.31138088;0.24777794;0.00000000;0.00000000
17;1.70000000;0.00000000;15.62081638;-5.95669140;1.74417635;1.45319768;0.33405598;0.18050927;0.00000000;0.00000000
18;1.80000000;0.00000000;15.71497583;-5.92315629;1.73280705;1.46971867;0.34748273;0.11590568;0.00000000;0.00000000
19;1.90000000;0.00000000;15.80877251;-5.88861774;1.71179386;1.48279605;0.35723711;0.08845029;0.00000000;0.00000000
20;2.00000000;0.00000000;15.90226083;-5.85325182;1.68144802;1.49360428;0.36517279;0.07123251;0.00000000;0.00000000
21;2.10000000;0.00000000;15.99549816;-5.81722877;1.65727297;1.49983574;0.37148361;0.05344486;0.00000000;0.00000000
22;2.20000000;0.00000000;16.08853288;-5.78068564;1.63939932;1.50399716;0.37586176;0.06340956;0.00000000;0.00000000
23;2.30000000;0.00000000;16.18145117;-5.74384759;1.62779499;1.51033474;0.38416553;0.08993286;0.00000000;0.00000000
24;2.40000000;0.00000000;16.27386443;-5.70576521;1.62362033;1.52189201;0.39384833;0.05980875;0.00000000;0.00000000
25;2.50000000;0.00000000;16.36605183;-5.66713482;1.62016398;1.53928444;0.39612728;-0.00439070;0.00000000;0.00000000
26;2.60000000;0.00000000;16.45829214;-5.62863096;1.61736461;1.56302037;0.39297019;-0.04526443;0.00000000;0.00000000
27;2.70000000;0.00000000;16.55072133;-5.59058355;1.60858714;1.58291243;0.38707439;-0.05403324;0.00000000;0.00000000
28;2.80000000;0.00000000;16.64340857;-5.55317027;1.59977600;1.59657200;0.38216355;-0.02437388;0.00000000;0.00000000
29;2.90000000;0.00000000;16.73620726;-5.51603238;1.59688648;1.61119269;0.38219961;0.00178749;0.00000000;0.00000000
30;3.00000000;0.00000000;16.82889261;-5.47861209;1.60055086;1.61670667;0.38252104;-0.03546021;0.00000000;0.00000000
31;3.10000000;0.00000000;16.92166559;-5.44141528;1.59506991;1.62038204;0.37510757;-0.07211851;0.00000000;0.00000000
32;3.20000000;0.00000000;17.01489553;-5.40537328;1.56915575;1.63141996;0.36809734;-0.01689770;0.00000000;0.00000000
33;3.30000000;0.00000000;17.10818255;-5.36948018;1.54911151;1.64861176;0.37172803;0.02147883;0.00000000;0.00000000
34;3.40000000;0.00000000;17.20114835;-5.33276216;1.53620625;1.67075750;0.37239311;-0.03431389;0.00000000;0.00000000
35;3.50000000;0.00000000;17.29438790;-5.29674486;1.51724186;1.69922155;0.36486525;-0.08035826;0.00000000;0.00000000
36;3.60000000;0.00000000;17.38789582;-5.26143067;1.49135915;1.70677892;0.35632146;-0.09594960;0.00000000;0.00000000
37;3.70000000;0.00000000;17.48173660;-5.22701200;1.47088121;1.70864312;0.34567533;-0.11373781;0.00000000;0.00000000
38;3.80000000;0.00000000;17.57597413;-5.19369703;1.45582197;1.70862333;0.33357389;-0.12407114;0.00000000;0.00000000
39;3.90000000;0.00000000;17.67061936;-5.16155979;1.44627931;1.71568160;0.32086111;-0.13294245;0.00000000;0.00000000
40;4.00000000;0.00000000;17.76567268;-5.13065160;1.44231541;1.72977819;0.30698540;-0.14950733;0.00000000;0.00000000
41;4.10000000;0.00000000;17.86117185;-5.10115336;1.42446281;1.73942073;0.29095964;-0.14737517;0.00000000;0.00000000
42;4.20000000;0.00000000;17.95716460;-5.07330778;1.40181981;1.75217698;0.27751037;-0.12376010;0.00000000;0.00000000
43;4.30000000;0.00000000;18.05342543;-5.04638786;1.38221338;1.77143456;0.26620762;-0.14321616;0.00000000;0.00000000
44;4.40000000;0.00000000;18.15002140;-5.02071968;1.36834964;1.79569759;0.24886714;-0.19694537;0.00000000;0.00000000
45;4.50000000;0.00000000;18.24715164;-4.99715514;1.35953140;1.79775402;0.22681855;-0.20547611;0.00000000;0.00000000
46;4.60000000;0.00000000;18.34478463;-4.97577028;1.35579477;1.77643850;0.20777191;-0.17191382;0.00000000;0.00000000
47;4.70000000;0.00000000;18.44274755;-4.95592074;1.35784953;1.75661128;0.19243578;-0.17963142;0.00000000;0.00000000
48;4.80000000;0.00000000;18.54098876;-4.93754051;1.36574304;1.73819066;0.17184563;-0.23556179;0.00000000;0.00000000
49;4.90000000;0.00000000;18.63967780;-4.92174203;1.37826384;1.72236369;0.14532342;-0.25164124;0.00000000;0.00000000
