id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;14.07674662;-5.40908543;2.49102129;0.61454594;-0.31515536;0.17591179;8.09245968;0.22674041
1;0.09997778;0.00000000;14.17205396;-5.43924066;2.46091551;0.63938468;-0.29778314;0.17165571;8.09526044;0.49750414
2;0.19995556;0.00000000;14.26788836;-5.46776290;2.43244579;0.66782979;-0.28083126;0.16741460;8.10140237;0.75839922
3;0.29993333;0.00000000;14.36416202;-5.49467126;2.40559160;0.69469527;-0.26433645;0.16260925;8.11075622;1.04854203
4;0.39991111;0.00000000;14.46088598;-5.52001764;2.38029877;0.72002219;-0.24831448;0.15787386;8.12367086;1.32614581
5;0.49988889;0.00000000;14.55797343;-5.54382800;2.35654090;0.74382815;-0.23276124;0.15330330;8.13997534;1.58609911
6;0.59986667;0.00000000;14.65543817;-5.56615298;2.33426559;0.77228591;-0.21765957;0.14876508;8.15943306;1.83839145
7;0.69984445;0.00000000;14.75320065;-5.58702102;2.31344461;0.81079396;-0.20301778;0.14417766;8.18192792;2.08938494
8;0.79982222;0.00000000;14.85127729;-5.60648238;2.27588095;0.85804849;-0.18882910;0.13963361;8.20741912;2.33362939
9;0.89980000;0.00000000;14.94959324;-5.62456846;2.23405049;0.91269952;-0.17509533;0.13513856;8.23579691;2.57156131
10;0.99977778;0.00000000;15.04816688;-5.64132836;2.19723185;0.96284110;-0.16180648;0.13067299;8.26695522;2.80527375
11;1.09975556;0.00000000;15.14692927;-5.65679564;2.16566178;0.99673229;-0.14896584;0.12622922;8.30081193;3.03599796
12;1.19973334;0.00000000;15.24590052;-5.67101840;2.13691215;1.03805861;-0.13656532;0.12181375;8.33729833;3.26394366
13;1.29971111;0.00000000;15.34501688;-5.68403208;2.09538885;1.08598685;-0.12460871;0.11739972;8.37634688;3.49162220
14;1.39968889;0.00000000;15.44429934;-5.69588392;2.05748026;1.13973242;-0.11308985;0.11301243;8.41791877;3.71784782
15;1.49966667;0.00000000;15.54368979;-5.70661105;2.00197184;1.19852067;-0.10200789;0.10870044;8.46195962;3.93971915
16;1.59964445;0.00000000;15.64321013;-5.71625926;1.95031459;1.25247180;-0.09135398;0.10441297;8.50837995;4.16142375
17;1.69962223;0.00000000;15.74280733;-5.72486634;1.88043607;1.30806798;-0.08112493;0.10023462;8.55713908;4.37728317
