id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;17.58881338;-5.92505993;1.32540617;1.77497489;3.14503301;-0.11912341;0.00000000;0.00000000
1;0.10000000;0.00000000;17.48882680;-5.92540392;1.32575014;1.77463085;3.13312067;-0.20896904;0.00000000;0.00000000
2;0.20000000;0.00000000;17.38886089;-5.92336590;1.32371319;1.77666865;3.10323920;-0.29694675;0.00000000;0.00000000
3;0.30000000;0.00000000;17.28903469;-5.91773745;1.31808998;1.78229595;3.07373132;-0.26162988;0.00000000;0.00000000
4;0.40000000;0.00000000;17.18936406;-5.90980696;1.31163352;1.79022434;3.05091323;-0.22687593;0.00000000;0.00000000
5;0.50000000;0.00000000;17.08989830;-5.89963022;1.31052862;1.80039786;3.02835613;-0.22125454;0.00000000;0.00000000
6;0.60000000;0.00000000;16.99068799;-5.88721292;1.31478970;1.81281077;3.00666232;-0.23860283;0.00000000;0.00000000
7;0.70000000;0.00000000;16.89175797;-5.87273164;1.32453336;1.81281969;2.98063557;-0.26602553;0.00000000;0.00000000
8;0.80000000;0.00000000;16.79333490;-5.85517035;1.33861336;1.80240038;2.95345721;-0.26012263;0.00000000;0.00000000
9;0.90000000;0.00000000;16.69533922;-5.83533606;1.35093213;1.79980259;2.92861104;-0.24495414;0.00000000;0.00000000
10;1.00000000;0.00000000;16.59791015;-5.81290750;1.34721852;1.78416216;2.90446639;-0.23190749;0.00000000;0.00000000
11;1.10000000;0.00000000;16.50098639;-5.78836623;1.34874642;1.76653085;2.88222954;-0.22046072;0.00000000;0.00000000
12;1.20000000;0.00000000;16.40465064;-5.76162808;1.35539590;1.75224537;2.86037424;-0.19996838;0.00000000;0.00000000
13;1.30000000;0.00000000;16.30889128;-5.73287495;1.36726585;1.72749751;2.84223587;-0.16400935;0.00000000;0.00000000
14;1.40000000;0.00000000;16.21358185;-5.70265821;1.38476946;1.70614439;2.82757237;-0.15166245;0.00000000;0.00000000
15;1.50000000;0.00000000;16.11870579;-5.67110916;1.40781788;1.69183555;2.81190338;-0.17664544;0.00000000;0.00000000
