id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;17.54069183;-5.35589727;0.75610780;2.34445658;-2.94081789;-0.25144804;6.26556339;1.97707064
1;0.09999708;0.00000000;17.44248603;-5.37461037;0.77477681;2.32577836;-2.96569574;-0.24625270;6.29703797;2.08212804
2;0.19999417;0.00000000;17.34380637;-5.39090673;0.79104426;2.30950935;-2.99007144;-0.24119547;6.33001585;2.18061419
3;0.29999125;0.00000000;17.24480496;-5.40481262;0.80493028;2.29562518;-3.01393344;-0.23618647;6.36437041;2.27663078
4;0.39998833;0.00000000;17.14546004;-5.41638147;0.82417847;2.28407141;-3.03731269;-0.23134148;6.40004091;2.36578529
5;0.49998542;0.00000000;17.04591511;-5.42564526;0.85258866;2.27481852;-3.06020629;-0.22665530;6.43689886;2.44866435
6;0.59998250;0.00000000;16.94614605;-5.43265337;0.88933304;2.25012690;-3.08264671;-0.22210075;6.47482706;2.52671598
7;0.69997958;0.00000000;16.84628453;-5.43744217;0.92546444;2.22070548;-3.10462936;-0.21766706;6.51373272;2.60064432
8;0.79997667;0.00000000;16.74630466;-5.44005730;0.95254232;2.18455785;-3.12618287;-0.21335629;6.55353550;2.67056449
9;0.89997375;0.00000000;16.64632823;-5.44053867;0.97415272;2.14350291;3.13588259;-0.20914429;6.59415839;2.73769665
10;0.99997083;0.00000000;16.54632810;-5.43892853;1.00333746;2.10278904;3.11517128;-0.20503966;6.63554431;2.80179744
11;1.09996792;0.00000000;16.44641630;-5.43526971;1.03946493;2.05343392;3.09487252;-0.20103004;6.67763367;2.86353104
12;1.19996500;0.00000000;16.34656485;-5.42960132;1.08188405;2.00965095;3.07496324;-0.19711774;6.72037804;2.92288238
13;1.29996208;0.00000000;16.24687670;-5.42196835;1.12987786;1.97182276;3.05544727;-0.19328740;6.76372977;2.98062590
14;1.39995917;0.00000000;16.14732362;-5.41240709;1.18281063;1.94025137;3.03630408;-0.18954344;6.80765365;3.03661216
