id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-5.31866576;1.52290856;1.52450069;1.62301343;3.04606458;-0.02859830;0.00000000;0.00000000
1;0.10000000;0.00000000;-5.41820352;1.53244624;1.54305618;1.63254566;3.04320475;-0.06925923;0.00000000;0.00000000
2;0.20000000;0.00000000;-5.51768581;1.54255315;1.55754774;1.64264668;3.03221273;-0.13975513;0.00000000;0.00000000
3;0.30000000;0.00000000;-5.61698891;1.55427650;1.54581740;1.64591319;3.01525372;-0.17381920;0.00000000;0.00000000
4;0.40000000;0.00000000;-5.71606893;1.56775087;1.53233398;1.62898888;2.99744890;-0.17957365;0.00000000;0.00000000
5;0.50000000;0.00000000;-5.81489031;1.58300197;1.51707175;1.61986906;2.97933899;-0.15989734;0.00000000;0.00000000
6;0.60000000;0.00000000;-5.91341592;1.60005512;1.50423056;1.61871916;2.96546943;-0.12960952;0.00000000;0.00000000
7;0.70000000;0.00000000;-6.01177902;1.61804170;1.49702115;1.62468191;2.95341709;-0.14575878;0.00000000;0.00000000
8;0.80000000;0.00000000;-6.10986296;1.63746426;1.49501077;1.61892965;2.93631767;-0.18114609;0.00000000;0.00000000
9;0.90000000;0.00000000;-6.20754910;1.65880254;1.49772744;1.61166811;2.91718787;-0.17784917;0.00000000;0.00000000
10;1.00000000;0.00000000;-6.30481923;1.68196284;1.50523175;1.61246137;2.90074784;-0.14246758;0.00000000;0.00000000
11;1.10000000;0.00000000;-6.40175539;1.70650199;1.51789548;1.62085071;2.88869436;-0.13153162;0.00000000;0.00000000
12;1.20000000;0.00000000;-6.49844007;1.73200056;1.53250236;1.62327624;2.87444151;-0.16588383;0.00000000;0.00000000
13;1.30000000;0.00000000;-6.59463496;1.75929187;1.53722901;1.62371299;2.85551759;-0.20077774;0.00000000;0.00000000
14;1.40000000;0.00000000;-6.69028690;1.78843102;1.53401495;1.63220920;2.83428597;-0.21735560;0.00000000;0.00000000
15;1.50000000;0.00000000;-6.78523934;1.81978215;1.51707375;1.64556247;2.81204647;-0.18385943;0.00000000;0.00000000
16;1.60000000;0.00000000;-6.87950344;1.85314647;1.50447229;1.66471041;2.79751408;-0.13828938;0.00000000;0.00000000
17;1.70000000;0.00000000;-6.97350465;1.88724372;1.49767384;1.65770880;2.78438859;-0.16094817;0.00000000;0.00000000
18;1.80000000;0.00000000;-7.06685773;1.92306973;1.49569037;1.65236821;2.76532445;-0.19430984;0.00000000;0.00000000
19;1.90000000;0.00000000;-7.15948711;1.96072391;1.48959031;1.65503368;2.74552662;-0.18059558;0.00000000;0.00000000
20;2.00000000;0.00000000;-7.25134665;2.00021631;1.47841878;1.66569200;2.72920533;-0.14300435;0.00000000;0.00000000
21;2.10000000;0.00000000;-7.34270074;2.04087483;1.47269000;1.68140787;2.71692575;-0.13326906;0.00000000;0.00000000
22;2.20000000;0.00000000;-7.43356469;2.08261200;1.47255512;1.67329603;2.70255152;-0.16462053;0.00000000;0.00000000
23;2.30000000;0.00000000;-7.52370794;2.12587756;1.47751207;1.67282780;2.68400165;-0.19453353;0.00000000;0.00000000
24;2.40000000;0.00000000;-7.61295949;2.17095533;1.48718147;1.67788302;2.66364481;-0.20254522;0.00000000;0.00000000
25;2.50000000;0.00000000;-7.70126873;2.21785498;1.47273118;1.68238211;2.64349260;-0.17574987;0.00000000;0.00000000
26;2.60000000;0.00000000;-7.78863566;2.26649472;1.46059596;1.68888164;2.62849484;-0.15692057;0.00000000;0.00000000
27;2.70000000;0.00000000;-7.87550206;2.31602377;1.45422603;1.67572629;2.61210849;-0.17538283;0.00000000;0.00000000
28;2.80000000;0.00000000;-7.96122851;2.36750025;1.45246215;1.66999325;2.59341827;-0.18217699;0.00000000;0.00000000
29;2.90000000;0.00000000;-8.04618225;2.42024043;1.45609550;1.67171772;2.57567309;-0.19473043;0.00000000;0.00000000
30;3.00000000;0.00000000;-8.13002454;2.47472399;1.46450261;1.68145771;2.55447219;-0.21538977;0.00000000;0.00000000
31;3.10000000;0.00000000;-8.21266224;2.53101509;1.47749493;1.68478749;2.53259514;-0.22024679;0.00000000;0.00000000
32;3.20000000;0.00000000;-8.29403908;2.58911228;1.48879485;1.69360561;2.51042283;-0.21450935;0.00000000;0.00000000
33;3.30000000;0.00000000;-8.37409895;2.64901047;1.48797758;1.68288759;2.48969327;-0.19669328;0.00000000;0.00000000
