id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-5.37609908;1.40549696;1.65268659;1.50568940;2.86168120;-0.12426572;8.34954950;-3.58269616
1;0.09999387;0.00000000;-5.47199726;1.43371247;1.65370888;1.53397069;2.84917968;-0.12585843;8.30653247;-3.55971373
2;0.19998774;0.00000000;-5.56758758;1.46314947;1.63717085;1.56348783;2.83651089;-0.12746678;8.26356960;-3.53811940
3;0.29998162;0.00000000;-5.66274368;1.49378592;1.60664526;1.57390899;2.82368787;-0.12908048;8.22064486;-3.51722724
4;0.39997549;0.00000000;-5.75754416;1.52566404;1.57490712;1.57747630;2.81069620;-0.13070990;8.17775028;-3.49721589
5;0.49996936;0.00000000;-5.85187582;1.55876300;1.54211161;1.58863840;2.79754706;-0.13235287;8.13487549;-3.47777271
6;0.59996323;0.00000000;-5.94580167;1.59312227;1.51391995;1.60726071;2.78422699;-0.13401455;8.09201380;-3.45930421
7;0.69995710;0.00000000;-6.03922202;1.62872312;1.49060630;1.63308619;2.77074535;-0.13568934;8.04915331;-3.44139503
8;0.79995098;0.00000000;-6.13218366;1.66560126;1.47237200;1.63893420;2.75709045;-0.13738409;8.00628704;-3.42440831
9;0.89994485;0.00000000;-6.22460096;1.70374100;1.45940672;1.65103682;2.74326963;-0.13909385;7.96340332;-3.40792773
10;0.99993872;0.00000000;-6.31650405;1.74317320;1.45182896;1.67041479;2.72927297;-0.14082567;7.92049548;-3.39229205
11;1.09993259;0.00000000;-6.40782161;1.78388620;1.44971159;1.69682263;2.71510549;-0.14257492;7.87755240;-3.37712526
12;1.19992646;0.00000000;-6.49856683;1.82590493;1.44284092;1.71309942;2.70075921;-0.14434827;7.83456752;-3.36276613
13;1.29992033;0.00000000;-6.58868278;1.86922267;1.43249941;1.73200286;2.68623671;-0.14614103;7.79152977;-3.34886716
14;1.39991421;0.00000000;-6.67816569;1.91385741;1.40803198;1.75781007;2.67153218;-0.14795963;7.74843234;-3.33570950
15;1.49990808;0.00000000;-6.76697283;1.95980824;1.37606640;1.78662812;2.65664553;-0.14980030;7.70526461;-3.32300701
16;1.59990195;0.00000000;-6.85508369;2.00708519;1.34930307;1.81794686;2.64157323;-0.15166866;7.66201945;-3.31095376
17;1.69989582;0.00000000;-6.94246931;2.05569402;1.32804474;1.82345135;2.62631238;-0.15356240;7.61868702;-3.29936065
18;1.79988969;0.00000000;-7.02909287;2.10563581;1.31254653;1.83591679;2.61086179;-0.15548570;7.57525975;-3.28832203
19;1.89988357;0.00000000;-7.11493851;2.15692374;1.28855895;1.85522124;2.59521565;-0.15743799;7.53172863;-3.27777509
20;1.99987744;0.00000000;-7.19995384;2.20954913;1.26382081;1.88116319;2.57937518;-0.15942146;7.48808529;-3.26763337
21;2.09987131;0.00000000;-7.28413512;2.26353311;1.24505309;1.90349456;2.56333156;-0.16143877;7.44432231;-3.25798921
22;2.19986518;0.00000000;-7.36741540;2.31885659;1.23252076;1.91396316;2.54708835;-0.16348952;7.40043085;-3.24862013
23;2.29985905;0.00000000;-7.44980171;2.37554898;1.22639202;1.93117255;2.53063368;-0.16557897;7.35640486;-3.23986344
24;2.39985293;0.00000000;-7.53121397;2.43358042;1.21453964;1.94947900;2.51397349;-0.16770237;7.31223355;-3.23117133
25;2.49984680;0.00000000;-7.61166832;2.49298862;1.18363172;1.97053703;2.49709301;-0.16987119;7.26791338;-3.22300839
26;2.59984067;0.00000000;-7.69107324;2.55373282;1.15888806;1.97646127;2.48000007;-0.17207832;7.22343427;-3.21467885
27;2.69983454;0.00000000;-7.76945187;2.61585864;1.14067650;1.98272456;2.46267693;-0.17433839;7.17879560;-3.20722379
28;2.79982841;0.00000000;-7.84670339;2.67931487;1.12931079;1.99570935;2.44513347;-0.17663331;7.13398212;-3.19943958
29;2.89982228;0.00000000;-7.92285358;2.74415241;1.12496938;2.01531486;2.42735018;-0.17898794;7.08899515;-3.19199093
30;2.99981616;0.00000000;-7.99780075;2.81031560;1.12588687;2.03572250;2.40933638;-0.18139121;7.04382660;-3.18399721
31;3.09981003;0.00000000;-8.07156172;2.87785119;1.12699791;2.05482518;2.39107239;-0.18386238;6.99848074;-3.17682702
32;3.19980390;0.00000000;-8.14404703;2.94671093;1.11359556;2.05852109;2.37256461;-0.18637620;6.95294227;-3.16899222
33;3.29979777;0.00000000;-8.21525425;3.01692704;1.09039141;2.06787752;2.35379718;-0.18896483;6.90721700;-3.16131753
34;3.39979164;0.00000000;-8.28510831;3.08846201;1.06999230;2.08385803;2.33477153;-0.19161363;6.86129885;-3.15278342
35;3.49978552;0.00000000;-8.35358944;3.16133341;1.05677037;2.10633700;2.31547404;-0.19434606;6.81519654;-3.14088763
36;3.59977939;0.00000000;-8.42063444;3.23551408;1.05097808;2.13512189;2.29589935;-0.19721702;6.76895596;-3.12630258
37;3.69977326;0.00000000;-8.48620811;3.31100773;1.04395948;2.15794176;2.27602909;-0.20021462;6.72261427;-3.11145077
38;3.79976713;0.00000000;-8.55025497;3.38779628;1.03494067;2.16298066;2.25585552;-0.20328903;6.67617335;-3.09565421
39;3.89976100;0.00000000;-8.61272830;3.46587162;1.02389283;2.16451816;2.23537008;-0.20645743;6.62964537;-3.08009264
40;3.99975488;0.00000000;-8.67357695;3.54522059;1.01078740;2.17272092;2.21456334;-0.20969615;6.58302490;-3.06416037
41;4.09974875;0.00000000;-8.73274728;3.62582639;0.99559658;2.18754207;2.19342973;-0.21302135;6.53631566;-3.04759131
42;4.19974262;0.00000000;-8.79018895;3.70767669;0.97829220;2.20477072;2.17195762;-0.21644173;6.48952552;-3.02975251
43;4.29973649;0.00000000;-8.84584423;3.79074880;0.95884811;2.22412063;2.15013925;-0.21997457;6.44267243;-3.00996136
44;4.39973036;0.00000000;-8.89965972;3.87502642;0.94604808;2.23425999;2.12796027;-0.22363855;6.39578554;-2.98814516
45;4.49972423;0.00000000;-8.95157719;3.96048655;0.93687949;2.22807601;2.10540860;-0.22743801;6.34889599;-2.96408670
46;4.59971811;0.00000000;-9.00153607;4.04710244;0.93055885;2.22864425;2.08247006;-0.23138073;6.30203930;-2.93756896
47;4.69971198;0.00000000;-9.04948144;4.13485808;0.93102993;2.23599908;2.05912872;-0.23547439;6.25525551;-2.90752578
48;4.79970585;0.00000000;-9.09534027;4.22370474;0.91115182;2.25010802;2.03537168;-0.23974755;6.20860306;-2.87937122
49;4.89969972;0.00000000;-9.13906466;4.31364267;0.89958707;2.26821374;2.01118093;-0.24406624;6.16205429;-2.85083398
50;4.99969359;0.00000000;-9.18057033;4.40459697;0.89231975;2.27271252;1.98655728;-0.24849083;6.11561781;-2.85003912
51;5.09968747;0.00000000;-9.21981561;4.49657845;0.88767256;2.26780301;1.96153949;-0.25185695;6.06883912;-2.86549840
52;5.19968134;0.00000000;-9.25672299;4.58949610;0.89174919;2.26009072;1.93618430;-0.25535990;6.02144034;-2.87932300
53;5.29967521;0.00000000;-9.29125644;4.68335163;0.89558584;2.25933798;1.91049784;-0.25832333;5.97343405;-2.91853280
54;5.39966908;0.00000000;-9.32334498;4.77804121;0.88586013;2.26558330;1.88451245;-0.26152587;5.92437707;-2.95463691
55;5.49966295;0.00000000;-9.35295717;4.87357237;0.87868884;2.27880139;1.85818826;-0.26489866;5.87429591;-2.99073554
56;5.59965683;0.00000000;-9.38001744;4.96981532;0.86531149;2.29463436;1.83152274;-0.26858580;5.82316426;-3.02178095
57;5.69965070;0.00000000;-9.40449394;5.06679283;0.85425167;2.29766709;1.80446643;-0.27244088;5.77104175;-3.05352478
