id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;18.48345137;-6.68945669;1.51063372;1.58965207;-0.01961744;0.22773254;0.00000000;0.00000000
1;0.10000000;0.00000000;18.58340893;-6.69141785;1.50867312;1.59161251;0.00315581;0.34225860;0.00000000;0.00000000
2;0.20000000;0.00000000;18.68334916;-6.68882585;1.51126561;1.58902007;0.04883428;0.45775302;0.00000000;0.00000000
3;0.30000000;0.00000000;18.78306327;-6.68166012;1.51843404;1.58655678;0.09470642;0.45212699;0.00000000;0.00000000
4;0.40000000;0.00000000;18.88234089;-6.66992351;1.53017806;1.58579955;0.13925968;0.44725833;0.00000000;0.00000000
5;0.50000000;0.00000000;18.98101921;-6.65391324;1.54620289;1.58702824;0.18415808;0.44592653;0.00000000;0.00000000
6;0.60000000;0.00000000;19.07883729;-6.63332240;1.56682009;1.58989077;0.22844498;0.44151821;0.00000000;0.00000000
7;0.70000000;0.00000000;19.17570978;-6.60864696;1.56756366;1.59483894;0.27246173;0.43715444;0.00000000;0.00000000
8;0.80000000;0.00000000;19.27133296;-6.57953714;1.56036610;1.60143126;0.31587587;0.43025220;0.00000000;0.00000000
9;0.90000000;0.00000000;19.36569947;-6.54655480;1.55452765;1.59822377;0.35851216;0.43504151;0.00000000;0.00000000
10;1.00000000;0.00000000;19.45849132;-6.50940794;1.55954978;1.58560592;0.40288417;0.43488700;0.00000000;0.00000000
11;1.10000000;0.00000000;19.54955750;-6.46819504;1.57528443;1.57481471;0.44548956;0.41577237;0.00000000;0.00000000
12;1.20000000;0.00000000;19.63885713;-6.42328251;1.58985991;1.56622729;0.48603865;0.38968513;0.00000000;0.00000000
13;1.30000000;0.00000000;19.72628581;-6.37482762;1.58873788;1.55998825;0.52342659;0.35254862;0.00000000;0.00000000
14;1.40000000;0.00000000;19.81198952;-6.32336422;1.58811433;1.55667435;0.55654837;0.33199313;0.00000000;0.00000000
15;1.50000000;0.00000000;19.89602264;-6.26922559;1.59690983;1.55662297;0.58982522;0.33903121;0.00000000;0.00000000
16;1.60000000;0.00000000;19.97811215;-6.21217792;1.61529913;1.55949032;0.62435461;0.34042848;0.00000000;0.00000000
17;1.70000000;0.00000000;20.05821462;-6.15236569;1.62069484;1.56001498;0.65791091;0.32895011;0.00000000;0.00000000
18;1.80000000;0.00000000;20.13630089;-6.08993553;1.61743799;1.54480097;0.69014463;0.29459116;0.00000000;0.00000000
19;1.90000000;0.00000000;20.21239181;-6.02508020;1.62348668;1.53282405;0.71682914;0.25675873;0.00000000;0.00000000
20;2.00000000;0.00000000;20.28704035;-5.95857010;1.63780178;1.52511782;0.74149638;0.23619384;0.00000000;0.00000000
21;2.10000000;0.00000000;20.35983617;-5.89004516;1.65534607;1.52120879;0.76406791;0.21066631;0.00000000;0.00000000
22;2.20000000;0.00000000;20.43140507;-5.82023633;1.66054821;1.52208930;0.78362964;0.19649983;0.00000000;0.00000000
23;2.30000000;0.00000000;20.50146215;-5.74891923;1.66143907;1.52119808;0.80336788;0.18161846;0.00000000;0.00000000
24;2.40000000;0.00000000;20.57022069;-5.67633991;1.66009540;1.51849613;0.81995333;0.17186922;0.00000000;0.00000000
25;2.50000000;0.00000000;20.63787635;-5.60273594;1.63898524;1.51428884;0.83774172;0.19205279;0.00000000;0.00000000
26;2.60000000;0.00000000;20.70401020;-5.52775648;1.62580466;1.51425501;0.85836389;0.17622308;0.00000000;0.00000000
27;2.70000000;0.00000000;20.76857733;-5.45142086;1.62077438;1.51314332;0.87298634;0.13278486;0.00000000;0.00000000
28;2.80000000;0.00000000;20.83249162;-5.37453820;1.62275415;1.51695979;0.88492086;0.11950908;0.00000000;0.00000000
29;2.90000000;0.00000000;20.89521607;-5.29668626;1.62168321;1.52580312;0.89688815;0.10353790;0.00000000;0.00000000
30;3.00000000;0.00000000;20.95727202;-5.21829615;1.60900180;1.54025153;0.90562844;0.09386924;0.00000000;0.00000000
31;3.10000000;0.00000000;21.01862635;-5.13935928;1.60335885;1.54971703;0.91566200;0.08406942;0.00000000;0.00000000
32;3.20000000;0.00000000;21.07909711;-5.05973945;1.60505576;1.55637937;0.92244233;0.09872491;0.00000000;0.00000000
33;3.30000000;0.00000000;21.13937732;-4.97997529;1.61319771;1.56367139;0.93540698;0.14444984;0.00000000;0.00000000
34;3.40000000;0.00000000;21.19776353;-4.89881439;1.62066285;1.55507981;0.95133229;0.12471831;0.00000000;0.00000000
35;3.50000000;0.00000000;21.25547265;-4.81717162;1.61430059;1.54114253;0.96035064;0.10260105;0.00000000;0.00000000
36;3.60000000;0.00000000;21.31238446;-4.73497248;1.59367567;1.53263879;0.97185250;0.12280684;0.00000000;0.00000000
37;3.70000000;0.00000000;21.36819816;-4.65202719;1.57363957;1.52930438;0.98491201;0.11003741;0.00000000;0.00000000
38;3.80000000;0.00000000;21.42294477;-4.56836844;1.56104295;1.53121753;0.99385999;0.10197970;0.00000000;0.00000000
39;3.90000000;0.00000000;21.47726761;-4.48443391;1.55529178;1.53913215;1.00530795;0.11082735;0.00000000;0.00000000
40;4.00000000;0.00000000;21.53008477;-4.39954345;1.55516818;1.55169566;1.01602545;0.08952461;0.00000000;0.00000000
41;4.10000000;0.00000000;21.58259622;-4.31446373;1.55085360;1.55990383;1.02321287;0.08220806;0.00000000;0.00000000
42;4.20000000;0.00000000;21.63418595;-4.22882567;1.54960391;1.54782833;1.03246707;0.07260650;0.00000000;0.00000000
43;4.30000000;0.00000000;21.68511386;-4.14278863;1.55556537;1.54138045;1.03773417;0.04785491;0.00000000;0.00000000
44;4.40000000;0.00000000;21.73580013;-4.05660928;1.56254527;1.54112388;1.04203805;0.03624271;0.00000000;0.00000000
45;4.50000000;0.00000000;21.78598562;-3.97013699;1.56275028;1.54676322;1.04498272;0.03852912;0.00000000;0.00000000
46;4.60000000;0.00000000;21.83616363;-3.88366034;1.55268864;1.55879938;1.04974387;0.08111329;0.00000000;0.00000000
47;4.70000000;0.00000000;21.88552272;-3.79671537;1.53829615;1.55348473;1.06120538;0.10970898;0.00000000;0.00000000
48;4.80000000;0.00000000;21.93370331;-3.70911512;1.53166098;1.54005272;1.07168567;0.06581468;0.00000000;0.00000000
49;4.90000000;0.00000000;21.98122996;-3.62115352;1.53228395;1.53228964;1.07436831;0.00211285;0.00000000;0.00000000
50;5.00000000;0.00000000;22.02894190;-3.53329224;1.53920424;1.53124062;1.07210824;-0.02428318;0.00000000;0.00000000
51;5.10000000;0.00000000;22.07686570;-3.44554629;1.53920826;1.53694982;1.06951168;-0.00362815;0.00000000;0.00000000
52;5.20000000;0.00000000;22.12503328;-3.35793396;1.54042479;1.54937881;1.07138261;0.04226922;0.00000000;0.00000000
53;5.30000000;0.00000000;22.17262798;-3.27001010;1.54875869;1.56306549;1.07796552;0.05904589;0.00000000;0.00000000
54;5.40000000;0.00000000;22.21963760;-3.18177182;1.56410776;1.58087223;1.08319179;0.03865754;0.00000000;0.00000000
55;5.50000000;0.00000000;22.26631111;-3.09335449;1.56942015;1.58761020;1.08569703;0.02894630;0.00000000;0.00000000
56;5.60000000;0.00000000;22.31287825;-3.00488136;1.56224371;1.58836355;1.08898105;0.00842422;0.00000000;0.00000000
57;5.70000000;0.00000000;22.35897004;-2.91615938;1.55802249;1.59486052;1.08738187;-0.02270487;0.00000000;0.00000000
58;5.80000000;0.00000000;22.40581995;-2.82783554;1.55146417;1.59688428;1.08444007;-0.02482518;0.00000000;0.00000000
59;5.90000000;0.00000000;22.45243289;-2.73938639;1.55160289;1.59448309;1.08241684;-0.02649202;0.00000000;0.00000000
60;6.00000000;0.00000000;22.49963913;-2.65125416;1.55750029;1.59197087;1.07914167;-0.00932668;0.00000000;0.00000000
61;6.10000000;0.00000000;22.54682999;-2.56311303;1.56977373;1.57871688;1.08055150;0.00847943;0.00000000;0.00000000
62;6.20000000;0.00000000;22.59378813;-2.47484695;1.58483035;1.56476517;1.08083756;0.01550602;0.00000000;0.00000000
63;6.30000000;0.00000000;22.64092879;-2.38667839;1.58597589;1.55732751;1.08365271;0.08540888;0.00000000;0.00000000
64;6.40000000;0.00000000;22.68738878;-2.29815015;1.59221348;1.55552063;1.09791933;0.10834662;0.00000000;0.00000000
65;6.50000000;0.00000000;22.73199511;-2.20867213;1.59290913;1.55805393;1.10532203;0.02001110;0.00000000;0.00000000
