id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;18.48718138;-5.70546803;2.49456478;0.60614549;0.01112160;0.25863914;6.71124240;0.17657280
1;0.09997347;0.00000000;18.58710963;-5.70307074;2.49696240;0.60374802;0.03678734;0.25490902;6.71387218;0.33544412
2;0.19994693;0.00000000;18.68697149;-5.69812644;2.50190734;0.59880328;0.06209534;0.25130882;6.71886529;0.48061240
3;0.29992040;0.00000000;18.78665381;-5.69067997;2.50935537;0.60442012;0.08693992;0.24580187;6.72601276;0.70522106
4;0.39989387;0.00000000;18.88614456;-5.68078413;2.51925380;0.62380098;0.11124960;0.24050884;6.73648681;0.91021497
5;0.49986734;0.00000000;18.98534812;-5.66850146;2.51078974;0.65575681;0.13503752;0.23543731;6.74998142;1.09681058
6;0.59984080;0.00000000;19.08425478;-5.65388444;2.48955932;0.66983835;0.15832750;0.23044077;6.76620670;1.27307986
7;0.69981427;0.00000000;19.18278007;-5.63699643;2.47447487;0.67112661;0.18110217;0.22524198;6.78499090;1.45276959
8;0.79978774;0.00000000;19.28091823;-5.61789061;2.46560028;0.68492036;0.20336968;0.22023933;6.80636308;1.61797470
9;0.89976121;0.00000000;19.37859544;-5.59663173;2.43412868;0.71052748;0.22515923;0.21571335;6.83008693;1.75661209
10;0.99973467;0.00000000;19.47580576;-5.57326800;2.40770003;0.74677074;0.24650383;0.21132929;6.85575062;1.88554608
11;1.09970814;0.00000000;19.57248400;-5.54785934;2.38724824;0.79220225;0.26744366;0.20762948;6.88319154;1.97970609
12;1.19968161;0.00000000;19.66863325;-5.52044399;2.35431328;0.82042017;0.28802031;0.20396190;6.91188556;2.07120429
13;1.29965508;0.00000000;19.76418491;-5.49107988;2.31894740;0.83975271;0.30821820;0.20016192;6.94177880;2.16825081
14;1.39962854;0.00000000;19.85914893;-5.45980332;2.28931752;0.86834088;0.32804596;0.19647743;6.97293539;2.25894424
15;1.49960201;0.00000000;19.95346257;-5.42667375;2.26529888;0.90532067;0.34750587;0.19286876;7.00524782;2.34554558
16;1.59957548;0.00000000;20.04713596;-5.39172588;2.23555763;0.94702863;0.36661179;0.18934740;7.03864203;2.42773679
17;1.69954895;0.00000000;20.14011471;-5.35501738;2.19296764;0.98704358;0.38537294;0.18601944;7.07304038;2.50043868
18;1.79952241;0.00000000;20.23241151;-5.31657918;2.13469731;1.02537464;0.40380783;0.18275753;7.10829482;2.57032178
19;1.89949588;0.00000000;20.32397426;-5.27646823;2.08116595;1.06229706;0.42191781;0.17958141;7.14435324;2.63652582
20;1.99946935;0.00000000;20.41481842;-5.23471244;2.03271857;1.10376316;0.43971684;0.17648023;7.18115230;2.69974330
21;2.09944281;0.00000000;20.50489594;-5.19136793;1.98973226;1.14478580;0.45720844;0.17348382;7.21863933;2.75853068
22;2.19941628;0.00000000;20.59422360;-5.14645995;1.95253797;1.19130812;0.47440607;0.17052667;7.25674263;2.81643619
23;2.29938975;0.00000000;20.68275796;-5.10004349;1.90441559;1.24270956;0.49130287;0.16753577;7.29544045;2.87741518
24;2.39936322;0.00000000;20.77051691;-5.05214283;1.85641195;1.29831037;0.50790618;0.16459712;7.33476528;2.93689827
25;2.49933668;0.00000000;20.85746190;-5.00281248;1.81416533;1.33954018;0.52421418;0.16168208;7.37468681;2.99651011
26;2.59931015;0.00000000;20.94361158;-4.95207534;1.77805672;1.38373984;0.54023560;0.15882038;7.41519713;3.05467436
27;2.69928362;0.00000000;21.02893185;-4.89998461;1.74846007;1.42783570;0.55597272;0.15603617;7.45626725;3.11010103
28;2.79925709;0.00000000;21.11344189;-4.84656126;1.71982142;1.45851715;0.57143603;0.15329648;7.49785146;3.16468446
29;2.89923055;0.00000000;21.19711111;-4.79185698;1.67739087;1.48076497;0.58662531;0.15059761;7.53993007;3.21866906
30;2.99920402;0.00000000;21.27995901;-4.73589128;1.62374900;1.50769117;0.60154894;0.14794011;7.58248696;3.27205248
31;3.09917749;0.00000000;21.36195886;-4.67871423;1.56864356;1.53925777;0.61620681;0.14532039;7.62550623;3.32506804
32;3.19915096;0.00000000;21.44313027;-4.62034410;1.51939978;1.57521153;0.63060653;0.14273730;7.66897532;3.37780315
33;3.29912442;0.00000000;21.52345009;-4.56082932;1.47660504;1.61526648;0.64474787;0.14018760;7.71288298;3.43046811
34;3.39909789;0.00000000;21.60293798;-4.50018705;1.44080765;1.65915017;0.65863774;0.13767074;7.75722086;3.48311116
35;3.49907136;0.00000000;21.68157415;-4.43846401;1.40380049;1.70657043;0.67227561;0.13517975;7.80198134;3.53616819
36;3.59904483;0.00000000;21.75937819;-4.37567649;1.36662919;1.73613500;0.68566755;0.13271824;7.84716247;3.58943172
37;3.69901829;0.00000000;21.83633359;-4.31186940;1.33481931;1.76080353;0.69881299;0.13027894;7.89275964;3.64336324
38;3.79899176;0.00000000;21.91245977;-4.24705833;1.31115585;1.78948988;0.71171737;0.12786605;7.93877409;3.69771194
39;3.89896523;0.00000000;21.98774334;-4.18128634;1.28186595;1.82201617;0.72438002;0.12547084;7.98520383;3.75304374
40;3.99893869;0.00000000;22.06220354;-4.11456841;1.25251093;1.85820421;0.73680573;0.12309900;8.03205389;3.80900454
41;4.09891216;0.00000000;22.13582990;-4.04694574;1.21197557;1.89785362;0.74899382;0.12074230;8.07932476;3.86614319
42;4.19888563;0.00000000;22.20864143;-3.97843287;1.17044468;1.92049913;0.76094856;0.11840662;8.12702356;3.92408673
43;4.29885910;0.00000000;22.28063048;-3.90906902;1.13202291;1.93939230;0.77266924;0.11608216;8.17515267;3.98350138
44;4.39883256;0.00000000;22.35181569;-3.83886852;1.10248030;1.96208116;0.78415953;0.11377640;8.22372239;4.04390185
45;4.49880603;0.00000000;22.42219215;-3.76786857;1.08253041;1.98845122;0.79541877;0.11147928;8.27273690;4.10599095
46;4.59877950;0.00000000;22.49177836;-3.69608311;1.05583066;2.01838066;0.80645007;0.10919880;8.32220861;4.16923891
47;4.69875297;0.00000000;22.56057176;-3.62354752;1.03028335;2.05172705;0.81725322;0.10693149;8.37214325;4.23390765
48;4.79872643;0.00000000;22.62859051;-3.55027559;1.01505221;2.08834829;0.82783129;0.10467756;8.42254947;4.30000344
49;4.89869990;0.00000000;22.69583448;-3.47630058;1.00966700;2.12523648;0.83818299;0.10241948;8.47343567;4.36880887
50;4.99867337;0.00000000;22.76232129;-3.40163665;0.98807501;2.16401727;0.84831017;0.10016532;8.52482504;4.41601691
51;5.09864684;0.00000000;22.82805351;-3.32631486;0.96136254;2.19281974;0.85820933;0.09787730;8.57645679;4.38587922
52;5.19862030;0.00000000;22.89304903;-3.25034942;0.93331570;2.21786474;0.86788075;0.09559400;8.62743033;4.35610550
53;5.29859377;0.00000000;22.95731243;-3.17377010;0.90673374;2.24617208;0.87732247;0.09329677;8.67776147;4.32668730
54;5.39856724;0.00000000;23.02086181;-3.09659103;0.88131983;2.26579116;0.88653560;0.09101211;8.72746538;4.29761649
55;5.49854070;0.00000000;23.08370364;-3.01884024;0.86766708;2.28068141;0.89552045;0.08873729;8.77655668;4.26888524
56;5.59851417;0.00000000;23.14585554;-2.94053214;0.86630893;2.28437317;0.90427870;0.08647127;8.82504944;4.24048599
57;5.69848764;0.00000000;23.20732605;-2.86169237;0.86511186;2.28977755;0.91281012;0.08420613;8.87295722;4.21241148
58;5.79846111;0.00000000;23.26813261;-2.78233541;0.84498116;2.29868390;0.92111570;0.08194633;8.92029308;4.18465469
