id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-24.94708996;-11.68708339;1.39110012;1.76164347;2.87976184;-0.10722687;0.00000000;0.00000000
1;0.10000000;0.00000000;-25.04365768;-11.66120489;1.37614137;1.76707932;2.86903915;-0.15755260;0.00000000;0.00000000
2;0.20000000;0.00000000;-25.13964823;-11.63326158;1.36620129;1.78024858;2.84825132;-0.24124740;0.00000000;0.00000000
3;0.30000000;0.00000000;-25.23505646;-11.60339187;1.36152588;1.80084772;2.82078967;-0.32771381;0.00000000;0.00000000
4;0.40000000;0.00000000;-25.32936258;-11.57022315;1.35971087;1.82689016;2.78270856;-0.35303786;0.00000000;0.00000000
5;0.50000000;0.00000000;-25.42221074;-11.53318480;1.35529764;1.83480824;2.75018210;-0.31480821;0.00000000;0.00000000
6;0.60000000;0.00000000;-25.51416477;-11.49395440;1.35588370;1.84844150;2.71974691;-0.30698735;0.00000000;0.00000000
7;0.70000000;0.00000000;-25.60458356;-11.45133803;1.36011623;1.84254077;2.68878463;-0.27465717;0.00000000;0.00000000
8;0.80000000;0.00000000;-25.69393332;-11.40649286;1.36919366;1.83503468;2.66481548;-0.25175122;0.00000000;0.00000000
9;0.90000000;0.00000000;-25.78221479;-11.35958771;1.38316356;1.83527860;2.63843439;-0.29681249;0.00000000;0.00000000
10;1.00000000;0.00000000;-25.86906767;-11.31009709;1.40006921;1.84389809;2.60545298;-0.32156878;0.00000000;0.00000000
11;1.10000000;0.00000000;-25.95405394;-11.25748187;1.39469695;1.83078718;2.57412063;-0.27829499;0.00000000;0.00000000
12;1.20000000;0.00000000;-26.03764492;-11.20264465;1.39385597;1.81041359;2.54979398;-0.25890619;0.00000000;0.00000000
13;1.30000000;0.00000000;-26.11997935;-11.14595281;1.39793858;1.79224979;2.52233939;-0.29065387;0.00000000;0.00000000
14;1.40000000;0.00000000;-26.20042168;-11.08662025;1.40589718;1.77730223;2.49166321;-0.27617570;0.00000000;0.00000000
15;1.50000000;0.00000000;-26.27913260;-11.02498152;1.41798750;1.76521768;2.46710425;-0.25647074;0.00000000;0.00000000
16;1.60000000;0.00000000;-26.35656855;-10.96176741;1.42805298;1.75515260;2.44036906;-0.27982074;0.00000000;0.00000000
17;1.70000000;0.00000000;-26.43187063;-10.89601225;1.43479120;1.73302592;2.41114010;-0.29308176;0.00000000;0.00000000
18;1.80000000;0.00000000;-26.50548678;-10.82837646;1.44591713;1.70649752;2.38175271;-0.26092272;0.00000000;0.00000000
19;1.90000000;0.00000000;-26.57680030;-10.75830778;1.46051778;1.68879276;2.35895556;-0.22403134;0.00000000;0.00000000
20;2.00000000;0.00000000;-26.64726178;-10.68738222;1.48056152;1.67807581;2.33694644;-0.21769486;0.00000000;0.00000000
21;2.10000000;0.00000000;-26.71541963;-10.61424673;1.50391901;1.67646640;2.31541659;-0.17676259;0.00000000;0.00000000
22;2.20000000;0.00000000;-26.78276226;-10.54035443;1.50333112;1.68109925;2.30159392;-0.15567197;0.00000000;0.00000000
23;2.30000000;0.00000000;-26.84887271;-10.46536253;1.50560425;1.68738255;2.28428219;-0.18981462;0.00000000;0.00000000
24;2.40000000;0.00000000;-26.91361434;-10.38918663;1.51268917;1.65771660;2.26363100;-0.21978071;0.00000000;0.00000000
25;2.50000000;0.00000000;-26.97656653;-10.31153548;1.52401158;1.63565434;2.24032605;-0.20968904;0.00000000;0.00000000
26;2.60000000;0.00000000;-27.03768952;-10.23242490;1.53945342;1.61240842;2.22169319;-0.14608155;0.00000000;0.00000000
27;2.70000000;0.00000000;-27.09771232;-10.15247229;1.55808229;1.59466074;2.21110974;-0.11224636;0.00000000;0.00000000
28;2.80000000;0.00000000;-27.15714909;-10.07208318;1.56628223;1.58376817;2.19924392;-0.16554300;0.00000000;0.00000000
29;2.90000000;0.00000000;-27.21525805;-9.99072838;1.57915667;1.58078417;2.17800114;-0.20731477;0.00000000;0.00000000
30;3.00000000;0.00000000;-27.27122472;-9.90789038;1.59564385;1.58671420;2.15778096;-0.16830905;0.00000000;0.00000000
31;3.10000000;0.00000000;-27.32599591;-9.82425467;1.59891325;1.59861018;2.14433933;-0.12902056;0.00000000;0.00000000
32;3.20000000;0.00000000;-27.37971650;-9.73994088;1.59008212;1.61356495;2.13197685;-0.12220736;0.00000000;0.00000000
33;3.30000000;0.00000000;-27.43240308;-9.65497696;1.58628863;1.61137343;2.11989786;-0.12092507;0.00000000;0.00000000
34;3.40000000;0.00000000;-27.48407180;-9.56938937;1.58759718;1.60028565;2.10779184;-0.15519494;0.00000000;0.00000000
35;3.50000000;0.00000000;-27.53468647;-9.48317399;1.59396212;1.59662443;2.08885887;-0.16757424;0.00000000;0.00000000
36;3.60000000;0.00000000;-27.58307897;-9.39569016;1.60400340;1.59085527;2.07427699;-0.12569618;0.00000000;0.00000000
37;3.70000000;0.00000000;-27.63115881;-9.30803422;1.61552659;1.58077444;2.06371964;-0.12720133;0.00000000;0.00000000
38;3.80000000;0.00000000;-27.67769053;-9.21955364;1.61983302;1.54827243;2.04883672;-0.12379920;0.00000000;0.00000000
39;3.90000000;0.00000000;-27.72313996;-9.13050648;1.62788243;1.52284318;2.03895980;-0.08655246;0.00000000;0.00000000
40;4.00000000;0.00000000;-27.76791722;-9.04111930;1.64124807;1.50438800;2.03152623;-0.07331746;0.00000000;0.00000000
41;4.10000000;0.00000000;-27.81203799;-8.95140591;1.64738402;1.49314644;2.02429631;-0.07332911;0.00000000;0.00000000
42;4.20000000;0.00000000;-27.85551841;-8.86137995;1.65457470;1.48926203;2.01686041;-0.08973120;0.00000000;0.00000000
43;4.30000000;0.00000000;-27.89830041;-8.77101981;1.65597265;1.49285401;2.00635007;-0.10432299;0.00000000;0.00000000
44;4.40000000;0.00000000;-27.93987859;-8.68010061;1.64704389;1.50441561;1.99599581;-0.08660011;0.00000000;0.00000000
45;4.50000000;0.00000000;-27.98078006;-8.58887456;1.64153283;1.51498646;1.98903005;-0.08035327;0.00000000;0.00000000
46;4.60000000;0.00000000;-28.02108773;-8.49738466;1.64145189;1.51045055;1.97992516;-0.10990429;0.00000000;0.00000000
47;4.70000000;0.00000000;-28.06031946;-8.40543325;1.64628222;1.51369210;1.96704919;-0.11174151;0.00000000;0.00000000
48;4.80000000;0.00000000;-28.09825823;-8.31293536;1.65574960;1.52319980;1.95757686;-0.08379966;0.00000000;0.00000000
