id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-24.73305266;-10.99260910;0.69266049;2.48732498;2.79159021;-0.17882940;8.02439393;-0.59168894
1;0.09994962;0.00000000;-24.82662992;-10.95749515;0.65766248;2.49975506;2.77359023;-0.18136460;8.01702063;-0.44034744
2;0.19989924;0.00000000;-24.91955501;-10.92069080;0.62558523;2.51787527;2.75533297;-0.18396594;8.01152885;-0.34513963
3;0.29984886;0.00000000;-25.01179034;-10.88218469;0.60659150;2.54158220;2.73686202;-0.18564468;8.00722183;-0.24766881
4;0.39979847;0.00000000;-25.10329142;-10.84197553;0.59718519;2.57072923;2.71822023;-0.18730657;8.00412972;-0.24766881
5;0.49974809;0.00000000;-25.19402982;-10.80006484;0.59186996;2.60239551;2.69961816;-0.18492388;8.00103642;-0.08567254
6;0.59969771;0.00000000;-25.28397517;-10.75648566;0.60148388;2.60285991;2.68125247;-0.18258815;7.99996612;0.06704590
7;0.69964733;0.00000000;-25.37311125;-10.71127196;0.62535780;2.59894540;2.66312065;-0.18023904;8.00080373;0.21492027
8;0.79959695;0.00000000;-25.46141948;-10.66445930;0.64058403;2.59802511;2.64522154;-0.17794635;8.00348816;0.35387094
9;0.89954657;0.00000000;-25.54887887;-10.61608407;0.63665110;2.57037286;2.62752926;-0.17609304;8.00790618;0.45985646
10;0.99949618;0.00000000;-25.63547647;-10.56617524;0.64259305;2.54442106;2.61001881;-0.17429333;8.01364376;0.55888836
11;1.09944580;0.00000000;-25.72118863;-10.51476724;0.66203226;2.52016029;2.59268839;-0.17250378;8.02061142;0.65410595
12;1.19939542;0.00000000;-25.80600445;-10.46188738;0.68454849;2.49321951;2.57553366;-0.17076795;8.02875849;0.74293837
13;1.29934504;0.00000000;-25.88990266;-10.40756936;0.70541914;2.45212698;2.55855010;-0.16908747;8.03800197;0.82557774
14;1.39929466;0.00000000;-25.97287364;-10.35183941;0.73287391;2.41605541;2.54173166;-0.16745387;8.04826118;0.90285032
15;1.49924428;0.00000000;-26.05489739;-10.29473062;0.77087940;2.38522997;2.52507459;-0.16586883;8.05946569;0.97488699
16;1.59919390;0.00000000;-26.13596626;-10.23626761;0.81797266;2.35984733;2.50857318;-0.16432321;8.07154671;1.04250646
17;1.69914351;0.00000000;-26.21606117;-10.17648322;0.84399277;2.34007841;2.49222678;-0.16278303;8.08444572;1.10811967
18;1.79909313;0.00000000;-26.29517549;-10.11540155;0.85669829;2.32605508;2.47603130;-0.16130001;8.09813404;1.16846089
19;1.89904275;0.00000000;-26.37329194;-10.05305453;0.87740766;2.29033518;2.45997852;-0.15992894;8.11254271;1.22011768
20;1.99899237;0.00000000;-26.45040462;-9.98946453;0.90720768;2.24755145;2.44406047;-0.15860633;8.12756113;1.26753553
21;2.09894199;0.00000000;-26.52649625;-9.92466273;0.94524129;2.20660297;2.42826688;-0.15743852;8.14313387;1.30380660
22;2.19889161;0.00000000;-26.60156258;-9.85866826;0.98269601;2.17096447;2.41258745;-0.15630682;8.15912123;1.33710510
23;2.29884122;0.00000000;-26.67558519;-9.79151234;1.00895609;2.14090294;2.39701983;-0.15521663;8.17548442;1.36715967
24;2.39879084;0.00000000;-26.74856047;-9.72321296;1.04273304;2.11664995;2.38155829;-0.15417274;8.19218162;1.39374053
25;2.49874046;0.00000000;-26.82047128;-9.65380042;1.08229541;2.09840485;2.36619884;-0.15318313;8.20916849;1.41640027
26;2.59869008;0.00000000;-26.89131413;-9.58329186;1.11355202;2.08631806;2.35093607;-0.15222687;8.22639561;1.43664721
27;2.69863970;0.00000000;-26.96107278;-9.51171692;1.11860180;2.07899092;2.33576717;-0.15131742;8.24383220;1.45362701
28;2.79858932;0.00000000;-27.02974437;-9.43909153;1.13095108;2.06678015;2.32068664;-0.15044321;8.26143742;1.46819994
29;2.89853894;0.00000000;-27.09731293;-9.36544531;1.15041411;2.03743682;2.30569266;-0.14960010;8.27918114;1.48070220
30;2.99848855;0.00000000;-27.16377585;-9.29079356;1.17664347;2.01409180;2.29078053;-0.14879220;8.29703752;1.49089415
31;3.09843817;0.00000000;-27.22911827;-9.21516509;1.20919848;1.98819323;2.27594802;-0.14801935;8.31497806;1.49883166
32;3.19838779;0.00000000;-27.29333756;-9.13857478;1.23794819;1.94097124;2.26119049;-0.14727833;8.33297519;1.50477975
33;3.29833741;0.00000000;-27.35641975;-9.06105079;1.26189243;1.89555777;2.24650623;-0.14656654;8.35100472;1.50895467
34;3.39828703;0.00000000;-27.41836214;-8.98260771;1.29088795;1.85577522;2.23189084;-0.14588707;8.36904527;1.51116895
35;3.49823665;0.00000000;-27.47915172;-8.90327298;1.32545109;1.82199820;2.21734264;-0.14523438;8.38707340;1.51184381
36;3.59818626;0.00000000;-27.53878556;-8.82306111;1.34566789;1.79456418;2.20285753;-0.14461340;8.40507089;1.51065277
37;3.69813588;0.00000000;-27.59725167;-8.74199865;1.37028004;1.77376939;2.18843352;-0.14402236;8.42301579;1.50774749
38;3.79808550;0.00000000;-27.65454689;-8.66010008;1.38829344;1.75984621;2.17406655;-0.14345836;8.44088814;1.50335883
39;3.89803512;0.00000000;-27.71066009;-8.57739112;1.39695344;1.75295662;2.15975589;-0.14290869;8.45867087;1.49841280
40;3.99798474;0.00000000;-27.76558789;-8.49388655;1.40643691;1.74957413;2.14549823;-0.14238056;8.47635797;1.49239489
41;4.09793436;0.00000000;-27.81932031;-8.40961118;1.42149880;1.73047732;2.13129470;-0.14184177;8.49393743;1.48763715
42;4.19788398;0.00000000;-27.87185394;-8.32458033;1.44196727;1.71840504;2.11714321;-0.14132792;8.51142471;1.48153252
43;4.29783359;0.00000000;-27.92318001;-8.23881798;1.46761608;1.70876980;2.10304309;-0.14082445;8.52880459;1.47515508
44;4.39778321;0.00000000;-27.97329501;-8.15233972;1.48892769;1.67889855;2.08899150;-0.14035075;8.54607455;1.46708573
45;4.49773283;0.00000000;-28.02219100;-8.06516875;1.49690668;1.65280943;2.07498603;-0.13990700;8.56321549;1.45733102
46;4.59768245;0.00000000;-28.06986412;-7.97732095;1.49001971;1.63142332;2.06102319;-0.13949201;8.58020855;1.44599875
47;4.69763207;0.00000000;-28.11630708;-7.88881848;1.48708762;1.61733112;2.04710084;-0.13910172;8.59703628;1.43340650
48;4.79758169;0.00000000;-28.16151575;-7.79967760;1.48947879;1.61072270;2.03321591;-0.13873878;8.61368503;1.41936961
49;4.89753130;0.00000000;-28.20548344;-7.70991952;1.49717079;1.61168796;2.01936622;-0.13840068;8.63013908;1.40408973
50;4.99748092;0.00000000;-28.24820578;-7.61956081;1.51008467;1.62020984;2.00554876;-0.13809005;8.64638520;1.38738142
51;5.09743054;0.00000000;-28.28967656;-7.52862191;1.52808841;1.63616546;1.99176126;-0.13780444;8.66240807;1.36944341
52;5.19738016;0.00000000;-28.32989117;-7.43711976;1.52648446;1.65933490;1.97800082;-0.13754567;8.67819476;1.35014934
53;5.29732978;0.00000000;-28.36884383;-7.34507396;1.51848570;1.65646242;1.96426516;-0.13731080;8.69373097;1.32973447
54;5.39727940;0.00000000;-28.40652977;-7.25250181;1.51559297;1.63838862;1.95055157;-0.13710237;8.70900517;1.30801712
55;5.49722902;0.00000000;-28.44294353;-7.15942220;1.50579807;1.62763247;1.93685764;-0.13691868;8.72400382;1.28513838
56;5.59717863;0.00000000;-28.47808016;-7.06585287;1.50123433;1.62433947;1.92318069;-0.13676161;8.73871505;1.26096542
57;5.69712825;0.00000000;-28.51193450;-6.97181199;1.50195190;1.62855396;1.90951829;-0.13662813;8.75312555;1.23574509
58;5.79707787;0.00000000;-28.54450144;-6.87731773;1.50794439;1.64021595;1.89586794;-0.13651969;8.76722484;1.20937439
59;5.89702749;0.00000000;-28.57577607;-6.78238760;1.49945560;1.65451634;1.88222733;-0.13643374;8.78100133;1.18206311
60;5.99697711;0.00000000;-28.60575319;-6.68704019;1.47912225;1.66414221;1.86859400;-0.13637512;8.79444585;1.15344515
61;6.09692673;0.00000000;-28.63442805;-6.59129250;1.46398477;1.68100813;1.85496507;-0.13634407;8.80754510;1.12351819
62;6.19687634;0.00000000;-28.66179526;-6.49516365;1.45420878;1.67787799;1.84133815;-0.13632778;8.82028577;1.09329597
63;6.29682596;0.00000000;-28.68785035;-6.39867002;1.44990458;1.67627447;1.82771347;-0.13630593;8.83266608;1.06436136
64;6.39677558;0.00000000;-28.71258819;-6.30183133;1.45112194;1.68198137;1.81408995;-0.13629954;8.84470210;1.03503730
65;6.49672520;0.00000000;-28.73600480;-6.20466356;1.45784692;1.69114457;1.80046727;-0.13629407;8.85639082;1.00646588
66;6.59667482;0.00000000;-28.75809531;-6.10718696;1.46656395;1.70581427;1.78684394;-0.13631502;8.86774211;0.97661955
67;6.69662444;0.00000000;-28.77885599;-6.00941717;1.45222389;1.72565134;1.77321714;-0.13636072;8.87874291;0.94564998
68;6.79657406;0.00000000;-28.79828194;-5.91137493;1.43710987;1.71711456;1.75958465;-0.13643033;8.88938188;-0.90692844
69;6.89652367;0.00000000;-28.81636947;-5.81307543;1.41459836;1.71523130;1.74594414;-0.13651957;8.87917879;-1.54073572
70;6.99647329;0.00000000;-28.83311376;-5.71453985;1.39753028;1.72052660;1.73229360;-0.13663409;8.86181833;-1.57262390
