id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;26.55225347;-19.94869317;1.62934232;1.65198869;2.86499514;-0.28105862;0.00000000;0.00000000
1;0.10000000;0.00000000;26.45607117;-19.92138950;1.63386138;1.67917853;2.83688927;-0.43761802;0.00000000;0.00000000
2;0.20000000;0.00000000;26.36159056;-19.88873021;1.63568021;1.71169578;2.77747153;-0.59924779;0.00000000;0.00000000
3;0.30000000;0.00000000;26.26934014;-19.85022347;1.63734922;1.75004175;2.71703972;-0.62928780;0.00000000;0.00000000
4;0.40000000;0.00000000;26.17949105;-19.80641310;1.63929808;1.78156216;2.65161397;-0.68036179;0.00000000;0.00000000
5;0.50000000;0.00000000;26.09307918;-19.75621279;1.64008406;1.78996397;2.58096736;-0.69990002;0.00000000;0.00000000
6;0.60000000;0.00000000;26.01028597;-19.70018261;1.64010002;1.77495275;2.51163397;-0.70002425;0.00000000;0.00000000
7;0.70000000;0.00000000;25.93161568;-19.63849759;1.63921112;1.76293778;2.44096251;-0.74130511;0.00000000;0.00000000
8;0.80000000;0.00000000;25.85756224;-19.57138059;1.63728826;1.75803214;2.36337294;-0.78180318;0.00000000;0.00000000
9;0.90000000;0.00000000;25.78939755;-19.49830675;1.63308693;1.75203030;2.28460187;-0.74187824;0.00000000;0.00000000
10;1.00000000;0.00000000;25.72678133;-19.42039256;1.62225864;1.73922387;2.21499730;-0.69649051;0.00000000;0.00000000
11;1.10000000;0.00000000;25.66939470;-19.33853603;1.61026336;1.73864911;2.14530377;-0.73364671;0.00000000;0.00000000
12;1.20000000;0.00000000;25.61820894;-19.25267338;1.59705246;1.75114568;2.06826795;-0.80382720;0.00000000;0.00000000
13;1.30000000;0.00000000;25.57407762;-19.16300591;1.58204015;1.76088079;1.98453833;-0.81885200;0.00000000;0.00000000
14;1.40000000;0.00000000;25.53793545;-19.06985444;1.56457579;1.77977166;1.90449755;-0.71867445;0.00000000;0.00000000
15;1.50000000;0.00000000;25.50865141;-18.97427587;1.54612437;1.80495618;1.84080344;-0.62604801;0.00000000;0.00000000
16;1.60000000;0.00000000;25.48462563;-18.87723737;1.52855792;1.78484638;1.77928795;-0.65718497;0.00000000;0.00000000
17;1.70000000;0.00000000;25.46729405;-18.77879384;1.51059314;1.76749338;1.70936645;-0.70706942;0.00000000;0.00000000
18;1.80000000;0.00000000;25.45702711;-18.67934727;1.49200431;1.75721980;1.63787407;-0.67835087;0.00000000;0.00000000
19;1.90000000;0.00000000;25.45389999;-18.57941377;1.47284725;1.75409251;1.57369627;-0.56266049;0.00000000;0.00000000
20;2.00000000;0.00000000;25.45644744;-18.47945979;1.45466543;1.75663947;1.52534197;-0.47133337;0.00000000;0.00000000
21;2.10000000;0.00000000;25.46298409;-18.37970045;1.43922499;1.76317234;1.47942960;-0.48042857;0.00000000;0.00000000
22;2.20000000;0.00000000;25.47468431;-18.28041475;1.42545082;1.77486153;1.42925626;-0.46608462;0.00000000;0.00000000
23;2.30000000;0.00000000;25.49118229;-18.18180844;1.40893612;1.79133929;1.38621268;-0.37098085;0.00000000;0.00000000
24;2.40000000;0.00000000;25.51137909;-18.08388008;1.39347061;1.79688922;1.35506009;-0.30452005;0.00000000;0.00000000
25;2.50000000;0.00000000;25.53398634;-17.98648697;1.38260455;1.77673295;1.32530867;-0.31348413;0.00000000;0.00000000
26;2.60000000;0.00000000;25.55997020;-17.88993524;1.37544172;1.75821378;1.29236326;-0.32898867;0.00000000;0.00000000
27;2.70000000;0.00000000;25.58894348;-17.79423410;1.37242148;1.74523351;1.25951093;-0.31916665;0.00000000;0.00000000
28;2.80000000;0.00000000;25.62121283;-17.69959022;1.37322164;1.73188992;1.22852993;-0.28077478;0.00000000;0.00000000
29;2.90000000;0.00000000;25.65605703;-17.60586576;1.37855948;1.72054353;1.20335597;-0.21122564;0.00000000;0.00000000
30;3.00000000;0.00000000;25.69304683;-17.51297028;1.38880807;1.71726182;1.18628480;-0.16939578;0.00000000;0.00000000
31;3.10000000;0.00000000;25.73107036;-17.42048904;1.40502006;1.72090890;1.16947682;-0.20018924;0.00000000;0.00000000
32;3.20000000;0.00000000;25.77115678;-17.32890042;1.42588723;1.73256163;1.14624696;-0.21623248;0.00000000;0.00000000
33;3.30000000;0.00000000;25.81343277;-17.23828757;1.45106077;1.74040682;1.12623032;-0.19336907;0.00000000;0.00000000
34;3.40000000;0.00000000;25.85715862;-17.14836484;1.45661122;1.72012561;1.10757314;-0.18545356;0.00000000;0.00000000
35;3.50000000;0.00000000;25.90278741;-17.05938851;1.46588333;1.70683894;1.08913961;-0.16118006;0.00000000;0.00000000
36;3.60000000;0.00000000;25.94979936;-16.97113607;1.48032572;1.70090219;1.07533713;-0.12659459;0.00000000;0.00000000
37;3.70000000;0.00000000;25.99786557;-16.88345503;1.49611083;1.68539967;1.06382069;-0.11066162;0.00000000;0.00000000
38;3.80000000;0.00000000;26.04689682;-16.79631005;1.49632383;1.66545356;1.05320481;-0.10212512;0.00000000;0.00000000
39;3.90000000;0.00000000;26.09681403;-16.70966860;1.50218872;1.63534938;1.04339567;-0.09862301;0.00000000;0.00000000
40;4.00000000;0.00000000;26.14754638;-16.62350052;1.51371504;1.60782880;1.03348021;-0.07870829;0.00000000;0.00000000
41;4.10000000;0.00000000;26.19917264;-16.53786463;1.53067821;1.58192369;1.02765401;-0.04399141;0.00000000;0.00000000
42;4.20000000;0.00000000;26.25090575;-16.45229328;1.55378297;1.56212472;1.02468192;-0.05051552;0.00000000;0.00000000
43;4.30000000;0.00000000;26.30303977;-16.36696636;1.57718754;1.54900917;1.01755091;-0.09021293;0.00000000;0.00000000
44;4.40000000;0.00000000;26.35598600;-16.28214474;1.59967151;1.54323453;1.00663934;-0.09344110;0.00000000;0.00000000
45;4.50000000;0.00000000;26.40996986;-16.19797525;1.62097107;1.54515198;0.99886269;-0.03341579;0.00000000;0.00000000
46;4.60000000;0.00000000;26.46423098;-16.11398414;1.64195392;1.54394186;0.99995618;0.02038515;0.00000000;0.00000000
47;4.70000000;0.00000000;26.51803057;-16.02969688;1.64108400;1.51870111;1.00293972;0.00291160;0.00000000;0.00000000
48;4.80000000;0.00000000;26.57178955;-15.94538349;1.64432729;1.49966797;1.00053850;-0.03185103;0.00000000;0.00000000
49;4.90000000;0.00000000;26.62599255;-15.86135674;1.65309701;1.48765547;0.99656951;0.00008344;0.00000000;0.00000000
50;5.00000000;0.00000000;26.68041823;-15.77747407;1.66325153;1.48257099;1.00055519;0.08178542;0.00000000;0.00000000
51;5.10000000;0.00000000;26.73395009;-15.69301735;1.67893128;1.48315968;1.01292659;0.10550829;0.00000000;0.00000000
52;5.20000000;0.00000000;26.78628466;-15.60781249;1.70172397;1.48077217;1.02165684;0.06111004;0.00000000;0.00000000
53;5.30000000;0.00000000;26.83833420;-15.52243328;1.73032225;1.45719204;1.02514860;0.05791719;0.00000000;0.00000000
54;5.40000000;0.00000000;26.89007238;-15.43686520;1.75193284;1.43326307;1.03324028;0.10160793;0.00000000;0.00000000
55;5.50000000;0.00000000;26.94073097;-15.35065901;1.77387978;1.41161575;1.04547019;0.09980407;0.00000000;0.00000000
56;5.60000000;0.00000000;26.99036066;-15.26385167;1.78811406;1.39562365;1.05320110;0.04296613;0.00000000;0.00000000
57;5.70000000;0.00000000;27.03968264;-15.17686845;1.79586910;1.38632158;1.05406341;0.02514118;0.00000000;0.00000000
58;5.80000000;0.00000000;27.08916260;-15.08997555;1.80533893;1.38438105;1.05822933;0.11369571;0.00000000;0.00000000
59;5.90000000;0.00000000;27.13775824;-15.00258425;1.80420617;1.37210154;1.07680256;0.19518658;0.00000000;0.00000000
60;6.00000000;0.00000000;27.18397682;-14.91391410;1.81129898;1.34646994;1.09726665;0.17353375;0.00000000;0.00000000
61;6.10000000;0.00000000;27.22895529;-14.82460904;1.81379524;1.32651601;1.11150930;0.14666797;0.00000000;0.00000000
62;6.20000000;0.00000000;27.27262893;-14.73465999;1.81934589;1.31244104;1.12660024;0.15893840;0.00000000;0.00000000
63;6.30000000;0.00000000;27.31489099;-14.64404027;1.83189649;1.30433050;1.14329699;0.17943808;0.00000000;0.00000000
64;6.40000000;0.00000000;27.35553600;-14.55268575;1.85150944;1.29867885;1.16248786;0.20503478;0.00000000;0.00000000
65;6.50000000;0.00000000;27.39428830;-14.46051430;1.86143954;1.29493690;1.18430394;0.20512739;0.00000000;0.00000000
66;6.60000000;0.00000000;27.43090915;-14.36747577;1.85116703;1.29660782;1.20351334;0.13965729;0.00000000;0.00000000
67;6.70000000;0.00000000;27.46609513;-14.27387735;1.84779998;1.30442683;1.21223540;0.11566563;0.00000000;0.00000000
68;6.80000000;0.00000000;27.50108781;-14.18021322;1.85004341;1.31959553;1.22664646;0.21006258;0.00000000;0.00000000
69;6.90000000;0.00000000;27.53356012;-14.08564475;1.85565043;1.32632410;1.25424792;0.28174683;0.00000000;0.00000000
70;7.00000000;0.00000000;27.56333223;-13.99019055;1.83667670;1.32292903;1.28299583;0.25743005;0.00000000;0.00000000
71;7.10000000;0.00000000;27.59031793;-13.89390769;1.80968362;1.32417980;1.30573393;0.24253263;0.00000000;0.00000000
72;7.20000000;0.00000000;27.61572047;-13.79719615;1.78428071;1.33132267;1.33150235;0.26317991;0.00000000;0.00000000
73;7.30000000;0.00000000;27.63771062;-13.69965028;1.76229419;1.34241239;1.35836991;0.27064933;0.00000000;0.00000000
74;7.40000000;0.00000000;27.65788253;-13.60171219;1.74212800;1.35896054;1.38563222;0.27814388;0.00000000;0.00000000
75;7.50000000;0.00000000;27.67452379;-13.50311395;1.72549206;1.37452410;1.41399868;0.29419819;0.00000000;0.00000000
76;7.60000000;0.00000000;27.68910983;-13.40419029;1.71091090;1.38911170;1.44447186;0.27035385;0.00000000;0.00000000
77;7.70000000;0.00000000;27.69971440;-13.30476379;1.70030919;1.39971736;1.46806945;0.23858474;0.00000000;0.00000000
78;7.80000000;0.00000000;27.70961735;-13.20526156;1.69040889;1.41290641;1.49218881;0.28708573;0.00000000;0.00000000
79;7.90000000;0.00000000;27.71541506;-13.10544058;1.68461210;1.42894533;1.52548660;0.28742281;0.00000000;0.00000000
80;8.00000000;0.00000000;27.71867463;-13.00550139;1.68135276;1.44924899;1.54967337;0.23164092;0.00000000;0.00000000
81;8.10000000;0.00000000;27.71963874;-12.90551352;1.68038857;1.47386339;1.57181478;0.21838595;0.00000000;0.00000000
82;8.20000000;0.00000000;27.71847096;-12.80552764;1.68155624;1.50271967;1.59335056;0.24166186;0.00000000;0.00000000
83;8.30000000;0.00000000;27.71512887;-12.70559087;1.68489846;1.51559582;1.62014716;0.21812908;0.00000000;0.00000000
84;8.40000000;0.00000000;27.70860685;-12.60581271;1.68750818;1.50907110;1.63697637;0.15590079;0.00000000;0.00000000
85;8.50000000;0.00000000;27.70190352;-12.50604377;1.66530200;1.50815852;1.65132731;0.18702601;0.00000000;0.00000000
86;8.60000000;0.00000000;27.69252069;-12.40649342;1.64923531;1.51118398;1.67438157;0.21024183;0.00000000;0.00000000
87;8.70000000;0.00000000;27.68122607;-12.30714055;1.64104000;1.51888399;1.69337568;0.18387670;0.00000000;0.00000000
88;8.80000000;0.00000000;27.66806901;-12.20801725;1.62061297;1.53123005;1.71115691;0.16753415;0.00000000;0.00000000
89;8.90000000;0.00000000;27.65324905;-12.10912875;1.60537147;1.54829990;1.72688251;0.10872932;0.00000000;0.00000000
90;9.00000000;0.00000000;27.63698142;-12.01046792;1.59772338;1.53878098;1.73290278;0.04989218;0.00000000;0.00000000
91;9.10000000;0.00000000;27.62097174;-11.91176409;1.59605293;1.53079114;1.73686095;0.07185389;0.00000000;0.00000000
92;9.20000000;0.00000000;27.60392358;-11.81323505;1.60168914;1.52479608;1.74727356;0.13792252;0.00000000;0.00000000
93;9.30000000;0.00000000;27.58586208;-11.71488650;1.60860518;1.52148851;1.76444545;0.13746492;0.00000000;0.00000000
94;9.40000000;0.00000000;27.56544150;-11.61700464;1.60066813;1.52234390;1.77476654;0.05414666;0.00000000;0.00000000
95;9.50000000;0.00000000;27.54535390;-11.51904982;1.59861574;1.53008774;1.77527478;0.02694414;0.00000000;0.00000000
96;9.60000000;0.00000000;27.52483299;-11.42118471;1.60325237;1.54384494;1.78015537;0.04508321;0.00000000;0.00000000
