id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;26.86442022;-19.08240075;0.70946851;2.51784525;2.54086701;-0.46382282;4.63743793;-2.10463939
1;0.09998584;0.00000000;26.78333748;-19.02402159;0.67966444;2.57603003;2.49415394;-0.47131655;4.59183648;-2.14221768
2;0.19997168;0.00000000;26.70500007;-18.96181168;0.64808687;2.63819365;2.44659146;-0.48025882;4.54495098;-1.88610122
3;0.29995752;0.00000000;26.62984018;-18.89597596;0.62618252;2.70419182;2.39749509;-0.50259324;4.50326688;-1.54600451
4;0.39994336;0.00000000;26.55799552;-18.82636262;0.61478033;2.76027336;2.34604334;-0.52734414;4.46880917;-0.80672498
5;0.49992920;0.00000000;26.48997116;-18.75308083;0.61106992;2.74659947;2.29127485;-0.56892781;4.45072278;-0.07651887
6;0.59991504;0.00000000;26.42625245;-18.67607976;0.60487465;2.72640963;2.23217438;-0.60625560;4.44900345;-0.07651887
7;0.69990088;0.00000000;26.36729113;-18.59545933;0.60915976;2.66730926;2.17270987;-0.58328040;4.44728345;0.38722800
8;0.79988671;0.00000000;26.31304396;-18.51141799;0.62387152;2.61305019;2.11578524;-0.54927280;4.45598078;1.01700936
9;0.89987255;0.00000000;26.26351859;-18.42462399;0.64856803;2.56358938;2.06381162;-0.49227575;4.47874288;2.04782758
10;0.99985839;0.00000000;26.21826379;-18.33536139;0.68265327;2.51843991;2.01696852;-0.45069461;4.52422870;2.69576347
11;1.09984423;0.00000000;26.17714868;-18.24423461;0.72420229;2.46866180;1.97250639;-0.43852052;4.58341812;2.70647068
12;1.19983007;0.00000000;26.14007279;-18.15141126;0.76148145;2.39432681;1.92934116;-0.42378721;4.64208349;2.78453070
13;1.29981591;0.00000000;26.10695776;-18.05710614;0.80581886;2.32494328;1.88797565;-0.40396356;4.70167698;2.98461863
14;1.39980175;0.00000000;26.07766239;-17.96148854;0.85623709;2.25803552;1.84852354;-0.38603417;4.76472513;3.14825399
15;1.49978759;0.00000000;26.05209475;-17.86485794;0.91174796;2.19020065;1.81062555;-0.37233387;4.83033821;3.22244563
16;1.59977343;0.00000000;26.03013125;-17.76729510;0.97156153;2.12777936;1.77404741;-0.35899907;4.89658709;3.29974592
17;1.69975927;0.00000000;26.01169122;-17.66905234;1.03490597;2.07130089;1.73885522;-0.34517079;4.96350892;3.40098689
18;1.79974511;0.00000000;25.99664586;-17.57018844;1.10124913;2.02116562;1.70500657;-0.33190474;5.03155263;3.49945695
19;1.89973095;0.00000000;25.98489435;-17.47091950;1.17005169;1.97784103;1.67246016;-0.31931909;5.10061900;3.59191946
20;1.99971679;0.00000000;25.97631458;-17.37128501;1.24097278;1.94143587;1.64113634;-0.30711858;5.17055087;3.68595726
21;2.09970263;0.00000000;25.97080017;-17.27147134;1.29710224;1.88493429;1.61103884;-0.29507707;5.24134366;3.78753522
22;2.19968847;0.00000000;25.96823204;-17.17150327;1.34966551;1.82384117;1.58211618;-0.28337439;5.31310485;3.89147197
