id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;4.97432433;4.50930809;1.70949755;1.49077697;-0.11605512;0.13345833;0.00000000;0.00000000
1;0.10000000;0.00000000;5.07360711;4.49773381;1.69793491;1.50234358;-0.10270928;0.20380728;0.00000000;0.00000000
2;0.20000000;0.00000000;5.17316093;4.48881361;1.68902218;1.51125928;-0.07529366;0.23564946;0.00000000;0.00000000
3;0.30000000;0.00000000;5.27292533;4.48269799;1.68291048;1.51737271;-0.05557939;0.19090986;0.00000000;0.00000000
4;0.40000000;0.00000000;5.37275562;4.47770882;1.67792409;1.52236040;-0.03711169;0.22296155;0.00000000;0.00000000
5;0.50000000;0.00000000;5.47267654;4.47528148;1.67549775;1.52478727;-0.01098708;0.22467354;0.00000000;0.00000000
6;0.60000000;0.00000000;5.57262678;4.47551273;1.67572921;1.52455592;0.00782302;0.17576828;0.00000000;0.00000000
7;0.70000000;0.00000000;5.67257281;4.47684530;1.67706190;1.52322328;0.02416657;0.19646980;0.00000000;0.00000000
8;0.80000000;0.00000000;5.77246155;4.48034300;1.68056035;1.51972507;0.04711698;0.23157734;0.00000000;0.00000000
9;0.90000000;0.00000000;5.87223599;4.48625979;1.68647944;1.51380678;0.07048204;0.19687088;0.00000000;0.00000000
10;1.00000000;0.00000000;5.97185297;4.49441983;1.66683744;1.50564392;0.08649115;0.14526610;0.00000000;0.00000000
11;1.10000000;0.00000000;6.07139226;4.50352813;1.64943490;1.49653217;0.09953526;0.12540202;0.00000000;0.00000000
12;1.20000000;0.00000000;6.17076265;4.51428400;1.63960957;1.48999059;0.11157156;0.11407835;0.00000000;0.00000000
13;1.30000000;0.00000000;6.27005409;4.52578557;1.63659332;1.48939014;0.12235093;0.13296083;0.00000000;0.00000000
14;1.40000000;0.00000000;6.36917020;4.53868121;1.64107768;1.49408525;0.13816372;0.16130265;0.00000000;0.00000000
15;1.50000000;0.00000000;6.46804527;4.55331617;1.65334756;1.50367742;0.15461146;0.12527777;0.00000000;0.00000000
16;1.60000000;0.00000000;6.56668513;4.56946496;1.66287108;1.51829146;0.16321928;0.06419437;0.00000000;0.00000000
17;1.70000000;0.00000000;6.66529647;4.58580035;1.64864743;1.52150664;0.16745034;0.03766987;0.00000000;0.00000000
18;1.80000000;0.00000000;6.76379677;4.60278337;1.64105833;1.51642165;0.17075325;0.02533108;0.00000000;0.00000000
19;1.90000000;0.00000000;6.86229772;4.61976974;1.63954217;1.51270067;0.17251655;0.03766548;0.00000000;0.00000000
20;2.00000000;0.00000000;6.96073815;4.63710014;1.64011529;1.51522839;0.17828635;0.03825166;0.00000000;0.00000000
21;2.10000000;0.00000000;7.05903646;4.65522200;1.62906268;1.52352206;0.18016688;0.01870353;0.00000000;0.00000000
22;2.20000000;0.00000000;7.15741032;4.67292239;1.62366989;1.52931592;0.18202705;0.05920687;0.00000000;0.00000000
