id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;5.12554779;5.23092060;2.43105731;0.76977843;-0.24596285;0.08829361;11.05822450;0.73034488
1;0.09997831;0.00000000;5.22262249;5.20700384;2.40711267;0.79379860;-0.23717948;0.08741329;11.06482564;0.82466353
2;0.19995663;0.00000000;5.31990338;5.18393615;2.38402176;0.81696505;-0.22848387;0.08653653;11.07227453;0.91709829
3;0.29993494;0.00000000;5.41737881;5.16171130;2.36177772;0.83928329;-0.21987556;0.08566953;11.08055248;1.00696957
4;0.39991325;0.00000000;5.51504296;5.14032172;2.34037244;0.86076018;-0.21135349;0.08480834;11.08963451;1.09485101
5;0.49989156;0.00000000;5.61288275;5.11976148;2.31979949;0.88140152;-0.20291677;0.08396564;11.09950072;1.17925718
6;0.59986988;0.00000000;5.71089418;5.10002279;2.30005066;0.90121472;-0.19456385;0.08312781;11.11011775;1.26196443
7;0.69984819;0.00000000;5.80906350;5.08109990;2.27554238;0.92020579;-0.18629431;0.08230221;11.12146819;1.34212813
8;0.79982650;0.00000000;5.90738829;5.06298486;2.23192474;0.93831276;-0.17810682;0.08148154;11.13352694;1.42073052
9;0.89980482;0.00000000;6.00585407;5.04567199;2.19275835;0.95552614;-0.17000119;0.08066994;11.14627770;1.49731694
10;0.99978313;0.00000000;6.10445984;5.02915323;2.15827772;0.97195883;-0.16197618;0.07986300;11.15970004;1.57250342
11;1.09976144;0.00000000;6.20319060;5.01342293;2.12870773;0.99720610;-0.15403179;0.07906329;11.17377901;1.64602261
12;1.19973975;0.00000000;6.30204660;4.99847293;2.10424717;1.03083653;-0.14616681;0.07826804;11.18849724;1.71827826
13;1.29971807;0.00000000;6.40101242;4.98429754;2.08507162;1.07206395;-0.13838140;0.07747796;11.20384093;1.78923456
14;1.39969638;0.00000000;6.50008938;4.97088860;2.06493142;1.12005749;-0.13067444;0.07669214;11.21979594;1.85905415
15;1.49967469;0.00000000;6.59926182;4.95824028;2.02531134;1.14476548;-0.12304618;0.07591038;11.23634955;1.92781006
16;1.59965300;0.00000000;6.69853196;4.94634443;1.99064500;1.16795001;-0.11549552;0.07513269;11.25348966;1.99554594
17;1.69963132;0.00000000;6.79788399;4.93519512;1.96119296;1.19101455;-0.10802282;0.07435812;11.27120456;2.06242487
18;1.79960963;0.00000000;6.89732095;4.92478421;1.93329133;1.22068174;-0.10062700;0.07358743;11.28948394;2.12839158
19;1.89958794;0.00000000;6.99682695;4.91510563;1.89620012;1.25694258;-0.09330846;0.07281932;11.30831702;2.19365354
20;1.99956626;0.00000000;7.09640572;4.90615129;1.86443296;1.29403094;-0.08606617;0.07205490;11.32769479;2.25810386
21;2.09954457;0.00000000;7.19604143;4.89791495;1.83732754;1.30772666;-0.07890056;0.07129269;11.34760733;2.32197328
22;2.19952288;0.00000000;7.29573837;4.89038861;1.80651816;1.32813370;-0.07181061;0.07053400;11.36804671;2.38512507
23;2.29950119;0.00000000;7.39548081;4.88356585;1.76728997;1.35495303;-0.06479678;0.06977728;11.38900380;2.44779505
24;2.39947951;0.00000000;7.49527357;4.87743877;1.73360879;1.38782140;-0.05785807;0.06902393;11.41047153;2.50983576
25;2.49945782;0.00000000;7.59510108;4.87200076;1.70580116;1.42632273;-0.05099494;0.06827243;11.43244150;2.57147710
26;2.59943613;0.00000000;7.69496856;4.86724403;1.68414910;1.45648669;-0.04420644;0.06752413;11.45490736;2.63257255
27;2.69941445;0.00000000;7.79486070;4.86316181;1.66888808;1.48167434;-0.03749301;0.06677762;11.47786143;2.65919333
28;2.79939276;0.00000000;7.89478306;4.85974642;1.64346030;1.51003056;-0.03085371;0.06603417;11.50100110;2.64516082
29;2.89937107;0.00000000;7.99472062;4.85699093;1.61324628;1.54028734;-0.02428899;0.06529248;11.52397257;2.63122622
30;2.99934938;0.00000000;8.09467922;4.85488776;1.58939582;1.57456799;-0.01779795;0.06455369;11.54677768;2.61738850
31;3.09932770;0.00000000;8.19464415;4.85342983;1.57219480;1.59823992;-0.01138101;0.06381667;11.56941827;2.60364663
32;3.19930601;0.00000000;8.29462150;4.85260969;1.52934356;1.62711580;-0.00503729;0.06308242;11.59189611;2.58999961
33;3.29928432;0.00000000;8.39459691;4.85242013;1.48515087;1.66092705;0.00123279;0.06234996;11.61421297;2.57644647
34;3.39926263;0.00000000;8.49457667;4.85285379;1.44710959;1.68281028;0.00743009;0.06162013;11.63637059;2.56298623
35;3.49924095;0.00000000;8.59454680;4.85390334;1.41571422;1.70507781;0.01355419;0.06089211;11.65837067;2.54961794
36;3.59921926;0.00000000;8.69451372;4.85556155;1.39140556;1.73225714;0.01960595;0.06016660;11.68021488;2.53634065
37;3.69919757;0.00000000;8.79446388;4.85782096;1.37455586;1.76412443;0.02558496;0.05944294;11.70190488;2.52315345
38;3.79917589;0.00000000;8.89440379;4.86067447;1.36543298;1.78796537;0.03149204;0.05872166;11.72344228;2.51005542
39;3.89915420;0.00000000;8.99432034;4.86411450;1.34314908;1.80898822;0.03732681;0.05800225;11.74482870;2.49704567
40;3.99913251;0.00000000;9.09422010;4.86813407;1.32170576;1.83466960;0.04309005;0.05728512;11.76606570;2.48412331
41;4.09911082;0.00000000;9.19409043;4.87272552;1.30159390;1.85635416;0.04878141;0.05656999;11.78715483;2.47128748
42;4.19908914;0.00000000;9.29393791;4.87788197;1.28950734;1.87151283;0.05440166;0.05585701;11.80809761;2.45853732
43;4.29906745;0.00000000;9.39375040;4.88359568;1.24620506;1.89129596;0.05995046;0.05514588;11.82889556;2.44587198
44;4.39904576;0.00000000;9.49353446;4.88985989;1.20750306;1.91556832;0.06542851;0.05443685;11.84955013;2.43329064
45;4.49902408;0.00000000;9.59327843;4.89666677;1.17657411;1.94416562;0.07083555;0.05373007;11.87006280;2.42079247
46;4.59900239;0.00000000;9.69298885;4.90400969;1.15403446;1.97690849;0.07617226;0.05302527;11.89043500;2.40837667
47;4.69898070;0.00000000;9.79265456;4.91188077;1.14037736;2.01198503;0.08143840;0.05232290;11.91066813;2.39604245
48;4.79895901;0.00000000;9.89228206;4.92027347;1.13591540;2.02145319;0.08663463;0.05162213;11.93076359;2.38378902
49;4.89893733;0.00000000;9.99186068;4.92917986;1.11080159;2.03528369;0.09176057;0.05092141;11.95072275;2.37161562
50;4.99891564;0.00000000;10.09139682;4.93859348;1.06779986;2.05339600;0.09681676;0.05022321;11.97054696;2.35952147
51;5.09889395;0.00000000;10.19088039;4.94850639;1.03319649;2.07568287;0.10180339;0.04953331;11.99023755;2.34750583
52;5.19887226;0.00000000;10.29031761;4.95891226;1.00784812;2.10201936;0.10672132;0.04884338;12.00979583;2.33556796
53;5.29885058;0.00000000;10.38969896;4.96980314;0.99245999;2.13225927;0.11156939;0.04814120;12.02922309;2.32370714
54;5.39882889;0.00000000;10.48903054;4.98117265;0.98706053;2.16624727;0.11634749;0.04743447;12.04852060;2.31192263
55;5.49880720;0.00000000;10.58830339;4.99301261;0.96436119;2.18787218;0.12105197;0.04667751;12.06768963;2.30021375
56;5.59878552;0.00000000;10.68752351;5.00531616;0.94514018;2.20489961;0.12568102;0.04592280;12.08673140;2.28857978
57;5.69876383;0.00000000;10.78668258;5.01807468;0.93410381;2.22344213;0.13023488;0.04517595;12.10564714;2.27702003
58;5.79874214;0.00000000;10.88578645;5.03128139;0.93415370;2.23177618;0.13471429;0.04443100;12.12443805;2.26553384
59;5.89872045;0.00000000;10.98482730;5.04492775;0.90803252;2.24409734;0.13911946;0.04369304;12.14310530;2.25412052
60;5.99869877;0.00000000;11.08381092;5.05900710;0.87267052;2.26034827;0.14345104;0.04295567;12.16165008;2.24277942
61;6.09867708;0.00000000;11.18272991;5.07351093;0.84562929;2.28045076;0.14770857;0.04221491;12.18007354;2.23150989
62;6.19865539;0.00000000;11.28158999;5.08843262;0.83024773;2.30431210;0.15189223;0.04147534;12.19837680;2.22031127
63;6.29863371;0.00000000;11.38038423;5.10376362;0.82717041;2.33158986;0.15600192;0.04073776;12.21656099;2.20918294
64;6.39861202;0.00000000;11.47911827;5.11949736;0.82519175;2.33536366;0.16003804;0.04000103;12.23462722;2.19812428
65;6.49859033;0.00000000;11.57778559;5.13562535;0.81747732;2.34300269;0.16400039;0.03926435;12.25257658;2.18713465
66;6.59856864;0.00000000;11.67639179;5.15214104;0.79514062;2.35447696;0.16788924;0.03852847;12.27041013;2.17621345
67;6.69854696;0.00000000;11.77493076;5.16903593;0.78538174;2.36973715;0.17170441;0.03779271;12.28812895;2.16536009
68;6.79852527;0.00000000;11.87340802;5.18630353;0.76248821;2.38871855;0.17544617;0.03705766;12.30573408;2.15457396
69;6.89850358;0.00000000;11.97181785;5.20393537;0.74329442;2.41133907;0.17911433;0.03632268;12.32322655;2.14385448
70;6.99848189;0.00000000;12.07016573;5.22192496;0.71976739;2.42551878;0.18270915;0.03558831;12.34060738;2.13320107
71;7.09846021;0.00000000;12.16844632;5.24026387;0.69994946;2.42894012;0.18623043;0.03485360;12.35787758;2.12261315
72;7.19843852;0.00000000;12.26666501;5.25894563;0.68431694;2.43611592;0.18967838;0.03411951;12.37503813;2.11209018
73;7.29841683;0.00000000;12.36481686;5.27796183;0.68345216;2.44701999;0.19305286;0.03338578;12.39209002;2.10163157
74;7.39839515;0.00000000;12.46290718;5.29730603;0.69068558;2.45658021;0.19635410;0.03265163;12.40903422;2.09123680
75;7.49837346;0.00000000;12.56093139;5.31696985;0.66523862;2.45979865;0.19958141;0.03190948;12.42587168;2.08090531
76;7.59835177;0.00000000;12.65889477;5.33694677;0.65455803;2.46675034;0.20273461;0.03116416;12.44260334;2.07063657
77;7.69833008;0.00000000;12.75679307;5.35722829;0.65935497;2.47442509;0.20581151;0.03038799;12.45923012;2.06043004
78;7.79830840;0.00000000;12.85463163;5.37780764;0.67929438;2.46990818;0.20881090;0.02961117;12.47575296;2.05028521
79;7.89828671;0.00000000;12.95240654;5.39867604;0.66071640;2.46913819;0.21173206;0.02882556;12.49217275;2.04020155
80;7.99826502;0.00000000;13.05012320;5.41982664;0.65485381;2.47212643;0.21457477;0.02804035;12.50849039;2.03017857
81;8.09824334;0.00000000;13.14777791;5.44125059;0.65244306;2.47886695;0.21733892;0.02725532;12.52470676;2.02021574
82;8.19822165;0.00000000;13.24537614;5.46294108;0.62926868;2.48933732;0.22002471;0.02647908;12.54082274;2.01031259
83;8.29819996;0.00000000;13.34291452;5.48488949;0.61304907;2.50349778;0.22263692;0.02577709;12.55683919;2.00046860
84;8.39817827;0.00000000;13.44039794;5.50708964;0.61317636;2.52129359;0.22517920;0.02510796;12.57275695;1.99068330
85;8.49815659;0.00000000;13.53782368;5.52953445;0.62963460;2.54265383;0.22767032;0.02472575;12.58857687;1.98095621
86;8.59813490;0.00000000;13.63519484;5.55222030;0.61756261;2.54236413;0.23012333;0.02435040;12.60429978;1.97128685
87;8.69811321;0.00000000;13.73250960;5.57514301;0.60638656;2.54568663;0.23254186;0.02403089;12.61992650;1.96167475
88;8.79809152;0.00000000;13.82976950;5.59829958;0.61180735;2.54095184;0.23492845;0.02370541;12.63545783;1.95211945
89;8.89806984;0.00000000;13.92697401;5.62168646;0.62438667;2.53690939;0.23727929;0.02332167;12.65089459;1.94262049
90;8.99804815;0.00000000;14.02412375;5.64529992;0.63103326;2.53657073;0.23959178;0.02293668;12.66623755;1.93317742
91;9.09802646;0.00000000;14.12121934;5.66913615;0.61097290;2.53994123;0.24186495;0.02253659;12.68148751;1.92378979
92;9.19800478;0.00000000;14.21826046;5.69319096;0.60625047;2.54701005;0.24409814;0.02213687;12.69664522;1.91445716
93;9.29798309;0.00000000;14.31524893;5.71746069;0.61810269;2.54757392;0.24629137;0.02173704;12.71171146;1.90517909
94;9.39796140;0.00000000;14.41218324;5.74194084;0.61449866;2.54744309;0.24844463;0.02134137;12.72668698;1.89595515
95;9.49793971;0.00000000;14.50906621;5.76662810;0.59852666;2.55102022;0.25056032;0.02098121;12.74157252;1.88678492
96;9.59791803;0.00000000;14.60589601;5.79151822;0.59925073;2.54208927;0.25264000;0.02063136;12.75636882;1.87766796
97;9.69789634;0.00000000;14.70267491;5.81660834;0.61660867;2.53468199;0.25469033;0.02038406;12.77107660;1.86860386
98;9.79787465;0.00000000;14.79940230;5.84189559;0.63177377;2.53100134;0.25671592;0.02013776;12.78569659;1.85959221
99;9.89785297;0.00000000;14.89607851;5.86737754;0.62087825;2.53106601;0.25871769;0.01990637;12.80022949;1.85063261
100;9.99783128;0.00000000;14.99270421;5.89305194;0.61626555;2.53487807;0.26069633;0.01967504;12.81467601;1.84172464
101;10.09780959;0.00000000;15.08927889;5.91891628;0.62297234;2.53689035;0.26265182;0.01944326;12.82903684;1.83286790
102;10.19778790;0.00000000;15.18580339;5.94496837;0.63859499;2.53351372;0.26458415;0.01921164;12.84331267;1.82406202
103;10.29776622;0.00000000;15.28227744;5.97120576;0.61819617;2.53388818;0.26649333;0.01898044;12.85750418;1.81530658
104;10.39774453;0.00000000;15.37870171;5.99762622;0.61380246;2.53801437;0.26837941;0.01874934;12.87161203;1.80660121
105;10.49772284;0.00000000;15.47507615;6.02422734;0.62237370;2.53135601;0.27024238;0.01851820;12.88563689;1.79794552
106;10.59770115;0.00000000;15.57140126;6.05100687;0.60564122;2.52457240;0.27208225;0.01828708;12.89957942;1.78933914
107;10.69767947;0.00000000;15.66767721;6.07796246;0.60536393;2.52155466;0.27389897;0.01805508;12.91344027;1.78078170
108;10.79765778;0.00000000;15.76390433;6.10509179;0.61559309;2.52231862;0.27569249;0.01782396;12.92722006;1.77227281
109;10.89763609;0.00000000;15.86008304;6.13239259;0.63262198;2.52686315;0.27746336;0.01760105;12.94091945;1.76381213
110;10.99761441;0.00000000;15.95621341;6.15986256;0.66019250;2.53292146;0.27921195;0.01737887;12.95453906;1.75539928
111;11.09759272;0.00000000;16.05229610;6.18749957;0.68794500;2.52185602;0.28093869;0.01716339;12.96807950;1.74703390
