id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;23.60000050;-10.57832789;1.48680878;1.62167209;3.06517108;-0.04471237;0.00000000;0.00000000
1;0.10000000;0.00000000;23.50033790;-10.57069665;1.49319682;1.62930336;3.06069984;-0.06632347;0.00000000;0.00000000
2;0.20000000;0.00000000;23.40074754;-10.56217451;1.50532290;1.63782564;3.05190638;-0.12874642;0.00000000;0.00000000
3;0.30000000;0.00000000;23.30123459;-10.55279179;1.52307815;1.64720865;3.03495056;-0.12064146;0.00000000;0.00000000
4;0.40000000;0.00000000;23.20199082;-10.54089795;1.54089931;1.65681465;3.02777809;-0.06800482;0.00000000;0.00000000
5;0.50000000;0.00000000;23.10262279;-10.53008876;1.53009107;1.63625365;3.02134959;-0.11017843;0.00000000;0.00000000
6;0.60000000;0.00000000;23.00354052;-10.51692001;1.51692421;1.62396764;3.00574240;-0.07209099;0.00000000;0.00000000
7;0.70000000;0.00000000;22.90455820;-10.50301488;1.50302185;1.61851823;3.00693139;-0.02787897;0.00000000;0.00000000
8;0.80000000;0.00000000;22.80544436;-10.49008171;1.49307918;1.61825203;3.00016661;-0.06831069;0.00000000;0.00000000
9;0.90000000;0.00000000;22.70666077;-10.47483892;1.48745825;1.62646990;2.99326926;-0.06347448;0.00000000;0.00000000
10;1.00000000;0.00000000;22.60773494;-10.46053982;1.48949608;1.63980624;2.98747171;-0.10023812;0.00000000;0.00000000
11;1.10000000;0.00000000;22.50913512;-10.44415273;1.49611383;1.64244814;2.97322163;-0.14519024;0.00000000;0.00000000
12;1.20000000;0.00000000;22.41065667;-10.42704039;1.50861071;1.63009808;2.95843367;-0.15058803;0.00000000;0.00000000
13;1.30000000;0.00000000;22.31258536;-10.40774484;1.51324008;1.62603854;2.94310402;-0.15216667;0.00000000;0.00000000
14;1.40000000;0.00000000;22.21467784;-10.38762179;1.50480403;1.62895893;2.92800033;-0.11536862;0.00000000;0.00000000
15;1.50000000;0.00000000;22.11723504;-10.36537318;1.50080674;1.64014142;2.92003030;-0.06558468;0.00000000;0.00000000
16;1.60000000;0.00000000;22.01966141;-10.34369230;1.50403991;1.65176259;2.91488340;-0.08766906;0.00000000;0.00000000
17;1.70000000;0.00000000;21.92245310;-10.32044189;1.51228037;1.64735668;2.90249649;-0.09459240;0.00000000;0.00000000
18;1.80000000;0.00000000;21.82544576;-10.29635050;1.52618183;1.64987205;2.89596492;-0.05235837;0.00000000;0.00000000
19;1.90000000;0.00000000;21.72854560;-10.27183126;1.52684113;1.65295041;2.89202482;-0.03817621;0.00000000;0.00000000
20;2.00000000;0.00000000;21.63173098;-10.24697616;1.52873926;1.62911810;2.88832968;-0.06626622;0.00000000;0.00000000
21;2.10000000;0.00000000;21.53501470;-10.22174149;1.53346593;1.61153280;2.87877157;-0.11164401;0.00000000;0.00000000
22;2.20000000;0.00000000;21.43869796;-10.19504168;1.52207275;1.60152447;2.86600087;-0.12333249;0.00000000;0.00000000
23;2.30000000;0.00000000;21.34265767;-10.16734530;1.51615833;1.59875220;2.85410507;-0.12163359;0.00000000;0.00000000
24;2.40000000;0.00000000;21.24700350;-10.13836171;1.51547848;1.60356284;2.84167416;-0.11914255;0.00000000;0.00000000
25;2.50000000;0.00000000;21.15168137;-10.10828646;1.52024248;1.61568785;2.83027656;-0.09926059;0.00000000;0.00000000
26;2.60000000;0.00000000;21.05671245;-10.07713000;1.53040198;1.63495823;2.82182204;-0.05078664;0.00000000;0.00000000
27;2.70000000;0.00000000;20.96191451;-10.04544804;1.52685279;1.64669764;2.82011924;-0.03342489;0.00000000;0.00000000
28;2.80000000;0.00000000;20.86705078;-10.01396784;1.52553336;1.63301076;2.81513706;-0.05512774;0.00000000;0.00000000
29;2.90000000;0.00000000;20.77257100;-9.98134212;1.52954894;1.62453947;2.80909369;-0.02480316;0.00000000;0.00000000
