id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;23.57429854;-11.31146989;2.21913458;0.88890154;-3.10421862;-0.13514495;7.76729023;3.61336839
1;0.09997886;0.00000000;23.47438561;-11.31453341;2.23269429;0.88583681;-3.11762954;-0.13318449;7.81366229;3.63262278
2;0.19995771;0.00000000;23.37440488;-11.31626689;2.24931726;0.88410353;-3.13085090;-0.13125822;7.86000569;3.65207771
3;0.29993657;0.00000000;23.27444457;-11.31668802;2.26894053;0.88368145;3.13930832;-0.12936677;7.90632345;3.67163639
4;0.39991542;0.00000000;23.17445378;-11.31581596;2.29151514;0.88455290;3.12646579;-0.12750067;7.95261734;3.69184076
5;0.49989428;0.00000000;23.07451480;-11.31367005;2.31381052;0.88567240;3.11381229;-0.12566788;7.99889583;3.71213077
6;0.59987313;0.00000000;22.97457876;-11.31026760;2.31040758;0.85496426;3.10133678;-0.12386046;8.04516026;3.73296635
7;0.69985199;0.00000000;22.87472350;-11.30562930;2.30576797;0.82792128;3.08904437;-0.12208125;8.09141762;3.75411354
8;0.79983084;0.00000000;22.77490209;-11.29977079;2.30317103;0.81128495;3.07692500;-0.12032552;8.13767184;3.77583716
9;0.89980970;0.00000000;22.67518771;-11.29271394;2.30371013;0.80799181;3.06498332;-0.11859671;8.18393003;3.79786136
10;0.99978856;0.00000000;22.57553542;-11.28447290;2.30740054;0.81624015;3.05321001;-0.11688993;8.23019577;3.82047268
11;1.09976741;0.00000000;22.47601398;-11.27507045;2.31424162;0.82565435;3.04160936;-0.11520719;8.27647603;3.84349133
12;1.19974627;0.00000000;22.37658043;-11.26451946;2.32422503;0.83423897;3.03017282;-0.11354509;8.32277545;3.86711096
13;1.29972512;0.00000000;22.27729923;-11.25284344;2.33732034;0.80308331;3.01890431;-0.11190508;8.36910090;3.89119083
14;1.39970398;0.00000000;22.17812942;-11.24005411;2.35349678;0.78463461;3.00779594;-0.11028439;8.41545741;3.91588977
15;1.49968283;0.00000000;22.07913130;-11.22617556;2.35422028;0.77979111;2.99685132;-0.10868375;8.46185179;3.94111927
16;1.59966169;0.00000000;21.98026587;-11.21121849;2.35677814;0.78878572;2.98606322;-0.10710118;8.50828966;3.96698742
17;1.69964055;0.00000000;21.88158945;-11.19520740;2.36249831;0.80479356;2.97543492;-0.10553687;8.55477777;3.99344827
18;1.79961940;0.00000000;21.78306495;-11.17815213;2.37137543;0.78539357;2.96495977;-0.10398945;8.60132219;4.02057054
19;1.89959826;0.00000000;21.68474483;-11.16007744;2.38338460;0.77541282;2.95464079;-0.10245859;8.64792967;4.04834847
20;1.99957711;0.00000000;21.58659395;-11.14099246;2.39849775;0.77616955;2.94447187;-0.10094351;8.69460672;4.07681306
21;2.09955597;0.00000000;21.48866100;-11.12092205;2.40876857;0.78173378;2.93445577;-0.09944346;8.74136009;4.10599489
22;2.19953482;0.00000000;21.39091276;-11.09987472;2.41476693;0.77196991;2.92458691;-0.09795812;8.78819672;4.13589153
23;2.29951368;0.00000000;21.29339429;-11.07787536;2.41659924;0.73766729;2.91486776;-0.09648637;8.83512337;4.16656647
24;2.39949253;0.00000000;21.19607426;-11.05493199;2.41344227;0.71227761;2.90529326;-0.09502834;8.88214738;4.19798714
25;2.49947139;0.00000000;21.09899421;-11.03106936;2.41347546;0.70132176;2.89586563;-0.09358258;8.92927556;4.17938559
26;2.59945025;0.00000000;21.00212470;-11.00629513;2.41671308;0.70545510;2.88658027;-0.09214958;8.97594911;4.15199696
27;2.69942910;0.00000000;20.90550382;-10.98063381;2.42315520;0.72440398;2.87743917;-0.09072763;9.02207771;4.12491156
28;2.79940796;0.00000000;20.80910403;-10.95409281;2.43279203;0.74590978;2.86843818;-0.08931753;9.06767302;4.09812313
29;2.89938681;0.00000000;20.71296006;-10.92669630;2.44259097;0.76051287;2.85957905;-0.08791736;9.11274631;4.07162560
30;2.99936567;0.00000000;20.61704627;-10.89845153;2.44347799;0.73773374;2.85085804;-0.08652817;9.15730847;4.04541312
31;3.09934452;0.00000000;20.52139409;-10.86938222;2.44758718;0.71240289;2.84227672;-0.08514787;9.20137000;4.01948002
32;3.19932338;0.00000000;20.42597978;-10.83949559;2.45491692;0.70140192;2.83383171;-0.08377775;9.24494110;3.99382081
33;3.29930223;0.00000000;20.33083154;-10.80881481;2.46544963;0.68665496;2.82552439;-0.08241554;9.28803161;3.96843018
34;3.39928109;0.00000000;20.23592756;-10.77734716;2.47578936;0.67934908;2.81735176;-0.08106273;9.33065107;3.94330299
35;3.49925995;0.00000000;20.14129284;-10.74511519;2.48016639;0.68747929;2.80931499;-0.07971695;9.37280872;3.91843426
