id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;4.80098237;-10.24478398;1.48837383;1.65628629;3.00149747;-0.08158619;0.00000000;0.00000000
1;0.10000000;0.00000000;4.70196948;-10.23082129;1.50190441;1.66964541;2.99333885;-0.08910312;0.00000000;0.00000000
2;0.20000000;0.00000000;4.60319806;-10.21524497;1.51524836;1.66796222;2.98367685;-0.09483679;0.00000000;0.00000000
3;0.30000000;0.00000000;4.50447347;-10.19937169;1.50241528;1.65519970;2.97437150;-0.12792875;0.00000000;0.00000000
4;0.40000000;0.00000000;4.40600964;-10.18196007;1.49461021;1.64997434;2.95809110;-0.13537928;0.00000000;0.00000000
5;0.50000000;0.00000000;4.30785558;-10.16288150;1.49177854;1.65249377;2.94729564;-0.10249891;0.00000000;0.00000000
6;0.60000000;0.00000000;4.20978958;-10.14334799;1.49517924;1.66149989;2.93759132;-0.12176489;0.00000000;0.00000000
7;0.70000000;0.00000000;4.11202480;-10.12236818;1.50376368;1.65532268;2.92294266;-0.15101293;0.00000000;0.00000000
8;0.80000000;0.00000000;4.01457463;-10.09997077;1.51704386;1.63427728;2.90738873;-0.15685482;0.00000000;0.00000000
9;0.90000000;0.00000000;3.91751063;-10.07596058;1.51110869;1.62079203;2.89157170;-0.13540114;0.00000000;0.00000000
10;1.00000000;0.00000000;3.82081826;-10.05049232;1.51027413;1.61490607;2.88030850;-0.10034915;0.00000000;0.00000000
11;1.10000000;0.00000000;3.72431707;-10.02430119;1.51530359;1.61594773;2.87150187;-0.10294786;0.00000000;0.00000000
12;1.20000000;0.00000000;3.62808844;-9.99713394;1.52587546;1.62416764;2.85971893;-0.11599789;0.00000000;0.00000000
13;1.30000000;0.00000000;3.53223352;-9.96867685;1.52282922;1.63978071;2.84830229;-0.09991737;0.00000000;0.00000000
14;1.40000000;0.00000000;3.43664816;-9.93931903;1.51989365;1.65185595;2.83973546;-0.09377134;0.00000000;0.00000000
15;1.50000000;0.00000000;3.34129437;-9.90922368;1.52275777;1.63047793;2.82954802;-0.11566826;0.00000000;0.00000000
16;1.60000000;0.00000000;3.24632839;-9.87792503;1.53090091;1.61055373;2.81660180;-0.13959689;0.00000000;0.00000000
17;1.70000000;0.00000000;3.15178553;-9.84537103;1.54417860;1.59797208;2.80162865;-0.15204691;0.00000000;0.00000000
18;1.80000000;0.00000000;3.05779773;-9.81124242;1.56078174;1.59130006;2.78619242;-0.15626554;0.00000000;0.00000000
19;1.90000000;0.00000000;2.96430294;-9.77578492;1.55532752;1.58265805;2.77037554;-0.15617747;0.00000000;0.00000000
20;2.00000000;0.00000000;2.87144298;-9.73870122;1.54733445;1.58205370;2.75495693;-0.14276871;0.00000000;0.00000000
21;2.10000000;0.00000000;2.77908755;-9.70037862;1.53587843;1.58909030;2.74182180;-0.13681205;0.00000000;0.00000000
22;2.20000000;0.00000000;2.68723446;-9.66086885;1.52008998;1.60361807;2.72759452;-0.14865416;0.00000000;0.00000000
23;2.30000000;0.00000000;2.59600973;-9.61993552;1.50921594;1.59703914;2.71209096;-0.14089227;0.00000000;0.00000000
