id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;4.91044147;-9.71096287;0.94414620;2.19555058;2.91905208;-0.13684347;8.30294428;2.29965795
1;0.09996497;0.00000000;4.81309610;-9.68823507;0.95301070;2.21292507;2.90541190;-0.13606215;8.33058546;2.28918659
2;0.19992994;0.00000000;4.71606722;-9.66418494;0.96129030;2.22767433;2.89184834;-0.13530600;8.35800999;2.27796659
3;0.29989491;0.00000000;4.61937390;-9.63882501;0.93902388;2.22675077;2.87835955;-0.13457047;8.38521107;2.26629907
4;0.39985988;0.00000000;4.52302928;-9.61216631;0.91541279;2.23165379;2.86494278;-0.13386172;8.41218555;2.25372842
5;0.49982485;0.00000000;4.42705083;-9.58422103;0.90098698;2.24233717;2.85159613;-0.13316956;8.43892491;2.24096258
6;0.59978982;0.00000000;4.33145242;-9.55500041;0.89619937;2.25871032;2.83831735;-0.13250254;8.46542906;2.22736685
7;0.69975479;0.00000000;4.23624960;-9.52451616;0.90121117;2.25058568;2.82510438;-0.13185335;8.49169043;2.21345182
8;0.79971976;0.00000000;4.14145696;-9.49277978;0.89837123;2.24540877;2.81195509;-0.13122859;8.51770754;2.19871828
9;0.89968473;0.00000000;4.04708839;-9.45980250;0.88151498;2.24598718;2.79886737;-0.13062047;8.54347302;2.18371929
10;0.99964970;0.00000000;3.95315912;-9.42559607;0.87450997;2.25231031;2.78583935;-0.13003596;8.56898607;2.16792287
11;1.09961467;0.00000000;3.85968151;-9.39017122;0.87759908;2.26432330;2.77286881;-0.12946794;8.59423963;2.15184046
12;1.19957964;0.00000000;3.76667134;-9.35353999;0.87401561;2.28192844;2.75995406;-0.12892277;8.61923269;2.13497901
13;1.29954461;0.00000000;3.67413962;-9.31571258;0.85490558;2.30498989;2.74709281;-0.12839384;8.64395849;2.11781934
14;1.39950958;0.00000000;3.58210258;-9.27670132;0.84595399;2.29908260;2.73428353;-0.12788710;8.66841588;2.09989568
15;1.49947455;0.00000000;3.49057004;-9.23651588;0.84748906;2.29314551;2.72152386;-0.12739649;8.69259834;2.08165271
16;1.59943952;0.00000000;3.39955859;-9.19516891;0.85898343;2.29283093;2.70881243;-0.12692745;8.71650450;2.06266010
17;1.69940449;0.00000000;3.30907701;-9.15266952;0.85968124;2.29290483;2.69614678;-0.12647459;8.74012804;2.04331654
18;1.79936946;0.00000000;3.21914219;-9.10903066;0.84583079;2.29577553;2.68352565;-0.12604272;8.76346725;2.02323674
19;1.89933443;0.00000000;3.12976199;-9.06426094;0.82588458;2.30423923;2.67094656;-0.12562720;8.78651603;2.00276727
20;1.99929940;0.00000000;3.04095354;-9.01837357;0.81452289;2.31822877;2.65840832;-0.12523222;8.80927222;1.98156841
21;2.09926437;0.00000000;2.95272391;-8.97137667;0.78673089;2.33719075;2.64590837;-0.12485374;8.83172984;1.95994368
22;2.19922934;0.00000000;2.86509039;-8.92328371;0.76279179;2.33845203;2.63344564;-0.12449521;8.85388634;1.93761069
23;2.29919431;0.00000000;2.77805940;-8.87410232;0.75025091;2.34521966;2.62101748;-0.12415419;8.87573601;1.91475024
24;2.39915928;0.00000000;2.69164834;-8.82384623;0.74968663;2.35744137;2.60862282;-0.12383295;8.89727518;1.89117229
25;2.49912424;0.00000000;2.60586309;-8.77252258;0.76112882;2.36022051;2.59625905;-0.12352798;8.91849806;1.86714599
26;2.59908921;0.00000000;2.52072115;-8.72014539;0.77637141;2.36374012;2.58392523;-0.12324252;8.93940188;1.84240239
27;2.69905418;0.00000000;2.43622799;-8.66672137;0.76229962;2.37269708;2.57161851;-0.12297676;8.95998088;1.81691751
28;2.79901915;0.00000000;2.35240085;-8.61226458;0.73449931;2.38702561;2.55933789;-0.12272892;8.98022904;1.79082738
29;2.89898412;0.00000000;2.26924514;-8.55678146;0.70730046;2.40662620;2.54708062;-0.12250114;9.00014186;1.76395267
30;2.99894909;0.00000000;2.18677814;-8.50028629;0.69235353;2.42156247;2.53484554;-0.12229379;9.01971288;1.73625641
31;3.09891406;0.00000000;2.10500483;-8.44278499;0.68523936;2.43272353;2.52262991;-0.12210255;9.03893523;1.70808680
32;3.19887903;0.00000000;2.02394271;-8.38429221;0.68309570;2.43898871;2.51043297;-0.12193261;9.05780591;1.67901209
33;3.29884400;0.00000000;1.94359660;-8.32481346;0.69426899;2.43368892;2.49824983;-0.12181395;9.07631713;1.64655849
34;3.39880897;0.00000000;1.86398345;-8.26436284;0.70777789;2.43370637;2.48607818;-0.12171365;9.09443396;1.61348066
35;3.49877394;0.00000000;1.78510894;-8.20294584;0.69462937;2.43903999;2.47391384;-0.12165752;9.11215189;1.57763144
36;3.59873891;0.00000000;1.70698992;-8.14057636;0.67658554;2.44965331;2.46175449;-0.12162100;9.12944291;1.54108320
37;3.69870388;0.00000000;1.62963211;-8.07725943;0.67184641;2.46547697;2.44959810;-0.12159003;9.14630179;1.50501034
38;3.79866885;0.00000000;1.55305259;-8.01300944;0.68057112;2.48640771;2.43744442;-0.12157637;9.16273612;1.46840811
39;3.89863382;0.00000000;1.47725672;-7.94783105;0.68808108;2.49936829;2.42529076;-0.12158046;9.17874239;1.43123619
40;3.99859879;0.00000000;1.40226128;-7.88173865;0.69437619;2.50049827;2.41313626;-0.12160184;9.19431666;1.39353278
41;4.09856376;0.00000000;1.32807211;-7.81473708;0.68133635;2.50307889;2.40097829;-0.12164143;9.20945535;1.35521816
42;4.19852873;0.00000000;1.25470581;-7.74684080;0.65866894;2.48898470;2.38881584;-0.12169988;9.22415397;1.31623927
43;4.29849370;0.00000000;1.18216828;-7.67805449;0.64488353;2.48005705;2.37664636;-0.12177336;9.23840744;1.27692426
44;4.39845867;0.00000000;1.11047612;-7.60839288;0.63526211;2.47635454;2.36446910;-0.12186452;9.25221419;1.23704577
45;4.49842364;0.00000000;1.03963528;-7.53786047;0.63548075;2.47790178;2.35228141;-0.12197330;9.26557014;1.19661103
46;4.59838861;0.00000000;0.96966226;-7.46647216;0.63448146;2.48468970;2.34008236;-0.12210040;9.27847123;1.15556362
47;4.69835358;0.00000000;0.90056324;-7.39423244;0.63226332;2.49667632;2.32786932;-0.12224464;9.29091277;1.11400997
48;4.79831855;0.00000000;0.83235470;-7.32115645;0.62882615;2.51378601;2.31564137;-0.12240733;9.30289117;1.07184281
49;4.89828352;0.00000000;0.76504295;-7.24724857;0.62416892;2.52746114;2.30339588;-0.12258671;9.31440162;1.02922013
50;4.99824849;0.00000000;0.69864438;-7.17252413;0.61829177;2.51752822;2.29113199;-0.12278438;9.32544098;0.98601033
51;5.09821346;0.00000000;0.63316554;-7.09698753;0.61583340;2.51276390;2.27884694;-0.12300127;9.33600463;0.94213840
52;5.19817843;0.00000000;0.56862287;-7.02065444;0.62824388;2.51320083;2.26653969;-0.12323753;9.34608710;0.89760502
53;5.29814340;0.00000000;0.50502313;-6.94352918;0.65467503;2.51883860;2.25420759;-0.12348920;9.35568288;0.85276691
54;5.39810837;0.00000000;0.44238251;-6.86562745;0.65286340;2.52963971;2.24184992;-0.12375768;9.36479022;0.80750797
55;5.49807334;0.00000000;0.38070810;-6.78695376;0.64083676;2.54164704;2.22946401;-0.12404626;9.37340604;0.76154866
56;5.59803831;0.00000000;0.32001641;-6.70752451;0.62758044;2.55487666;2.21704929;-0.12427772;9.38152425;0.72170186
57;5.69800328;0.00000000;0.26031358;-6.62734458;0.61309414;2.55401222;2.20463120;-0.12416876;9.38921120;0.71281741
58;5.79796825;0.00000000;0.20161313;-6.54643334;0.59738276;2.54017000;2.19222600;-0.12384695;9.39679736;0.72298687
59;5.89793322;0.00000000;0.14391639;-6.46479989;0.58914616;2.53143719;2.17990883;-0.12258220;9.40448549;0.81638589
60;5.99789819;0.00000000;0.08722512;-6.38246677;0.59654212;2.52785697;2.16771814;-0.12132429;9.41315926;0.90720797
61;6.09786316;0.00000000;0.03153627;-6.29945174;0.61902137;2.52943906;2.15565160;-0.12009484;9.42278862;0.99366244
62;6.19782813;0.00000000;-0.02315267;-6.21577303;0.64848182;2.52199123;2.14370705;-0.11888328;9.43332434;1.07684961
63;6.29779310;0.00000000;-0.07684275;-6.13145118;0.64430633;2.51171118;2.13188218;-0.11770152;9.44472883;1.15583917
64;6.39775807;0.00000000;-0.12953748;-6.04650265;0.63703470;2.49547227;2.12017421;-0.11654589;9.45695456;1.23109941
65;6.49772304;0.00000000;-0.18123842;-5.96094681;0.64420314;2.47341510;2.10858003;-0.11542212;9.46995898;1.30224183
66;6.59768801;0.00000000;-0.23194915;-5.87479953;0.66377883;2.45637191;2.09709745;-0.11431438;9.48369550;1.37081472
67;6.69765298;0.00000000;-0.28167165;-5.78807919;0.66748995;2.44443914;2.08572429;-0.11323236;9.49813388;1.43603933
68;6.79761795;0.00000000;-0.33041003;-5.70080041;0.66510731;2.43768235;2.07445848;-0.11216293;9.51323575;1.49920455
69;6.89758292;0.00000000;-0.37816611;-5.61298186;0.65805070;2.43613496;2.06329925;-0.11110385;9.52897635;1.56059294
70;6.99754789;0.00000000;-0.42494457;-5.52463704;0.66499494;2.43703746;2.05224502;-0.11006002;9.54533392;1.61982788
71;7.09751286;0.00000000;-0.47074753;-5.43578426;0.68552367;2.43828504;2.04129442;-0.10903266;9.56228276;1.67687239
72;7.19747783;0.00000000;-0.51558005;-5.34643613;0.71848111;2.43687437;2.03044573;-0.10801788;9.57979690;1.73215093
73;7.29744280;0.00000000;-0.55944446;-5.25661056;0.72625037;2.43369695;2.01969799;-0.10701609;9.59785484;1.78568840
74;7.39740776;0.00000000;-0.60234618;-5.16631932;0.73681685;2.42705330;2.00904961;-0.10602697;9.61643541;1.83757184
75;7.49737273;0.00000000;-0.64428776;-5.07558005;0.75340514;2.41862458;1.99849961;-0.10505067;9.63551844;1.88784159
76;7.59733770;0.00000000;-0.68527490;-4.98440367;0.74780577;2.41535848;1.98804646;-0.10408610;9.65508424;1.93665091
77;7.69730267;0.00000000;-0.72531041;-4.89280745;0.75447849;2.39867444;1.97768931;-0.10313333;9.67511479;1.98403895
78;7.79726764;0.00000000;-0.76440020;-4.80080160;0.77311438;2.37491945;1.96742666;-0.10219176;9.69559256;2.03010773
79;7.89723261;0.00000000;-0.80254734;-4.70840299;0.80288707;2.35617760;1.95725776;-0.10126125;9.71650114;2.07491101
80;7.99719758;0.00000000;-0.83975795;-4.61562117;0.84031375;2.34256123;1.94718116;-0.10034132;9.73782477;2.11853241
81;8.09716255;0.00000000;-0.87603533;-4.52247258;0.85085190;2.33415281;1.93719619;-0.09943179;9.75954862;2.16102688
