id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-8.29999960;-17.22850548;1.67149447;1.52908067;-0.02231906;0.06517154;0.00000000;0.00000000
1;0.10000000;0.00000000;-8.20007791;-17.23073601;1.66926393;1.53130929;-0.01580190;0.09748988;0.00000000;0.00000000
2;0.20000000;0.00000000;-8.10013565;-17.23166398;1.66833596;1.53223641;-0.00282108;0.08583602;0.00000000;0.00000000
3;0.30000000;0.00000000;-8.00018974;-17.23129991;1.66870002;1.53187208;0.00136530;0.04678089;0.00000000;0.00000000
4;0.40000000;0.00000000;-7.90024321;-17.23139106;1.66860887;1.53196281;0.00653510;0.05661622;0.00000000;0.00000000
5;0.50000000;0.00000000;-7.80030642;-17.22999364;1.67000629;1.53056525;0.01268854;0.06618814;0.00000000;0.00000000
6;0.60000000;0.00000000;-7.70036633;-17.22885478;1.67114515;1.52942625;0.01977272;0.02650079;0.00000000;0.00000000
7;0.70000000;0.00000000;-7.60045940;-17.22604160;1.67395832;1.52661266;0.01798870;-0.01951716;0.00000000;0.00000000
8;0.80000000;0.00000000;-7.50051598;-17.22525934;1.67474058;1.52583022;0.01586929;0.02616363;0.00000000;0.00000000
9;0.90000000;0.00000000;-7.40059804;-17.22286968;1.67713025;1.52344028;0.02322143;0.07749261;0.00000000;0.00000000
10;1.00000000;0.00000000;-7.30067683;-17.22061796;1.67938197;1.52118832;0.03136781;0.12832209;0.00000000;0.00000000
11;1.10000000;0.00000000;-7.20081112;-17.21660074;1.68339920;1.51717001;0.04888585;0.17330025;0.00000000;0.00000000
12;1.20000000;0.00000000;-7.10103023;-17.21085028;1.68914970;1.51141678;0.06602786;0.12656752;0.00000000;0.00000000
13;1.30000000;0.00000000;-7.00136095;-17.20341230;1.69658779;1.50397361;0.07419935;-0.00619166;0.00000000;0.00000000
14;1.40000000;0.00000000;-6.90168723;-17.19603196;1.70396829;1.49658819;0.06478953;-0.04970594;0.00000000;0.00000000
15;1.50000000;0.00000000;-6.80189576;-17.19047093;1.70952944;1.49102462;0.06425816;0.08324118;0.00000000;0.00000000
16;1.60000000;0.00000000;-6.70221456;-17.18319654;1.71103156;1.48374531;0.08143777;0.12829356;0.00000000;0.00000000
17;1.70000000;0.00000000;-6.60267306;-17.17421072;1.68973155;1.47475142;0.08991687;0.08601683;0.00000000;0.00000000
18;1.80000000;0.00000000;-6.50312925;-17.16524701;1.67411496;1.47186998;0.09864114;0.09022803;0.00000000;0.00000000
19;1.90000000;0.00000000;-6.40375987;-17.15452581;1.66612716;1.47400483;0.10796248;0.05386193;0.00000000;0.00000000
20;2.00000000;0.00000000;-6.30440045;-17.14370801;1.66421158;1.48279197;0.10941352;0.06136496;0.00000000;0.00000000
21;2.10000000;0.00000000;-6.20506211;-17.13269842;1.66848477;1.49802016;0.12023547;0.15266483;0.00000000;0.00000000
22;2.20000000;0.00000000;-6.10596111;-17.11973292;1.66430133;1.51776911;0.13994649;0.15559906;0.00000000;0.00000000
23;2.30000000;0.00000000;-6.00713495;-17.10481695;1.65040102;1.50499037;0.15135528;0.11200428;0.00000000;0.00000000
24;2.40000000;0.00000000;-5.90835456;-17.08959362;1.64278602;1.49152830;0.16234734;0.06955589;0.00000000;0.00000000
25;2.50000000;0.00000000;-5.80988066;-17.07250889;1.64311922;1.48280263;0.16526646;-0.01797653;0.00000000;0.00000000
