id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-8.26156988;-17.84153893;1.05916943;2.14162873;0.11860438;0.05572604;12.21381992;2.21086058
1;0.09996192;0.00000000;-8.16234248;-17.82943434;1.07123919;2.12953152;0.12417188;0.05566533;12.23190095;2.19979324
2;0.19992384;0.00000000;-8.06318633;-17.81677809;1.08385912;2.11688374;0.12973327;0.05560648;12.24986498;2.18879501
3;0.29988576;0.00000000;-7.96409966;-17.80357056;1.09702919;2.10368584;0.13528890;0.05554727;12.26771308;2.17786528
4;0.39984768;0.00000000;-7.86509029;-17.78981339;1.11074777;2.08993966;0.14083856;0.05548984;12.28544633;2.16700344
5;0.49980961;0.00000000;-7.76615629;-17.77550688;1.12501490;2.07564563;0.14638271;0.05543428;12.30306576;2.15620891
6;0.59977153;0.00000000;-7.66730557;-17.76065274;1.13982895;2.06080571;0.15192125;0.05538049;12.32057242;2.14548110
7;0.69973345;0.00000000;-7.56853609;-17.74525121;1.15519006;2.04542030;0.15745461;0.05532775;12.33796732;2.13481942
8;0.79969537;0.00000000;-7.46985584;-17.72930407;1.17109657;2.02949147;0.16298265;0.05527675;12.35525147;2.12422330
9;0.89965729;0.00000000;-7.37126265;-17.71281147;1.18754871;2.01301960;0.16850579;0.05522701;12.37242586;2.11369219
10;0.99961921;0.00000000;-7.27276459;-17.69577528;1.20454481;1.99600693;0.17402390;0.05517899;12.38949148;2.10322551
11;1.09958113;0.00000000;-7.17435939;-17.67819560;1.22208519;1.97845382;0.17953742;0.05513218;12.40644929;2.09282272
12;1.19954305;0.00000000;-7.07605520;-17.66007434;1.24016814;1.96036265;0.18504619;0.05508708;12.42330026;2.08248328
13;1.29950497;0.00000000;-6.97784965;-17.64141154;1.25879408;1.94173379;0.19055067;0.05504318;12.44004531;2.07220665
14;1.39946690;0.00000000;-6.87975091;-17.62220918;1.27796129;1.92256981;0.19605070;0.05500099;12.45668539;2.06199229
15;1.49942882;0.00000000;-6.78175658;-17.60246724;1.29767025;1.90287109;0.20154671;0.05496000;12.47322141;2.05183969
16;1.59939074;0.00000000;-6.68387485;-17.58218778;1.31791923;1.88264041;0.20703857;0.05492070;12.48965428;2.04174833
17;1.69935266;0.00000000;-6.58610326;-17.56137069;1.31575849;1.86222801;0.21252670;0.05488261;12.50598489;2.03171769
18;1.79931458;0.00000000;-6.48845003;-17.54001810;1.30668215;1.84646399;0.21801097;0.05484619;12.52221414;2.02174727
19;1.89927650;0.00000000;-6.39091264;-17.51812986;1.30576831;1.83546809;0.22349180;0.05481101;12.53834289;2.01183657
20;1.99923842;0.00000000;-6.29349933;-17.49570815;1.31303374;1.82932758;0.22896905;0.05477747;12.55437201;2.00198510
21;2.09920034;0.00000000;-6.19620757;-17.47275274;1.32834408;1.82809158;0.23444316;0.05474520;12.57030234;1.99219237
22;2.19916227;0.00000000;-6.09904558;-17.44926590;1.35142437;1.83177043;0.23991397;0.05471456;12.58613474;1.98245791
23;2.29912419;0.00000000;-6.00201081;-17.42524734;1.34160230;1.82533342;0.24538194;0.05468521;12.60187003;1.97278123
24;2.39908611;0.00000000;-5.90511146;-17.40069938;1.33844115;1.80243972;0.25084691;0.05465748;12.61750904;1.96316187
25;2.49904803;0.00000000;-5.80834502;-17.37562167;1.34327936;1.78431825;0.25630932;0.05463108;12.63305257;1.95359935
26;2.59900995;0.00000000;-5.71171962;-17.35001660;1.35603064;1.76998562;0.26176902;0.05460628;12.64850143;1.94409324
27;2.69897187;0.00000000;-5.61523279;-17.32388376;1.37647516;1.75641473;0.26722646;0.05458286;12.66385640;1.93464306
28;2.79893379;0.00000000;-5.51889261;-17.29722559;1.38021865;1.74791815;0.27268148;0.05456104;12.67911827;1.92524837
29;2.89889571;0.00000000;-5.42269664;-17.27004163;1.38190242;1.74457005;0.27813455;0.05454062;12.69428782;1.91590873
30;2.99885763;0.00000000;-5.32665291;-17.24233437;1.39069556;1.74640051;0.28358551;0.05452179;12.70936580;1.90662371
31;3.09881956;0.00000000;-5.23075903;-17.21410332;1.40103491;1.73932952;0.28903481;0.05450450;12.72435297;1.89739286
32;3.19878148;0.00000000;-5.13502295;-17.18535099;1.39551651;1.73008795;0.29448231;0.05448877;12.73925008;1.88821576
33;3.29874340;0.00000000;-5.03944236;-17.15607685;1.39461007;1.72604918;0.29992846;0.05447445;12.75405787;1.87909199
34;3.39870532;0.00000000;-4.94402510;-17.12628346;1.40139583;1.72725018;0.30537310;0.05446170;12.76877705;1.87002114
35;3.49866724;0.00000000;-4.84876898;-17.09597027;1.41576321;1.72565941;0.31081673;0.05445106;12.78340835;1.86100277
36;3.59862916;0.00000000;-4.75368171;-17.06513984;1.43748365;1.71578864;0.31625922;0.05444195;12.79795249;1.85203650
37;3.69859108;0.00000000;-4.65876122;-17.03379159;1.44494028;1.70873582;0.32170096;0.05443321;12.81241016;1.84312190
38;3.79855300;0.00000000;-4.56401509;-17.00192812;1.44895929;1.70395174;0.32714177;0.05442600;12.82678207;1.83425859
39;3.89851492;0.00000000;-4.46944137;-16.96954885;1.46036648;1.70448130;0.33258227;0.05442448;12.84106889;1.82544617
