id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-7.26186617;-7.50270562;1.63441131;1.51015600;2.82407206;-0.13668211;0.00000000;0.00000000
1;0.10000000;0.00000000;-7.35681567;-7.47150143;1.62545513;1.53187978;2.81040385;-0.22687076;0.00000000;0.00000000
2;0.20000000;0.00000000;-7.45087434;-7.43771447;1.61988536;1.56166942;2.77869791;-0.33734616;0.00000000;0.00000000
3;0.30000000;0.00000000;-7.54364360;-7.40056074;1.61401941;1.55419656;2.74293462;-0.34210277;0.00000000;0.00000000
4;0.40000000;0.00000000;-7.63503984;-7.36014170;1.60791426;1.55667050;2.71027736;-0.30539630;0.00000000;0.00000000
5;0.50000000;0.00000000;-7.72519230;-7.31700950;1.60502450;1.56849076;2.68185536;-0.28738067;0.00000000;0.00000000
6;0.60000000;0.00000000;-7.81414861;-7.27146108;1.59449841;1.58915820;2.65280122;-0.29973486;0.00000000;0.00000000
7;0.70000000;0.00000000;-7.90163799;-7.22316920;1.58674582;1.59347374;2.62190839;-0.31576453;0.00000000;0.00000000
8;0.80000000;0.00000000;-7.98761214;-7.17221519;1.58220418;1.59751951;2.58964832;-0.33161396;0.00000000;0.00000000
9;0.90000000;0.00000000;-8.07180041;-7.11838597;1.58058433;1.58812586;2.55558559;-0.32089256;0.00000000;0.00000000
10;1.00000000;0.00000000;-8.15410705;-7.06169786;1.58185889;1.58841101;2.52546981;-0.27849451;0.00000000;0.00000000
11;1.10000000;0.00000000;-8.23491380;-7.00288996;1.58684372;1.59755179;2.49988669;-0.26395152;0.00000000;0.00000000
12;1.20000000;0.00000000;-8.31421485;-6.94206549;1.57385988;1.58691953;2.47267950;-0.29280112;0.00000000;0.00000000
13;1.30000000;0.00000000;-8.39169685;-6.87895505;1.56218641;1.57773195;2.44132647;-0.30933333;0.00000000;0.00000000
14;1.40000000;0.00000000;-8.46703146;-6.81328029;1.55351014;1.57818880;2.41081284;-0.30462608;0.00000000;0.00000000
15;1.50000000;0.00000000;-8.54052224;-6.74555944;1.54848337;1.58769605;2.38040125;-0.29991047;0.00000000;0.00000000
16;1.60000000;0.00000000;-8.61172657;-6.67542612;1.54657524;1.60664357;2.35083074;-0.29963207;0.00000000;0.00000000
17;1.70000000;0.00000000;-8.68108841;-6.60347721;1.54474572;1.63397849;2.32047484;-0.32111411;0.00000000;0.00000000
18;1.80000000;0.00000000;-8.74790403;-6.52915542;1.53943724;1.64257870;2.28660792;-0.31072060;0.00000000;0.00000000
19;1.90000000;0.00000000;-8.81224203;-6.45267126;1.53463597;1.62852438;2.25833072;-0.28128120;0.00000000;0.00000000
20;2.00000000;0.00000000;-8.87475248;-6.37468812;1.53397340;1.61910284;2.23035168;-0.27571094;0.00000000;0.00000000
21;2.10000000;0.00000000;-8.93471332;-6.29472382;1.53659180;1.61904857;2.20318853;-0.27151413;0.00000000;0.00000000
22;2.20000000;0.00000000;-8.99289939;-6.21345815;1.54349542;1.62734204;2.17604885;-0.29338230;0.00000000;0.00000000
23;2.30000000;0.00000000;-9.04843414;-6.13035782;1.55000581;1.63511227;2.14451207;-0.30959115;0.00000000;0.00000000
24;2.40000000;0.00000000;-9.10138145;-6.04558733;1.55354534;1.61034105;2.11413062;-0.29972950;0.00000000;0.00000000
25;2.50000000;0.00000000;-9.15176570;-5.95927090;1.55245106;1.59443451;2.08456617;-0.29170560;0.00000000;0.00000000
26;2.60000000;0.00000000;-9.19960938;-5.87152265;1.55487259;1.58759623;2.05578950;-0.26840214;0.00000000;0.00000000
27;2.70000000;0.00000000;-9.24494377;-5.78245368;1.56087157;1.58547481;2.03088574;-0.24076220;0.00000000;0.00000000
28;2.80000000;0.00000000;-9.28835988;-5.69243137;1.56768354;1.58043522;2.00763706;-0.24406734;0.00000000;0.00000000
29;2.90000000;0.00000000;-9.32950464;-5.60135276;1.56999956;1.57079132;1.98207227;-0.25625560;0.00000000;0.00000000
30;3.00000000;0.00000000;-9.36826164;-5.50923307;1.57149918;1.56720520;1.95638594;-0.25307092;0.00000000;0.00000000
31;3.10000000;0.00000000;-9.40467508;-5.41616219;1.57551621;1.56950087;1.93145809;-0.24548082;0.00000000;0.00000000
32;3.20000000;0.00000000;-9.43879316;-5.32222545;1.57133821;1.57323323;1.90728978;-0.23790492;0.00000000;0.00000000
33;3.30000000;0.00000000;-9.47066726;-5.22750338;1.56561513;1.58129216;1.88387711;-0.23038870;0.00000000;0.00000000
34;3.40000000;0.00000000;-9.50035121;-5.13207170;1.56395981;1.58224439;1.86121204;-0.22296943;0.00000000;0.00000000
35;3.50000000;0.00000000;-9.52790064;-5.03600130;1.56646022;1.57850974;1.83928322;-0.21567611;0.00000000;0.00000000
36;3.60000000;0.00000000;-9.55337240;-4.93935835;1.57316802;1.56494806;1.81807682;-0.20852952;0.00000000;0.00000000
37;3.70000000;0.00000000;-9.57682410;-4.84220444;1.58409758;1.55760274;1.79757732;-0.20154235;0.00000000;0.00000000
38;3.80000000;0.00000000;-9.59831373;-4.74459672;1.59922646;1.55476479;1.77776835;-0.19539012;0.00000000;0.00000000
39;3.90000000;0.00000000;-9.61789940;-4.64658816;1.59789780;1.56028488;1.75849929;-0.19521302;0.00000000;0.00000000
40;4.00000000;0.00000000;-9.63561264;-4.54822348;1.59095951;1.56601702;1.73872574;-0.19493617;0.00000000;0.00000000
41;4.10000000;0.00000000;-9.65130840;-4.44951507;1.58342167;1.55800886;1.71951206;-0.18256164;0.00000000;0.00000000
42;4.20000000;0.00000000;-9.66522988;-4.35054050;1.58038030;1.55818470;1.70221341;-0.16708956;0.00000000;0.00000000
43;4.30000000;0.00000000;-9.67750183;-4.25134858;1.58199252;1.56641220;1.68609415;-0.15689064;0.00000000;0.00000000
44;4.40000000;0.00000000;-9.68822569;-4.15197804;1.58834856;1.58245994;1.67083529;-0.18199017;0.00000000;0.00000000
45;4.50000000;0.00000000;-9.69746519;-4.05245889;1.59759287;1.60255844;1.64969611;-0.21508999;0.00000000;0.00000000
46;4.60000000;0.00000000;-9.70397894;-3.95273097;1.60410904;1.59604342;1.62781729;-0.17778394;0.00000000;0.00000000
47;4.70000000;0.00000000;-9.70885642;-3.85290278;1.60898782;1.59116520;1.61413933;-0.12150428;0.00000000;0.00000000
48;4.80000000;0.00000000;-9.71264014;-3.75302686;1.61277231;1.58738099;1.60351643;-0.10168609;0.00000000;0.00000000
49;4.90000000;0.00000000;-9.71539576;-3.65311726;1.61552835;1.58462504;1.59380211;-0.09175891;0.00000000;0.00000000
50;5.00000000;0.00000000;-9.71723844;-3.55318636;1.61737127;1.58278212;1.58516465;-0.08172492;0.00000000;0.00000000
51;5.10000000;0.00000000;-9.71826780;-3.45324360;1.61840078;1.58175257;1.57745712;-0.07211193;0.00000000;0.00000000
52;5.20000000;0.00000000;-9.71856989;-3.35329581;1.61870300;1.58145032;1.57074226;-0.06138956;0.00000000;0.00000000
53;5.30000000;0.00000000;-9.71825700;-3.25334786;1.61839030;1.58176304;1.56517921;-0.04920656;0.00000000;0.00000000
54;5.40000000;0.00000000;-9.71744705;-3.15340252;1.61758062;1.58257279;1.56090095;-0.03574658;0.00000000;0.00000000
55;5.50000000;0.00000000;-9.71627897;-3.05346060;1.61641287;1.58374066;1.55802989;-0.02183334;0.00000000;0.00000000
56;5.60000000;0.00000000;-9.71489514;-2.95352135;1.61502944;1.58512426;1.55653428;-0.00787763;0.00000000;0.00000000
57;5.70000000;0.00000000;-9.71342812;-2.85358327;1.61356283;1.58659106;1.55645437;0.00738824;0.00000000;0.00000000
58;5.80000000;0.00000000;-9.71202832;-2.75364425;1.61216342;1.58799063;1.55801193;0.02422672;0.00000000;0.00000000
59;5.90000000;0.00000000;-9.71087262;-2.65370222;1.61100806;1.58914612;1.56129971;0.04147294;0.00000000;0.00000000
60;6.00000000;0.00000000;-9.71013000;-2.55375644;1.61026570;1.58988856;1.56630652;0.05894537;0.00000000;0.00000000
61;6.10000000;0.00000000;-9.70997513;-2.45380829;1.61011100;1.59004327;1.57308879;0.07697644;0.00000000;0.00000000
62;6.20000000;0.00000000;-9.71058825;-2.35386225;1.61072426;1.58942999;1.58170181;0.07290258;0.00000000;0.00000000
63;6.30000000;0.00000000;-9.71215502;-2.25392706;1.61229123;1.58786302;1.58766930;0.04013464;0.00000000;0.00000000
64;6.40000000;0.00000000;-9.71396093;-2.15399517;1.61409736;1.58605690;1.58972874;0.02474026;0.00000000;0.00000000
65;6.50000000;0.00000000;-9.71593929;-2.05406773;1.61607598;1.58407830;1.59261735;0.01049587;0.00000000;0.00000000
66;6.60000000;0.00000000;-9.71832250;-1.95414767;1.61845952;1.58169483;1.59182791;-0.01029475;0.00000000;0.00000000
67;6.70000000;0.00000000;-9.72014311;-1.85421582;1.62028035;1.57987401;1.59055841;0.01526699;0.00000000;0.00000000
68;6.80000000;0.00000000;-9.72227258;-1.75429195;1.62241012;1.57774430;1.59488131;0.02523196;0.00000000;0.00000000
