id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-6.98523328;-6.50643396;0.60800899;2.53808812;2.94466071;-0.35571798;5.80814854;-0.13041228
1;0.09994294;0.00000000;-7.08285225;-6.48515426;0.60198519;2.54275258;2.90933759;-0.35135948;5.80590406;0.02587987
2;0.19988587;0.00000000;-7.17971349;-6.46044764;0.60863929;2.55481320;2.87442400;-0.34702783;5.80634954;0.17007796
3;0.29982881;0.00000000;-7.27560918;-6.43242041;0.61335886;2.55155515;2.84021963;-0.33774238;5.80927630;0.47151156
4;0.39977175;0.00000000;-7.37056182;-6.40115344;0.62489234;2.54898006;2.80689698;-0.32897885;5.81738254;0.73589023
5;0.49971468;0.00000000;-7.46438511;-6.36680011;0.62544616;2.55360337;2.77445213;-0.32050477;5.83001146;0.97495671
6;0.59965762;0.00000000;-7.55710381;-6.32944157;0.63863909;2.52926393;2.74281964;-0.31242668;5.84670110;1.18788402
7;0.69960056;0.00000000;-7.64857186;-6.28922348;0.66377099;2.51156921;2.71199168;-0.30465943;5.86697153;1.38014240
8;0.79954349;0.00000000;-7.73880826;-6.24622234;0.69619883;2.48597924;2.68191105;-0.29724166;5.89043512;1.55240513
9;0.89948643;0.00000000;-7.82769591;-6.20057585;0.68913654;2.45922070;2.65256668;-0.29012120;5.91671613;1.70824003
10;0.99942936;0.00000000;-7.91525127;-6.15235563;0.69361870;2.43910493;2.62391046;-0.28329219;5.94550106;1.84925582
11;1.09937230;0.00000000;-8.00138024;-6.10169123;0.70948691;2.42575951;2.59593046;-0.27674492;5.97650592;1.97697018
12;1.19931524;0.00000000;-8.08609932;-6.04864891;0.73194366;2.41923376;2.56858513;-0.27043311;6.00947513;2.09402512
13;1.29925817;0.00000000;-8.16933183;-5.99335103;0.75174473;2.41736623;2.54186893;-0.26429708;6.04420031;2.20337666
14;1.39920111;0.00000000;-8.25109520;-5.93585957;0.77241427;2.38167635;2.51574863;-0.25837488;6.08052475;2.30423146
15;1.49914405;0.00000000;-8.33132788;-5.87629013;0.80264607;2.35217710;2.49021873;-0.25259952;6.11828118;2.39963907
16;1.59908698;0.00000000;-8.41004890;-5.81470042;0.83994152;2.32905343;2.46525178;-0.24699175;6.15735483;2.48923167
17;1.69902992;0.00000000;-8.48720922;-5.75119992;0.87640038;2.28857146;2.44084532;-0.24149198;6.19762703;2.57566390
18;1.79897286;0.00000000;-8.56283029;-5.68584207;0.90606138;2.24346129;2.41697558;-0.23615011;6.23902393;2.65727880
19;1.89891579;0.00000000;-8.63687331;-5.61873091;0.93818142;2.20415111;2.39363823;-0.23092949;6.28144666;2.73578154
20;1.99885873;0.00000000;-8.70936122;-5.54991600;0.97743014;2.16936016;2.37081090;-0.22589665;6.32482539;2.80871569
21;2.09880167;0.00000000;-8.78026396;-5.47949492;1.01732664;2.12927556;2.34847312;-0.22117167;6.36905321;2.87138980
22;2.19874460;0.00000000;-8.84960538;-5.40751079;1.05251239;2.08824284;2.32659793;-0.21659877;6.41395268;2.93035305
23;2.29868754;0.00000000;-8.91736007;-5.33405553;1.08777722;2.05093218;2.30516734;-0.21231386;6.45945239;2.98000511
24;2.39863047;0.00000000;-8.98355312;-5.25916532;1.12706070;2.01805757;2.28415610;-0.20811173;6.50539669;3.02906993
25;2.49857341;0.00000000;-9.04816295;-5.18292804;1.15803874;1.98779759;2.26356886;-0.20391939;6.55176727;3.08068337
26;2.59851635;0.00000000;-9.11121643;-5.10537662;1.18611112;1.95909423;2.24339186;-0.19984575;6.59859375;3.13010439
27;2.69845928;0.00000000;-9.17269821;-5.02659433;1.21988850;1.92643224;2.22361754;-0.19591111;6.64583352;3.17643119
28;2.79840222;0.00000000;-9.23263533;-4.94661052;1.25894501;1.88166038;2.20422935;-0.19205542;6.69343162;3.22233094
29;2.89834516;0.00000000;-9.29101711;-4.86550365;1.30281401;1.83579575;2.18522611;-0.18826803;6.74137414;3.26826042
30;2.99828809;0.00000000;-9.34787134;-4.78329983;1.35105692;1.79307405;2.16659453;-0.18456264;6.78965422;3.31355960
31;3.09823103;0.00000000;-9.40319131;-4.70007378;1.40322362;1.75490101;2.14833186;-0.18093684;6.83825549;3.35830597
32;3.19817397;0.00000000;-9.45700515;-4.61584866;1.43467224;1.72341037;2.13042545;-0.17738072;6.88716314;3.40292931
33;3.29811690;0.00000000;-9.50931005;-4.53069479;1.46455610;1.69302845;2.11287389;-0.17388464;6.93636890;3.44785358
34;3.39805984;0.00000000;-9.56013424;-4.44463293;1.49317924;1.64917879;2.09566623;-0.17045141;6.98587080;3.49290166
35;3.49800278;0.00000000;-9.60947846;-4.35772927;1.52622832;1.61194339;2.07880113;-0.16707355;7.03566432;3.53840276
36;3.59794571;0.00000000;-9.65737091;-4.27000246;1.56345267;1.58175801;2.06226864;-0.16375174;7.08574973;3.58428208
37;3.69788865;0.00000000;-9.70381550;-4.18151456;1.60457256;1.55901618;2.04606785;-0.16047628;7.13612616;3.63099365
38;3.79783158;0.00000000;-9.74884036;-4.09228240;1.64932453;1.54401486;2.03018996;-0.15725064;7.18679907;3.67832123
39;3.89777452;0.00000000;-9.79245229;-4.00236399;1.69271676;1.50810937;2.01463422;-0.15406583;7.23777074;3.72669842
40;3.99771746;0.00000000;-9.83467921;-3.91177464;1.73480099;1.46615411;1.99939277;-0.15092668;7.28904930;3.77583673
41;4.09766039;0.00000000;-9.87553057;-3.82056832;1.77556986;1.42504932;1.98446480;-0.14782438;7.34063867;3.82617662
42;4.19760333;0.00000000;-9.91503404;-3.72875904;1.81503785;1.38534669;1.96984338;-0.14475953;7.39254860;3.87765763
43;4.29754627;0.00000000;-9.95320142;-3.63639682;1.85320584;1.34702793;1.95552854;-0.14171959;7.44478769;3.93094790
44;4.39748920;0.00000000;-9.99006026;-3.54349451;1.89009258;1.31006033;1.94151432;-0.13871819;7.49737319;3.98526582
45;4.49743214;0.00000000;-10.02562445;-3.45009833;1.92570494;1.27442463;1.92779932;-0.13575463;7.55031145;4.04062795
46;4.59737508;0.00000000;-10.05992104;-3.35622045;1.96006414;1.24008930;1.91437776;-0.13281709;7.60360885;4.09769514
47;4.69731801;0.00000000;-10.09296593;-3.26190295;1.99318166;1.20703408;1.90125107;-0.12988011;7.65728012;4.15794867
48;4.79726095;0.00000000;-10.12478606;-3.16715753;2.02508062;1.17522814;1.88841600;-0.12693591;7.71135877;4.22186705
49;4.89720389;0.00000000;-10.15539968;-3.07202263;2.05577656;1.14464974;1.87588173;-0.12390443;7.76588344;4.29431022
50;4.99714682;0.00000000;-10.18483482;-2.97650958;2.08529506;1.11526753;1.86364833;-0.12089964;7.82095375;4.36843062
51;5.09708976;0.00000000;-10.21311200;-2.88065366;2.11365514;1.08705821;1.85171461;-0.11792099;7.87657953;4.44428382
52;5.19703270;0.00000000;-10.24025905;-2.78446574;2.14080375;1.05999118;1.84007668;-0.11497208;7.93277094;4.52166601
53;5.29697563;0.00000000;-10.26629768;-2.68797724;2.16676125;1.03404257;1.82873190;-0.11206098;7.98953515;4.60008172
54;5.39691857;0.00000000;-10.29125523;-2.59119856;2.19165078;1.00918272;1.81767666;-0.10916517;8.04687288;4.68099784
55;5.49686150;0.00000000;-10.31515439;-2.49415757;2.21549274;0.98538729;1.80691111;-0.10627548;8.10480281;4.66042003
56;5.59680444;0.00000000;-10.33802242;-2.39686423;2.23831277;0.96262712;1.79643307;-0.10340410;8.16206963;4.62717784
57;5.69674738;0.00000000;-10.35988295;-2.29934330;2.26013291;0.94087737;1.78624138;-0.10055139;8.21853321;4.59437709
58;5.79669031;0.00000000;-10.38076303;-2.20160444;2.28097906;0.92010946;1.77633376;-0.09771275;8.27421533;4.56200617
59;5.89663325;0.00000000;-10.40068707;-2.10366912;2.30087450;0.90029811;1.76670958;-0.09488459;8.32913680;4.53005397
60;5.99657619;0.00000000;-10.41968197;-2.00554680;2.31984533;0.88141522;1.75736724;-0.09206859;8.38331758;4.49850983
61;6.09651912;0.00000000;-10.43777280;-1.90725592;2.33791584;0.86343512;1.74830597;-0.08926322;8.43677677;4.46736356
62;6.19646206;0.00000000;-10.45498634;-1.80880581;2.35511224;0.84633015;1.73952441;-0.08646811;8.48953268;4.43660537
63;6.29640500;0.00000000;-10.47134822;-1.71021197;2.37145963;0.83007426;1.73102190;-0.08368107;8.54160288;4.40622587
64;6.39634793;0.00000000;-10.48688512;-1.61148374;2.38698426;0.81464018;1.72279744;-0.08090244;8.59300425;4.37621602
65;6.49629087;0.00000000;-10.50162313;-1.51263373;2.40171187;0.79988023;1.71485038;-0.07813056;8.64375300;4.34656716
66;6.59623381;0.00000000;-10.51558886;-1.41367135;2.41566878;0.78587833;1.70717999;-0.07536559;8.69386469;4.31727095
67;6.69617674;0.00000000;-10.52880880;-1.31460650;2.42888120;0.77262711;1.69978566;-0.07260587;8.74335432;4.28831935
68;6.79611968;0.00000000;-10.54130948;-1.21544875;2.44137549;0.76009948;1.69266690;-0.06985166;8.79223630;4.25970463
69;6.89606261;0.00000000;-10.55311771;-1.11620536;2.45317826;0.74826823;1.68582313;-0.06710150;8.84052453;4.23141935
