id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;33.09346067;-12.90554531;1.52742432;1.61524751;3.09025365;-0.02105553;0.00000000;0.00000000
1;0.10000000;0.00000000;32.99363857;-12.90041604;1.54898689;1.62037680;3.08814809;-0.02673941;0.00000000;0.00000000
2;0.20000000;0.00000000;32.89383897;-12.89486645;1.57407369;1.62592642;3.08490577;-0.02260261;0.00000000;0.00000000
3;0.30000000;0.00000000;32.79405224;-12.88908997;1.56829726;1.63057754;3.08362757;-0.00834452;0.00000000;0.00000000
4;0.40000000;0.00000000;32.69426715;-12.88328528;1.56249263;1.60466902;3.08323686;-0.00486755;0.00000000;0.00000000
5;0.50000000;0.00000000;32.59448496;-12.87743083;1.55979308;1.58470166;3.08265406;-0.00090208;0.00000000;0.00000000
6;0.60000000;0.00000000;32.49470670;-12.87150983;1.56342547;1.57091878;3.08305645;-0.03340048;0.00000000;0.00000000
7;0.70000000;0.00000000;32.39491983;-12.86573568;1.57355787;1.56327038;3.07597397;-0.06610242;0.00000000;0.00000000
8;0.80000000;0.00000000;32.29523563;-12.85840198;1.58838624;1.56355604;3.06983596;-0.05553007;0.00000000;0.00000000
9;0.90000000;0.00000000;32.19552718;-12.85140332;1.60962370;1.56988291;3.06486795;-0.04433986;0.00000000;0.00000000
10;1.00000000;0.00000000;32.09592077;-12.84307953;1.62276336;1.56640710;3.06096799;-0.03285166;0.00000000;0.00000000
11;1.10000000;0.00000000;31.99626997;-12.83530337;1.62048118;1.54371133;3.05829762;-0.02665242;0.00000000;0.00000000
12;1.20000000;0.00000000;31.89670943;-12.82644773;1.62327702;1.52830710;3.05563751;0.01580110;0.00000000;0.00000000
13;1.30000000;0.00000000;31.79710142;-12.81814152;1.63274794;1.51878552;3.06145784;0.01864811;0.00000000;0.00000000
14;1.40000000;0.00000000;31.69744443;-12.81044540;1.64883809;1.51519725;3.05936713;-0.06306502;0.00000000;0.00000000
15;1.50000000;0.00000000;31.59787220;-12.80172278;1.66976405;1.51922305;3.04884484;-0.05949259;0.00000000;0.00000000
16;1.60000000;0.00000000;31.49839940;-12.79193129;1.67127704;1.52902108;3.04746861;0.03581993;0.00000000;0.00000000
17;1.70000000;0.00000000;31.39885152;-12.78293463;1.66228664;1.53802335;3.05600882;0.04283369;0.00000000;0.00000000
