id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;33.02245814;-12.69896175;1.34840779;1.82206191;-2.94575138;-0.11834342;9.59903529;0.73945900
1;0.09996592;0.00000000;32.92429282;-12.71783386;1.39737859;1.80322264;-2.95756731;-0.11806444;9.60673305;0.74713809
2;0.19993184;0.00000000;32.82590688;-12.73554693;1.41512269;1.78554077;-2.96935682;-0.11780404;9.61450449;0.75299540
3;0.29989776;0.00000000;32.72732363;-12.75209933;1.43170276;1.73983767;-2.98112309;-0.11760951;9.62233050;0.75268935
4;0.39986368;0.00000000;32.62854835;-12.76749222;1.44816320;1.69952193;-2.99287126;-0.11743109;9.63014698;0.75095593
5;0.49982960;0.00000000;32.52960327;-12.78172397;1.47011195;1.66535472;-3.00460067;-0.11724466;9.63793914;0.75006242
6;0.59979552;0.00000000;32.43049424;-12.79479560;1.49730820;1.63772112;-3.01631276;-0.11707547;9.64571574;0.74764111
7;0.69976144;0.00000000;32.33124277;-12.80670595;1.52946795;1.61696057;-3.02800890;-0.11693405;9.65346101;0.74274236
8;0.79972737;0.00000000;32.23185528;-12.81745570;1.56628484;1.60333998;-3.03969215;-0.11680907;9.66114938;0.73646943
9;0.89969329;0.00000000;32.13235245;-12.82704386;1.60625370;1.59375097;-3.05136305;-0.11669501;9.66876678;0.72936369
10;0.99965921;0.00000000;32.03274129;-12.83547090;1.61792861;1.55386939;-3.06302375;-0.11659757;9.67630477;0.72090639
11;1.09962513;0.00000000;31.93304175;-12.84273612;1.63449913;1.52049619;-3.07467524;-0.11651779;9.68374959;0.71102521
12;1.19959105;0.00000000;31.83326144;-12.84883974;1.65581779;1.49421201;-3.08631992;-0.11645440;9.69108677;0.69986488
13;1.29955697;0.00000000;31.73341958;-12.85378125;1.68170065;1.47540033;-3.09795866;-0.11640556;9.69830336;0.68762261
14;1.39952289;0.00000000;31.63352440;-12.85756071;1.71193908;1.46435023;-3.10959365;-0.11637310;9.70538849;0.67414554
15;1.49948881;0.00000000;31.53359443;-12.86017775;1.73992278;1.46123956;-3.12122587;-0.11635613;9.71232973;0.65954055
16;1.59945473;0.00000000;31.43363851;-12.86163231;1.74137655;1.45978436;-3.13285749;-0.11635546;9.71911580;-0.89070688
17;1.69942065;0.00000000;31.33367454;-12.86192413;1.74166815;1.45949164;3.13869577;-0.11636968;9.70995012;-1.39213028
18;1.79938657;0.00000000;31.23371198;-12.86105304;1.74079716;1.46036128;3.12706126;-0.11640018;9.69560726;-1.42059330
19;1.89935249;0.00000000;31.13376814;-12.85901890;1.73876300;1.46239295;3.11542318;-0.11644540;9.68094925;-1.44833654
20;1.99931841;0.00000000;31.03385308;-12.85582145;1.73556519;1.46558661;3.10377956;-0.11650687;9.66598209;-1.47520928
