id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;11.69346035;-16.48572657;1.53500861;1.63506631;3.04450227;-0.05016700;0.00000000;0.00000000
1;0.10000000;0.00000000;11.59395802;-16.47603538;1.55524259;1.64475758;3.03948557;-0.07406833;0.00000000;0.00000000
2;0.20000000;0.00000000;11.49455797;-16.46534635;1.54455378;1.65544690;3.02968860;-0.09547429;0.00000000;0.00000000
3;0.30000000;0.00000000;11.39526467;-16.45370751;1.53291548;1.66426556;3.02039071;-0.09022501;0.00000000;0.00000000
4;0.40000000;0.00000000;11.29608061;-16.44117202;1.52038099;1.64557034;3.01164360;-0.08446566;0.00000000;0.00000000
5;0.50000000;0.00000000;11.19700615;-16.42779799;1.50700861;1.63363493;3.00349758;-0.12397801;0.00000000;0.00000000
6;0.60000000;0.00000000;11.09803951;-16.41364833;1.49286146;1.62854626;2.98684799;-0.12547949;0.00000000;0.00000000
7;0.70000000;0.00000000;10.99946666;-16.39698346;1.47920310;1.63212853;2.97840168;-0.03119723;0.00000000;0.00000000
8;0.80000000;0.00000000;10.90075335;-16.38116413;1.47307843;1.64095119;2.98060855;-0.02172227;0.00000000;0.00000000
9;0.90000000;0.00000000;10.80210648;-16.36493426;1.47331013;1.65618305;2.97405722;-0.11689486;0.00000000;0.00000000
10;1.00000000;0.00000000;10.70360903;-16.34782295;1.47941932;1.65899414;2.95722958;-0.17598400;0.00000000;0.00000000
11;1.10000000;0.00000000;10.60556840;-16.32828371;1.48977269;1.64934360;2.93886043;-0.14419989;0.00000000;0.00000000
12;1.20000000;0.00000000;10.50776617;-16.30756625;1.49224566;1.64692215;2.92838960;-0.09470325;0.00000000;0.00000000
13;1.30000000;0.00000000;10.41015253;-16.28597748;1.48240440;1.65145273;2.91991978;-0.11370455;0.00000000;0.00000000
14;1.40000000;0.00000000;10.31271514;-16.26360631;1.47846724;1.66278960;2.90564869;-0.15409077;0.00000000;0.00000000
15;1.50000000;0.00000000;10.21576299;-16.23924195;1.47923325;1.66354938;2.88910162;-0.10561935;0.00000000;0.00000000
16;1.60000000;0.00000000;10.11911927;-16.21365914;1.48548609;1.64528397;2.88452482;-0.01887614;0.00000000;0.00000000
17;1.70000000;0.00000000;10.02238888;-16.18840693;1.49873489;1.63260533;2.88532639;-0.02137880;0.00000000;0.00000000
18;1.80000000;0.00000000;9.92570433;-16.16297910;1.49679162;1.62616721;2.88024906;-0.09108096;0.00000000;0.00000000
19;1.90000000;0.00000000;9.82923539;-16.13674596;1.49760339;1.62669560;2.86711020;-0.15056936;0.00000000;0.00000000
20;2.00000000;0.00000000;9.73325957;-16.10878860;1.50328468;1.63513674;2.85013519;-0.14609476;0.00000000;0.00000000
