id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;11.65836917;-17.10890357;2.14565535;1.01249696;-3.11384734;-0.13722489;7.85670125;3.29078663
1;0.09996361;0.00000000;11.55844066;-17.11099385;2.17283312;1.01040554;-3.12748128;-0.13559186;7.89846012;3.29983829
2;0.19992723;0.00000000;11.45846835;-17.11172969;2.19121950;1.00966928;-3.14095674;-0.13398776;7.94011334;3.30896493
3;0.29989084;0.00000000;11.35851921;-17.11112660;2.19061632;1.01027034;3.12891516;-0.13241329;7.98166349;3.31807215
4;0.39985446;0.00000000;11.25856324;-17.10920015;2.18869005;0.99901551;3.11575476;-0.13086449;8.02311193;3.32736558
5;0.49981807;0.00000000;11.15866410;-17.10596703;2.18545637;0.97043189;3.10275072;-0.12934482;8.06446253;3.33657101
6;0.59978169;0.00000000;11.05879243;-17.10144149;2.18093001;0.94622444;3.08989444;-0.12784978;8.10571572;3.34593810
7;0.69974530;0.00000000;10.95900894;-17.09564123;2.17902278;0.93344087;3.07718907;-0.12638194;8.14687495;3.35525068
8;0.79970892;0.00000000;10.85928492;-17.08857928;2.18043711;0.93253281;3.06462653;-0.12493716;8.18794098;3.36474130
9;0.89967253;0.00000000;10.75967815;-17.08027420;2.18518014;0.94084529;3.05220980;-0.12351767;8.22891736;3.37421552
10;0.99963615;0.00000000;10.66016063;-17.07073789;2.19324563;0.95039096;3.03993131;-0.12211999;8.26980522;3.38386986
11;1.09959976;0.00000000;10.56078735;-17.05998963;2.20460642;0.94275797;3.02779382;-0.12074601;8.31060805;3.39353260
12;1.19956338;0.00000000;10.46153103;-17.04804031;2.21922834;0.91817145;3.01579025;-0.11939260;8.35132718;3.40338203
13;1.29952699;0.00000000;10.36244394;-17.03490983;2.23088407;0.90522294;3.00392318;-0.11806131;8.39196607;3.41326957
14;1.39949060;0.00000000;10.26349955;-17.02060809;2.23103803;0.90439584;2.99218596;-0.11674945;8.43252631;3.42334878
15;1.49945422;0.00000000;10.16474750;-17.00515550;2.23450140;0.91571058;2.98058103;-0.11545829;8.47301131;3.43349202
16;1.59941783;0.00000000;10.06616207;-16.98856112;2.24127252;0.92081420;2.96910212;-0.11418549;8.51342288;3.44383245
17;1.69938145;0.00000000;9.96779033;-16.97084574;2.25133081;0.90407338;2.95775153;-0.11293205;8.55376438;3.45426287
18;1.79934506;0.00000000;9.86960736;-16.95201762;2.26464712;0.87146898;2.94652338;-0.11169597;8.59403783;3.46489600
19;1.89930868;0.00000000;9.77165779;-16.93209788;2.28071950;0.84833731;2.93541980;-0.11047799;8.63424654;3.47564388
20;1.99927229;0.00000000;9.67391750;-16.91109405;2.28430004;0.83768746;2.92443529;-0.10927643;8.67439273;3.48660027
21;2.09923591;0.00000000;9.57642872;-16.88902748;2.29115065;0.83998732;2.91357184;-0.10809181;8.71447965;3.49769560
22;2.19919952;0.00000000;9.47916819;-16.86590503;2.30125528;0.84995069;2.90282429;-0.10692272;8.75450970;3.50900553
23;2.29916314;0.00000000;9.38217580;-16.84174820;2.31033325;0.83383696;2.89219450;-0.10576947;8.79448611;3.52047797
24;2.39912675;0.00000000;9.28542917;-16.81656329;2.31493039;0.83059551;2.88167761;-0.10463094;8.83441143;3.53217143
25;2.49909036;0.00000000;9.18896589;-16.79037184;2.32278179;0.84036549;2.87127538;-0.10350721;8.87428885;3.54405039
26;2.59905398;0.00000000;9.09276449;-16.76317966;2.33386724;0.83176109;2.86098325;-0.10239741;8.91412108;3.55615732
27;2.69901759;0.00000000;8.99686034;-16.73500826;2.33679240;0.80073990;2.85080283;-0.10130146;8.95391129;3.56847267
28;2.79898121;0.00000000;8.90123288;-16.70586303;2.33856278;0.78236308;2.84072989;-0.10021869;8.99366234;3.58102304
29;2.89894482;0.00000000;8.80591529;-16.67576538;2.34359871;0.77298840;2.83076590;-0.09914887;9.03337734;3.59380360
30;2.99890844;0.00000000;8.71088795;-16.64472033;2.35189070;0.75813745;2.82090691;-0.09809154;9.07305932;3.60682764
31;3.09887205;0.00000000;8.61618192;-16.61274914;2.36341198;0.75635936;2.81115428;-0.09704629;9.11271137;3.62010542
32;3.19883567;0.00000000;8.52177853;-16.57985654;2.37101486;0.73289803;2.80150432;-0.09601287;9.15233665;3.63363357
33;3.29879928;0.00000000;8.42770675;-16.54606355;2.36998991;0.72358474;2.79195827;-0.09499078;9.19193823;3.64743415
34;3.39876290;0.00000000;8.33394889;-16.51137467;2.37178808;0.72895035;2.78251270;-0.09397986;9.23151937;3.66149711
35;3.49872651;0.00000000;8.24053185;-16.47581062;2.37488499;0.74866797;2.77316874;-0.09297943;9.27108315;3.67586087
36;3.59869013;0.00000000;8.14743897;-16.43937576;2.37933995;0.77230798;2.76392322;-0.09198964;9.31063303;3.69049120
37;3.69865374;0.00000000;8.05469508;-16.40209042;2.38705981;0.77086771;2.75477713;-0.09100977;9.35017204;3.70543257
38;3.79861735;0.00000000;7.96228459;-16.36395889;2.39802371;0.77023940;2.74572755;-0.09003989;9.38970362;3.72065819
39;3.89858097;0.00000000;7.87023030;-16.32500106;2.41219387;0.75864561;2.73677537;-0.08907906;9.42923088;3.73623316
40;3.99854458;0.00000000;7.77851768;-16.28522122;2.42952524;0.72215090;2.72791789;-0.08812775;9.46875756;3.75209761
41;4.09850820;0.00000000;7.68716754;-16.24463874;2.44995539;0.68911901;2.71915590;-0.08718505;9.50828671;3.76831587
42;4.19847181;0.00000000;7.59616646;-16.20325797;2.45832395;0.66821589;2.71048692;-0.08625141;9.54782201;3.78483045
43;4.29843543;0.00000000;7.50553325;-16.16109772;2.45487272;0.65078640;2.70191159;-0.08532570;9.58736647;3.79165404
44;4.39839904;0.00000000;7.41525561;-16.11816246;2.45463695;0.64932459;2.69342770;-0.08440828;9.62681934;3.76830295
45;4.49836266;0.00000000;7.32535037;-16.07447035;2.45762681;0.64465520;2.68503580;-0.08349813;9.66586970;3.74517826
46;4.59832627;0.00000000;7.23580641;-16.03002610;2.46383983;0.64711700;2.67673386;-0.08259622;9.70452472;3.72227605
47;4.69828989;0.00000000;7.14663857;-15.98484713;2.46202024;0.65739920;2.66852229;-0.08170140;9.74279141;3.69959255
48;4.79825350;0.00000000;7.05783701;-15.93893848;2.46340995;0.65533357;2.66039926;-0.08081421;9.78067655;3.67712407
49;4.89821711;0.00000000;6.96941454;-15.89231676;2.46804399;0.64928678;2.65236511;-0.07993277;9.81818674;3.65486702
50;4.99818073;0.00000000;6.88136243;-15.84498733;2.47591313;0.64514075;2.64441829;-0.07905823;9.85532843;3.63281791
51;5.09814434;0.00000000;6.79369169;-15.79696601;2.48699400;0.65714806;2.63655889;-0.07819189;9.89210784;3.61097336
52;5.19810796;0.00000000;6.70639476;-15.74825853;2.50125286;0.66678290;2.62878535;-0.07733339;9.92853109;3.58933004
53;5.29807157;0.00000000;6.61948073;-15.69887978;2.50384585;0.68190948;2.62109729;-0.07648764;9.96460407;3.56788473
54;5.39803519;0.00000000;6.53294351;-15.64883604;2.50948632;0.67176879;2.61349315;-0.07564907;10.00033258;3.54663431
55;5.49799880;0.00000000;6.44679010;-15.59814102;2.51833263;0.67716099;2.60597252;-0.07482147;10.03572222;3.52557570
56;5.59796242;0.00000000;6.36101574;-15.54680153;2.50861853;0.68636596;2.59853412;-0.07399802;10.07077847;3.50470593
57;5.69792603;0.00000000;6.27562557;-15.49483026;2.50166953;0.64591862;2.59117873;-0.07316552;10.10550667;3.48402208
58;5.79788965;0.00000000;6.19061614;-15.44223481;2.49797236;0.61983662;2.58390609;-0.07234659;10.13991203;3.46352132
59;5.89785326;0.00000000;6.10599081;-15.38902676;2.49754989;0.59753249;2.57671099;-0.07160930;10.17399962;3.44320089
60;5.99781688;0.00000000;6.02174739;-15.33521359;2.50041124;0.58841597;2.56958916;-0.07091582;10.20777438;3.42305807
61;6.09778049;0.00000000;5.93788937;-15.28080499;2.50655118;0.59685977;2.56251241;-0.07067244;10.24124115;3.40309024
62;6.19774410;0.00000000;5.85441603;-15.22580414;2.50665855;0.62214644;2.55545981;-0.07042212;10.27440464;3.38329482
63;6.29770772;0.00000000;5.77133385;-15.17021848;2.50431323;0.63523632;2.54843742;-0.07007945;10.30726945;3.36366929
64;6.39767133;0.00000000;5.68864083;-15.11405061;2.50525654;0.64614457;2.54144889;-0.06973810;10.33984007;3.34421120
65;6.49763495;0.00000000;5.60634336;-15.05730906;2.50948814;0.64731524;2.53449629;-0.06936683;10.37212088;3.32491816
66;6.59759856;0.00000000;5.52443957;-14.99999697;2.50430624;0.66438726;2.52758041;-0.06900057;10.40411616;3.30578781
67;6.69756218;0.00000000;5.44293453;-14.94212238;2.50008166;0.65630117;2.52070094;-0.06864048;10.43583011;3.28681786
68;6.79752579;0.00000000;5.36182730;-14.88368902;2.49916457;0.64027439;2.51385717;-0.06828415;10.46726681;3.26800608
69;6.89748941;0.00000000;5.28112184;-14.82470414;2.50156224;0.62492397;2.50704903;-0.06792964;10.49843026;3.24935027
70;6.99745302;0.00000000;5.20081795;-14.76517198;2.50726864;0.61743321;2.50027605;-0.06757908;10.52932436;3.23084829
71;7.09741664;0.00000000;5.12091868;-14.70509916;2.51626437;0.62668721;2.49353802;-0.06723151;10.55995294;3.21249805
72;7.19738025;0.00000000;5.04142452;-14.64449039;2.52851748;0.64424610;2.48683452;-0.06688759;10.59031973;3.19429749
73;7.29734386;0.00000000;4.96233764;-14.58335165;2.54398362;0.64119542;2.48016529;-0.06654622;10.62042838;3.17624461
74;7.39730748;0.00000000;4.88365913;-14.52168810;2.56260735;0.62914591;2.47352999;-0.06620839;10.65028247;3.15833743
75;7.49727109;0.00000000;4.80539039;-14.45950511;2.56321550;0.61775576;2.46692834;-0.06587315;10.67988550;3.14057405
76;7.59723471;0.00000000;4.72753304;-14.39680827;2.55260142;0.60702194;2.46036004;-0.06554128;10.70924090;3.12295257
77;7.69719832;0.00000000;4.65008776;-14.33360236;2.54521699;0.60822832;2.45382477;-0.06521187;10.73835201;3.10547114
78;7.79716194;0.00000000;4.57305667;-14.26989338;2.54109405;0.62624433;2.44732230;-0.06488571;10.76722212;3.08812798
79;7.89712555;0.00000000;4.49643978;-14.20568556;2.54025186;0.65969081;2.44085226;-0.06456208;10.79585444;3.07092129
80;7.99708917;0.00000000;4.42023964;-14.14098525;2.54269696;0.65446030;2.43441448;-0.06424148;10.82425211;3.05384935
81;8.09705278;0.00000000;4.34445569;-14.07579619;2.54842303;0.63961052;2.42800859;-0.06392268;10.85241823;3.03691046
82;8.19701640;0.00000000;4.26909082;-14.01012505;2.55527710;0.62672059;2.42163450;-0.06360698;10.88035581;3.02010296
83;8.29698001;0.00000000;4.19414393;-13.94397506;2.55429724;0.62911105;2.41529159;-0.06329680;10.90806781;3.00342520
84;8.39694363;0.00000000;4.11961833;-13.87735329;2.53954195;0.63014895;2.40897964;-0.06299073;10.93555713;2.98687558
85;8.49690724;0.00000000;4.04551240;-13.81026231;2.52802826;0.61111781;2.40269627;-0.06272164;10.96282662;2.97045255
86;8.59687085;0.00000000;3.97183002;-13.74270934;2.51516165;0.60680018;2.39643978;-0.06245655;10.98987907;2.95415454
87;8.69683447;0.00000000;3.89856937;-13.67469619;2.49713524;0.60505899;2.39020707;-0.06224205;11.01671720;2.93798006
88;8.79679808;0.00000000;3.82573491;-13.60623004;2.48060320;0.62025995;2.38399581;-0.06203055;11.04334370;2.92192763
89;8.89676170;0.00000000;3.75332470;-13.53731194;2.46739593;0.65121593;2.37780474;-0.06183487;11.06976120;2.90599577
90;8.99672531;0.00000000;3.68134367;-13.46794931;2.45757016;0.69045008;2.37163324;-0.06164203;11.09597227;2.89018308
91;9.09668893;0.00000000;3.60978955;-13.39814261;2.45116834;0.67730069;2.36548049;-0.06145661;11.12197945;2.87448813
92;9.19665254;0.00000000;3.53866759;-13.32789958;2.44821977;0.66526369;2.35934631;-0.06127368;11.14778522;2.85890957
93;9.29661616;0.00000000;3.46797519;-13.25722023;2.44873871;0.66516311;2.35323017;-0.06109222;11.17339202;2.84344604
94;9.39657977;0.00000000;3.39771781;-13.18611256;2.45272471;0.68051668;2.34713223;-0.06091316;11.19880224;2.82809620
95;9.49654339;0.00000000;3.32789262;-13.11457625;2.45265917;0.71032164;2.34105187;-0.06073685;11.22401822;2.81285877
96;9.59650700;0.00000000;3.25850517;-13.04261954;2.44558662;0.73797885;2.33498920;-0.06056290;11.24904227;2.79773245
97;9.69647061;0.00000000;3.18955245;-12.97024177;2.44198271;0.74040149;2.32894368;-0.06039007;11.27387666;2.78271599
98;9.79643423;0.00000000;3.12104014;-12.89745145;2.43895743;0.74342759;2.32291550;-0.06021966;11.29852360;2.76780816
99;9.89639784;0.00000000;3.05296497;-12.82424756;2.43823979;0.74705546;2.31690401;-0.06005235;11.32298529;2.75300774
100;9.99636146;0.00000000;2.98533281;-12.75063887;2.42535130;0.75128335;2.31090933;-0.05988729;11.34726386;2.73831354
101;10.09632507;0.00000000;2.91814015;-12.67662400;2.40213044;0.75610967;2.30493067;-0.05972770;11.37136142;2.72372438
102;10.19628869;0.00000000;2.85139299;-12.60221194;2.38229332;0.76153260;2.29896805;-0.05957045;11.39528004;2.70923912
103;10.29625230;0.00000000;2.78508769;-12.52740101;2.36210690;0.76755064;2.29302153;-0.05940148;11.41902176;2.69485662
104;10.39621592;0.00000000;2.71923023;-12.45220047;2.34529517;0.77416181;2.28709201;-0.05923464;11.44258857;2.68057577
105;10.49617953;0.00000000;2.65381674;-12.37660848;2.33206088;0.78482244;2.28117991;-0.05904822;11.46598243;2.66639546
106;10.59614315;0.00000000;2.58885302;-12.30063457;2.32246847;0.80094957;2.27528659;-0.05886379;11.48920529;2.65231463
107;10.69610676;0.00000000;2.52433501;-12.22427678;2.31656464;0.81409413;2.26941150;-0.05867880;11.51225904;2.63833222
108;10.79607038;0.00000000;2.46026849;-12.14754485;2.31438012;0.80879799;2.26355502;-0.05849599;11.53514554;2.62444717
109;10.89603399;0.00000000;2.39664924;-12.07043655;2.30758100;0.81638844;2.25771636;-0.05831788;11.55786663;2.61065847
110;10.99599760;0.00000000;2.33348312;-11.99296179;2.28948505;0.83651219;2.25189562;-0.05814189;11.58042412;2.59696511
111;11.09596122;0.00000000;2.27076580;-11.91511805;2.27506286;0.85297114;2.24609220;-0.05796668;11.60281978;2.58336610
112;11.19592483;0.00000000;2.20850317;-11.83691542;2.26438805;0.85477311;2.24030643;-0.05779350;11.62505536;2.56986045
113;11.29588845;0.00000000;2.14669080;-11.75835111;2.25751497;0.85966796;2.23453764;-0.05762223;11.64713257;2.55644721
114;11.39585206;0.00000000;2.08533457;-11.67943539;2.24642991;0.87657831;2.22878611;-0.05745297;11.66905311;2.54312543
115;11.49581568;0.00000000;2.02442999;-11.60016521;2.22770920;0.89815415;2.22305117;-0.05728545;11.69081864;2.52989417
116;11.59577929;0.00000000;1.96398296;-11.52055100;2.21278192;0.90018974;2.21733312;-0.05711988;11.71243080;2.51675253
117;11.69574291;0.00000000;1.90398888;-11.44058945;2.19865508;0.91379031;2.21163130;-0.05695591;11.73389120;2.50369960
118;11.79570652;0.00000000;1.84445365;-11.36029115;2.18396539;0.92840101;2.20594602;-0.05679385;11.75520142;2.49073448
119;11.89567014;0.00000000;1.78537264;-11.27965257;2.17172374;0.95333600;2.20027660;-0.05663348;11.77636302;2.47785631
120;11.99563375;0.00000000;1.72675172;-11.19868444;2.15661351;0.96362633;2.19462338;-0.05647498;11.79737754;2.46506422
121;12.09559736;0.00000000;1.66858620;-11.11738298;2.13668940;0.97477316;2.18898567;-0.05631804;11.81824650;2.45235736
122;12.19556098;0.00000000;1.61088194;-11.03575907;2.12073675;0.99169021;2.18336381;-0.05616294;11.83897138;2.43973489
123;12.29552459;0.00000000;1.55363422;-10.95380873;2.10834844;1.01365827;2.17775712;-0.05600939;11.85955365;2.42719600
124;12.39548821;0.00000000;1.49684885;-10.87154293;2.09596095;1.04529055;2.17216594;-0.05585764;11.87999476;2.41473986
125;12.49545182;0.00000000;1.44052110;-10.78895753;2.07304180;1.08574316;2.16658960;-0.05570758;11.90029612;2.40236568
126;12.59541544;0.00000000;1.38465672;-10.70606358;2.04791216;1.13406662;2.16102842;-0.05555928;11.92045913;2.39007267
127;12.69537905;0.00000000;1.32925099;-10.62285676;2.02685835;1.15535104;2.15548174;-0.05541248;11.94048519;2.37786005
128;12.79534267;0.00000000;1.27430960;-10.53934824;2.00664000;1.17551951;2.14994990;-0.05526741;11.96037564;2.36572706
129;12.89530628;0.00000000;1.21982783;-10.45553350;1.98917979;1.19623304;2.14443223;-0.05512388;11.98013184;2.35367294
130;12.99526990;0.00000000;1.16581131;-10.37142380;1.96870746;1.21748797;2.13892908;-0.05498204;11.99975509;2.34169694
131;13.09523351;0.00000000;1.11225533;-10.28701447;1.94296284;1.23928484;2.13343977;-0.05484173;12.01924669;2.32979834
132;13.19519713;0.00000000;1.05916544;-10.20231686;1.92065736;1.24554497;2.12796467;-0.05470308;12.03860794;2.31797640
133;13.29516074;0.00000000;1.00653697;-10.11732612;1.89782509;1.24292487;2.12250308;-0.05456595;12.05784010;2.30623043
134;13.39512435;0.00000000;0.95437538;-10.03205368;1.87508756;1.24887254;2.11705539;-0.05443043;12.07694440;2.29455970
135;13.49508797;0.00000000;0.90267604;-9.94649457;1.85691999;1.26326605;2.11162091;-0.05429644;12.09592208;2.28296353
136;13.59505158;0.00000000;0.85144433;-9.86066026;1.82767972;1.28581872;2.10620000;-0.05416403;12.11477435;2.27144124
137;13.69501520;0.00000000;0.80067565;-9.77454564;1.80070779;1.31590278;2.10079199;-0.05403315;12.13350240;2.25999215
138;13.79497881;0.00000000;0.75037529;-9.68816226;1.77517622;1.34650592;2.09539725;-0.05390382;12.15210741;2.24861560
139;13.89494243;0.00000000;0.70053871;-9.60150488;1.75222721;1.36813626;2.09001510;-0.05377601;12.17059054;2.23731092
140;13.99490604;0.00000000;0.65117108;-9.51458508;1.73421325;1.38905758;2.08464591;-0.05364973;12.18895292;2.22607747
141;14.09486966;0.00000000;0.60226794;-9.42739752;1.72128928;1.41724991;2.07928901;-0.05352497;12.20719570;2.21491462
142;14.19483327;0.00000000;0.55383435;-9.33995382;1.71357336;1.45228528;2.07394476;-0.05340171;12.22531998;2.20382172
143;14.29479689;0.00000000;0.50586591;-9.25224853;1.71062524;1.48299695;2.06861250;-0.05327996;12.24332686;2.19279817
