id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;16.89356020;-18.07661334;1.55908537;1.54860166;3.10809799;-0.02535622;0.00000000;0.00000000
1;0.10000000;0.00000000;16.79367600;-18.07326650;1.56539669;1.54762046;3.10556236;-0.03774586;0.00000000;0.00000000
2;0.20000000;0.00000000;16.69381005;-18.06941317;1.57752418;1.55147485;3.10054882;-0.04955820;0.00000000;0.00000000
3;0.30000000;0.00000000;16.59396443;-18.06506497;1.59534618;1.55582432;3.09565072;-0.04840302;0.00000000;0.00000000
4;0.40000000;0.00000000;16.49414102;-18.06023353;1.61868533;1.56065725;3.09086821;-0.04724687;0.00000000;0.00000000
5;0.50000000;0.00000000;16.39434156;-18.05493052;1.63467320;1.56596200;3.08620135;-0.04609019;0.00000000;0.00000000
6;0.60000000;0.00000000;16.29456760;-18.04916758;1.62890788;1.57172694;3.08165017;0.04631364;0.00000000;0.00000000
7;0.70000000;0.00000000;16.19482054;-18.04295639;1.62269376;1.57794043;3.09546408;0.14019861;0.00000000;0.00000000
8;0.80000000;0.00000000;16.09492616;-18.03995187;1.61968903;1.58094578;3.10968990;0.05208586;0.00000000;0.00000000
9;0.90000000;0.00000000;15.99504279;-18.03658076;1.61631756;1.58431782;3.10588125;-0.03821431;0.00000000;0.00000000
10;1.00000000;0.00000000;15.89517349;-18.03281539;1.61255158;1.58808426;3.10204703;0.00543139;0.00000000;0.00000000
11;1.10000000;0.00000000;15.79531890;-18.02867844;1.60841378;1.59222243;3.10696753;0.04566715;0.00000000;0.00000000
12;1.20000000;0.00000000;15.69541755;-18.02589605;1.60563129;1.59500560;3.11118046;0.03774709;0.00000000;0.00000000
13;1.30000000;0.00000000;15.59553166;-18.02260060;1.60233551;1.59830196;3.11451695;0.02929887;0.00000000;0.00000000
14;1.40000000;0.00000000;15.49561395;-18.02048490;1.60021992;1.60041829;3.11704024;-0.02136052;0.00000000;0.00000000
15;1.50000000;0.00000000;15.39571272;-18.01769357;1.59742849;1.60321039;3.11024484;-0.06726338;0.00000000;0.00000000
