id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;16.91045622;-18.63608814;2.11696048;0.99375924;-3.12191975;-0.09835761;10.05484964;-2.44648712
1;0.09995042;0.00000000;16.81051054;-18.63756274;2.12474284;0.98381430;-3.13176398;-0.09861368;10.03050080;-2.46694345
2;0.19990085;0.00000000;16.71056802;-18.63805210;2.13620000;0.98332665;3.14155220;-0.09888075;10.00588838;-2.48689524
3;0.29985127;0.00000000;16.61061251;-18.63755365;2.15127250;0.98382577;3.13165565;-0.09913699;9.98101547;-2.50861088
4;0.39980170;0.00000000;16.51068006;-18.63606500;2.16987709;0.98531531;3.12173421;-0.09940468;9.95586241;-2.52984663
5;0.49975212;0.00000000;16.41075399;-18.63358322;2.19192433;0.98779759;3.11178452;-0.09967616;9.93043191;-2.55139802
6;0.59970254;0.00000000;16.31087105;-18.63010651;2.20945931;0.99127571;3.10180846;-0.09995907;9.90471863;-2.57251613
7;0.69965297;0.00000000;16.21101436;-18.62563145;2.20498358;0.99575249;3.09180221;-0.10025329;9.87872477;-2.59322623
8;0.79960339;0.00000000;16.11122101;-18.62015676;2.19950756;1.00123049;3.08176733;-0.10055905;9.85245223;-2.61351921
9;0.89955381;0.00000000;16.01147428;-18.61367846;2.19302747;1.00771310;3.07169995;-0.10087641;9.82590302;-2.63340184
10;0.99950424;0.00000000;15.91181133;-18.60619580;2.18554213;1.01520238;3.06160163;-0.10120538;9.79907909;-2.65288746
11;1.09945466;0.00000000;15.81221587;-18.59770424;2.17704724;1.02370228;3.05146851;-0.10154563;9.77198222;-2.67202254
12;1.19940509;0.00000000;15.71272493;-18.58820355;2.16754213;1.03321435;3.04130214;-0.10189764;9.74461374;-2.69077704
13;1.29935551;0.00000000;15.61332284;-18.57768868;2.15702201;1.04374311;3.03109868;-0.10226128;9.71697527;-2.70917826
14;1.39930593;0.00000000;15.51404635;-18.56615988;2.14548676;1.05528964;3.02085960;-0.10263681;9.68906814;-2.72721802
