id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;12.89346037;-20.87916480;1.55837191;1.59694991;3.05921577;0.01763720;0.00000000;0.00000000
1;0.10000000;0.00000000;12.79384396;-20.87094010;1.55014724;1.58195460;3.06097949;-0.02079367;0.00000000;0.00000000
2;0.20000000;0.00000000;12.69419916;-20.86306684;1.54227408;1.57282754;3.05505703;-0.06271700;0.00000000;0.00000000
3;0.30000000;0.00000000;12.59468724;-20.85366280;1.53605420;1.57156024;3.04843609;-0.02074243;0.00000000;0.00000000
4;0.40000000;0.00000000;12.49515543;-20.84447078;1.53653888;1.57642938;3.05090855;0.02796599;0.00000000;0.00000000
5;0.50000000;0.00000000;12.39559815;-20.83555893;1.54378981;1.58534550;3.05402928;0.02887827;0.00000000;0.00000000
6;0.60000000;0.00000000;12.29601092;-20.82698831;1.55777277;1.59392011;3.05668420;0.01886250;0.00000000;0.00000000
7;0.70000000;0.00000000;12.19640772;-20.81860522;1.57815865;1.60230707;3.05780178;0.00365986;0.00000000;0.00000000
8;0.80000000;0.00000000;12.09680157;-20.81025722;1.58992323;1.61065895;3.05741617;-0.05258035;0.00000000;0.00000000
9;0.90000000;0.00000000;11.99720486;-20.80179730;1.58145623;1.61912288;3.04728572;-0.10455505;0.00000000;0.00000000
10;1.00000000;0.00000000;11.89778899;-20.79143311;1.57108121;1.62949330;3.03650516;-0.06756724;0.00000000;0.00000000
11;1.10000000;0.00000000;11.79839783;-20.78082792;1.56046475;1.63210354;3.03377227;-0.03210864;0.00000000;0.00000000
12;1.20000000;0.00000000;11.69903940;-20.76992042;1.54954538;1.61583275;3.03008343;-0.04320274;0.00000000;0.00000000
13;1.30000000;0.00000000;11.59972923;-20.75858226;1.53819446;1.60606338;3.02513172;-0.05552286;0.00000000;0.00000000
14;1.40000000;0.00000000;11.50048377;-20.74669133;1.53181863;1.59915115;3.01897886;-0.06721611;0.00000000;0.00000000
15;1.50000000;0.00000000;11.40132074;-20.73413199;1.53127871;1.59715351;3.01168850;-0.07826350;0.00000000;0.00000000
16;1.60000000;0.00000000;11.30225934;-20.72079533;1.53647080;1.60218606;3.00332616;-0.08864584;0.00000000;0.00000000
17;1.70000000;0.00000000;11.20332039;-20.70657938;1.54723406;1.61428537;2.99395933;-0.09834388;0.00000000;0.00000000
18;1.80000000;0.00000000;11.10452642;-20.69138941;1.56335742;1.62339464;2.98365739;-0.10733875;0.00000000;0.00000000
19;1.90000000;0.00000000;11.00590162;-20.67513814;1.55594702;1.60864369;2.97249158;-0.10884008;0.00000000;0.00000000
20;2.00000000;0.00000000;10.90747178;-20.65774596;1.54621803;1.60116877;2.96188937;-0.10834801;0.00000000;0.00000000
21;2.10000000;0.00000000;10.80921368;-20.63940721;1.54027504;1.60087746;2.95082198;-0.12069129;0.00000000;0.00000000
22;2.20000000;0.00000000;10.71119346;-20.61984086;1.53502717;1.60806054;2.93775111;-0.13495599;0.00000000;0.00000000
23;2.30000000;0.00000000;10.61344942;-20.59894028;1.53491684;1.61189097;2.92383078;-0.13484550;0.00000000;0.00000000
24;2.40000000;0.00000000;10.51601257;-20.57665308;1.53988758;1.60501864;2.91078201;-0.12304265;0.00000000;0.00000000
25;2.50000000;0.00000000;10.41884685;-20.55320895;1.54529457;1.60554384;2.89922225;-0.11479066;0.00000000;0.00000000
26;2.60000000;0.00000000;10.32195086;-20.52867510;1.53665732;1.61339403;2.88782388;-0.12098460;0.00000000;0.00000000
27;2.70000000;0.00000000;10.22534539;-20.50302235;1.53333990;1.62555579;2.87502533;-0.13521215;0.00000000;0.00000000
28;2.80000000;0.00000000;10.12911124;-20.47601715;1.53513091;1.61937257;2.86078145;-0.14169014;0.00000000;0.00000000
29;2.90000000;0.00000000;10.03327584;-20.44762319;1.54197008;1.62079069;2.84668730;-0.14478514;0.00000000;0.00000000
30;3.00000000;0.00000000;9.93784090;-20.41791633;1.55386058;1.62971824;2.83182442;-0.14556276;0.00000000;0.00000000
31;3.10000000;0.00000000;9.84289122;-20.38668641;1.54982343;1.64625336;2.81757475;-0.13494598;0.00000000;0.00000000
32;3.20000000;0.00000000;9.74833890;-20.35427123;1.54790002;1.65971935;2.80483522;-0.13270368;0.00000000;0.00000000
33;3.30000000;0.00000000;9.65421413;-20.32063193;1.53936751;1.65141002;2.79103401;-0.13892194;0.00000000;0.00000000
34;3.40000000;0.00000000;9.56059175;-20.28561929;1.52954788;1.65059042;2.77705083;-0.14747739;0.00000000;0.00000000
35;3.50000000;0.00000000;9.46744582;-20.24936169;1.52489218;1.65714296;2.76153853;-0.16000173;0.00000000;0.00000000
36;3.60000000;0.00000000;9.37495881;-20.21146348;1.52501348;1.66593458;2.74505049;-0.15466426;0.00000000;0.00000000
37;3.70000000;0.00000000;9.28306026;-20.17215518;1.52227309;1.65440348;2.73060568;-0.14062850;0.00000000;0.00000000
38;3.80000000;0.00000000;9.19170508;-20.13160056;1.51442635;1.65022101;2.71692479;-0.13760509;0.00000000;0.00000000
39;3.90000000;0.00000000;9.10091621;-20.08979272;1.51132634;1.65345931;2.70308466;-0.13935437;0.00000000;0.00000000
40;4.00000000;0.00000000;9.01071721;-20.04672465;1.50778732;1.65840834;2.68905391;-0.14787773;0.00000000;0.00000000
41;4.10000000;0.00000000;8.92113461;-20.00238470;1.49920698;1.65978394;2.67350912;-0.15656619;0.00000000;0.00000000
42;4.20000000;0.00000000;8.83231641;-19.95653283;1.49356017;1.66884558;2.65774068;-0.16485138;0.00000000;0.00000000
43;4.30000000;0.00000000;8.74417825;-19.90939118;1.49313458;1.67158130;2.64053884;-0.19805337;0.00000000;0.00000000
44;4.40000000;0.00000000;8.65699571;-19.86051467;1.49708328;1.65118857;2.61813000;-0.22939248;0.00000000;0.00000000
45;4.50000000;0.00000000;8.57106721;-19.80947689;1.49308998;1.63914201;2.59466035;-0.21207380;0.00000000;0.00000000
46;4.60000000;0.00000000;8.48627177;-19.75656217;1.49156255;1.63532581;2.57571524;-0.17482645;0.00000000;0.00000000
47;4.70000000;0.00000000;8.40233041;-19.70230075;1.49090552;1.63920434;2.55969506;-0.16624644;0.00000000;0.00000000
48;4.80000000;0.00000000;8.31927090;-19.64669498;1.49410821;1.65073569;2.54246595;-0.17574372;0.00000000;0.00000000
49;4.90000000;0.00000000;8.23724621;-19.58957209;1.48453923;1.66998159;2.52454631;-0.19131085;0.00000000;0.00000000
50;5.00000000;0.00000000;8.15623324;-19.53102639;1.47992089;1.66351712;2.50420378;-0.20702816;0.00000000;0.00000000
51;5.10000000;0.00000000;8.07660648;-19.47061948;1.47972586;1.64992231;2.48314068;-0.20726236;0.00000000;0.00000000
52;5.20000000;0.00000000;7.99813288;-19.40871562;1.48079246;1.63820283;2.46275131;-0.21632040;0.00000000;0.00000000
53;5.30000000;0.00000000;7.92103843;-19.34511545;1.48351454;1.63209869;2.43987660;-0.21722911;0.00000000;0.00000000
54;5.40000000;0.00000000;7.84547771;-19.27968748;1.49056821;1.63448742;2.41930549;-0.19193332;0.00000000;0.00000000
