id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;12.94507944;-20.68493028;1.36499735;1.79792488;2.99344715;-0.10884310;9.88166533;0.99427625
1;0.09994135;0.00000000;12.84631170;-20.66964060;1.34967396;1.78971962;2.98256708;-0.10888106;9.89171615;0.96816220
2;0.19988269;0.00000000;12.74772266;-20.65327815;1.33327263;1.78816230;2.97168324;-0.10893253;9.90149318;0.94129737
3;0.29982404;0.00000000;12.64931109;-20.63584222;1.31579297;1.79327071;2.96079326;-0.10898977;9.91098967;0.91445180
4;0.39976539;0.00000000;12.55110181;-20.61733660;1.30434464;1.80498757;2.94989762;-0.10906029;9.92020662;0.88688338
5;0.49970673;0.00000000;12.45309356;-20.59776036;1.29940817;1.82318631;2.93899365;-0.10914194;9.92913752;0.85881593
6;0.59964808;0.00000000;12.35531115;-20.57711759;1.30105811;1.84380053;2.92808158;-0.10923681;9.93777814;0.83004648
7;0.69958943;0.00000000;12.25775351;-20.55540713;1.30926863;1.86548328;2.91715873;-0.10934326;9.94612218;0.80075096
8;0.79953077;0.00000000;12.16044530;-20.53263336;1.31208724;1.88823085;2.90622530;-0.10946286;9.95416509;0.77078133
9;0.89947212;0.00000000;12.06338578;-20.50879489;1.28831464;1.91204566;2.89527867;-0.10959338;9.96190085;-0.89225843
10;0.99941347;0.00000000;11.96659937;-20.48389636;1.26349841;1.93692400;2.88431903;-0.10973702;9.95294536;-1.51192041
11;1.09935482;0.00000000;11.87008577;-20.45793623;1.23764029;1.96187211;2.87334379;-0.10989192;9.93775199;-1.52863559
12;1.19929616;0.00000000;11.77386907;-20.43091937;1.21074983;1.96290398;2.86235308;-0.11005988;9.92236700;-1.54450877
13;1.29923751;0.00000000;11.67794954;-20.40284411;1.18283021;1.97010945;2.85134438;-0.11023905;9.90679799;-1.55972662
14;1.39917886;0.00000000;11.58235083;-20.37371551;1.15412542;1.98077359;2.84031775;-0.11043127;9.89105070;-1.57409888
15;1.49912020;0.00000000;11.48707390;-20.34353186;1.13244573;1.99541180;2.82927072;-0.11063490;9.87513285;-1.58778814
16;1.59906155;0.00000000;11.39214191;-20.31229836;1.11820303;2.01598259;2.81820330;-0.11085156;9.85905054;-1.60062849
17;1.69900290;0.00000000;11.29755658;-20.28001330;1.11168119;2.04230852;2.80711305;-0.11107984;9.84281157;-1.61275929
18;1.79894424;0.00000000;11.20334050;-20.24668198;1.11301519;2.07416670;2.79599992;-0.11132117;9.82642238;-1.62403510
19;1.89888559;0.00000000;11.10949628;-20.21230276;1.09200895;2.08225919;2.78486151;-0.11157441;9.80989095;-1.63456484
20;1.99882694;0.00000000;11.01604585;-20.17688100;1.05781613;2.09413660;2.77369768;-0.11184072;9.79322414;-1.64423146
21;2.09876828;0.00000000;10.92299282;-20.14041520;1.03111080;2.11178108;2.76250610;-0.11211936;9.77643011;-1.65310460
22;2.19870963;0.00000000;10.83035840;-20.10291070;1.00553510;2.13504858;2.75128652;-0.11241113;9.75951632;-1.66110209
23;2.29865098;0.00000000;10.73814726;-20.06436624;0.98606322;2.15895045;2.74003666;-0.11271569;9.74249112;-1.66825365
24;2.39859232;0.00000000;10.64637985;-20.02478708;0.97535812;2.17187696;2.72875616;-0.11303347;9.72536262;-1.67451369
25;2.49853367;0.00000000;10.55506199;-19.98417226;0.96542887;2.19040036;2.71744280;-0.11336483;9.70813946;-1.67984373
26;2.59847502;0.00000000;10.46421333;-19.94252691;0.93446462;2.21437976;2.70609605;-0.11370961;9.69083072;-1.68425266
27;2.69841636;0.00000000;10.37384092;-19.89985046;0.91231816;2.24323900;2.69471377;-0.11406849;9.67344547;-1.68767100
28;2.79835771;0.00000000;10.28396353;-19.85614783;0.89964171;2.25746942;2.68329530;-0.11444102;9.65599352;-1.69013895
29;2.89829906;0.00000000;10.19458952;-19.81141893;0.89683411;2.27712087;2.67183848;-0.11482956;9.63848439;-1.69142226
30;2.99824041;0.00000000;10.10573678;-19.76566838;0.88212625;2.30205477;2.66034242;-0.11523229;9.62093007;-1.69057655
31;3.09818175;0.00000000;10.01741503;-19.71889666;0.85993801;2.33210334;2.64880499;-0.11565215;9.60335246;-1.68839022
32;3.19812310;0.00000000;9.92964136;-19.67110809;0.84565139;2.35691241;2.63722512;-0.11608651;9.58576541;-1.68489956
33;3.29806445;0.00000000;9.84242679;-19.62230371;0.81701151;2.37020555;2.62560080;-0.11653746;9.56818249;-1.68007394
34;3.39800579;0.00000000;9.75578755;-19.57248746;0.79062337;2.38875181;2.61393087;-0.11700518;9.55061770;-1.67299753
35;3.49794714;0.00000000;9.66973614;-19.52166111;0.77513377;2.41058648;2.60221262;-0.11749935;9.53309473;-1.66473079
36;3.59788849;0.00000000;9.58428776;-19.46982794;0.76551173;2.41672954;2.59044437;-0.11800824;9.51562632;-1.65469037
37;3.69782983;0.00000000;9.49945658;-19.41699057;0.73732212;2.42814486;2.57862415;-0.11853799;9.49823143;-1.64316826
38;3.79777118;0.00000000;9.41525719;-19.36315188;0.72042267;2.44476225;2.56675018;-0.11908518;9.48092609;-1.62988521
39;3.89771253;0.00000000;9.33170490;-19.30831516;0.70357409;2.46239031;2.55482046;-0.11965260;9.46372937;-1.61327022
40;3.99765387;0.00000000;9.24881398;-19.25248301;0.68141287;2.47814813;2.54283300;-0.12025718;9.44667713;-1.59027065
41;4.09759522;0.00000000;9.16660090;-19.19565919;0.66394873;2.48858079;2.53078083;-0.12093189;9.42983782;-1.56491596
42;4.19753657;0.00000000;9.08507934;-19.13784503;0.66008612;2.48469666;2.51866034;-0.12163129;9.41323757;-1.53499362
43;4.29747791;0.00000000;9.00426797;-19.07904515;0.64389305;2.48604378;2.50646725;-0.12237934;9.39692625;-1.50361635
44;4.39741926;0.00000000;8.92418011;-19.01926004;0.63402542;2.49262099;2.49419838;-0.12314065;9.38092085;-1.47111053
45;4.49736061;0.00000000;8.84483588;-18.95849524;0.62965076;2.50439332;2.48185333;-0.12391115;9.36523500;-1.43660590
46;4.59730196;0.00000000;8.76624855;-18.89675123;0.62463597;2.52129429;2.46943023;-0.12470016;9.34989165;-1.39970461
47;4.69724330;0.00000000;8.68843868;-18.83403411;0.60459389;2.53279216;2.45692729;-0.12551158;9.33491816;-1.36095080
48;4.79718465;0.00000000;8.61141963;-18.77034428;0.59947451;2.52336279;2.44434226;-0.12633864;9.32033619;-1.31978937
