id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;-21.56975363;-3.92256743;0.72311834;2.37762977;-3.02310951;-0.37807087;5.14289398;1.89801934
1;0.09996753;0.00000000;-21.66920232;-3.93252187;0.73304579;2.36768271;-3.06037331;-0.36759443;5.17965627;2.03415248
2;0.19993506;0.00000000;-21.76898139;-3.93881776;0.74973563;2.36138963;-3.09661183;-0.35735448;5.21876781;2.16197056
3;0.29990260;0.00000000;-21.86888669;-3.94154430;0.77562419;2.35866393;-3.13184453;-0.34775605;5.26001817;2.27139921
4;0.39987013;0.00000000;-21.96886619;-3.94079600;0.80651027;2.33487586;3.11702624;-0.33872345;5.30301080;2.36573039
5;0.49983766;0.00000000;-22.06872757;-3.93666441;0.83781143;2.31571666;3.08360328;-0.33011236;5.34742143;2.44992162
6;0.59980519;0.00000000;-22.16843009;-3.92923755;0.84618610;2.30401810;3.05101381;-0.32185581;5.39302709;2.52647032
7;0.69977272;0.00000000;-22.26781167;-3.91860997;0.86132950;2.29983195;3.01923756;-0.31402658;5.43965727;2.59360444
8;0.79974025;0.00000000;-22.36684072;-3.90486386;0.88455458;2.30253764;2.98821714;-0.30655186;5.48711433;2.65381244
9;0.89970779;0.00000000;-22.46537413;-3.88809444;0.91528163;2.25830667;2.95793825;-0.29934790;5.53525192;2.70983032
10;0.99967532;0.00000000;-22.56338808;-3.86837880;0.95283903;2.21990493;2.92835761;-0.29242939;5.58397743;2.76127688
11;1.09964285;0.00000000;-22.66075893;-3.84581227;0.98127316;2.18819116;2.89946268;-0.28576855;5.63319448;2.80906685
12;1.19961038;0.00000000;-22.75746953;-3.82046715;0.99436883;2.16340590;2.87121388;-0.27936456;5.68282597;2.85321312
13;1.29957791;0.00000000;-22.85341203;-3.79243784;1.00637645;2.14544097;2.84360145;-0.27316040;5.73279760;2.89554171
14;1.39954544;0.00000000;-22.94857506;-3.76179224;1.02536971;2.11538262;2.81659220;-0.26717677;5.78306914;2.93528145
15;1.49951298;0.00000000;-23.04286522;-3.72862322;1.05100529;2.07748458;2.79017752;-0.26137428;5.83358846;2.97367884
