id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;10.30006998;-5.94849271;1.54905251;1.65150707;3.11184623;0.05099937;0.00000000;0.00000000
1;0.10000000;0.00000000;10.20016304;-5.94551996;1.54608300;1.65447983;3.11694617;0.03343954;0.00000000;0.00000000
2;0.20000000;0.00000000;10.10023097;-5.94356638;1.54413163;1.65643342;3.11853414;-0.02695932;0.00000000;0.00000000
3;0.30000000;0.00000000;10.00031509;-5.94091094;1.54147910;1.65908887;3.11155430;-0.06928476;0.00000000;0.00000000
4;0.40000000;0.00000000;9.90042003;-5.93756259;1.53813449;1.66243726;3.10467719;-0.06818323;0.00000000;0.00000000
5;0.50000000;0.00000000;9.80055012;-5.93353318;1.53410979;1.66646671;3.09791766;-0.06700421;0.00000000;0.00000000
6;0.60000000;0.00000000;9.70070946;-5.92883468;1.52941710;1.67116527;3.09127634;-0.02281994;0.00000000;0.00000000
7;0.70000000;0.00000000;9.60090189;-5.92347913;1.52406858;1.67652091;3.09335367;0.01621122;0.00000000;0.00000000
8;0.80000000;0.00000000;9.50104261;-5.91919547;1.51979016;1.67692664;3.09451859;-0.03620496;0.00000000;0.00000000
9;0.90000000;0.00000000;9.40122286;-5.91407247;1.51467389;1.65122798;3.08611268;-0.03525776;0.00000000;0.00000000
10;1.00000000;0.00000000;9.30144969;-5.90811069;1.50919171;1.63208718;3.08746704;0.02083608;0.00000000;0.00000000
11;1.10000000;0.00000000;9.20161648;-5.90325809;1.51142817;1.61779760;3.09027989;-0.01343190;0.00000000;0.00000000
12;1.20000000;0.00000000;9.10181134;-5.89785769;1.51970236;1.61014722;3.08478066;-0.05447511;0.00000000;0.00000000
13;1.30000000;0.00000000;9.00203747;-5.89190740;1.53391411;1.60923321;3.07938487;-0.01046656;0.00000000;0.00000000
14;1.40000000;0.00000000;8.90229642;-5.88543027;1.55392241;1.61504422;3.08268734;0.02970769;0.00000000;0.00000000
15;1.50000000;0.00000000;8.80248557;-5.88013912;1.58014128;1.62032964;3.08532641;-0.02025202;0.00000000;0.00000000
16;1.60000000;0.00000000;8.70271176;-5.87418853;1.57419105;1.62627347;3.07863694;-0.06658104;0.00000000;0.00000000
17;1.70000000;0.00000000;8.60298052;-5.86756251;1.56756550;1.63289161;3.07201020;-0.06482591;0.00000000;0.00000000
18;1.80000000;0.00000000;8.50329433;-5.86029014;1.56029372;1.64015499;3.06567176;-0.06194546;0.00000000;0.00000000
19;1.90000000;0.00000000;8.40365510;-5.85240041;1.55240477;1.64803462;3.05962111;-0.05907088;0.00000000;0.00000000
20;2.00000000;0.00000000;8.30406422;-5.84392226;1.54392760;1.64098258;3.05385758;-0.05620357;0.00000000;0.00000000
21;2.10000000;0.00000000;8.20452255;-5.83488453;1.53489112;1.62086932;3.04838039;-0.01239080;0.00000000;0.00000000
22;2.20000000;0.00000000;8.10503051;-5.82531596;1.52532409;1.60726315;3.05137942;0.02830605;0.00000000;0.00000000
23;2.30000000;0.00000000;8.00543672;-5.81687547;1.51688497;1.59866645;3.05404160;-0.01833395;0.00000000;0.00000000
24;2.40000000;0.00000000;7.90589521;-5.80783677;1.51078032;1.59689441;3.04771263;-0.06403292;0.00000000;0.00000000
25;2.50000000;0.00000000;7.80641600;-5.79813632;1.51061159;1.60203371;3.04123502;-0.06305568;0.00000000;0.00000000
26;2.60000000;0.00000000;7.70699993;-5.78780883;1.51641510;1.61236845;3.03510149;-0.05962198;0.00000000;0.00000000
27;2.70000000;0.00000000;7.60764720;-5.77688882;1.52815652;1.62329670;3.02931062;0.02782647;0.00000000;0.00000000
28;2.80000000;0.00000000;7.50835740;-5.76541063;1.54573355;1.63478417;3.04066679;0.12310449;0.00000000;0.00000000
29;2.90000000;0.00000000;7.40878595;-5.75675015;1.55709732;1.64345002;3.05393152;0.05070074;0.00000000;0.00000000
30;3.00000000;0.00000000;7.30922660;-5.74790975;1.54824987;1.65229601;3.05080694;-0.03672763;0.00000000;0.00000000
31;3.10000000;0.00000000;7.20970752;-5.73862686;1.53895923;1.65376952;3.04658599;-0.00126610;0.00000000;0.00000000
32;3.20000000;0.00000000;7.11022632;-5.72894631;1.52927029;1.63632712;3.05055372;0.04136641;0.00000000;0.00000000
33;3.30000000;0.00000000;7.01063750;-5.72045350;1.52077109;1.62366919;3.05485928;0.00117006;0.00000000;0.00000000
34;3.40000000;0.00000000;6.91107669;-5.71162995;1.51726360;1.61398588;3.05078773;-0.04320574;0.00000000;0.00000000
35;3.50000000;0.00000000;6.81155957;-5.70232639;1.51985223;1.60856763;3.04621813;-0.04317435;0.00000000;0.00000000
36;3.60000000;0.00000000;6.71208352;-5.69259331;1.52855608;1.60978182;3.04215286;-0.03814008;0.00000000;0.00000000
37;3.70000000;0.00000000;6.61264529;-5.68248094;1.54332105;1.61756347;3.03859011;-0.03802198;0.00000000;0.00000000
38;3.80000000;0.00000000;6.51324109;-5.67203929;1.56402397;1.62800065;3.03454846;-0.04837961;0.00000000;0.00000000
39;3.90000000;0.00000000;6.41388792;-5.66112348;1.56142514;1.63342956;3.02891419;-0.06013635;0.00000000;0.00000000
40;4.00000000;0.00000000;6.31460790;-5.64956240;1.55108061;1.61397563;3.02252119;-0.06214221;0.00000000;0.00000000
41;4.10000000;0.00000000;6.21540252;-5.63737720;1.54650882;1.60116370;3.01648575;-0.05782834;0.00000000;0.00000000
42;4.20000000;0.00000000;6.11626922;-5.62461859;1.54606402;1.59510369;3.01095552;-0.05279145;0.00000000;0.00000000
43;4.30000000;0.00000000;6.01720462;-5.61133689;1.54710770;1.59582245;3.00592746;-0.01291848;0.00000000;0.00000000
44;4.40000000;0.00000000;5.91820458;-5.59758204;1.55411535;1.60326106;3.00837183;0.03029677;0.00000000;0.00000000
45;4.50000000;0.00000000;5.81907728;-5.58478494;1.56842995;1.60507163;3.01198681;-0.00161367;0.00000000;0.00000000
46;4.60000000;0.00000000;5.71998049;-5.57174622;1.57175367;1.58874322;3.00804909;-0.04549524;0.00000000;0.00000000
47;4.70000000;0.00000000;5.62095605;-5.55816871;1.55817359;1.57912891;3.00288776;-0.04884691;0.00000000;0.00000000
48;4.80000000;0.00000000;5.52199906;-5.54410775;1.54411049;1.57629638;2.99827971;-0.04333083;0.00000000;0.00000000
49;4.90000000;0.00000000;5.42310387;-5.52961821;1.53299191;1.58022718;2.99422160;-0.00570533;0.00000000;0.00000000
50;5.00000000;0.00000000;5.32426419;-5.51475455;1.52796459;1.58952214;2.99713865;0.03823693;0.00000000;0.00000000
51;5.10000000;0.00000000;5.22528776;-5.50084244;1.53042644;1.59925360;3.00186898;0.01253063;0.00000000;0.00000000
52;5.20000000;0.00000000;5.12631198;-5.48691453;1.53937214;1.61319197;2.99964477;-0.03106910;0.00000000;0.00000000
53;5.30000000;0.00000000;5.02739682;-5.47256205;1.55428362;1.62755606;2.99565516;-0.00657469;0.00000000;0.00000000
54;5.40000000;0.00000000;4.92853524;-5.45784482;1.55830146;1.61490705;2.99832983;0.03816554;0.00000000;0.00000000
55;5.50000000;0.00000000;4.82954657;-5.44402194;1.55006166;1.60177012;3.00328827;0.01690047;0.00000000;0.00000000
56;5.60000000;0.00000000;4.73054398;-5.43028582;1.54833156;1.59471305;3.00170993;-0.02642916;0.00000000;0.00000000
57;5.70000000;0.00000000;4.63159758;-5.41615027;1.55264339;1.59430796;2.99800244;-0.03380091;0.00000000;0.00000000
58;5.80000000;0.00000000;4.53269947;-5.40168042;1.56301209;1.60049462;2.99494974;0.00076936;0.00000000;0.00000000
59;5.90000000;0.00000000;4.43384113;-5.38694101;1.57421374;1.60755849;2.99815631;0.04634346;0.00000000;0.00000000
60;6.00000000;0.00000000;4.33485470;-5.37310605;1.57333975;1.59015474;3.00421844;0.03048489;0.00000000;0.00000000
61;6.10000000;0.00000000;4.23582499;-5.35956628;1.56122449;1.57860064;3.00425329;-0.04283183;0.00000000;0.00000000
62;6.20000000;0.00000000;4.13683512;-5.34573788;1.55515924;1.57361526;2.99565207;-0.10386415;0.00000000;0.00000000
